Date,Open,High,Low,Close,Volume
2012-01-03,134.4,134.8,133.9,134.8,744416
2012-01-04,134.8,134.9,134.0,134.6,466743
2012-01-05,134.9,135.0,134.1,134.2,797243
2012-01-06,134.0,134.86,133.44,133.89,942855
2012-01-09,133.9,133.9,132.9,133.3,445851
2012-01-10,133.6,133.6,132.8,132.9,706013
2012-01-11,133.11,134.33,132.78,133.53,1977723
2012-01-12,133.67,134.0,133.63,133.67,922002
2012-01-13,134.0,134.0,133.2,133.4,625833
2012-01-16,133.6,133.6,133.0,133.6,270914
2012-01-17,133.4,133.6,132.9,133.3,997304
2012-01-18,133.2,133.9,133.2,133.4,674852
2012-01-19,133.6,133.9,133.2,133.6,790510
2012-01-20,133.9,133.9,133.2,133.6,551498
2012-01-23,133.3,133.8,133.1,133.2,528578
2012-01-24,133.3,133.4,133.1,133.3,458174
2012-01-25,133.33,133.78,133.21,133.33,422589
2012-01-26,133.2,133.8,133.2,133.7,465239
2012-01-27,133.1,133.8,133.1,133.4,347512
2012-01-30,133.1,133.8,133.1,133.6,528908
2012-01-31,133.3,133.8,133.3,133.4,1668238
2012-02-01,133.3,134.3,133.3,134.2,925780
2012-02-02,134.3,134.3,134.0,134.2,1917823
2012-02-03,134.3,135.8,134.3,135.1,3308954
2012-02-06,135.3,135.4,135.0,135.4,1242812
2012-02-07,135.44,135.44,134.9,135.33,1133791
2012-02-08,135.44,135.59,135.11,135.33,826073
2012-02-09,135.6,136.06,135.22,136.0,940767
2012-02-10,136.0,136.7,135.4,136.2,1823294
2012-02-13,136.56,137.22,136.02,137.11,607127
2012-02-14,137.0,137.0,136.4,136.6,484806
2012-02-15,137.1,137.1,136.0,136.3,430874
2012-02-16,136.22,136.54,135.78,136.0,497698
2012-02-17,136.2,136.7,135.7,136.4,359544
2012-02-20,136.67,136.89,136.51,136.67,120776
2012-02-21,136.6,138.1,136.6,138.1,1125261
2012-02-22,138.11,138.22,137.78,137.91,630173
2012-02-23,138.0,139.11,137.8,139.11,397820
2012-02-24,138.3,139.1,138.0,138.3,332656
2012-02-27,138.11,138.66,135.0,135.67,1574633
2012-02-28,136.0,136.1,134.0,135.2,1895900
2012-02-29,135.6,135.9,134.8,134.9,674266
2012-03-01,135.6,135.6,135.1,135.2,360817
2012-03-02,135.0,136.1,135.0,136.0,1238877
2012-03-05,135.7,136.4,135.2,135.6,287390
2012-03-06,135.2,135.4,135.0,135.1,1094258
2012-03-07,135.0,136.0,135.0,136.0,208016
2012-03-08,136.0,136.0,135.1,135.7,1873042
2012-03-09,135.33,135.44,135.09,135.44,253567
2012-03-12,135.0,135.6,135.0,135.6,263016
2012-03-13,135.33,135.78,135.32,135.78,1229163
2012-03-14,135.8,135.8,135.2,135.8,354378
2012-03-15,135.78,135.89,135.18,135.56,802915
2012-03-16,135.44,136.11,135.17,136.11,1320374
2012-03-19,135.6,136.4,135.6,136.4,343826
2012-03-20,135.8,136.3,135.8,136.1,310255
2012-03-21,135.8,136.6,135.8,136.4,401177
2012-03-22,136.0,136.6,136.0,136.4,263218
2012-03-23,135.9,136.6,135.7,136.6,399881
2012-03-26,136.3,137.0,135.8,137.0,378239
2012-03-27,137.0,137.56,136.47,137.44,734337
2012-03-28,136.89,137.39,136.78,137.22,346218
2012-03-29,136.7,137.0,136.3,136.8,312666
2012-03-30,136.8,138.8,136.8,138.3,504759
2012-04-02,138.8,138.9,138.0,138.9,803822
2012-04-03,138.9,138.9,138.4,138.7,597390
2012-04-04,138.7,138.7,137.2,137.4,1602087
2012-04-05,137.56,137.93,137.44,137.67,194455
2012-04-10,137.0,137.88,137.0,137.44,347844
2012-04-11,136.9,138.0,136.9,137.8,597111
2012-04-12,138.1,138.1,137.3,137.8,577773
2012-04-13,137.9,138.1,137.3,138.0,553016
2012-04-16,137.8,138.4,137.8,138.4,350297
2012-04-17,138.1,138.8,138.1,138.6,341986
2012-04-18,138.4,139.2,138.1,139.2,721901
2012-04-19,139.0,140.7,138.9,140.2,594639
2012-04-20,140.1,141.7,140.1,141.7,335071
2012-04-23,141.22,143.22,140.91,142.22,571034
2012-04-24,142.1,142.7,141.7,141.8,632174
2012-04-25,141.78,141.89,140.72,141.11,558006
2012-04-26,141.0,141.1,140.2,140.2,285700
2012-04-27,140.22,140.67,140.17,140.22,432307
2012-04-30,140.4,140.7,140.2,140.2,125616
2012-05-01,140.2,140.7,140.2,140.7,395946
2012-05-02,140.6,140.9,137.8,137.8,1368629
2012-05-03,138.3,139.0,138.0,138.7,312641
2012-05-04,138.4,139.0,137.8,137.8,588594
2012-05-08,137.4,138.3,136.1,136.1,1173978
