Date,Open,High,Low,Close,Volume
2012-01-03,2415.0,2505.5,2412.56,2497.0,3260641
2012-01-04,2491.5,2514.5,2453.5,2471.5,2869524
2012-01-05,2469.0,2478.5,2427.5,2455.0,2421005
2012-01-06,2450.0,2487.5,2441.5,2469.0,1868665
2012-01-09,2470.0,2487.5,2437.0,2438.5,2548068
2012-01-10,2475.0,2542.5,2436.82,2518.5,3882103
2012-01-11,2517.5,2546.5,2505.0,2527.0,3114487
2012-01-12,2545.0,2589.56,2396.79,2555.0,3428228
2012-01-13,2575.0,2599.5,2523.12,2570.5,3715626
2012-01-16,2541.0,2603.5,2531.69,2595.0,3375371
2012-01-17,2639.0,2651.0,2522.95,2633.5,3698001
2012-01-18,2632.5,2655.0,2591.0,2642.0,2766874
2012-01-19,2641.0,2666.5,2597.0,2647.5,4522260
2012-01-20,2636.5,2665.0,2609.0,2660.0,4559689
2012-01-23,2657.5,2696.5,2645.5,2685.5,2556999
2012-01-24,2669.0,2684.37,2624.0,2656.5,2139725
2012-01-25,2666.0,2683.81,2616.5,2654.5,3554294
2012-01-26,2680.0,2765.0,2680.0,2737.0,4127497
2012-01-27,2705.0,2728.5,2686.0,2698.5,2899179
2012-01-30,2668.5,2708.74,2615.0,2635.0,3667899
2012-01-31,2651.0,2687.5,2620.0,2624.0,2609931
2012-02-01,2622.0,2733.0,2619.5,2733.0,3907139
2012-02-02,2774.0,2850.04,2766.0,2830.5,7124628
2012-02-03,2820.0,2923.47,2820.0,2910.0,5499324
2012-02-06,2907.0,2911.5,2856.0,2887.0,3410240
2012-02-07,2893.0,2895.5,2823.5,2873.0,3393613
2012-02-08,2890.0,2927.0,2858.5,2862.0,3764499
2012-02-09,2877.0,2958.0,2830.5,2860.0,3739357
2012-02-10,2830.5,2854.16,2724.75,2746.5,5919496
2012-02-13,2780.5,2844.5,2746.5,2817.0,3377954
2012-02-14,2787.5,2802.5,2752.5,2772.0,2836032
2012-02-15,2776.0,2800.0,2688.5,2690.0,4124416
2012-02-16,2661.0,2663.5,2589.0,2644.0,5345179
2012-02-17,2692.0,2695.5,2657.5,2674.0,3954226
2012-02-20,2696.0,2710.0,2674.0,2690.0,2627248
2012-02-21,2688.0,2739.5,2676.5,2715.5,2994275
2012-02-22,2721.0,2724.5,2666.0,2709.0,2582043
2012-02-23,2702.0,2733.0,2674.0,2693.0,2562871
