Date,Open,High,Low,Close,Volume
2012-01-03,461.7,463.18,444.71,456.5,690539
2012-01-04,457.8,466.75,448.5,451.5,373230
2012-01-05,449.9,452.97,439.3,442.8,621469
2012-01-06,443.0,455.3,443.0,450.3,470303
2012-01-09,440.0,450.2,439.5,447.9,367737
2012-01-10,446.5,453.2,442.4,447.0,512351
2012-01-11,449.1,464.0,444.0,461.2,453226
2012-01-12,461.3,468.01,460.35,461.7,277389
2012-01-13,454.0,463.9,454.0,462.3,387652
2012-01-16,455.5,463.8,455.1,459.7,338143
2012-01-17,473.3,475.84,466.2,467.6,527193
2012-01-18,460.0,468.3,448.0,467.8,366199
2012-01-19,475.6,484.3,459.9,464.1,540618
2012-01-20,464.5,477.0,464.5,469.5,609428
2012-01-23,469.9,481.8,458.4,470.1,584065
2012-01-24,465.6,470.34,458.0,465.4,279363
2012-01-25,475.5,482.94,456.8,465.7,298129
2012-01-26,471.6,493.6,470.3,489.5,671018
2012-01-27,510.0,525.0,498.5,515.5,1293934
2012-01-30,505.5,514.51,499.31,508.5,514958
2012-01-31,505.5,520.5,505.0,515.0,523155
2012-02-01,519.5,533.0,512.5,527.0,683200
2012-02-02,526.0,535.0,518.67,531.5,325805
2012-02-03,531.5,533.0,521.62,522.5,480350
2012-02-06,520.0,527.5,517.37,525.0,342613
2012-02-07,529.0,530.5,518.5,522.5,316997
2012-02-08,527.0,528.5,518.5,524.0,217109
2012-02-09,520.0,520.0,515.0,517.5,453940
2012-02-10,518.5,518.5,509.0,513.5,837572
2012-02-13,519.5,520.0,513.5,518.0,139067
2012-02-14,518.5,520.0,505.5,520.0,375848
2012-02-15,520.0,523.0,511.5,518.5,688809
2012-02-16,500.0,500.0,443.5,448.0,1847899
2012-02-17,440.0,456.7,435.0,443.1,1311626
2012-02-20,442.8,464.8,442.8,451.8,1062269
2012-02-21,441.8,467.5,441.6,461.5,888117
2012-02-22,460.3,470.7,448.4,463.0,674619
2012-02-23,460.5,473.8,458.87,468.11,530487
2012-02-24,465.5,471.8,461.29,464.2,376165
2012-02-27,460.3,468.3,458.04,465.3,332397
2012-02-28,463.2,484.2,463.2,474.0,408221
2012-02-29,478.7,485.18,465.0,469.98,514558
2012-03-01,466.3,473.9,457.7,457.7,384218
2012-03-02,456.7,465.6,447.0,450.0,608000
2012-03-05,455.0,460.5,431.2,435.4,543771
2012-03-06,437.1,451.61,418.2,432.0,764119
2012-03-07,425.8,438.2,423.0,429.9,311257
2012-03-08,428.0,438.91,424.3,426.7,586749
2012-03-09,437.4,437.4,422.0,425.7,526914
2012-03-12,427.6,432.4,425.0,428.2,313613
2012-03-13,432.6,438.5,422.93,435.0,623696
2012-03-14,438.2,438.2,411.2,415.5,707237
2012-03-15,417.2,421.4,401.1,413.3,659784
2012-03-16,415.9,418.35,404.3,407.2,693872
2012-03-19,408.9,422.3,405.9,415.3,617181
2012-03-20,416.6,417.71,402.8,406.9,774871
2012-03-21,404.8,408.8,403.0,407.0,624057
2012-03-22,404.0,405.6,398.7,399.3,558211
2012-03-23,397.3,403.6,388.4,394.5,1029017
2012-03-26,398.2,425.9,396.79,424.5,1114640
2012-03-27,419.2,426.7,410.9,411.2,674426
2012-03-28,409.6,412.9,389.3,395.5,1059216
2012-03-29,393.0,396.69,382.9,388.2,547702
2012-03-30,390.6,397.53,379.8,384.0,753873
2012-04-02,386.3,389.8,380.9,387.0,570360
2012-04-03,390.0,394.4,383.5,383.5,597347
2012-04-04,385.7,390.9,371.6,382.4,493650
2012-04-05,371.4,378.2,367.0,373.2,344531
2012-04-10,374.2,374.2,361.3,361.3,481524
2012-04-11,361.5,379.6,361.5,370.7,518888
2012-04-12,356.6,360.0,344.5,351.2,1267742
2012-04-13,354.1,364.2,352.9,356.6,794262
2012-04-16,359.6,359.6,351.8,354.1,501805
2012-04-17,352.0,363.6,342.86,361.6,559678
2012-04-18,363.6,375.0,360.9,368.9,581295
2012-04-19,375.0,375.0,344.04,355.0,1022376
2012-04-20,350.0,360.9,347.44,355.0,739430
2012-04-23,356.1,356.7,346.1,356.7,562726
2012-04-24,359.1,361.9,349.6,355.0,367124
2012-04-25,353.0,357.95,350.4,356.5,274082
2012-04-26,359.5,363.2,350.3,362.0,287992
2012-04-27,358.1,367.45,357.9,362.0,297434
2012-04-30,360.7,368.9,358.6,359.3,267812
2012-05-01,354.9,368.1,354.9,363.98,366619
2012-05-02,358.3,366.9,354.3,356.6,629462
2012-05-03,360.0,368.2,354.9,358.5,485691
2012-05-04,354.8,365.2,349.2,350.9,547019
2012-05-08,348.5,361.84,347.47,354.9,579929
2012-05-09,357.5,369.8,336.2,339.3,567800
2012-05-10,338.0,355.0,338.0,348.6,559469
2012-05-11,350.3,351.16,344.7,348.9,365660
2012-05-14,350.8,351.8,331.7,333.4,251544
2012-05-15,336.2,343.26,320.2,328.2,382948
2012-05-16,328.5,328.5,303.4,309.8,831717
2012-05-17,310.0,346.5,310.0,334.15,690687
2012-05-18,340.5,341.4,330.9,338.3,442889
2012-05-21,335.6,347.2,335.6,345.8,373509
2012-05-22,347.5,355.9,342.41,354.3,363366
2012-05-23,350.0,350.0,333.5,333.5,231302
2012-05-24,334.6,342.1,328.4,333.0,283878
2012-05-25,335.4,344.9,331.13,337.8,327043
2012-05-28,348.4,348.4,339.4,341.9,168415
2012-05-29,340.4,343.83,335.18,339.6,163207
2012-05-30,345.3,345.3,327.7,328.0,201849
2012-05-31,331.3,339.3,326.2,329.5,243379
2012-06-01,332.2,350.94,327.8,349.4,325570
2012-06-06,361.28,405.7,359.8,388.1,875918
2012-06-07,399.5,412.0,386.2,397.5,466863
2012-06-08,391.1,398.8,384.9,398.2,394349
