Date,Open,High,Low,Close,Volume
2012-01-03,876.5,885.8,857.5,880.0,598355
2012-01-04,882.5,886.31,871.0,877.5,558850
2012-01-05,880.0,880.0,858.69,866.0,572417
2012-01-06,862.0,870.0,836.0,844.5,541720
2012-01-09,847.0,858.0,825.0,825.5,343585
2012-01-10,831.0,850.5,831.0,843.5,409472
2012-01-11,842.5,850.0,829.5,844.5,577918
2012-01-12,849.0,882.85,849.0,871.5,536926
2012-01-13,877.0,884.0,868.5,879.0,593529
2012-01-16,878.0,899.5,874.5,878.0,490393
2012-01-17,885.0,888.5,859.5,862.0,341885
2012-01-18,860.5,872.5,857.0,864.5,384508
2012-01-19,869.0,889.5,868.5,878.86,1066597
2012-01-20,880.0,889.5,870.5,888.5,690278
2012-01-23,887.0,909.0,887.0,903.5,310539
2012-01-24,905.0,913.5,892.5,909.5,1038156
2012-01-25,915.0,929.5,897.5,903.0,630876
2012-01-26,903.5,931.0,902.26,920.0,651373
2012-01-27,915.0,928.5,910.88,920.5,402516
2012-01-30,911.5,921.94,891.0,894.5,425300
2012-01-31,901.0,953.0,901.0,941.0,1841090
2012-02-01,940.0,963.0,927.5,933.0,1341637
2012-02-02,934.0,966.5,926.5,962.0,747711
2012-02-03,962.0,1066.0,959.5,1038.0,1842779
2012-02-06,1031.0,1031.0,985.07,998.5,1229805
2012-02-07,994.5,1005.53,962.5,973.0,823947
2012-02-08,972.0,982.7,952.0,964.5,824440
2012-02-09,966.5,993.5,966.5,985.0,617262
2012-02-10,976.0,994.0,958.5,964.0,551534
2012-02-13,969.0,977.0,960.87,968.0,455055
2012-02-14,968.5,978.0,963.0,968.0,638151
2012-02-15,973.0,981.19,964.9,969.5,552135
2012-02-16,962.0,964.99,951.5,962.5,482881
2012-02-17,970.5,997.1,967.0,997.0,437315
2012-02-20,999.0,1015.0,999.0,1011.0,343858
2012-02-21,1021.0,1049.75,1016.0,1043.0,592448
2012-02-22,1042.0,1047.0,1025.0,1037.0,376636
2012-02-23,1035.0,1064.0,1033.0,1050.0,743969
2012-02-24,1051.0,1066.0,1037.0,1047.0,499541
2012-02-27,1042.0,1067.0,1030.0,1062.0,564902
2012-02-28,1062.0,1086.14,1047.0,1081.0,573707
2012-02-29,1076.0,1086.06,1052.0,1077.0,761029
2012-03-01,1073.0,1104.0,1065.16,1096.0,683475
2012-03-02,1075.0,1098.64,1050.47,1059.0,845765
2012-03-05,1054.0,1065.0,1038.0,1044.0,586256
2012-03-06,1042.0,1048.0,1008.0,1040.0,870027
2012-03-07,1121.6,1180.0,1092.21,1144.0,2403565
2012-03-08,1134.0,1187.12,1131.8,1162.0,774868
2012-03-09,1150.0,1170.0,1136.44,1158.0,670290
2012-03-12,1154.0,1175.0,1148.0,1170.0,546077
2012-03-13,1180.0,1188.0,1166.0,1185.0,615466
2012-03-14,1191.0,1204.0,1181.0,1186.0,680544
2012-03-15,1190.0,1213.0,1178.0,1203.0,621923
2012-03-16,1203.0,1210.0,1195.0,1207.0,1129880
2012-03-19,1205.0,1213.0,1200.0,1207.0,332885
2012-03-20,1200.0,1207.0,1188.0,1198.0,664791
2012-03-21,1198.0,1204.55,1161.0,1168.0,600341
2012-03-22,1174.0,1180.0,1148.0,1160.0,661376
2012-03-23,1157.0,1169.0,1148.0,1164.0,350298
2012-03-26,1165.0,1176.0,1158.0,1173.0,495577
2012-03-27,1173.0,1197.0,1164.0,1178.0,524070
2012-03-28,1175.0,1183.0,1156.0,1161.0,358074
2012-03-29,1153.0,1164.46,1140.0,1155.0,740859
2012-03-30,1155.0,1190.0,1155.0,1187.0,785012
2012-04-02,1185.0,1195.0,1162.0,1189.0,718651
2012-04-03,1187.0,1214.0,1177.0,1207.0,734208
2012-04-04,1200.0,1216.25,1181.0,1189.0,1028664
2012-04-05,1186.0,1211.0,1164.0,1207.0,617717
2012-04-10,1190.0,1209.0,1190.0,1195.0,604659
2012-04-11,1194.0,1212.0,1185.0,1203.0,692133
2012-04-12,1199.0,1226.0,1182.0,1217.0,501411
2012-04-13,1221.0,1222.0,1175.0,1183.0,703455
2012-04-16,1175.0,1183.0,1168.79,1174.0,814205
2012-04-17,1168.0,1199.0,1164.0,1196.0,710355
2012-04-18,1206.0,1228.0,1201.0,1209.0,726373
2012-04-19,1214.0,1226.36,1202.0,1209.0,726012
2012-04-20,1220.0,1225.12,1201.0,1225.0,716054
