Date,Open,High,Low,Close,Volume
2012-01-03,82.5,83.75,81.25,83.75,3594.0
2012-01-04,82.5,82.5,80.25,82.5,66158.0
2012-01-05,80.62,83.5,80.62,80.75,15045.0
2012-01-06,81.58,84.5,81.58,81.58,10004.0
2012-01-09,84.25,84.25,0.0,84.25,368.0
2012-01-10,81.0,0.0,81.0,81.3,26720.0
2012-01-11,82.5,0.0,81.0,81.0,69689.0
2012-01-12,81.75,83.0,81.25,81.25,7155.0
2012-01-13,84.0,84.25,83.9,84.25,200407.0
2012-01-16,84.75,85.0,82.41,85.0,49573.0
2012-01-17,86.25,86.25,84.75,85.75,26312.0
2012-01-18,89.5,89.5,0.0,89.5,100000.0
2012-01-19,88.25,90.75,88.25,90.75,82268.0
2012-01-20,90.5,0.0,88.38,88.5,204731.0
2012-01-23,89.0,90.75,89.0,89.0,5631.0
2012-01-24,88.5,90.75,88.25,90.0,40741.0
2012-01-25,91.15,91.15,89.34,89.35,10532.0
2012-01-26,89.45,92.4,89.45,92.4,11469.0
2012-01-27,89.1,92.4,89.1,92.15,20417.0
2012-01-30,90.0,90.0,90.0,90.0,500.0
2012-01-31,92.75,93.0,92.0,92.0,43264.0
2012-02-01,90.5,93.89,90.5,93.89,11812.0
2012-02-02,94.0,94.0,0.0,94.0,21540.0
2012-02-03,94.5,95.0,92.44,94.75,165768.0
2012-02-06,95.0,95.0,94.0,95.0,30557.0
2012-02-07,95.0,95.0,93.31,93.31,27493.0
2012-02-08,93.19,95.25,93.19,93.26,14517.0
2012-02-09,95.75,96.0,93.5,95.5,39761.0
2012-02-10,95.75,95.75,94.31,95.75,16054.0
2012-02-13,,,,97.25,0.0
2012-02-14,,,,94.75,0.0
2012-02-15,97.25,100.0,97.25,99.75,63525.0
2012-02-16,98.0,99.25,98.0,99.25,4145.0
2012-02-17,101.25,102.0,101.0,101.0,44500.0
2012-02-20,,,,102.75,0.0
2012-02-21,,,,101.35,0.0
2012-02-22,,,,101.0,0.0
2012-02-23,102.75,102.75,101.0,101.0,2601.0
