Date,Open,High,Low,Close,Volume
2012-01-03,2164.3,2181.51,2145.39,2167.46,427873
2012-01-04,2164.0,2179.0,2113.0,2129.0,521874
2012-01-05,2144.0,2164.0,2124.0,2153.0,429924
2012-01-06,2162.0,2196.0,2153.0,2195.0,289512
2012-01-09,2200.0,2248.0,2188.0,2239.0,412677
2012-01-10,2248.4,2252.6,2212.8,2230.5,634328
2012-01-11,2190.0,2209.0,2142.0,2156.0,754261
2012-01-12,2159.0,2184.0,2135.0,2147.0,433634
2012-01-13,2158.0,2163.0,2117.0,2131.0,528440
2012-01-16,2130.0,2144.0,2115.0,2138.0,289877
2012-01-17,2150.0,2165.0,2145.0,2145.0,285712
2012-01-18,2155.0,2186.0,2134.0,2176.0,344025
2012-01-19,2186.0,2201.0,2167.0,2191.0,282088
2012-01-20,2208.0,2218.0,2188.0,2195.0,762017
2012-01-23,2184.27,2189.12,2156.95,2188.47,333920
2012-01-24,2177.0,2187.0,2154.0,2155.0,453567
2012-01-25,2159.05,2193.07,2159.05,2184.27,465767
2012-01-26,2196.0,2258.0,2192.0,2247.0,418036
2012-01-27,2242.0,2242.0,2200.0,2202.0,330584
2012-01-30,2180.0,2206.0,2147.0,2163.0,451415
2012-01-31,2157.0,2213.0,2157.0,2201.0,376385
2012-02-01,2206.0,2240.0,2178.0,2230.0,590305
2012-02-02,2241.0,2245.0,2212.0,2212.0,277501
2012-02-03,2217.0,2273.0,2201.0,2271.0,354129
2012-02-06,2275.0,2275.0,2241.0,2268.0,202006
2012-02-07,2264.0,2274.0,2253.0,2268.0,297377
2012-02-08,2263.0,2271.0,2237.0,2257.0,296717
2012-02-09,2257.0,2277.0,2249.0,2264.0,287241
2012-02-10,2262.0,2304.0,2253.0,2285.0,385354
2012-02-13,2296.68,2310.08,2280.92,2290.38,209829
2012-02-14,2281.0,2302.0,2262.0,2298.0,323666
2012-02-15,2298.0,2315.0,2290.0,2301.0,245433
2012-02-16,2279.87,2297.73,2266.44,2281.98,367386
2012-02-17,2294.0,2316.0,2281.0,2282.0,357528
2012-02-20,2294.0,2310.0,2280.0,2299.0,215350
2012-02-21,2295.63,2302.29,2273.05,2277.77,327399
2012-02-22,2276.72,2286.12,2250.46,2267.27,274433
2012-02-23,2271.0,2322.0,2257.0,2317.0,423070
2012-02-24,2323.0,2389.0,2317.0,2364.0,481581
2012-02-27,2360.0,2360.0,2321.0,2340.0,315110
2012-02-28,2335.0,2347.0,2311.0,2315.0,558156
2012-02-29,2311.0,2347.0,2311.0,2325.0,494555
2012-03-01,2320.85,2364.02,2306.53,2354.47,290244
2012-03-02,2346.0,2360.0,2328.0,2331.0,200522
2012-03-05,2317.7,2334.9,2294.58,2299.84,367003
2012-03-06,2299.0,2302.0,2207.0,2233.0,487537
2012-03-07,2274.0,2290.0,2233.0,2281.0,391479
2012-03-08,2292.0,2338.0,2283.0,2338.0,536832
2012-03-09,2332.0,2439.0,2308.0,2430.0,992604
2012-03-12,2439.0,2466.0,2414.0,2416.0,617649
2012-03-13,2431.0,2440.0,2420.0,2432.0,728147
2012-03-14,2440.0,2460.0,2419.0,2421.0,507526
2012-03-15,2424.0,2452.0,2406.0,2433.0,354218
2012-03-16,2430.11,2460.58,2425.99,2426.96,1742871
2012-03-19,2434.0,2443.0,2412.0,2416.0,300630
2012-03-20,2414.0,2414.0,2371.0,2373.0,347712
2012-03-21,2381.0,2381.0,2326.0,2374.0,919732
2012-03-22,2370.0,2391.0,2333.0,2349.0,521552
2012-03-23,2358.0,2384.0,2336.0,2356.0,540300
2012-03-26,2356.0,2400.0,2356.0,2385.0,443439
2012-03-27,2405.0,2410.0,2363.0,2373.0,342311
2012-03-28,2361.0,2390.0,2335.0,2341.0,530988
2012-03-29,2343.0,2358.0,2324.0,2349.0,524090
2012-03-30,2354.0,2381.0,2353.0,2364.0,547955
2012-04-02,2369.0,2393.0,2357.0,2390.0,389622
2012-04-03,2402.0,2402.0,2342.0,2345.0,464859
2012-04-04,2340.0,2344.0,2264.0,2269.0,520754
2012-04-05,2268.32,2280.92,2249.67,2272.52,465963
2012-04-10,2249.0,2263.0,2218.0,2218.0,517525
2012-04-11,2212.0,2274.0,2206.0,2268.0,529281
2012-04-12,2294.0,2343.0,2280.0,2339.0,961084
2012-04-13,2340.0,2349.0,2291.0,2304.0,475176
2012-04-16,2319.0,2340.0,2282.0,2297.0,469461
2012-04-17,2280.0,2357.0,2273.0,2352.0,580516
2012-04-18,2342.0,2371.0,2312.0,2354.0,652088
2012-04-19,2364.0,2413.0,2356.0,2404.0,742855
