Date,Open,High,Low,Close,Volume
2015-01-28,54.5,54.5,54.0,54.22,66647
2015-01-29,54.5,54.5,53.75,54.5,190695
2015-01-30,54.75,54.75,54.0,54.36,175585
2015-02-02,53.5,55.25,53.5,54.74,263480
2015-02-03,54.75,55.0,54.25,54.25,356477
2015-02-04,55.0,55.0,54.0,54.5,11712
2015-02-05,54.0,54.25,54.0,54.25,201524
2015-02-06,54.0,54.75,53.5,54.25,488613
2015-02-09,53.5,54.25,53.25,53.75,380173
2015-02-10,53.25,54.25,53.25,53.94,110638
2015-02-11,54.5,54.5,53.75,54.25,46542
2015-02-12,53.25,54.25,53.25,54.0,24964
2015-02-13,54.5,54.5,53.25,53.62,381947
2015-02-16,54.0,54.0,52.75,53.5,133388
2015-02-17,52.75,53.5,52.5,53.5,459927
2015-02-18,53.25,53.75,52.81,53.75,447993
2015-02-19,52.5,54.0,52.5,53.75,188296
2015-02-20,54.0,54.0,53.5,53.62,348274
2015-02-23,53.25,54.0,53.25,53.56,631511
2015-02-24,54.25,54.25,53.5,53.75,350289
2015-02-25,54.25,54.25,53.25,53.73,371861
2015-02-26,54.5,54.5,53.25,53.5,162158
2015-02-27,54.5,54.5,53.0,53.25,178141
2015-03-02,54.0,54.0,52.5,52.75,256022
2015-03-03,52.5,53.75,52.5,52.75,181664
2015-03-04,53.5,54.0,53.0,53.76,125231
2015-03-05,53.0,54.0,53.0,53.75,102304
2015-03-06,55.5,57.75,54.0,56.25,6003788
2015-03-09,55.5,56.75,55.25,56.25,1632787
2015-03-10,56.75,56.75,56.0,56.25,933033
2015-03-11,55.5,56.0,55.0,55.75,1122938
2015-03-12,55.0,56.0,55.0,55.5,1701262
2015-03-13,56.0,56.0,55.05,55.75,474814
2015-03-16,55.0,55.7,55.0,55.5,431696
2015-03-17,55.5,55.5,55.0,55.49,1204295
2015-03-18,55.5,56.0,55.0,56.0,2118257
2015-03-19,56.0,56.0,55.0,55.75,2627977
2015-03-20,55.75,58.5,55.25,55.81,28973234
2015-03-23,56.0,56.0,55.0,55.28,263162
2015-03-24,55.5,56.75,55.12,56.75,1126142
2015-03-25,56.75,57.0,56.0,56.5,433352
2015-03-26,56.0,57.5,55.75,57.5,908634
2015-03-27,57.25,58.75,56.75,58.75,911200
2015-03-30,57.5,59.75,57.5,59.5,611258
2015-03-31,59.0,62.25,59.0,60.75,2322598
2015-04-01,61.75,61.75,60.75,61.5,853022
2015-04-02,62.0,62.0,61.01,61.5,1094790
2015-04-07,60.5,61.75,59.8,60.97,718879
2015-04-08,61.5,61.5,60.5,61.0,571428
2015-04-09,61.5,61.5,60.5,61.0,240591
2015-04-10,60.75,61.25,60.5,61.0,723823
2015-04-13,61.5,61.5,60.25,60.25,1214450
2015-04-14,60.75,61.0,60.0,60.0,192313
2015-04-15,60.5,61.25,60.16,61.25,333176
2015-04-16,60.5,60.87,60.32,60.5,516172
2015-04-17,60.0,60.5,59.75,59.75,292030
2015-04-20,59.5,60.5,59.5,60.25,197985
2015-04-21,59.75,60.5,58.0,58.0,431238
2015-04-22,59.0,59.0,57.35,59.0,889536
2015-04-23,58.75,59.25,58.0,58.5,299987
2015-04-24,58.0,60.32,58.0,59.25,185816
2015-04-27,58.5,59.75,58.5,59.75,642015
2015-04-28,58.75,60.25,58.5,60.0,489977
2015-04-29,59.5,60.2,58.0,58.0,298840
2015-04-30,58.0,58.75,57.5,58.75,575374
2015-05-01,58.5,58.5,57.5,58.5,57164
2015-05-05,57.5,58.0,56.5,57.0,564206
2015-05-06,56.5,57.75,56.0,57.75,601529
2015-05-07,56.5,58.0,56.5,57.0,637780
2015-05-08,57.75,59.0,57.75,59.0,1278770
2015-05-11,59.5,59.5,58.7,59.0,360471
2015-05-12,59.0,59.0,58.0,58.7,456440
2015-05-13,58.0,59.0,57.25,57.5,409995
2015-05-14,58.25,58.25,57.5,57.75,95824
2015-05-15,57.25,58.25,57.25,57.25,318332
2015-05-18,58.5,58.5,57.5,58.0,138894
2015-05-19,58.5,58.5,57.75,58.0,1009501
2015-05-20,59.0,59.0,57.75,58.25,289080
2015-05-21,58.0,59.0,57.5,59.0,377560
2015-05-22,59.0,59.0,58.0,58.5,546844
2015-05-26,57.5,58.5,57.5,58.25,403780
2015-05-27,57.75,59.0,57.75,58.5,518503
2015-05-28,58.0,59.95,58.0,58.75,317469
2015-05-29,58.0,59.0,58.0,58.5,491287
2015-06-01,58.0,59.25,58.0,58.0,303144
2015-06-02,58.75,59.0,58.5,58.75,610166
2015-06-03,59.0,59.43,58.7,59.25,648078
2015-06-04,58.5,59.75,,59.25,212784
2015-06-05,59.0,60.0,59.0,59.5,451581
2015-06-08,59.0,59.94,59.0,59.75,191598
2015-06-09,60.0,60.0,59.0,59.0,261697
2015-06-10,59.75,59.75,59.19,59.31,240862
2015-06-11,59.5,60.0,59.25,59.75,565039
2015-06-12,60.0,60.0,59.25,59.97,142101
2015-06-15,59.25,60.25,59.25,60.0,357434
2015-06-16,59.25,60.0,58.5,58.5,266847
2015-06-17,58.5,58.75,57.25,57.5,373385
2015-06-18,57.5,58.0,57.0,57.0,1544141
2015-06-19,57.75,57.75,55.21,56.75,3807531
2015-06-22,55.5,57.5,55.5,57.0,421548
2015-06-23,56.0,56.75,55.25,56.0,383598
2015-06-24,56.75,56.75,55.0,55.0,394531
2015-06-25,55.0,55.75,54.25,55.5,908614
2015-06-26,54.5,55.97,54.5,55.5,203124
2015-06-29,54.5,55.5,54.25,55.0,244194
2015-06-30,54.5,55.25,54.5,54.75,171245
2015-07-01,55.25,56.0,54.5,56.0,967012
2015-07-02,56.25,56.5,56.0,56.15,479180
2015-07-03,56.5,56.5,55.5,55.75,69621
2015-07-06,56.25,56.25,55.0,55.6,544949
2015-07-07,55.75,55.75,54.25,54.75,103027
2015-07-08,55.25,55.25,54.65,55.0,115639
2015-07-09,54.5,55.25,54.5,55.25,43710
2015-07-10,55.5,55.5,54.75,54.75,280546
2015-07-13,55.5,55.75,55.12,55.25,479461
2015-07-14,55.75,55.75,55.0,55.25,65656
2015-07-15,55.75,55.75,55.0,55.49,115821
2015-07-16,55.75,55.75,54.0,54.75,560080
2015-07-17,55.0,55.25,54.5,54.5,434423
2015-07-20,55.25,55.38,54.75,55.25,104155
2015-07-21,55.5,55.5,53.25,54.0,476794
2015-07-22,54.25,54.25,53.5,53.5,115136
2015-07-23,54.25,54.25,53.25,53.5,195896
2015-07-24,53.0,54.75,53.0,54.5,260919
2015-07-27,54.5,55.0,54.0,54.75,133021
2015-07-28,53.5,54.5,53.5,53.75,154965
2015-07-29,54.75,54.75,53.75,54.0,210699
2015-07-30,54.75,55.0,54.19,55.0,227643
2015-07-31,54.25,55.25,54.25,54.5,148860
2015-08-03,55.25,55.25,54.5,55.0,166876
2015-08-04,55.5,55.5,54.0,54.0,236995
2015-08-05,54.25,55.25,54.25,55.0,546027
2015-08-06,55.5,55.5,54.25,54.75,323066
2015-08-07,54.25,55.5,54.0,54.0,109639
2015-08-10,54.25,54.75,54.25,54.5,204448
2015-08-11,55.5,56.0,54.69,56.0,239196
2015-08-12,55.5,56.0,55.25,56.0,110713
2015-08-13,55.0,56.0,55.0,55.5,114427
2015-08-14,56.0,58.0,55.62,58.0,297402
2015-08-17,57.5,58.0,57.0,57.5,166753
2015-08-18,56.5,57.0,55.5,55.5,510061
2015-08-19,55.5,55.75,55.0,55.0,716098
2015-08-20,55.0,55.75,54.5,54.5,557884
2015-08-21,56.0,56.0,55.0,55.75,200101
2015-08-24,56.0,56.0,54.5,54.5,681203
2015-08-25,54.5,55.73,54.25,54.75,507741
2015-08-26,54.25,54.75,53.5,53.5,257103
2015-08-27,53.75,54.0,53.0,53.0,188303
2015-08-28,54.25,54.25,51.0,51.0,480955
2015-09-01,53.0,53.25,51.5,52.25,505061
2015-09-02,52.75,53.0,52.33,53.0,188436
2015-09-03,52.0,53.25,52.0,53.25,123028
2015-09-04,53.25,54.0,52.75,52.75,143574
2015-09-07,54.25,54.25,53.5,54.0,68999
2015-09-08,52.75,54.5,52.75,54.0,247473
2015-09-09,54.75,55.5,54.25,55.5,126963
2015-09-10,55.0,57.0,54.21,57.0,352400
2015-09-11,55.5,57.25,55.5,57.25,260513
2015-09-14,56.5,57.5,56.5,57.5,250323
2015-09-15,57.5,57.5,56.5,57.0,152547
2015-09-16,57.5,58.0,56.5,57.75,319410
2015-09-17,56.75,59.0,56.75,59.0,408498
2015-09-18,59.0,61.5,58.0,61.5,3824026
2015-09-21,59.75,63.75,59.5,63.75,1142280
2015-09-22,62.0,64.0,62.0,63.0,790810
2015-09-23,63.0,63.5,62.25,63.25,459362
2015-09-24,55.0,62.88,52.5,53.0,1866739
2015-09-25,53.75,54.5,53.25,54.25,612637
2015-09-28,54.75,54.75,53.5,54.25,339096
2015-09-29,54.75,54.75,53.75,54.25,651262
2015-09-30,55.0,55.25,54.25,54.75,1373534
2015-10-01,55.0,55.08,54.5,55.0,1036257
2015-10-02,55.0,55.0,54.59,54.75,868255
2015-10-05,55.0,55.5,54.75,55.5,640801
2015-10-06,55.0,55.0,54.5,55.0,315118
2015-10-07,55.0,55.0,54.5,55.0,566141
2015-10-08,55.0,55.0,54.5,55.0,353298
2015-10-09,54.75,54.75,54.5,54.75,1282797
2015-10-12,54.75,54.75,53.75,54.0,380236
2015-10-13,54.0,54.5,54.0,54.3,1300458
2015-10-14,55.0,55.0,53.5,54.0,1676748
2015-10-15,54.0,55.0,53.75,54.5,4560723
2015-10-16,54.25,55.0,54.0,54.5,5522386
2015-10-19,55.25,55.5,54.5,55.5,3461953
2015-10-20,55.0,55.25,54.31,54.5,3926387
2015-10-21,55.0,55.75,54.75,55.0,29473239
2015-10-22,55.0,55.0,54.0,54.75,2338716
2015-10-23,55.0,55.25,54.5,55.25,5167199
2015-10-26,55.25,55.25,55.0,55.25,691992
2015-10-27,55.0,55.36,55.0,55.25,1175201
2015-10-28,55.0,55.25,55.0,55.25,692341
2015-10-29,55.25,57.0,55.25,57.0,1436991
2015-10-30,56.25,56.97,56.0,56.25,1005266
2015-11-02,55.5,56.75,55.5,56.31,1583639
2015-11-03,56.75,57.25,56.56,57.0,1706540
2015-11-04,58.0,58.0,56.25,57.55,1621313
2015-11-05,57.25,57.45,56.5,57.01,1435987
2015-11-06,57.25,57.75,56.75,57.5,934117
2015-11-09,57.0,57.5,56.75,57.2,853169
2015-11-10,57.25,57.5,55.5,56.12,4759191
2015-11-11,55.75,56.25,55.5,55.5,343561
2015-11-12,56.0,56.25,55.68,56.25,893296
2015-11-13,55.5,55.75,54.5,55.25,1354119
2015-11-16,54.5,55.31,54.5,55.0,536201
2015-11-17,55.5,56.75,55.0,56.25,953228
2015-11-18,55.5,55.94,55.0,55.25,775533
2015-11-19,56.5,56.5,54.5,54.75,701833
2015-11-20,54.75,55.25,54.5,54.5,1146749
2015-11-23,55.0,55.0,54.42,54.5,254197
2015-11-24,54.75,55.0,53.25,53.75,822571
2015-11-25,54.0,54.5,53.75,54.0,1202215
2015-11-26,54.5,55.25,54.0,55.25,587876
2015-11-27,55.5,55.5,54.75,55.5,725012
2015-11-30,54.75,55.5,54.0,54.5,1409962
2015-12-01,55.25,56.75,54.25,56.0,1900985
2015-12-02,57.0,57.0,55.25,56.25,1774852
2015-12-03,56.5,56.5,55.5,56.25,499932
2015-12-04,56.5,57.5,56.25,57.02,1394693
2015-12-07,57.0,57.5,56.25,56.25,1416540
2015-12-08,56.0,56.75,56.0,56.25,457102
2015-12-09,56.5,56.5,56.0,56.25,370989
2015-12-10,56.0,56.5,56.0,56.25,509464
2015-12-11,55.5,56.71,55.5,55.5,1095912
2015-12-14,56.0,56.0,54.5,54.5,708708
2015-12-15,55.0,55.0,54.19,55.0,429920
2015-12-16,54.75,55.25,54.19,55.0,1495900
2015-12-18,56.0,57.5,55.0,56.5,21942774
2015-12-21,56.25,56.45,55.5,56.1,596887
2015-12-22,56.4,56.4,54.6,55.0,645736
2015-12-23,56.0,56.0,54.9,55.1,510157
2015-12-24,55.0,55.5,55.0,55.5,105005
2015-12-29,54.6,56.2,54.6,56.05,454891
2015-12-30,55.25,56.4,55.25,55.5,148336
2015-12-31,56.05,56.05,55.05,55.3,284160
2016-01-04,55.0,55.8,54.65,55.25,522842
2016-01-05,55.95,56.0,54.75,55.0,1408490
2016-01-06,54.75,55.05,54.55,55.0,522334
2016-01-07,54.7,55.2,54.0,55.04,1576818
2016-01-08,54.1,54.95,54.1,54.5,830986
2016-01-11,55.25,56.0,54.4,55.0,1066494
2016-01-12,55.7,55.95,54.65,54.85,1621342
2016-01-13,54.6,55.0,54.4,54.9,886187
2016-01-14,55.0,55.0,54.47,54.9,1445589
2016-01-15,55.0,55.0,53.0,53.0,1097506
2016-01-18,53.15,53.61,52.0,52.0,636662
2016-01-19,52.0,53.45,52.0,53.0,2028929
2016-01-20,53.0,53.21,52.2,52.6,1272076
2016-01-21,52.0,52.9,52.0,52.65,1426850
2016-01-22,52.0,52.8,52.0,52.7,1461135
2016-01-25,53.5,53.5,52.25,52.65,787851
2016-01-26,52.0,53.9,52.0,53.6,543326
2016-01-27,52.7,54.05,52.6,54.0,769581
2016-01-28,52.75,55.0,52.75,54.0,965189
2016-01-29,53.65,54.65,53.65,54.5,1380776
2016-02-01,54.6,55.2,54.2,55.2,949756
2016-02-02,53.65,56.0,53.65,55.6,1055310
2016-02-03,54.85,56.25,54.85,55.53,1573476
2016-02-04,54.85,56.75,54.85,56.0,1328345
2016-02-05,55.55,57.55,55.55,57.0,817580
2016-02-08,56.4,57.66,56.4,57.0,1071840
2016-02-09,56.5,57.2,55.45,55.6,1282430
2016-02-10,56.2,56.2,54.3,54.3,1628188
2016-02-11,54.95,55.5,53.75,55.5,1055845
2016-02-12,54.4,55.85,53.85,54.15,1278995
2016-02-15,55.0,55.0,53.0,53.2,832809
2016-02-16,53.1,53.1,52.0,52.1,1458356
2016-02-17,52.15,55.15,52.15,55.15,1382787
2016-02-18,55.0,55.0,53.5,54.1,1089781
2016-02-19,53.55,54.4,53.3,53.55,365787
2016-02-22,53.0,54.45,53.0,53.2,716849
2016-02-23,52.95,54.45,52.95,53.7,734682
2016-02-24,53.2,54.1,53.1,53.1,625973
2016-02-25,52.85,54.0,52.7,52.7,720267
2016-02-26,53.75,54.05,52.45,52.45,777312
2016-02-29,52.45,52.55,50.0,50.05,1707419
2016-03-01,50.8,52.1,50.8,52.1,1139866
2016-03-02,52.4,53.25,52.0,53.25,1607229
2016-03-03,52.0,53.95,52.0,53.85,894844
2016-03-04,54.0,54.0,52.05,52.7,779709
2016-03-07,51.85,52.8,51.85,52.45,660176
2016-03-08,51.85,53.1,51.85,53.05,669635
2016-03-09,52.5,53.15,52.5,52.8,581638
2016-03-10,53.0,53.35,52.43,53.0,760859
2016-03-11,53.1,54.65,52.86,54.5,988553
2016-03-14,54.0,54.75,53.95,54.25,549375
2016-03-15,54.5,54.5,53.55,53.55,1368552
2016-03-16,53.4,54.6,53.4,53.6,1412664
2016-03-17,53.9,53.9,53.0,53.7,1846679
2016-03-18,53.0,53.7,51.95,51.95,10676733
2016-03-21,53.0,53.05,51.65,52.2,1448494
2016-03-22,52.55,52.55,51.05,51.8,932893
2016-03-23,52.2,53.1,51.95,52.7,1136343
2016-03-24,52.5,53.1,52.25,52.25,1428704
2016-03-29,53.1,53.1,52.12,52.85,741219
2016-03-30,53.1,53.15,52.55,53.15,1144354
2016-03-31,53.1,53.7,53.0,53.1,957493
2016-04-01,54.0,54.0,53.0,53.1,767137
2016-04-04,53.45,53.45,53.05,53.1,602058
2016-04-05,53.7,53.7,53.1,53.6,1225137
2016-04-06,53.1,53.7,53.1,53.5,935793
2016-04-07,53.7,53.7,53.4,53.7,622269
2016-04-08,53.7,54.0,53.45,53.6,1388148
2016-04-11,54.0,54.35,53.42,54.3,593837
2016-04-12,54.35,54.65,52.4,54.65,554480
2016-04-13,54.7,55.17,54.45,54.6,610409
2016-04-14,54.8,55.6,54.6,54.75,338145
2016-04-15,55.5,56.91,55.35,56.38,1539745
2016-04-18,55.5,57.47,55.5,57.05,546804
2016-04-19,55.75,57.46,55.75,56.95,733903
2016-04-20,56.15,56.8,55.7,55.95,929071
2016-04-21,55.0,56.3,55.0,56.05,604475
2016-04-22,55.3,55.85,54.9,54.95,665248
2016-04-25,54.9,55.2,54.3,54.3,1102248
2016-04-26,55.6,55.95,55.0,55.7,924355
2016-04-27,55.95,57.0,55.25,56.8,847860
2016-04-28,56.0,57.45,56.0,56.95,468730
2016-04-29,56.05,56.75,55.95,56.65,689688
2016-05-03,55.9,57.45,55.9,57.45,739780
2016-05-04,56.25,57.35,55.7,56.0,1729383
2016-05-05,55.2,56.7,55.2,56.7,736135
2016-05-06,56.7,57.4,56.5,56.5,498365
2016-05-09,57.35,58.2,56.89,57.75,877474
2016-05-10,58.3,58.3,57.45,57.55,589675
2016-05-11,57.0,57.4,56.7,56.88,883238
2016-05-12,56.55,57.3,56.55,57.15,845918
2016-05-13,56.55,57.25,56.2,57.25,1027794
2016-05-16,57.65,58.35,57.2,58.0,1166016
2016-05-17,58.3,58.3,57.35,57.5,1169423
2016-05-18,57.25,57.95,56.9,57.0,1303426
2016-05-19,56.8,57.3,55.75,57.0,825836
2016-05-20,55.75,57.9,55.75,57.85,1153035
2016-05-23,56.7,57.8,56.7,56.95,992381
2016-05-24,57.9,57.9,56.65,57.0,489688
2016-05-25,56.4,57.45,56.1,57.05,811552
2016-05-26,57.45,57.6,56.9,57.25,469173
2016-05-27,56.1,57.3,56.1,56.8,859402
2016-05-31,56.5,57.25,55.75,57.0,1309543
2016-06-01,55.85,56.45,55.5,55.9,908116
2016-06-02,55.4,56.75,55.4,56.05,684685
2016-06-03,55.25,56.3,55.25,55.95,468208
2016-06-09,57.2,57.45,56.6,57.45,493451
2016-06-10,55.85,57.25,55.85,56.9,472458
2016-06-13,57.3,57.3,55.75,55.95,912624
2016-06-14,55.2,56.15,55.0,55.95,665328
2016-06-15,56.25,56.25,54.8,55.6,1459690
2016-06-16,54.65,56.0,53.7,53.95,2178321
2016-06-17,53.75,55.35,53.6,54.5,4074727
2016-06-20,55.05,57.15,55.05,56.8,1087178
2016-06-21,55.7,57.65,55.7,57.42,1130067
2016-06-22,56.15,57.75,56.15,57.75,645028
2016-06-23,56.2,59.5,56.2,59.5,885924
2016-06-24,55.5,55.5,52.55,52.65,2972089
2016-06-27,52.55,53.55,48.08,49.44,2481114
2016-06-28,50.55,52.0,50.35,52.0,1834141
2016-06-29,52.7,55.1,52.15,54.9,1614386
2016-06-30,55.5,55.5,54.25,54.75,1475957
2016-07-01,54.2,56.35,54.2,56.0,1375140
2016-07-04,55.1,56.46,54.35,55.5,733538
2016-07-05,54.6,55.05,53.35,54.55,1341855
2016-07-06,53.65,54.45,51.71,53.4,1800244
2016-07-07,53.2,54.7,53.2,53.85,996076
2016-07-08,53.55,54.9,53.25,54.25,1126033
2016-07-11,54.95,56.9,54.45,56.35,718609
2016-07-12,56.0,57.13,55.45,55.97,1237266
2016-07-13,56.5,56.85,55.6,56.35,1423390
2016-07-14,56.9,57.0,55.0,56.35,1154462
2016-07-15,55.6,57.0,55.25,57.0,1001007
2016-07-18,56.0,57.95,56.0,57.0,682359
2016-07-19,56.75,57.75,56.45,57.15,487770
2016-07-20,56.3,59.0,56.3,58.0,732059
2016-07-21,59.0,59.0,57.4,58.25,407242
2016-07-22,58.9,58.9,57.0,57.55,703247
2016-07-25,58.0,59.0,57.45,58.7,769518
2016-07-26,58.0,58.75,57.75,58.25,479364
2016-07-27,58.9,58.96,57.3,57.95,791995
2016-07-28,59.0,59.15,57.9,58.65,775597
2016-07-29,57.9,58.95,57.65,58.85,682523
2016-08-01,57.65,59.35,57.65,59.1,649563
2016-08-02,59.5,59.5,58.2,59.15,766439
2016-08-03,58.8,59.5,58.5,59.0,681266
2016-08-04,59.2,59.2,58.3,58.5,693436
2016-08-05,59.0,59.0,58.3,58.6,607505
2016-08-08,59.0,59.1,57.65,58.0,646281
2016-08-09,58.95,58.95,58.0,58.3,239558
2016-08-10,58.95,58.95,57.6,57.9,1088741
2016-08-11,58.75,58.75,57.25,57.9,1088557
2016-08-12,58.35,58.35,57.14,58.0,530821
2016-08-15,57.95,58.15,57.0,57.95,456392
2016-08-16,57.25,58.8,57.2,57.7,700436
2016-08-17,58.3,58.3,56.8,56.95,215110
2016-08-18,56.8,57.76,56.8,57.15,184816
2016-08-19,58.3,58.75,57.25,58.75,664306
2016-08-22,58.2,59.0,57.85,59.0,462853
2016-08-23,59.0,59.1,58.45,58.7,849039
2016-08-24,58.25,58.9,58.25,58.45,718692
2016-08-25,58.8,58.8,56.8,58.65,824032
2016-08-26,58.75,59.0,58.5,58.6,455154
