Date,Open,High,Low,Close,Volume
2014-06-20,190.0,192.0,189.0,190.19,238961
2014-06-23,190.25,190.25,188.0,190.0,212430
2014-06-24,190.0,190.0,190.0,190.0,40363
2014-06-25,188.0,190.0,185.0,185.0,183868
2014-06-26,187.0,188.0,185.0,185.0,83021
2014-06-27,185.5,189.75,183.0,185.5,172572
2014-06-30,185.0,197.69,185.0,190.0,194707
2014-07-01,195.0,196.38,191.0,191.0,8545
2014-07-02,190.0,194.12,190.0,194.0,3764
2014-07-03,198.0,205.0,198.0,200.0,16451
2014-07-04,200.25,200.25,190.0,200.0,12019
2014-07-07,195.0,195.0,185.25,189.0,81355
2014-07-08,189.0,193.0,189.0,189.0,77958
2014-07-09,190.0,190.25,188.01,190.0,112354
2014-07-10,190.0,194.25,189.99,190.0,1701
2014-07-11,188.25,195.0,188.25,195.0,2810
2014-07-14,194.75,196.0,191.5,195.0,14385
2014-07-15,195.0,210.0,194.75,200.0,235715
2014-07-16,199.25,205.0,196.57,199.0,71243
2014-07-17,198.0,199.0,196.0,199.0,33675
2014-07-18,200.0,205.0,196.63,200.75,27849
2014-07-21,200.0,217.75,199.75,211.0,129740
2014-07-22,215.0,225.0,215.0,218.0,18404
2014-07-23,221.75,230.69,220.0,222.5,94073
2014-07-24,232.0,237.75,218.0,218.0,77929
2014-07-25,220.0,228.0,216.78,220.0,51268
2014-07-28,220.0,231.75,218.95,219.25,24277
2014-07-29,215.0,219.5,215.0,219.5,5436
2014-07-30,220.25,223.0,211.0,218.75,3149
2014-07-31,215.0,221.5,212.5,219.0,15942
2014-08-01,214.75,218.5,214.28,217.38,8472
2014-08-04,220.0,233.05,219.5,220.0,132734
2014-08-05,225.0,233.95,222.0,225.5,101126
2014-08-06,235.0,235.0,225.0,230.0,19416
2014-08-07,230.25,235.0,225.25,232.0,17052
2014-08-08,235.0,248.0,234.75,235.0,48153
2014-08-11,244.75,250.0,239.25,242.0,101869
2014-08-12,240.0,245.0,240.0,240.75,55938
2014-08-13,245.0,245.0,238.33,240.0,40970
2014-08-14,245.0,248.0,242.0,246.0,74743
2014-08-15,250.0,259.9,247.65,252.0,171427
2014-08-18,254.0,265.0,251.8,262.0,48338
2014-08-19,265.0,270.0,259.95,261.0,62647
2014-08-20,262.5,275.0,260.0,275.0,113670
2014-08-21,270.0,275.0,269.66,273.0,21427
2014-08-22,270.0,275.96,265.5,266.6,82534
2014-08-26,265.0,272.92,260.0,269.5,77895
2014-08-27,269.5,271.0,263.0,265.0,41833
2014-08-28,265.0,269.0,264.94,268.46,3550
2014-08-29,265.0,284.66,262.0,270.0,194054
2014-09-01,272.0,294.9,272.0,294.5,166366
2014-09-02,292.0,292.0,285.75,286.5,29588
2014-09-03,284.75,294.0,284.74,287.5,12536
2014-09-04,285.0,300.0,285.0,292.25,51317
2014-09-05,297.0,299.82,286.25,295.0,142825
2014-09-08,294.0,297.0,293.0,294.5,50053
2014-09-09,295.25,298.0,288.0,295.0,55302
2014-09-10,292.25,297.75,285.25,290.0,131198
2014-09-11,289.0,295.0,285.0,285.0,34629
2014-09-12,295.0,295.0,285.0,292.0,74651
2014-09-15,293.0,293.0,286.5,288.0,40196
2014-09-16,291.75,292.0,285.0,290.0,8146
2014-09-17,282.0,292.0,282.0,292.0,21992
2014-09-18,291.0,292.69,290.14,292.0,5822
2014-09-19,295.0,297.0,277.0,285.0,1278090
2014-09-22,275.25,286.31,271.5,275.0,20156
2014-09-23,273.0,279.0,270.0,278.75,72866
2014-09-24,279.0,279.0,270.5,278.75,27962
2014-09-25,275.0,277.5,271.38,277.5,132335
2014-09-26,278.0,278.0,271.2,277.5,2093
2014-09-29,280.0,280.0,276.62,277.5,82816
2014-09-30,277.5,278.5,272.23,277.0,22187
2014-10-01,279.75,280.0,271.0,280.0,16131
2014-10-02,280.0,280.0,266.24,271.0,137260
2014-10-03,274.0,274.5,270.0,273.0,30850
2014-10-06,273.0,279.0,270.0,279.0,21826
2014-10-07,278.5,279.0,273.0,275.0,40435
