Date,Open,High,Low,Close,Volume
2012-01-03,910.0,934.5,904.0,933.0,1351386
2012-01-04,928.5,945.0,928.38,934.0,1067586
2012-01-05,939.0,944.5,930.0,933.5,998671
2012-01-06,936.5,969.0,933.0,963.0,1142747
2012-01-09,964.5,973.0,960.5,965.5,1051371
2012-01-10,971.5,994.5,967.5,992.0,1293212
2012-01-11,987.0,992.5,969.5,979.5,1231985
2012-01-12,977.0,995.0,974.5,992.5,714021
2012-01-13,998.0,1008.0,966.0,976.0,1422643
2012-01-16,977.0,989.0,965.0,977.0,983993
2012-01-17,991.0,991.0,972.0,981.0,539262
2012-01-18,976.0,985.0,967.0,983.0,643696
2012-01-19,987.5,997.0,976.5,997.0,952621
2012-01-20,1000.0,1000.0,979.5,990.0,1044019
2012-01-23,991.5,1006.0,988.0,1004.0,1261649
2012-01-24,997.0,1012.0,995.5,1003.0,1211072
2012-01-25,1002.0,1011.0,1001.0,1008.0,908829
2012-01-26,1010.0,1050.0,1010.0,1035.0,1012163
2012-01-27,1032.0,1048.0,1020.0,1023.0,1666646
2012-01-30,1019.0,1020.0,995.5,1002.0,998705
2012-01-31,1007.0,1017.0,999.5,1004.0,1268841
2012-02-01,1007.0,1023.0,1005.0,1021.0,1512122
2012-02-02,1022.0,1040.0,1016.0,1036.0,1342071
2012-02-03,1035.0,1057.0,1030.0,1055.0,1360358
2012-02-06,1057.0,1069.07,1050.0,1063.0,779100
2012-02-07,1067.0,1070.0,1043.0,1047.0,1376935
2012-02-08,1054.0,1081.0,1047.0,1071.0,1885312
2012-02-09,1080.0,1110.0,1076.0,1110.0,2168818
2012-02-10,1107.0,1123.0,1092.0,1095.0,2907353
2012-02-13,1101.0,1119.0,1099.0,1112.0,801542
2012-02-14,1107.0,1115.0,1096.0,1100.0,1047325
2012-02-15,1106.0,1110.0,1093.0,1098.0,980726
2012-02-16,1088.0,1097.0,1075.0,1078.0,1128021
2012-02-17,1088.0,1101.0,1081.0,1096.0,1004782
2012-02-20,1106.0,1124.0,1101.44,1108.0,806662
2012-02-21,1105.0,1125.0,1086.0,1111.0,1838410
2012-02-22,1115.0,1115.0,1104.0,1115.0,1579272
2012-02-23,1109.0,1115.0,1083.0,1088.0,1757530
2012-02-24,1096.0,1124.0,1088.0,1123.0,1327314
2012-02-27,1119.0,1123.74,1109.0,1118.0,856136
2012-02-28,1122.0,1125.0,1112.0,1118.0,1191994
2012-02-29,1123.0,1123.0,1099.0,1106.0,1398828
2012-03-01,1103.0,1124.0,1097.0,1122.0,926933
2012-03-02,1118.0,1123.0,1103.0,1106.0,1016031
2012-03-05,1105.0,1124.28,1098.0,1109.0,948867
2012-03-06,1109.0,1109.0,1079.0,1079.0,1513835
2012-03-07,1081.0,1113.0,1079.1,1106.0,945797
2012-03-08,1108.0,1142.0,1108.0,1136.0,1484200
2012-03-09,1134.0,1155.0,1133.59,1149.0,864793
2012-03-12,1152.0,1172.87,1151.0,1164.0,1158873
2012-03-13,1169.0,1182.0,1162.0,1171.0,1334282
2012-03-14,1173.0,1189.0,1168.0,1168.0,1015289
2012-03-15,1162.0,1178.0,1158.0,1163.0,952780
2012-03-16,1167.0,1178.0,1158.0,1165.0,1110610
2012-03-19,1167.0,1169.0,1150.0,1168.0,1256008
2012-03-20,1165.0,1165.0,1139.0,1145.0,749922
2012-03-21,1147.0,1164.0,1141.0,1143.0,1075515
2012-03-22,1125.0,1127.0,1097.34,1109.0,1333902
2012-03-23,1110.0,1111.42,1094.72,1103.0,1145483
2012-03-26,1110.0,1127.0,1102.0,1122.0,1278768
2012-03-27,1122.0,1140.0,1114.0,1116.0,1023173
2012-03-28,1110.0,1123.0,1099.0,1113.0,916893
2012-03-29,1108.0,1113.72,1083.0,1088.0,990212
2012-03-30,1090.0,1111.63,1090.0,1108.0,1358555
2012-04-02,1108.0,1142.0,1102.0,1141.0,1394782
2012-04-03,1139.0,1149.0,1136.0,1142.0,996219
2012-04-04,1137.0,1144.0,1104.0,1109.0,802820
2012-04-05,1108.0,1132.0,1103.0,1128.0,804433
2012-04-10,1108.0,1113.0,1077.0,1077.0,924998
