Date,Open,High,Low,Close,Volume
2012-01-03,628.5,647.0,623.0,645.5,196634
2012-01-04,645.0,655.5,641.5,655.0,165547
2012-01-05,655.0,660.0,650.0,651.5,106856
2012-01-06,651.5,655.0,648.0,653.0,112042
2012-01-09,658.5,659.28,647.5,648.0,82658
2012-01-10,652.5,663.0,651.0,651.0,556979
2012-01-11,652.5,663.0,652.5,661.0,547284
2012-01-12,666.0,684.5,650.5,683.5,503203
2012-01-13,685.0,702.0,681.5,688.0,245680
2012-01-16,694.0,699.5,685.0,693.0,146325
2012-01-17,699.0,701.14,688.0,690.0,214650
2012-01-18,690.0,699.0,683.5,692.0,97498
2012-01-19,694.5,697.0,679.25,681.0,384750
2012-01-20,684.0,690.5,681.0,683.5,102477
2012-01-23,684.0,687.5,676.4,680.0,83123
2012-01-24,678.5,681.5,670.0,678.0,111478
2012-01-25,682.0,689.0,675.0,681.5,69510
2012-01-26,685.5,698.0,685.0,697.0,73095
2012-01-27,693.0,702.0,690.04,701.5,132060
2012-01-30,699.0,702.0,693.5,695.5,143295
2012-01-31,701.5,705.16,696.5,701.0,81221
2012-02-01,705.0,729.5,705.0,724.0,274165
2012-02-02,724.0,728.0,718.5,726.5,129432
2012-02-03,718.5,737.0,716.0,737.0,224544
2012-02-06,736.0,742.97,722.0,724.0,127370
2012-02-07,726.0,726.0,715.5,725.0,192906
2012-02-08,728.0,730.0,722.0,723.5,262941
2012-02-09,713.5,732.57,697.0,732.5,291999
2012-02-10,718.0,749.5,718.0,749.0,794918
2012-02-13,750.5,772.0,750.5,759.0,117787
2012-02-14,758.0,762.0,750.0,759.0,201151
2012-02-15,762.5,770.0,757.0,765.0,175937
2012-02-16,758.5,767.5,747.0,764.5,119271
2012-02-17,769.0,777.5,762.0,763.5,56193
2012-02-20,766.5,770.0,761.41,765.5,66101
2012-02-21,767.5,769.5,759.0,761.0,79438
2012-02-22,762.0,764.0,758.5,759.5,120291
2012-02-23,758.5,772.5,753.0,771.5,211938
2012-02-24,773.5,780.0,770.5,775.0,141625
2012-02-27,775.0,782.03,759.63,773.5,100872
2012-02-28,771.0,778.5,760.5,763.5,90304
2012-02-29,763.0,768.5,751.5,754.0,141386
2012-03-01,754.0,773.0,748.35,770.0,162362
2012-03-02,764.0,770.72,759.0,768.0,195217
2012-03-05,768.5,783.0,761.5,776.0,227229
2012-03-06,775.5,779.0,753.0,755.5,231845
2012-03-07,755.0,780.0,755.0,770.0,267841
2012-03-08,771.5,796.0,768.0,783.5,356277
2012-03-09,782.5,802.0,777.0,796.0,126932
2012-03-12,794.5,799.96,783.5,783.5,59899
2012-03-13,787.0,798.5,781.5,794.0,108124
2012-03-14,797.5,806.0,791.5,794.0,96900
2012-03-15,794.5,799.5,787.5,795.0,175309
2012-03-16,795.0,804.0,789.66,799.0,353925
2012-03-19,799.5,802.0,790.5,793.5,84173
2012-03-20,784.0,791.5,775.0,778.0,125430
2012-03-21,779.5,783.0,771.0,780.0,140819
2012-03-22,778.0,779.0,768.92,776.5,118108
2012-03-23,777.0,780.0,765.0,776.5,98830
2012-03-26,777.5,795.5,777.5,787.0,69791
2012-03-27,794.5,799.5,781.5,792.0,117190
2012-03-28,783.0,786.14,747.75,749.0,140897
2012-03-29,747.5,749.5,728.5,728.5,181597
2012-03-30,733.0,739.5,727.5,734.0,89093
2012-04-02,736.0,736.12,722.0,736.0,187406
2012-04-03,733.5,745.96,732.5,736.0,179055
2012-04-04,734.0,738.5,715.0,718.0,116834
2012-04-05,719.5,724.9,710.0,715.0,94533
2012-04-10,711.5,712.0,697.5,708.0,130222
2012-04-11,701.0,728.0,701.0,720.0,177342
2012-04-12,717.5,728.0,714.0,724.0,111953
2012-04-13,724.5,742.0,721.5,732.0,140754
2012-04-16,728.0,737.5,725.0,733.5,125065
2012-04-17,732.0,742.0,727.0,740.0,130913
2012-04-18,739.5,739.5,728.0,738.5,131385
2012-04-19,742.0,760.0,730.5,760.0,171901
2012-04-20,758.0,791.5,752.5,756.0,511690
2012-04-23,750.5,750.5,708.5,718.5,159594
2012-04-24,715.5,730.0,714.5,727.0,134198
2012-04-25,736.5,736.5,724.0,725.0,84055
2012-04-26,730.0,764.0,730.0,734.5,124531
2012-04-27,730.5,741.0,719.5,733.0,156868
2012-04-30,735.5,735.5,724.5,727.0,79268
2012-05-01,725.0,744.5,719.5,740.5,57553
2012-05-02,741.5,743.0,717.0,725.0,121190
2012-05-03,725.0,747.5,724.0,740.5,70960
2012-05-04,739.0,739.0,698.5,702.5,94260
2012-05-08,707.0,716.51,680.5,681.5,112413
2012-05-09,684.5,684.5,663.5,681.5,122428
2012-05-10,685.0,690.0,672.0,677.5,72863
2012-05-11,676.0,690.0,673.5,690.0,62100
2012-05-14,683.0,684.5,661.5,666.0,55029
2012-05-15,667.5,679.5,666.0,672.5,100559
2012-05-16,668.0,682.5,661.0,674.0,77979
2012-05-17,675.5,686.0,664.0,666.5,84364
2012-05-18,663.0,663.0,641.5,641.5,69386
2012-05-21,639.5,647.0,626.5,628.5,108294
2012-05-22,634.0,644.5,628.5,639.5,139474
2012-05-23,633.0,642.5,632.5,642.5,121292
2012-05-24,648.5,653.33,642.4,651.0,54235
2012-05-25,651.0,656.0,645.0,650.0,61949
2012-05-28,666.0,666.0,651.5,660.5,47639
2012-05-29,662.5,674.0,659.0,671.5,48202
2012-05-30,666.5,677.5,661.0,664.5,140664
2012-05-31,668.0,681.5,655.5,668.0,160186
2012-06-01,669.5,669.5,637.0,637.5,68503
2012-06-06,643.0,648.5,636.5,643.5,63657
2012-06-07,654.0,657.5,650.0,653.5,151373
2012-06-08,656.0,694.5,655.0,694.5,182712
