Date,Open,High,Low,Close,Volume
2012-02-13,172.0,172.75,171.0,171.0,6820.0
2012-02-14,172.25,173.0,171.75,172.25,10000.0
2012-02-15,173.75,176.0,173.75,174.5,83466.0
2012-02-16,174.0,174.1,170.5,174.1,13035.0
2012-02-17,175.0,176.75,172.25,176.5,78309.0
2012-02-20,178.5,178.5,175.35,178.0,37820.0
2012-02-21,175.5,177.46,175.0,176.0,38364.0
2012-02-22,175.0,179.32,175.0,179.0,37857.0
2012-02-23,179.32,179.32,175.0,176.5,181500.0
2012-02-24,176.5,177.5,176.5,176.5,51496.0
2012-02-27,176.0,176.0,174.5,175.5,3500.0
2012-02-28,176.5,178.0,176.5,178.0,8959.0
2012-02-29,178.0,181.75,178.0,180.5,266981.0
2012-03-01,181.75,181.75,179.88,179.88,1.0
2012-03-02,182.0,183.0,179.88,181.44,12852.0
2012-03-05,182.5,182.5,178.32,180.5,6240.0
2012-03-06,177.0,177.1,177.0,177.0,53661.0
2012-03-07,178.5,179.0,175.04,179.0,3930.0
2012-03-08,180.0,181.2,178.21,178.75,83323.0
2012-03-09,180.0,180.38,178.0,179.75,8824.0
2012-03-12,178.5,181.0,177.5,178.5,16525.0
2012-03-13,178.25,178.85,178.25,178.5,41500.0
2012-03-14,179.0,180.25,179.0,179.6,10964.0
2012-03-15,179.25,180.0,179.25,180.0,8658.0
2012-03-16,178.75,180.0,177.55,178.5,23983.0
2012-03-19,176.0,179.34,175.71,176.0,11512.0
2012-03-20,176.0,176.0,173.0,173.51,34628.0
2012-03-21,173.0,176.5,173.0,176.5,4524.0
2012-03-22,173.51,174.5,172.0,174.0,20781.0
2012-03-23,173.0,175.75,171.76,173.0,996.0
2012-03-26,171.5,173.8,171.0,173.0,48713.0
2012-03-27,174.0,176.0,173.0,176.0,177722.0
2012-03-28,174.5,176.0,173.0,176.0,138722.0
2012-03-29,177.25,177.25,172.25,175.0,107811.0
2012-03-30,173.0,175.0,171.01,175.0,308284.0
2012-04-02,173.5,176.0,173.5,175.0,27249.0
2012-04-03,177.0,177.0,174.51,176.0,28380.0
2012-04-04,172.89,174.89,172.89,173.51,75172.0
2012-04-05,174.51,177.0,175.0,177.0,38200.0
2012-04-10,175.5,175.5,170.25,170.25,10674.0
2012-04-11,,,,171.2,0.0
2012-04-12,172.5,172.5,170.01,172.5,21250.0
2012-04-13,174.5,175.5,174.0,175.5,17936.0
2012-04-16,174.0,176.5,174.0,176.5,34243.0
2012-04-17,176.0,176.0,173.0,174.12,21271.0
2012-04-18,174.0,176.89,171.75,171.75,15369.0
2012-04-19,173.0,175.0,173.0,174.5,3861.0
2012-04-20,,,,171.78,0.0
2012-04-23,170.0,170.0,169.0,169.0,5813.0
2012-04-24,169.0,171.89,168.77,170.0,27768.0
