Date,Open,High,Low,Close,Volume
2015-03-19,261.0,273.75,235.0,263.86,116564311
2015-03-20,262.0,269.35,260.0,264.25,9218572
2015-03-23,266.5,266.5,260.0,261.87,3647007
2015-03-24,264.75,267.0,261.5,266.27,3636221
2015-03-25,266.5,266.5,259.81,264.5,1871447
2015-03-26,260.75,260.75,256.0,257.44,1724727
2015-03-27,260.0,262.75,250.0,251.75,1730768
2015-03-30,255.0,256.0,250.25,252.91,320470
2015-03-31,256.75,259.75,249.6,253.0,1501643
2015-04-01,251.75,260.0,251.75,259.0,1934106
2015-04-02,264.25,265.0,258.25,260.0,1781872
2015-04-07,265.0,270.0,262.5,267.25,343197
2015-04-08,268.25,269.0,263.0,263.5,400479
2015-04-09,266.0,266.64,263.0,264.5,249399
2015-04-10,266.0,270.0,260.5,266.5,417973
2015-04-13,268.0,271.0,265.0,270.5,977225
2015-04-14,272.0,276.0,270.0,273.0,683147
2015-04-15,272.25,273.5,266.75,271.0,367169
2015-04-16,274.75,274.75,270.0,271.0,259735
2015-04-17,270.75,274.5,270.0,272.75,464367
2015-04-20,270.0,275.0,270.0,274.0,247382
2015-04-21,275.0,275.0,269.5,272.75,580745
2015-04-22,266.25,270.0,265.0,265.75,314708
2015-04-23,265.25,265.75,260.25,262.0,230004
2015-04-24,256.5,272.0,256.5,270.0,1018916
2015-04-27,273.75,279.5,272.75,279.5,678085
2015-04-28,279.75,280.0,272.5,274.75,393596
2015-04-29,280.0,280.0,270.75,271.5,778022
2015-04-30,270.0,273.0,269.5,272.0,509747
2015-05-01,272.75,276.25,268.0,270.0,828765
2015-05-05,277.0,277.0,269.0,273.5,982498
2015-05-06,267.0,275.0,267.0,274.25,893766
2015-05-07,275.0,277.0,261.75,269.0,1287322
2015-05-08,272.0,277.25,270.25,275.0,557537
2015-05-11,275.0,285.0,272.5,284.5,695735
2015-05-12,284.5,292.0,284.0,288.0,680453
2015-05-13,292.75,293.75,285.95,290.0,890045
