Date,Open,High,Low,Close,Volume
2012-01-03,310.0,310.0,305.0,305.0,18720.0
2012-01-04,309.25,312.72,305.12,312.0,41659.0
2012-01-05,311.5,321.17,310.0,321.0,508438.0
2012-01-06,313.0,313.0,309.0,309.0,23108.0
2012-01-09,314.91,315.04,0.0,310.75,5843.0
2012-01-10,308.0,314.78,308.0,308.0,31786.0
2012-01-11,308.0,311.76,308.0,308.0,113146.0
2012-01-12,308.0,316.75,308.0,316.75,27996.0
2012-01-13,308.25,308.25,308.25,308.25,8484.0
2012-01-16,313.44,314.13,0.0,314.13,1990.0
2012-01-17,308.0,314.13,300.0,300.0,28568.0
2012-01-18,305.0,312.0,302.75,311.0,36501.0
2012-01-19,315.0,316.5,306.06,312.0,87096.0
2012-01-20,319.0,319.0,313.0,316.5,76452.0
2012-01-23,312.0,318.0,312.0,314.0,5525.0
2012-01-24,320.0,322.0,315.0,315.0,380812.0
2012-01-25,316.12,321.7,315.0,315.0,10190.0
2012-01-26,320.0,325.62,320.0,320.0,39259.0
2012-01-27,322.0,322.0,318.0,318.0,12765.0
2012-01-30,318.0,320.75,314.0,314.0,13303.0
2012-01-31,322.0,324.54,320.0,320.0,20459.0
2012-02-01,325.0,325.0,318.0,320.0,12236.0
2012-02-02,318.0,318.0,291.6,307.0,1695118.0
2012-02-03,305.0,309.0,300.28,309.0,56260.0
2012-02-06,309.0,309.0,300.0,302.0,17028.0
2012-02-07,308.5,310.0,302.0,310.0,40626.0
2012-02-08,304.05,304.0,304.0,304.0,4315.0
2012-02-09,304.0,309.2,302.0,302.0,22026.0
2012-02-10,300.0,305.0,292.05,300.6,145037.0
2012-02-13,298.5,303.0,296.2,298.5,6098.0
2012-02-14,296.0,303.0,296.0,300.0,9815.0
2012-02-15,298.0,301.5,293.0,295.5,41883.0
2012-02-16,298.0,305.0,292.05,303.35,34253.0
2012-02-17,310.0,314.9,302.48,308.0,9731.0
2012-02-20,305.0,310.06,305.0,305.0,346.0
2012-02-21,305.0,306.1,303.0,303.0,2292.0
2012-02-22,303.0,305.4,303.0,303.0,10957.0
2012-02-23,305.0,309.0,305.0,308.0,7828.0
2012-02-24,309.0,309.0,305.0,305.0,286.0
2012-02-27,303.0,305.0,302.0,303.0,2844.0
2012-02-28,313.0,320.0,310.0,310.0,51198.0
2012-02-29,310.7,314.94,310.0,310.0,290.0
2012-03-01,310.0,320.0,310.0,320.0,2671.0
2012-03-02,315.0,317.0,313.7,315.0,2542.0
2012-03-05,,,,313.0,0.0
2012-03-06,313.0,315.0,307.0,307.0,17438.0
2012-03-07,306.0,309.75,295.0,295.0,16334.0
2012-03-08,300.0,312.0,299.5,305.25,63099.0
2012-03-09,303.0,305.0,301.25,303.0,24866.0
2012-03-12,301.0,304.62,301.0,304.0,367.0
2012-03-13,304.0,304.0,301.65,304.0,49.0
2012-03-14,304.0,313.0,302.65,309.75,13691.0
2012-03-15,308.0,310.0,304.0,308.75,10939.0
2012-03-16,303.0,305.0,299.0,301.5,16189.0
2012-03-19,301.0,301.0,300.0,301.0,2500.0
2012-03-20,305.0,308.5,303.0,307.5,4582.0
2012-03-21,,,,305.0,0.0
2012-03-22,303.0,303.5,295.0,300.0,21055.0
2012-03-23,300.0,300.0,296.0,296.0,9995.0
2012-03-26,296.0,296.25,295.56,296.0,559.0
2012-03-27,295.25,299.28,293.0,293.5,15712.0
2012-03-28,295.0,296.5,291.25,293.0,1750.0
2012-03-29,295.0,298.0,293.25,297.5,9203.0
2012-03-30,300.0,300.0,285.25,291.0,13284.0
2012-04-02,295.75,295.75,288.0,290.0,12672.0
2012-04-03,291.0,294.4,288.0,292.5,3389.0
2012-04-04,288.0,289.65,286.25,286.25,8485.0
2012-04-05,286.25,287.56,281.3,282.0,23800.0
2012-04-10,283.0,288.36,271.3,271.5,37604.0
2012-04-11,271.25,280.0,260.1,280.0,72220.0
2012-04-12,275.0,283.0,274.0,283.0,10878.0
2012-04-13,282.0,282.0,277.35,280.0,6658.0
2012-04-16,277.0,279.0,275.34,276.74,8.0
2012-04-17,275.0,275.0,270.35,272.75,10883.0
2012-04-18,274.5,275.0,270.25,271.35,5567.0
2012-04-19,275.0,275.0,257.0,264.0,78366.0
2012-04-20,265.0,285.0,258.44,281.0,37325.0
2012-04-23,283.0,284.0,278.0,278.75,1291.0
2012-04-24,281.0,282.67,280.0,280.0,280.0
2012-04-25,282.0,285.0,280.0,285.0,3538.0
2012-04-26,284.5,285.0,277.0,281.25,3264.0
2012-04-27,280.0,283.45,275.5,280.0,6240.0
2012-04-30,280.0,285.0,277.75,283.0,17265.0
2012-05-01,282.5,285.0,280.6,282.75,5068.0
2012-05-02,285.0,295.0,280.0,288.75,65229.0
2012-05-03,293.0,297.0,286.15,292.0,12235.0
2012-05-04,297.0,309.02,288.81,300.75,51880.0
2012-05-08,303.0,303.89,297.0,297.25,7972.0
2012-05-09,303.0,309.55,301.0,307.0,56885.0
2012-05-10,302.25,307.0,302.0,306.75,3469.0
2012-05-11,305.0,306.86,302.5,306.75,8314.0
2012-05-14,302.75,305.0,298.0,303.0,22116.0
2012-05-15,302.5,307.0,300.75,305.0,6532.0
2012-05-16,301.25,301.99,290.45,292.0,41579.0
2012-05-17,295.0,297.0,295.0,297.0,9121.0
2012-05-18,292.0,295.48,292.0,295.0,2654.0
2012-05-21,295.0,295.0,295.0,295.0,123.0
2012-05-22,294.0,296.0,292.0,294.0,114.0
2012-05-23,292.0,297.0,292.0,294.0,8482.0
2012-05-24,300.0,304.0,296.25,296.25,9330.0
2012-05-25,295.25,299.5,295.25,295.25,150.0
2012-05-28,295.0,295.0,295.0,295.0,199.0
2012-05-29,297.0,297.0,295.0,296.25,1360.0
2012-05-30,295.0,295.0,295.0,295.0,13979.0
2012-05-31,295.0,300.0,295.0,296.0,12106.0
2012-06-01,,,,299.0,0.0
2012-06-06,295.0,297.5,295.0,295.0,6386.0
2012-06-07,293.5,296.0,293.0,293.0,4174.0
2012-06-08,293.0,297.0,290.0,295.0,15602.0
2012-06-11,294.0,299.02,294.0,299.0,87.0
2012-06-12,295.0,300.0,295.0,296.5,3894.0
2012-06-13,300.0,305.0,296.0,300.0,1930.0
