Date,Open,High,Low,Close,Volume
2012-01-03,1552.0,1597.9,1534.7,1589.3,148784
2012-01-04,1603.0,1603.0,1575.0,1590.0,97696
2012-01-05,1590.0,1594.0,1541.0,1547.0,129123
2012-01-06,1554.0,1591.0,1550.0,1561.0,156263
2012-01-09,1578.0,1587.0,1545.0,1578.0,156142
2012-01-10,1596.0,1596.0,1563.0,1564.0,158185
2012-01-11,1540.0,1621.0,1540.0,1604.0,167759
2012-01-12,1598.0,1650.0,1598.0,1637.0,187953
2012-01-13,1627.73,1630.95,1596.8,1620.27,116422
2012-01-16,1609.0,1639.0,1605.0,1637.0,207843
2012-01-17,1657.0,1660.0,1625.0,1625.0,127137
2012-01-18,1622.0,1653.0,1617.0,1652.0,67009
2012-01-19,1663.0,1693.0,1648.0,1676.0,108922
2012-01-20,1679.0,1705.0,1674.0,1695.0,67829
2012-01-23,1700.3,1728.0,1687.7,1715.2,95399
2012-01-24,1707.0,1728.0,1681.0,1696.0,93665
2012-01-25,1706.0,1716.0,1677.0,1691.0,60893
2012-01-26,1731.0,1771.0,1715.0,1728.0,101112
2012-01-27,1704.53,1755.73,1702.53,1739.73,117013
2012-01-30,1730.13,1733.92,1683.2,1685.33,153022
2012-01-31,1710.0,1717.0,1680.0,1682.0,169937
2012-02-01,1694.0,1756.0,1683.0,1747.0,279173
2012-02-02,1744.0,1779.0,1739.0,1771.0,141425
2012-02-03,1773.0,1843.0,1773.0,1825.0,150368
2012-02-06,1825.07,1837.87,1810.85,1836.8,66337
2012-02-07,1851.0,1865.0,1819.0,1835.0,146692
2012-02-08,1831.0,1851.0,1808.0,1833.0,64018
2012-02-09,1833.0,1849.0,1819.0,1831.0,47389
2012-02-10,1836.0,1869.0,1831.0,1850.0,141752
2012-02-13,1863.0,1872.0,1818.0,1818.0,101198
2012-02-14,1819.0,1834.0,1809.0,1813.0,154968
2012-02-15,1826.13,1851.73,1814.14,1827.2,135267
2012-02-16,1818.0,1826.0,1810.0,1813.0,99866
2012-02-17,1825.0,1849.0,1808.0,1812.0,79712
2012-02-20,1778.1,1802.7,1753.1,1792.0,216288
2012-02-21,1795.2,1808.0,1774.04,1804.8,110181
2012-02-22,1806.0,1830.0,1791.0,1830.0,135490
2012-02-23,1826.0,1845.0,1819.0,1837.0,76906
2012-02-24,1850.0,1861.0,1836.0,1857.0,73312
2012-02-27,1846.4,1856.0,1832.4,1847.5,72552
2012-02-28,1852.0,1865.0,1835.0,1853.0,75122
2012-02-29,1850.0,1853.0,1812.0,1827.0,131249
2012-03-01,1828.0,1844.0,1820.0,1839.0,64691
2012-03-02,1840.0,1841.0,1818.0,1828.0,65617
2012-03-05,1820.0,1838.0,1812.0,1823.0,79298
2012-03-06,1831.0,1831.0,1764.0,1777.0,87510
2012-03-07,1774.0,1791.0,1753.0,1785.0,107754
2012-03-08,1786.67,1818.85,1779.2,1818.67,62507
2012-03-09,1817.0,1826.0,1779.0,1805.0,91329
2012-03-12,1801.0,1815.0,1791.0,1813.0,56995
2012-03-13,1824.0,1844.0,1818.0,1841.0,58485
2012-03-14,1854.0,1860.0,1794.0,1798.0,161294
2012-03-15,1802.0,1817.0,1745.0,1774.0,224070
2012-03-16,1773.0,1793.0,1764.0,1793.0,202073
2012-03-19,1793.0,1813.0,1765.0,1813.0,123008
2012-03-20,1803.0,1805.0,1757.0,1773.0,87406
2012-03-21,1777.0,1793.0,1743.0,1774.0,71023
2012-03-22,1766.0,1791.0,1751.0,1787.0,123988
2012-03-23,1785.6,1786.1,1750.4,1769.6,96173
2012-03-26,1783.0,1814.0,1764.0,1809.0,123367
2012-03-27,1818.67,1835.16,1813.33,1826.13,166031
