Date,Open,High,Low,Close,Volume
2012-01-03,3018.0,3050.0,2984.0,3050.0,3464890
2012-01-04,3059.0,3069.13,3017.0,3034.5,2747760
2012-01-05,3010.0,3030.13,2992.0,3009.5,3022255
2012-01-06,3014.5,3042.5,3009.5,3042.5,2101316
2012-01-09,3049.5,3049.5,3003.0,3009.0,2654630
2012-01-10,3017.0,3040.0,2985.0,3024.5,3393806
2012-01-11,3011.0,3050.25,3001.0,3049.0,2633022
2012-01-12,3057.0,3070.0,3042.0,3070.0,2796936
2012-01-13,3083.5,3084.5,3031.5,3047.0,2804776
2012-01-16,3037.5,3071.0,3033.0,3070.5,1064316
2012-01-17,3089.5,3101.5,3068.99,3101.5,1758473
2012-01-18,3105.5,3116.5,3091.5,3111.5,2814845
2012-01-19,3080.0,3096.49,3026.5,3070.0,4585864
2012-01-20,3069.5,3070.0,3025.0,3037.5,4231655
2012-01-23,3039.5,3074.0,3033.5,3069.5,2981992
2012-01-24,3059.0,3065.5,3022.37,3056.5,3032771
2012-01-25,3065.5,3070.0,3025.0,3035.0,2904919
2012-01-26,3035.0,3052.5,3023.5,3052.5,2734574
2012-01-27,3049.5,3064.0,3027.5,3036.0,2505392
2012-01-30,3020.5,3077.11,3014.51,3055.0,3032197
2012-01-31,3061.5,3073.5,3046.0,3054.5,3288161
2012-02-01,3051.5,3092.5,3045.5,3089.5,3225035
2012-02-02,3068.5,3069.5,2885.46,2984.0,6334012
2012-02-03,2967.5,3010.0,2874.6,3010.0,4650901
2012-02-06,3000.5,3009.53,2989.0,2997.0,2913194
2012-02-07,2999.0,3008.48,2967.42,3000.0,3140392
2012-02-08,3015.0,3015.0,2979.0,3010.0,2859211
2012-02-09,3019.5,3030.0,2980.0,2997.5,3317269
2012-02-10,2998.5,3003.0,2970.0,2979.0,2489386
2012-02-13,2996.0,3021.54,2979.0,3012.5,1761152
2012-02-14,2998.5,3036.0,2995.0,3017.5,2537921
2012-02-15,2915.5,3040.6,2880.5,2898.0,3257398
2012-02-16,2881.5,2981.3,2845.5,2856.0,2965617
2012-02-17,2857.0,2968.6,2836.5,2852.5,3456853
2012-02-20,2860.5,2869.4,2841.5,2843.5,2154821
2012-02-21,2839.5,2861.44,2833.0,2841.5,2152664
2012-02-22,2845.5,2853.5,2822.5,2838.0,1954357
2012-02-23,2843.5,2882.5,2836.0,2874.5,2294147
2012-02-24,2880.0,2902.0,2856.0,2856.0,2135542
2012-02-27,2838.0,2861.0,2813.5,2841.0,1827676
2012-02-28,2847.5,2848.0,2821.0,2824.5,2147553
2012-02-29,2832.5,2838.0,2797.5,2807.5,4323968
2012-03-01,2815.0,2828.6,2802.0,2822.5,2363978
2012-03-02,2826.5,2853.5,2812.0,2817.5,1888935
2012-03-05,2816.0,2866.0,2806.5,2841.0,2432035
2012-03-06,2850.0,2870.5,2806.0,2806.0,2814255
2012-03-07,2798.5,2841.45,2796.01,2824.0,1658676
2012-03-08,2827.5,2844.0,2819.5,2827.0,2671098
2012-03-09,2820.0,2874.5,2820.0,2864.0,2477632
2012-03-12,2861.0,2884.0,2859.0,2876.5,2073525
2012-03-13,2885.5,2892.5,2867.5,2885.0,2544656
2012-03-14,2891.0,2894.0,2858.5,2859.0,2334799
2012-03-15,2856.5,2871.0,2835.5,2846.5,2508011
2012-03-16,2848.5,2884.53,2825.5,2835.0,4152961
2012-03-19,2822.0,2861.0,2817.5,2858.0,1472743
2012-03-20,2845.0,2864.0,2827.01,2863.5,2230625
2012-03-21,2873.0,2883.0,2847.0,2851.5,2741764
2012-03-22,2860.0,2867.0,2822.5,2843.0,2981167
2012-03-23,2855.0,2865.15,2831.5,2840.0,1654916
2012-03-26,2839.0,2854.28,2819.0,2854.0,2986408
2012-03-27,2858.5,2864.0,2817.5,2830.5,1724280
2012-03-28,2806.0,2861.0,2806.0,2806.0,2520395
2012-03-29,2780.0,2813.0,2772.5,2778.5,2474383
2012-03-30,2792.0,2856.78,2775.22,2779.0,2973343
2012-04-02,2781.5,2825.0,2772.83,2825.0,1819706
2012-04-03,2849.5,2854.83,2828.0,2828.0,1572817
