Date,Open,High,Low,Close,Volume
2012-01-03,289.5,295.44,286.72,294.9,7699502
2012-01-04,294.9,295.6,286.5,286.6,9634304
2012-01-05,286.6,289.5,285.23,287.0,10023954
2012-01-06,285.8,290.3,285.45,287.8,6388300
2012-01-09,288.3,291.0,287.0,289.2,7306093
2012-01-10,292.4,305.2,292.1,304.1,16784057
2012-01-11,304.0,309.8,302.5,308.0,14760638
2012-01-12,308.3,310.3,298.42,302.3,13458055
2012-01-13,306.6,307.2,298.53,303.0,8914618
2012-01-16,302.5,305.1,301.58,304.9,4562735
2012-01-17,308.0,308.0,303.0,305.4,6928032
2012-01-18,304.9,312.5,303.1,311.5,7728705
2012-01-19,312.9,314.3,310.3,313.7,8770953
2012-01-20,316.1,316.21,310.4,313.7,10505561
2012-01-23,315.8,323.6,315.74,322.5,10438622
2012-01-24,320.8,322.7,314.72,316.5,10664376
2012-01-25,317.1,319.2,313.2,314.6,5150801
2012-01-26,316.6,317.2,313.1,314.8,6657017
2012-01-27,314.4,318.8,313.34,315.6,6364365
2012-01-30,313.9,315.0,310.0,310.8,6242911
2012-01-31,313.4,316.4,307.0,307.8,16277513
2012-02-01,305.0,313.9,299.2,313.3,10942674
2012-02-02,314.0,314.5,310.2,311.1,6749608
2012-02-03,311.7,319.1,309.42,319.1,7031766
2012-02-06,319.1,319.6,314.4,317.9,4266704
2012-02-07,319.8,319.8,314.5,317.8,5174595
2012-02-08,317.9,319.4,313.6,314.1,5313254
2012-02-09,315.1,319.8,313.2,318.9,5451893
2012-02-10,317.5,319.7,315.8,317.8,4232994
2012-02-13,320.0,321.56,317.7,320.0,4949484
2012-02-14,319.0,329.4,319.0,329.4,11289356
2012-02-15,331.0,334.5,329.6,333.0,7788815
2012-02-16,323.4,327.0,312.81,325.2,13229792
2012-02-17,327.0,329.9,322.3,324.4,10252498
2012-02-20,326.6,327.4,324.5,325.4,6186014
2012-02-21,325.4,326.2,320.4,320.6,9211800
2012-02-22,322.2,326.5,320.2,324.9,7563310
2012-02-23,324.1,325.5,317.4,319.2,9845510
2012-02-24,321.2,322.0,313.9,316.9,10053011
2012-02-27,316.7,318.7,314.3,316.0,5268337
2012-02-28,316.5,317.6,308.04,309.7,9935081
2012-02-29,311.0,313.95,308.8,312.7,15218968
2012-03-01,312.9,313.4,310.6,312.0,7217984
2012-03-02,312.3,314.7,308.8,310.0,6198466
2012-03-05,307.9,309.9,306.15,308.0,7614003
2012-03-06,306.6,307.32,303.9,304.1,10346582
2012-03-07,304.1,311.9,304.1,309.9,10710711
