Date,Open,High,Low,Close,Volume
2012-01-03,180.0,181.0,177.4,180.7,901285
2012-01-04,180.6,181.0,175.8,178.9,602609
2012-01-05,179.8,179.8,175.2,175.6,450593
2012-01-06,176.4,180.0,175.0,179.2,1012384
2012-01-09,180.0,180.0,175.3,179.4,331419
2012-01-10,180.0,180.7,178.0,180.0,457508
2012-01-11,179.9,181.9,176.7,181.1,603771
2012-01-12,174.5,183.4,174.5,182.3,392355
2012-01-13,182.5,185.0,182.3,183.3,291524
2012-01-16,183.4,188.3,180.76,186.8,337351
2012-01-17,190.3,197.9,189.0,190.2,606158
2012-01-18,189.5,189.7,185.0,189.5,729269
2012-01-19,190.0,193.4,190.0,191.1,1091601
2012-01-20,191.5,193.0,190.4,192.0,509629
2012-01-23,191.7,194.4,188.59,191.7,358123
2012-01-24,190.8,191.8,184.72,190.0,1114854
2012-01-25,191.0,192.4,190.0,191.0,374680
2012-01-26,192.2,192.3,185.7,189.7,651915
2012-01-27,189.3,194.0,189.3,190.5,341169
2012-01-30,190.3,194.5,184.0,185.5,446643
2012-01-31,186.0,188.3,184.2,186.4,271882
2012-02-01,186.7,194.8,186.6,193.9,749606
2012-02-02,193.9,196.0,188.45,190.1,500107
2012-02-03,190.3,192.6,186.9,188.8,774390
2012-02-06,189.1,189.6,184.2,185.4,582647
2012-02-07,185.5,187.7,184.4,185.1,434748
2012-02-08,185.4,189.8,184.1,188.1,1302244
2012-02-09,188.3,192.9,188.1,191.8,298484
2012-02-10,191.3,193.9,190.1,193.1,370332
2012-02-13,193.4,197.0,193.1,197.0,293226
2012-02-14,196.1,199.0,196.0,199.0,458171
2012-02-15,199.1,202.9,199.0,201.8,519354
2012-02-16,200.9,208.0,200.0,203.6,589240
2012-02-17,204.2,212.9,198.1,207.9,370998
2012-02-20,208.3,211.6,206.0,211.2,1001066
2012-02-21,210.4,211.0,206.4,208.6,410858
2012-02-22,204.0,207.1,200.6,203.7,725928
2012-02-23,204.1,206.4,201.7,204.3,490090
2012-02-24,204.8,205.9,201.9,203.6,522056
2012-02-27,211.4,211.4,200.0,202.5,562042
2012-02-28,202.8,205.36,202.0,203.1,383984
2012-02-29,203.5,204.1,201.0,202.4,443162
2012-03-01,203.2,206.4,200.0,201.8,472252
2012-03-02,210.0,210.0,197.9,204.2,570902
2012-03-05,202.2,205.7,200.7,203.4,356112
2012-03-06,201.1,204.7,200.0,200.4,662177
2012-03-07,201.0,203.8,198.28,202.5,283621
2012-03-08,203.4,206.9,202.0,205.0,328566
2012-03-09,204.7,214.9,204.7,209.0,552321
2012-03-12,209.0,209.0,205.1,208.1,321086
2012-03-13,208.6,215.8,208.4,214.1,628638
2012-03-14,214.4,217.7,213.5,213.79,233515
2012-03-15,213.9,216.5,212.0,216.2,608689
2012-03-16,216.5,219.1,215.0,217.2,1094895
2012-03-19,217.2,219.4,214.8,216.5,612504
2012-03-20,216.0,217.0,213.8,215.0,936148
2012-03-21,215.0,218.3,213.4,215.0,519674
2012-03-22,214.5,214.7,211.0,213.3,368812
2012-03-23,214.1,215.2,211.3,213.6,359567
2012-03-26,213.6,219.8,213.6,218.8,393326
2012-03-27,219.0,220.1,215.89,217.3,358829
2012-03-28,216.6,218.1,215.3,216.3,266377
2012-03-29,215.5,216.3,210.3,211.8,632158
2012-03-30,212.9,215.7,211.3,214.0,498089
2012-04-02,215.0,217.1,212.7,216.0,516324
2012-04-03,216.9,217.8,213.4,215.6,385176
2012-04-04,215.0,216.6,212.4,215.9,415321
2012-04-05,216.5,218.1,209.5,210.7,640949
2012-04-10,208.4,210.0,206.1,206.3,373510
2012-04-11,205.4,214.1,204.2,212.9,408731
2012-04-12,213.6,218.6,211.0,218.3,302306
2012-04-13,217.0,218.57,212.5,213.6,448030
2012-04-16,212.7,214.9,209.97,210.0,458917
2012-04-17,210.9,212.7,207.4,209.0,590537
2012-04-18,204.1,204.5,199.4,201.3,655249
2012-04-19,201.9,202.75,194.86,199.6,277657
2012-04-20,201.3,203.3,199.7,201.1,401341
2012-04-23,199.1,204.9,196.5,197.9,461723
2012-04-24,197.0,197.0,191.9,194.0,671091
2012-04-25,195.5,197.3,193.0,194.0,691669
2012-04-26,195.0,206.9,192.5,196.5,531807
2012-04-27,195.4,199.1,194.47,197.7,469405
2012-04-30,199.3,199.8,196.5,197.5,316788
2012-05-01,196.4,198.6,192.1,195.9,792201
2012-05-02,196.6,200.1,196.0,200.1,562503
2012-05-03,200.0,203.5,198.43,202.6,407434
2012-05-04,202.0,204.8,200.3,201.5,441283
2012-05-08,201.9,203.6,193.7,197.7,719935
2012-05-09,198.7,199.0,195.0,197.2,439697
2012-05-10,198.5,201.1,197.3,200.6,380803
2012-05-11,199.7,201.8,196.8,200.0,485359
2012-05-14,198.9,198.9,195.8,197.5,293643
2012-05-15,197.8,199.9,195.8,198.0,406646
2012-05-16,196.7,197.5,194.4,196.5,272162
2012-05-17,196.9,197.7,192.5,193.4,497898
2012-05-18,191.4,192.4,188.89,189.6,482236
2012-05-21,189.5,189.5,185.0,185.8,273948
2012-05-22,186.8,191.5,186.8,190.5,452572
2012-05-23,189.1,191.9,189.1,190.0,370491
2012-05-24,191.4,195.5,189.9,193.8,356723
2012-05-25,194.3,200.2,193.7,199.0,1289348
2012-05-28,199.0,200.3,197.07,199.0,277599
2012-05-29,199.9,200.0,196.6,198.9,337036
2012-05-30,198.0,198.0,193.0,193.4,466294
2012-05-31,194.3,196.1,191.7,193.3,501201
2012-06-01,193.7,195.2,191.2,193.7,325601
2012-06-06,195.4,197.4,194.9,196.1,459006
2012-06-07,197.2,201.12,196.07,201.1,330062
2012-06-08,200.0,200.0,197.5,199.9,283263
2012-06-11,200.0,201.3,198.7,200.1,403543
2012-06-12,199.2,202.0,197.18,198.4,289508
2012-06-13,198.0,200.6,198.0,199.0,372363
2012-06-14,199.5,203.1,197.9,203.1,267224
2012-06-15,203.4,213.6,202.6,213.6,2007665
2012-06-18,213.4,213.7,204.0,204.5,775078
2012-06-19,205.3,206.9,203.8,205.0,342873
2012-06-20,205.1,205.1,198.7,199.9,584080
2012-06-21,199.7,203.3,198.9,199.7,550607
2012-06-22,199.0,199.4,196.0,198.6,466168
2012-06-25,198.3,199.9,196.0,196.0,191839
2012-06-26,196.0,198.7,196.0,198.6,349198
2012-06-27,198.8,201.0,197.03,200.0,217263
2012-06-28,200.6,201.1,196.9,198.3,312414
2012-06-29,201.6,208.2,201.6,204.0,528867
2012-07-02,203.4,204.2,201.6,203.0,425317
2012-07-03,203.8,203.8,199.4,200.0,320627
2012-07-04,200.2,202.4,198.1,201.0,223926
2012-07-05,201.5,201.5,197.81,199.1,680945
2012-07-06,199.5,200.1,198.3,199.0,234765
2012-07-09,199.5,199.5,195.7,196.8,431053
2012-07-10,197.0,198.1,195.9,196.6,455088
2012-07-11,195.6,196.0,186.9,188.1,536075
2012-07-12,187.3,188.5,183.5,184.3,431411
2012-07-13,184.3,190.0,184.2,190.0,860882
2012-07-16,189.3,190.6,187.6,189.8,543042
2012-07-17,189.7,191.1,186.7,188.0,322165
2012-07-18,188.4,190.2,186.8,189.0,286917
2012-07-19,189.2,191.0,188.9,190.0,750269
2012-07-20,189.9,190.0,187.2,189.1,948236
2012-07-23,187.0,187.84,183.6,184.3,406991
2012-07-24,184.5,185.1,181.8,182.6,324043
2012-07-25,182.9,184.0,181.3,181.6,266531
2012-07-26,182.0,184.5,180.7,183.8,310977
2012-07-27,187.7,187.7,185.1,186.9,235905
2012-07-30,186.4,188.28,185.7,187.0,161495
2012-07-31,187.9,187.9,183.2,183.2,382506
2012-08-01,183.2,186.2,183.2,184.3,211508
2012-08-02,183.9,186.0,181.8,182.4,215013
2012-08-03,183.5,187.8,183.5,185.0,212380
2012-08-06,181.7,187.3,181.7,183.3,394604
2012-08-07,188.0,188.0,177.3,178.0,767656
2012-08-08,176.9,188.6,176.9,183.0,553008
2012-08-09,183.8,185.64,178.2,185.6,989428
2012-08-10,185.0,189.2,184.22,187.8,459558
2012-08-13,185.2,187.04,182.5,184.5,227962
2012-08-14,185.0,187.3,184.19,186.7,300653
2012-08-15,186.5,187.3,184.5,186.3,182719
2012-08-16,186.6,189.0,183.9,187.7,247884
2012-08-17,188.3,193.3,187.4,192.8,334454
2012-08-20,192.4,192.7,188.6,189.1,193103
2012-08-21,189.6,190.2,188.8,189.5,231195
2012-08-22,188.5,189.9,187.0,189.4,229238
2012-08-23,189.6,190.3,186.8,188.0,290300
2012-08-24,188.9,189.8,186.5,188.5,370503
2012-08-28,189.0,189.7,187.8,189.3,729813
2012-08-29,189.0,191.1,186.25,189.0,138544
2012-08-30,188.6,190.37,186.2,187.2,206644
2012-08-31,186.8,190.5,186.3,190.1,179717
2012-09-03,189.0,192.2,183.13,191.0,134791
2012-09-04,191.4,195.1,188.72,192.0,382630
2012-09-05,191.9,193.7,190.7,192.4,268032
2012-09-06,192.3,198.7,191.9,198.6,383082
2012-09-07,198.3,203.8,197.5,201.2,470505
2012-09-10,201.6,205.36,198.2,202.9,156843
2012-09-11,203.4,205.8,199.4,201.7,139655
2012-09-12,201.0,201.57,199.2,200.9,340643
2012-09-13,193.0,201.5,191.6,201.0,681913
2012-09-14,203.0,210.8,203.0,209.0,431657
2012-09-17,208.2,209.2,206.45,208.0,329360
2012-09-18,205.9,208.2,204.5,204.7,521712
2012-09-19,201.9,204.0,201.4,201.4,463002
2012-09-20,205.9,205.9,202.2,205.4,308559
2012-09-21,207.0,208.0,200.6,203.0,856279
2012-09-24,201.0,203.6,201.0,202.7,160026
2012-09-25,203.2,205.4,200.3,203.4,229162
2012-09-26,201.6,202.4,196.8,200.2,286274
2012-09-27,201.3,201.3,197.9,199.6,132029
2012-09-28,200.3,200.46,196.8,197.5,350419
2012-10-01,198.2,201.5,194.6,197.9,609933
2012-10-02,197.6,200.8,197.3,199.2,335975
2012-10-03,198.8,204.3,196.1,202.5,431387
2012-10-04,203.0,207.8,202.7,207.7,379252
2012-10-05,208.1,210.75,206.4,209.7,296005
2012-10-08,208.3,210.0,206.1,208.0,203888
2012-10-09,208.3,209.4,204.5,206.7,127432
2012-10-10,206.9,210.1,204.1,206.8,270510
2012-10-11,206.5,209.6,205.5,208.7,217709
2012-10-12,208.3,210.3,207.5,208.7,388936
2012-10-15,208.0,209.4,206.7,207.2,154298
2012-10-16,208.5,211.4,207.1,210.2,283331
2012-10-17,211.3,211.8,208.0,211.4,321824
2012-10-18,212.2,212.3,210.3,211.8,98032
2012-10-19,211.0,213.7,210.6,211.2,159241
2012-10-22,211.0,211.3,209.1,210.0,140157
2012-10-23,210.0,210.3,207.8,208.63,204371
2012-10-24,210.8,210.8,208.0,208.6,292074
2012-10-25,208.6,208.6,206.1,207.5,266731
2012-10-26,206.2,207.8,202.0,205.8,205365
2012-10-29,205.0,205.0,201.3,201.6,193057
2012-10-30,201.0,201.7,200.0,200.8,141385
2012-10-31,202.0,203.0,201.8,202.0,496142
2012-11-01,201.9,204.4,199.67,203.7,125442
2012-11-02,205.0,208.9,203.8,203.8,245082
2012-11-05,206.0,206.0,202.1,204.8,144995
2012-11-06,205.8,210.4,205.8,207.9,157335
2012-11-07,208.9,208.9,206.8,208.2,372769
2012-11-08,208.7,211.7,206.1,207.8,464159
2012-11-09,207.6,208.5,201.8,206.1,141178
2012-11-12,205.5,208.2,205.5,206.6,185744
2012-11-13,207.9,207.9,203.2,205.8,273819
2012-11-14,205.7,205.7,202.7,204.2,332075
2012-11-15,200.0,201.9,195.6,198.1,461641
2012-11-16,198.0,198.5,194.5,195.7,259236
2012-11-19,191.5,197.5,191.5,197.0,222966
2012-11-20,196.7,197.7,196.0,196.9,242472
2012-11-21,196.4,197.5,194.6,197.0,250266
2012-11-22,198.1,200.1,196.78,199.8,147847
2012-11-23,199.8,203.8,199.1,202.8,151815
2012-11-26,203.0,204.6,199.9,200.7,221820
2012-11-27,201.2,205.6,199.87,203.0,236265
2012-11-28,202.7,208.5,202.7,208.3,418975
2012-11-29,209.5,216.3,209.4,215.1,468966
2012-11-30,214.6,216.5,212.8,213.8,342855
2012-12-03,214.3,215.3,211.4,211.5,208749
2012-12-04,212.0,215.3,212.0,213.4,404544
2012-12-05,214.5,215.2,212.9,214.5,214812
2012-12-06,215.0,215.6,213.8,215.3,183006
2012-12-07,215.8,220.5,214.85,220.5,250398
2012-12-10,220.4,224.2,219.8,222.6,251912
2012-12-11,222.5,223.0,218.0,218.5,242107
2012-12-12,219.7,223.0,218.9,222.5,263267
2012-12-13,222.8,225.9,222.1,223.0,194318
2012-12-14,222.8,223.8,221.4,223.0,98761
2012-12-17,223.2,227.3,223.2,223.7,226362
2012-12-18,220.9,227.0,220.9,223.1,326721
2012-12-19,223.0,225.8,221.2,224.0,262689
2012-12-20,225.8,226.9,223.5,223.9,282146
2012-12-21,223.1,224.1,219.06,223.0,526890
2012-12-24,218.7,225.9,218.7,225.0,92777
2012-12-27,223.4,228.8,223.4,225.9,209235
2012-12-28,226.5,226.9,224.0,224.8,45529
2012-12-31,222.9,223.0,222.17,223.0,23566
2013-01-02,225.5,227.8,224.6,226.6,201934
2013-01-03,226.6,230.9,224.4,230.0,368347
2013-01-04,228.6,231.22,228.4,231.2,88216
2013-01-07,230.5,231.3,228.85,231.2,209006
2013-01-08,231.1,232.8,229.0,230.0,185322
2013-01-09,230.4,230.9,225.5,225.5,345125
2013-01-10,225.2,226.8,225.0,225.4,224564
2013-01-11,226.0,226.46,223.6,224.0,235666
2013-01-14,225.0,226.1,221.2,221.2,165322
2013-01-15,222.6,224.0,221.6,222.0,162436
2013-01-16,225.2,225.2,218.8,220.8,302007
2013-01-17,220.0,225.1,219.9,223.0,218487
2013-01-18,223.5,229.6,222.4,228.0,141655
2013-01-21,228.2,228.5,226.35,227.3,115131
2013-01-22,226.9,227.2,225.67,225.9,102620
2013-01-23,225.9,226.0,223.3,225.4,107638
2013-01-24,225.4,225.4,223.7,224.0,178002
2013-01-25,223.2,226.4,222.6,226.4,186263
2013-01-28,226.4,227.74,224.5,226.7,234571
2013-01-29,225.6,227.9,224.4,224.7,120779
2013-01-30,225.0,225.7,222.3,222.3,100527
2013-01-31,222.5,223.0,221.5,222.0,174225
2013-02-01,222.7,227.8,222.64,227.8,341564
2013-02-04,227.6,228.7,226.8,227.5,306557
2013-02-05,227.0,228.0,225.9,226.8,142267
2013-02-06,227.3,229.9,226.8,228.7,281256
2013-02-07,228.9,230.6,224.8,224.8,469228
2013-02-08,224.9,231.3,224.9,231.3,120788
2013-02-11,231.4,233.01,225.09,232.4,183860
2013-02-12,231.4,235.68,231.4,232.8,193203
2013-02-13,232.2,232.4,227.9,230.0,453483
2013-02-14,229.5,229.5,222.2,225.9,220649
2013-02-15,224.9,227.2,224.9,227.0,274233
2013-02-18,227.0,229.02,226.97,229.0,58011
2013-02-19,230.4,236.0,225.94,233.6,199702
2013-02-20,236.3,244.6,233.13,243.5,242285
2013-02-21,243.1,243.2,238.98,241.7,136073
2013-02-22,239.0,244.15,239.0,242.3,118021
2013-02-25,241.8,244.3,234.75,243.0,114672
2013-02-26,238.8,242.2,237.6,242.2,212346
2013-02-27,239.9,245.7,239.9,245.7,221177
2013-02-28,246.9,255.3,244.03,255.3,487503
2013-03-01,257.9,264.0,252.98,262.0,481632
2013-03-04,262.0,262.0,254.4,254.8,316586
2013-03-05,257.4,260.1,256.0,257.8,326074
2013-03-06,259.2,259.2,255.9,258.0,243500
2013-03-07,258.6,258.7,255.0,255.0,205150
2013-03-08,255.6,256.8,254.2,256.0,120973
2013-03-11,255.8,257.3,251.9,252.6,116638
2013-03-12,251.8,255.0,249.7,249.8,253502
2013-03-13,249.2,255.0,249.2,254.8,274090
2013-03-14,255.3,262.8,252.38,262.8,539477
2013-03-15,263.6,265.7,260.1,264.27,814816
2013-03-18,265.6,265.6,260.85,265.0,261013
2013-03-19,264.7,268.2,264.5,267.4,274830
2013-03-20,268.9,269.5,262.8,264.3,187307
2013-03-21,264.4,265.7,261.37,264.1,291208
2013-03-22,265.7,266.5,263.9,265.0,374044
2013-03-25,265.8,267.0,264.4,265.2,376511
2013-03-26,264.8,266.0,261.1,262.5,521117
2013-03-27,263.5,263.9,255.9,257.0,566961
2013-03-28,256.6,258.4,253.8,257.5,472546
2013-04-02,257.7,272.7,257.7,269.0,464590
2013-04-03,269.3,269.3,266.65,268.1,297337
2013-04-04,265.6,267.6,263.6,265.5,309352
2013-04-05,270.0,270.0,257.4,259.0,443180
2013-04-08,263.2,263.2,255.0,255.5,176634
2013-04-09,255.8,257.8,252.6,255.9,293081
2013-04-10,249.3,257.3,245.27,255.9,326458
2013-04-11,252.1,256.0,252.1,253.7,366195
2013-04-12,250.0,252.9,250.0,250.1,232462
2013-04-15,250.4,251.5,240.5,247.4,414670
2013-04-16,243.1,246.8,241.5,246.7,341427
2013-04-17,247.0,248.2,243.1,245.7,274830
2013-04-18,246.3,248.6,244.6,247.5,527367
2013-04-19,248.6,250.0,246.3,248.2,209711
2013-04-22,249.3,250.55,243.5,246.5,181434
2013-04-23,244.5,252.3,244.5,252.3,191067
2013-04-24,251.4,255.2,251.3,254.3,232368
2013-04-25,253.5,257.8,253.5,256.3,257614
2013-04-26,255.8,256.85,249.28,251.7,216446
2013-04-29,252.0,252.0,250.4,250.4,160999
2013-04-30,251.9,252.5,247.9,250.9,283195
2013-05-01,253.1,265.9,253.1,265.1,485527
2013-05-02,262.4,263.9,258.3,260.8,303943
2013-05-03,260.4,264.9,259.8,263.0,425279
2013-05-07,262.9,262.9,255.8,257.1,193857
2013-05-08,257.1,260.3,256.6,259.2,180959
2013-05-09,258.9,261.8,257.3,260.9,394892
2013-05-10,263.6,273.0,256.6,273.0,311941
2013-05-13,272.3,272.5,269.7,272.0,388109
2013-05-14,273.1,274.1,269.1,269.9,321022
2013-05-15,269.9,273.1,269.85,272.5,341949
2013-05-16,273.9,273.9,270.61,272.5,153652
2013-05-17,271.7,279.3,271.7,279.3,155089
2013-05-20,280.2,282.8,277.3,281.7,184534
2013-05-21,280.8,286.8,280.8,286.8,543193
2013-05-22,286.0,288.9,285.2,288.4,244999
2013-05-23,284.9,287.7,279.97,286.5,301627
2013-05-24,287.8,291.0,283.3,285.1,319425
2013-05-28,286.8,290.45,285.6,286.7,167694
2013-05-29,286.9,288.8,281.1,283.7,174745
2013-05-30,282.5,283.45,280.2,282.0,231882
2013-05-31,282.6,282.7,274.7,280.4,302406
2013-06-03,279.2,283.6,278.3,279.0,268258
2013-06-04,281.7,281.7,279.1,279.1,215248
2013-06-05,278.0,279.95,272.2,275.8,203196
2013-06-06,275.7,276.4,269.5,270.7,80092
2013-06-07,270.5,273.2,267.8,271.9,278183
2013-06-10,277.0,283.6,276.72,280.0,349743
2013-06-11,282.5,282.5,275.0,278.7,230392
2013-06-12,278.6,283.5,278.5,283.5,441203
2013-06-13,279.9,284.5,279.28,284.3,393121
2013-06-14,287.4,289.2,286.1,287.1,275672
2013-06-17,287.7,288.08,283.3,284.5,192365
2013-06-18,282.8,289.3,282.8,287.0,176746
2013-06-19,291.0,291.0,285.0,287.1,628975
2013-06-20,284.9,286.3,281.3,282.4,242127
2013-06-21,283.4,287.0,279.8,279.8,1174083
2013-06-24,280.5,285.0,277.85,285.0,439874
2013-06-25,281.9,289.7,281.3,283.0,655108
2013-06-26,279.1,283.3,279.1,281.0,415907
2013-06-27,281.9,285.8,279.9,285.8,270555
2013-06-28,285.4,286.3,278.73,280.1,275564
2013-07-01,280.5,291.0,280.5,291.0,390799
2013-07-02,291.1,291.4,280.1,282.8,287798
2013-07-03,281.4,283.7,277.0,281.8,242411
2013-07-04,284.4,287.3,281.35,286.4,216418
2013-07-05,285.5,288.8,283.22,284.5,230585
2013-07-08,284.7,287.9,284.6,285.0,317163
2013-07-09,285.7,287.6,284.5,285.7,335660
2013-07-10,283.5,289.8,282.4,289.8,187475
2013-07-11,291.8,293.8,286.2,289.9,142096
2013-07-12,289.5,290.2,287.6,288.5,65009
2013-07-15,289.5,293.5,287.7,287.7,161104
2013-07-16,287.3,287.3,278.4,278.4,331736
2013-07-17,279.2,282.5,279.2,282.5,188127
2013-07-18,284.8,287.0,281.3,285.0,235149
2013-07-19,283.6,290.2,283.6,289.3,227500
2013-07-22,288.3,291.7,286.9,288.0,251780
2013-07-23,288.2,292.0,288.2,289.5,144007
