Date,Open,High,Low,Close,Volume
2012-01-03,630.0,640.25,630.0,639.58,16673.0
2012-01-04,621.69,622.0,621.3,622.0,7945.0
2012-01-05,620.0,625.0,615.77,625.0,66943.0
2012-01-06,621.0,625.0,621.0,625.0,8310.0
2012-01-09,626.0,629.0,612.99,629.0,23151.0
2012-01-10,638.0,650.0,635.0,649.0,16266.0
2012-01-11,646.0,650.0,640.0,649.0,23107.0
2012-01-12,649.5,665.0,649.5,665.0,35092.0
2012-01-13,655.0,655.0,645.75,655.0,870.0
2012-01-16,638.5,654.0,638.5,647.5,2610.0
2012-01-17,646.5,665.0,646.5,665.0,7150.0
2012-01-18,665.0,672.0,660.0,671.0,41046.0
2012-01-19,675.5,686.1,669.0,680.0,16765.0
2012-01-20,683.0,688.3,678.76,682.0,43149.0
2012-01-23,677.0,688.3,677.0,686.0,3652.0
2012-01-24,680.0,687.0,678.88,687.0,40197.0
2012-01-25,688.0,696.0,688.0,696.0,9020.0
2012-01-26,696.0,710.0,693.7,710.0,25427.0
2012-01-27,699.5,717.5,699.5,717.5,14265.0
2012-01-30,700.0,710.0,697.42,705.0,30461.0
2012-01-31,712.0,717.0,706.25,715.0,56194.0
2012-02-01,724.0,726.0,706.1,726.0,16264.0
2012-02-02,727.5,734.0,721.51,734.0,8233.0
2012-02-03,729.5,736.0,729.5,736.0,7959.0
2012-02-06,744.99,748.0,737.51,739.0,21576.0
2012-02-07,749.99,752.0,737.02,752.0,8757.0
2012-02-08,747.5,749.0,747.0,749.0,2988.0
2012-02-09,750.36,754.99,742.5,749.0,3960.0
2012-02-10,740.0,747.09,737.0,737.0,4519.0
2012-02-13,754.5,755.0,736.5,755.0,2612.0
2012-02-14,740.0,746.83,737.5,737.5,2275.0
2012-02-15,750.0,750.0,737.5,737.5,215.0
2012-02-16,735.0,735.0,730.11,732.0,1359.0
2012-02-17,732.5,734.0,730.5,734.0,2798.0
2012-02-20,740.0,744.89,730.61,740.5,4040.0
2012-02-21,735.0,735.0,734.0,734.0,2792.0
2012-02-22,738.0,743.5,736.3,743.5,3302.0
2012-02-23,,,,735.0,0.0
2012-02-24,743.5,786.21,731.86,750.0,21524.0
2012-02-27,765.0,765.0,748.6,750.0,9110.0
2012-02-28,760.0,764.49,756.0,760.0,20838.0
2012-02-29,765.0,770.0,765.0,767.5,28311.0
2012-03-01,765.0,770.5,756.3,770.5,1218.0
2012-03-02,766.0,769.5,759.0,765.0,39710.0
2012-03-05,764.5,769.65,761.19,765.0,260.0
2012-03-06,768.0,768.0,746.61,757.0,32945.0
2012-03-07,750.5,755.49,745.5,745.5,3385.0
2012-03-08,757.0,760.0,751.5,754.0,18134.0
2012-03-09,755.5,765.0,755.0,765.0,22965.0
2012-03-12,760.0,765.0,757.88,758.0,4232.0
2012-03-13,764.0,764.0,763.1,764.0,53.0
2012-03-14,765.0,770.0,758.25,770.0,17234.0
2012-03-15,770.0,776.0,767.01,776.0,7604.0
2012-03-16,773.0,773.0,768.0,768.0,17211.0
2012-03-19,768.0,768.0,758.0,764.0,6981.0
2012-03-20,756.0,756.0,743.5,743.5,20504.0
2012-03-21,743.5,749.0,743.0,743.0,14.0
2012-03-22,751.5,751.5,730.87,731.0,8340.0
2012-03-23,744.0,744.0,729.01,736.0,4928.0
2012-03-26,736.5,751.0,733.51,751.0,12057.0
2012-03-27,752.5,760.4,745.0,753.0,9953.0
2012-03-28,746.0,746.0,735.0,735.0,12758.0
2012-03-29,733.5,738.0,726.0,726.0,24726.0
2012-03-30,738.5,738.5,727.42,738.5,469.0
2012-04-02,732.0,744.0,729.39,731.0,21.0
2012-04-03,740.0,754.0,740.0,747.5,15736.0
2012-04-04,737.5,746.99,730.51,733.5,12739.0
2012-04-05,726.0,740.0,723.51,735.0,533.0
2012-04-10,731.5,731.5,708.0,708.0,16315.0
2012-04-11,,,,701.51,0.0
2012-04-12,705.0,714.5,703.51,710.0,1594.0
2012-04-13,701.15,718.0,701.15,707.0,11118.0
2012-04-16,705.5,717.5,702.0,702.0,2195.0
2012-04-17,700.5,703.0,696.5,700.5,28447.0
2012-04-18,706.0,715.0,702.0,702.0,19000.0
2012-04-19,703.5,704.0,697.51,698.0,42600.0
2012-04-20,700.0,713.5,697.01,713.5,28578.0
2012-04-23,700.0,700.0,680.0,682.0,31176.0
2012-04-24,685.0,692.9,677.42,691.0,10931.0
2012-04-25,691.0,695.0,690.01,694.0,2559.0
2012-04-26,692.0,697.5,688.0,690.0,19686.0
2012-04-27,690.0,700.0,686.51,698.0,13665.0
2012-04-30,703.0,706.0,703.0,703.0,2599.0
2012-05-01,,,,697.0,0.0
2012-05-02,706.0,706.0,695.0,695.0,20095.0
2012-05-03,696.5,706.12,692.5,692.5,3357.0
2012-05-04,693.0,693.0,670.0,670.0,45906.0
2012-05-08,662.0,666.0,650.0,650.0,27260.0
2012-05-09,651.0,660.25,644.5,644.5,6545.0
2012-05-10,660.0,670.0,654.0,670.0,688.0
2012-05-11,651.0,659.5,650.5,650.5,1640.0
2012-05-14,642.0,659.25,631.0,632.0,5600.0
2012-05-15,625.51,640.0,625.51,632.0,13629.0
2012-05-16,617.5,630.0,613.51,628.5,7903.0
2012-05-17,622.0,628.6,610.0,610.0,2958.0
2012-05-18,608.0,608.0,594.5,604.13,49704.0
