Date,Open,High,Low,Close,Volume
2016-04-13,335.4,339.7,334.17,337.1,867475
2016-04-14,337.8,340.0,334.4,334.97,978521
2016-04-15,334.0,335.34,326.8,329.6,858926
2016-04-18,326.2,326.2,317.4,319.41,1605204
2016-04-19,317.5,325.5,317.5,322.75,1206663
2016-04-20,313.9,325.1,313.9,323.86,760708
2016-04-21,323.8,327.0,316.26,326.5,1082480
2016-04-22,325.6,333.74,325.4,332.61,1268333
2016-04-25,334.3,338.72,326.7,328.1,813784
2016-04-26,329.7,330.7,325.5,326.85,908468
2016-04-27,325.0,328.8,325.0,327.1,655839
2016-04-28,325.0,328.1,324.5,325.0,739075
2016-04-29,325.7,328.5,322.6,325.9,940498
2016-05-03,326.5,330.16,321.7,325.0,839790
2016-05-04,323.9,331.0,321.0,329.5,785916
2016-05-05,334.9,339.3,329.8,332.2,936347
2016-05-06,333.0,339.4,333.0,338.44,810914
2016-05-09,345.9,352.78,344.1,344.1,1266262
2016-05-10,352.6,352.6,338.0,340.06,1564196
2016-05-11,342.3,345.2,341.0,342.0,834433
2016-05-12,339.5,345.8,338.9,341.9,596283
2016-05-13,342.5,342.5,332.7,335.77,579141
2016-05-16,337.8,343.1,337.8,340.7,299399
2016-05-17,345.6,352.3,343.1,347.99,917377
2016-05-18,349.4,351.0,345.7,349.4,1026837
2016-05-19,349.3,351.1,345.5,347.2,930456
2016-05-20,350.2,352.76,348.2,351.6,597119
2016-05-23,351.6,354.2,350.7,353.4,670389
2016-05-24,351.0,358.9,351.0,357.8,583439
2016-05-25,356.9,363.4,356.9,363.4,848386
2016-05-26,365.8,365.8,361.7,365.5,673975
2016-05-27,365.8,368.1,364.1,368.1,502719
2016-05-31,366.4,369.4,360.6,365.1,842298
2016-06-01,365.1,368.0,361.4,366.2,490005
2016-06-02,358.7,365.9,356.3,360.8,827514
2016-06-03,361.4,364.4,357.0,359.4,477285
2016-06-09,358.7,364.4,357.6,362.5,583490
2016-06-10,364.0,369.7,352.6,354.0,1081948
2016-06-13,354.2,357.4,350.1,354.4,880712
2016-06-14,353.8,353.8,347.2,349.3,1147431
2016-06-15,349.3,352.6,345.3,350.1,1324950
2016-06-16,349.5,355.5,347.6,351.5,1802747
2016-06-17,352.1,361.1,343.18,358.8,1612066
2016-06-20,359.6,376.1,359.6,371.3,922885
2016-06-21,368.6,373.1,367.2,372.7,698713
2016-06-22,371.9,379.5,371.2,377.5,763166
2016-06-23,385.1,386.6,372.04,384.9,643793
2016-06-24,365.0,367.2,327.3,364.0,1957082
2016-06-27,363.6,367.0,329.4,331.4,1553528
2016-06-28,341.0,354.6,341.0,350.3,1779946
2016-06-29,350.4,360.0,350.4,353.9,1480827
2016-06-30,350.0,367.9,350.0,364.0,1056882
2016-07-01,367.8,369.7,357.3,369.7,706095
2016-07-04,368.7,370.3,359.4,366.2,642329
2016-07-05,368.8,369.3,353.0,362.6,875890
2016-07-06,361.3,372.3,354.59,370.2,1110838
2016-07-07,379.3,380.3,372.1,375.7,814657
2016-07-08,378.0,383.2,375.6,380.7,642590
2016-07-11,386.5,391.1,371.89,388.7,820871
2016-07-12,391.5,401.5,389.8,392.5,933178
2016-07-13,392.4,392.7,384.0,384.3,950953
2016-07-14,385.0,387.52,376.6,380.0,1195989
2016-07-15,375.3,380.5,373.3,378.3,561168
2016-07-18,378.3,389.2,378.3,385.2,730919
2016-07-19,386.1,391.4,381.7,388.0,575366
2016-07-20,389.0,399.6,389.0,394.3,788144
2016-07-21,401.0,401.0,382.5,386.9,764214
2016-07-22,385.0,395.7,381.65,389.7,563341
2016-07-25,392.8,405.6,392.74,403.1,1171112
2016-07-26,405.9,406.9,399.1,402.4,984845
2016-07-27,403.1,407.1,395.0,398.4,1129642
2016-07-28,397.2,401.6,395.1,396.4,716852
2016-07-29,393.1,399.0,389.8,396.3,665765
2016-08-01,398.8,399.7,388.3,388.4,506456
2016-08-02,385.1,403.2,385.1,400.9,579698
2016-08-03,399.8,401.1,386.9,388.3,483608
2016-08-04,384.6,395.5,381.69,392.3,492517
2016-08-05,383.1,402.0,383.1,396.8,647297
2016-08-08,394.7,403.2,394.5,399.2,523594
2016-08-09,401.7,403.2,398.4,403.2,414840
2016-08-10,402.4,406.7,401.0,403.2,503681
2016-08-11,407.2,407.2,397.2,404.2,483068
2016-08-12,402.2,404.0,395.5,399.2,607814
2016-08-15,401.8,402.1,399.0,400.2,157547
2016-08-16,395.7,399.7,392.4,395.6,538918
2016-08-17,393.1,397.02,390.8,394.0,384607
2016-08-18,396.7,401.8,394.1,394.5,482045
2016-08-19,396.8,396.8,389.6,391.7,432121
2016-08-22,389.5,395.0,384.5,394.2,420999
