Date,Open,High,Low,Close,Volume
2012-02-28,895.5,1010.0,890.0,1010.0,5932
2012-02-29,1090.0,1200.0,1050.0,1130.0,23314
2012-03-01,1130.0,1150.0,1050.0,1050.0,27366
2012-03-02,1070.0,1093.75,1000.0,1030.0,145595
2012-03-05,1000.0,1065.0,1000.0,1015.0,17275
2012-03-06,1000.0,1000.0,970.0,989.5,16266
2012-03-07,995.0,995.0,980.0,980.0,10035
2012-03-08,950.0,990.0,940.0,950.0,31789
2012-03-09,955.0,965.0,955.0,955.0,17240
2012-03-12,945.0,950.0,900.0,939.5,25289
2012-03-13,930.0,945.0,926.0,930.0,40001
2012-03-14,950.0,1040.0,950.0,965.0,38259
2012-03-15,970.0,1000.0,970.0,990.0,44028
2012-03-16,1015.0,1065.0,1000.0,1028.0,11100
2012-03-19,1025.0,1080.0,1025.0,1074.0,17244
2012-03-20,1080.0,1085.0,1025.0,1058.95,88270
2012-03-21,1070.0,1070.0,1050.0,1065.0,23321
2012-03-22,1045.0,1045.0,1020.0,1025.0,7999
2012-03-23,1025.0,1025.0,1000.0,1025.0,10127
2012-03-26,1056.0,1056.0,1025.0,1040.0,60622
2012-03-27,1050.0,1050.0,1015.0,1029.0,23200
2012-03-28,1010.0,1045.0,1010.0,1020.0,41887
2012-03-29,1029.0,1055.0,1020.0,1040.0,82618
2012-03-30,1050.0,1060.0,1050.0,1050.0,26635
2012-04-02,1070.0,1075.0,1046.0,1050.0,46123
2012-04-03,1050.0,1050.0,1045.0,1045.0,6549
2012-04-04,1050.0,1095.0,1045.0,1065.0,13013
2012-04-05,1070.0,1085.9,1060.0,1061.0,27298
2012-04-10,1065.0,1065.0,1045.0,1048.0,11563
2012-04-11,1045.0,1045.0,1025.0,1035.0,12805
2012-04-12,1035.0,1045.0,1030.0,1045.0,14656
2012-04-13,1042.0,1042.0,1020.0,1025.0,9020
2012-04-16,1020.0,1020.0,1020.0,1020.0,3500
2012-04-17,1010.0,1021.25,1010.0,1015.0,9747
2012-04-18,1065.0,1095.0,1025.0,1070.0,127669
2012-04-19,1070.0,1080.0,1060.0,1070.0,50526
2012-04-20,1050.0,1055.0,1035.0,1035.0,4732
2012-04-23,1032.0,1051.22,1010.0,1029.0,1963
2012-04-24,1050.0,1050.0,1020.0,1050.0,28685
2012-04-25,1020.0,1095.0,1020.0,1072.0,143452
2012-04-26,1060.0,1065.0,1040.0,1065.0,9723
