Date,Open,High,Low,Close,Volume
2012-01-03,195.0,197.0,192.25,196.5,14150
2012-01-04,197.0,199.25,195.31,198.0,46092
2012-01-05,198.0,198.99,196.5,198.0,83748
2012-01-06,198.0,198.0,195.01,196.25,46056
2012-01-09,198.5,198.5,196.25,197.49,5089
2012-01-10,199.25,200.5,199.25,199.25,21186
2012-01-11,201.0,201.0,198.51,200.0,55046
2012-01-12,200.0,201.0,200.0,200.97,166442
2012-01-13,203.0,206.0,200.25,206.0,104269
2012-01-16,206.5,209.88,205.51,209.88,50413
2012-01-17,211.0,213.99,208.01,213.89,119581
2012-01-18,214.5,216.0,211.35,216.0,25291
2012-01-19,212.0,215.49,211.5,215.49,42530
2012-01-20,218.0,218.74,215.0,218.0,208501
2012-01-23,217.0,220.99,217.0,217.5,34540
2012-01-24,218.5,219.47,216.01,217.25,13491
2012-01-25,216.25,218.5,216.0,216.01,23877
2012-01-26,220.75,220.75,0.0,220.69,16468
2012-01-27,220.55,220.55,217.01,220.54,22205
2012-01-30,220.5,220.5,216.01,216.25,17459
2012-01-31,219.99,219.99,216.25,216.25,10789
2012-02-01,219.49,222.65,0.0,222.65,19976
2012-02-02,224.0,224.5,220.31,224.5,30681
2012-02-03,225.0,227.0,0.0,227.0,28201
2012-02-06,230.0,230.0,226.5,229.0,55333
2012-02-07,229.0,231.0,227.5,231.0,45426
2012-02-08,232.0,232.0,227.5,227.5,25271
2012-02-09,232.5,232.5,228.01,232.5,67456
2012-02-10,229.75,232.5,228.1,230.7,51548
2012-02-13,,,,232.0,0
2012-02-14,230.5,233.74,230.1,233.74,812
2012-02-15,234.0,235.24,232.0,232.0,6444
2012-02-16,,,,232.51,0
2012-02-17,,,,234.0,0
2012-02-20,235.0,235.0,230.0,231.6,18150
2012-02-21,228.0,232.5,228.0,229.49,5000
2012-02-22,229.0,229.5,226.01,226.5,31091
2012-02-23,229.0,230.25,226.15,230.25,17925
2012-02-24,,,,234.74,0
2012-02-27,235.0,235.5,230.55,233.5,4500
2012-02-28,234.0,234.08,231.3,234.0,611
2012-02-29,234.0,234.0,231.0,231.0,7282
2012-03-01,233.75,234.0,230.45,234.0,2621
2012-03-02,,,,235.0,0
2012-03-05,233.0,234.99,233.0,234.0,3364
2012-03-06,,,,232.0,0
2012-03-07,235.0,235.0,235.0,235.0,20283
2012-03-08,235.5,235.99,232.5,233.0,3380
2012-03-09,236.0,236.0,236.0,236.0,2329
2012-03-12,236.0,236.0,233.0,235.5,12238
2012-03-13,233.5,238.0,233.5,238.0,2766
2012-03-14,239.0,242.0,237.01,242.0,37118
2012-03-15,241.5,246.0,241.5,246.0,22072
2012-03-16,246.0,246.0,244.0,244.5,53353
2012-03-19,244.0,246.25,244.0,244.0,4886
2012-03-20,244.5,244.5,240.28,240.28,1993
2012-03-21,240.0,242.49,238.0,238.5,10000
2012-03-22,238.99,239.0,237.0,239.0,312
2012-03-23,241.0,241.0,236.0,240.5,270
2012-03-26,241.0,241.0,237.0,238.0,10195
2012-03-27,243.0,244.0,240.0,240.0,34
2012-03-28,240.0,243.75,240.0,240.7,9656
2012-03-29,238.0,239.6,236.11,236.11,5128
2012-03-30,240.0,240.0,236.0,236.0,873
2012-04-02,240.0,241.49,236.0,237.0,50
2012-04-03,241.5,241.5,237.46,241.0,34560
2012-04-04,,,,239.99,0
2012-04-05,240.0,240.0,237.4,239.99,213
2012-04-10,239.0,240.5,235.9,236.5,4246
2012-04-11,238.0,240.49,237.0,239.63,21992
2012-04-12,,,,240.0,0
2012-04-13,236.25,240.5,236.25,239.99,2
2012-04-16,238.25,240.0,236.5,239.49,156
2012-04-17,238.25,242.99,238.25,242.99,12037
2012-04-18,242.0,245.5,240.95,245.24,243
2012-04-19,245.0,247.5,242.0,245.5,22255
2012-04-20,245.14,250.99,245.0,250.0,51128
2012-04-23,250.0,252.0,248.5,251.0,12473
2012-04-24,253.0,253.22,248.75,250.0,3175
2012-04-25,250.0,250.99,248.5,248.5,23285
2012-04-26,251.75,253.24,250.0,251.5,37940
2012-04-27,252.0,252.99,251.76,252.0,48237
2012-04-30,251.5,253.49,251.5,253.0,1
2012-05-01,251.5,255.5,250.0,255.49,26000
2012-05-02,255.49,264.5,255.49,264.5,93643
2012-05-03,265.0,265.0,256.0,261.0,62115
2012-05-04,257.0,258.67,253.0,253.0,57342
2012-05-08,256.5,257.99,249.14,253.0,8675
2012-05-09,248.5,248.5,243.55,246.5,15962
2012-05-10,248.0,248.0,244.24,248.0,3390
2012-05-11,248.0,249.5,245.5,247.0,12469
2012-05-14,250.0,250.0,246.01,248.0,4259
2012-05-15,,,,248.0,0
2012-05-16,246.0,247.0,243.11,247.0,41371
2012-05-17,243.0,247.45,243.0,244.88,72
2012-05-18,241.0,244.74,237.26,240.27,27794
2012-05-21,237.0,241.27,237.0,240.38,1051
2012-05-22,246.0,246.99,242.01,245.0,148945
2012-05-23,246.0,246.0,242.0,242.0,14837
2012-05-24,,,,245.5,0
2012-05-25,246.0,246.0,243.51,245.0,4708
2012-05-28,,,,247.45,0
2012-05-29,248.0,251.0,244.51,251.0,20440
2012-05-30,,,,249.96,0
2012-05-31,249.0,249.5,246.51,249.5,3541
2012-06-01,249.0,250.5,248.0,249.0,24416
2012-06-06,251.0,252.0,248.76,252.0,7454
2012-06-07,253.5,255.0,250.3,255.0,10804
2012-06-08,254.5,255.0,250.0,250.0,1209
2012-06-11,256.0,256.73,255.0,256.5,1216
2012-06-12,253.0,255.51,253.0,255.0,1349
2012-06-13,253.0,256.5,252.25,254.0,36948
2012-06-14,252.75,254.22,252.75,253.65,1383
2012-06-15,251.5,252.3,250.5,251.0,255134
2012-06-18,252.0,252.0,249.16,251.5,138468
2012-06-19,251.0,253.0,248.01,253.0,80068
2012-06-20,253.0,254.0,251.0,254.0,160465
2012-06-21,255.0,259.88,255.0,256.0,15653
2012-06-22,258.0,261.0,256.88,258.0,8724
2012-06-25,263.0,263.5,261.38,263.5,2485
2012-06-26,264.0,269.0,264.0,268.49,24460
2012-06-27,270.0,274.0,268.25,271.5,45304
2012-06-28,274.0,282.7,274.0,282.0,94085
2012-06-29,281.25,284.25,280.0,282.0,1677
2012-07-02,282.0,283.89,279.0,279.25,25249
2012-07-03,281.5,281.5,276.35,280.0,34430
2012-07-04,280.0,281.5,279.25,281.5,7803
2012-07-05,280.5,282.0,277.4,282.0,1200
2012-07-06,281.5,281.8,280.69,281.5,1300
2012-07-09,282.0,282.0,279.0,282.0,744
2012-07-10,278.0,279.5,277.0,279.5,19002
