Date,Open,High,Low,Close,Volume
2012-01-03,471.1,475.0,462.2,467.9,2523757
2012-01-04,465.6,471.18,464.5,464.5,4211721
2012-01-05,467.4,474.4,464.5,468.1,4354061
2012-01-06,468.0,472.3,455.9,460.3,2632860
2012-01-09,459.5,466.25,455.0,455.3,2463747
2012-01-10,459.9,474.3,459.5,470.8,3451034
2012-01-11,463.9,469.1,459.23,461.3,2114893
2012-01-12,463.4,472.2,461.67,470.5,3033893
2012-01-13,475.3,477.3,462.0,466.0,3562623
2012-01-16,466.1,467.2,461.3,467.0,1840479
2012-01-17,475.9,478.5,472.8,477.0,3983277
2012-01-18,477.7,485.7,474.2,478.5,3304233
2012-01-19,478.5,491.3,477.9,490.0,4326905
2012-01-20,490.9,497.0,488.1,495.9,4322428
2012-01-23,497.3,504.5,494.9,496.6,2898308
2012-01-24,496.5,497.44,483.9,490.0,3716117
2012-01-25,490.6,496.6,490.49,491.9,1762456
2012-01-26,493.3,502.0,493.3,498.8,1945785
2012-01-27,495.8,504.0,493.6,498.2,2362028
2012-01-30,495.7,499.24,488.9,489.6,1653567
2012-01-31,490.5,496.3,485.5,488.6,3996694
2012-02-01,489.0,499.3,489.0,496.3,2243623
2012-02-02,499.9,499.9,492.0,495.2,2371724
2012-02-03,495.7,507.0,495.3,503.0,2358078
2012-02-06,502.0,510.0,502.0,505.5,2484514
2012-02-07,506.5,508.5,501.5,505.0,1711262
2012-02-08,503.5,511.5,503.5,508.0,2230402
2012-02-09,504.5,504.5,487.8,497.0,4752504
2012-02-10,497.0,497.51,489.1,491.8,4001657
2012-02-13,496.4,496.66,492.7,495.2,1680227
2012-02-14,490.9,495.8,487.7,489.9,4181296
2012-02-15,492.3,493.35,481.9,484.2,2979703
2012-02-16,481.9,481.9,474.0,479.1,2051549
2012-02-17,481.0,483.5,479.0,480.6,1698331
2012-02-20,484.1,485.6,480.0,483.9,1602645
2012-02-21,484.2,484.2,475.4,477.3,1675111
2012-02-22,477.4,478.7,470.1,472.0,2170766
2012-02-23,472.0,475.1,467.97,471.3,1770917
2012-02-24,474.9,483.3,471.5,478.8,2671825
2012-02-27,476.0,477.97,466.6,473.0,1986197
2012-02-28,473.1,479.5,470.8,473.2,2079956
2012-02-29,472.2,476.52,468.5,470.3,3397267
2012-03-01,470.0,477.56,468.9,474.5,2389220
2012-03-02,475.0,476.1,473.1,474.1,3035176
2012-03-05,471.8,478.5,469.4,474.8,3040912
2012-03-06,470.4,472.9,465.3,466.1,3145174
2012-03-07,467.9,470.9,465.16,470.4,1743421
2012-03-08,473.3,480.2,472.4,478.3,2496501
2012-03-09,476.6,491.6,476.2,486.7,2917492
2012-03-12,485.9,496.35,485.6,496.3,2602475
2012-03-13,497.3,502.0,494.8,502.0,2483844
2012-03-14,505.0,508.5,499.3,500.5,2613168
2012-03-15,500.0,505.0,496.9,502.0,2547654
2012-03-16,502.5,515.5,501.5,513.0,3756898
2012-03-19,512.5,516.5,503.5,508.5,2156320
2012-03-20,507.5,507.5,498.7,504.0,1597625
2012-03-21,507.0,510.0,502.5,503.5,2044113
2012-03-22,503.5,505.5,494.8,499.5,1631077
2012-03-23,501.5,504.5,492.3,498.0,2154954
2012-03-26,500.5,503.51,494.5,499.0,2264212
2012-03-27,500.0,505.01,498.0,499.7,1913721
2012-03-28,493.5,494.9,481.1,485.8,3398911
2012-03-29,485.8,485.8,471.5,473.8,3843934
2012-03-30,475.0,481.77,475.0,479.9,3029248
2012-04-02,480.7,481.7,473.9,480.2,3963026
2012-04-03,481.9,483.9,475.1,477.0,2830984
2012-04-04,476.7,480.1,467.8,468.1,2785241
2012-04-05,468.8,473.8,466.2,472.7,2094438
2012-04-10,469.1,472.5,463.9,467.1,3711790
2012-04-11,464.3,478.9,461.7,474.9,5170238
2012-04-12,475.3,478.6,468.4,476.5,3532995
2012-04-13,476.7,478.32,468.8,472.1,3191328
2012-04-16,470.0,473.7,465.2,470.1,2871910
2012-04-17,470.8,484.9,468.4,484.0,2844964
2012-04-18,484.9,485.8,478.6,482.3,3924599
2012-04-19,482.2,488.42,481.0,483.3,2369196
