Date,Open,High,Low,Close,Volume
2014-06-12,279.0,291.75,270.0,283.43,72751848
2014-06-13,285.0,288.5,270.0,282.94,3363729
2014-06-16,281.0,288.0,270.0,284.71,1087608
2014-06-17,284.0,287.59,284.0,284.95,861054
2014-06-18,282.75,286.75,281.72,283.5,1238752
2014-06-19,282.5,285.5,282.5,285.25,625540
2014-06-20,286.5,289.0,284.25,286.25,515589
2014-06-23,285.5,289.0,285.0,286.0,93552
2014-06-24,285.0,286.6,276.0,282.5,528877
2014-06-25,269.75,284.0,269.75,280.7,574125
2014-06-26,280.0,287.0,277.0,279.0,94542
2014-06-27,282.25,282.5,275.0,278.0,245102
2014-06-30,280.0,285.25,271.0,275.0,453402
2014-07-01,274.5,281.25,270.0,270.0,469273
2014-07-02,273.0,276.75,270.0,270.0,42017
2014-07-03,273.5,276.25,271.0,271.0,50653
2014-07-04,270.0,280.0,269.69,275.0,442530
2014-07-07,275.25,279.89,270.25,273.0,481607
2014-07-08,271.0,273.75,270.0,271.0,4258839
2014-07-09,270.0,271.0,268.25,269.0,82838
2014-07-10,274.5,275.0,256.75,264.0,1041672
2014-07-11,263.0,270.0,263.0,268.5,208794
2014-07-14,270.0,270.0,262.75,268.0,120809
2014-07-15,265.0,270.5,264.0,270.5,118005
2014-07-16,272.25,278.25,271.5,274.0,42199
2014-07-17,276.0,276.0,274.0,274.11,10230
2014-07-18,278.25,278.25,272.75,276.5,68509
2014-07-21,281.0,281.0,272.25,278.0,55124
2014-07-22,279.0,279.25,272.0,274.75,42583
2014-07-23,277.0,288.25,276.25,285.96,203106
2014-07-24,285.0,285.25,280.0,282.25,357526
2014-07-25,284.0,284.9,276.0,278.25,75367
2014-07-28,284.75,284.75,276.5,278.5,60071
2014-07-29,276.0,282.55,275.0,278.0,104065
2014-07-30,281.25,283.05,275.25,277.0,33316
2014-07-31,273.5,279.7,270.5,271.5,147679
2014-08-01,272.0,276.5,267.0,276.5,137787
2014-08-04,275.0,278.28,271.5,275.0,26935
2014-08-05,275.0,278.86,274.0,274.0,95005
2014-08-06,274.0,274.0,265.5,265.5,30451
2014-08-07,270.25,271.25,264.0,265.26,145946
2014-08-08,263.25,267.75,263.0,267.0,91814
2014-08-11,267.0,272.31,266.75,268.26,54766
2014-08-12,270.5,270.5,265.0,266.0,52211
2014-08-13,267.0,269.11,263.0,265.25,80592
2014-08-14,260.0,273.75,260.0,269.0,140699
2014-08-15,273.5,273.5,265.5,272.0,99980
2014-08-18,273.75,280.25,265.75,280.25,59413
2014-08-19,280.0,286.75,267.25,286.75,104512
2014-08-20,282.0,296.75,282.0,286.75,156360
2014-08-21,284.0,288.0,284.0,288.0,85124
2014-08-22,281.75,288.75,281.75,285.0,24700
2014-08-26,281.5,287.5,276.5,276.5,54321
2014-08-27,280.25,288.25,273.5,278.75,403655
2014-08-28,280.0,284.5,272.25,279.75,34604
2014-08-29,285.0,285.0,272.25,278.0,34295
2014-09-01,278.0,280.0,275.25,278.75,6597
2014-09-02,285.5,289.75,276.0,277.25,378376
2014-09-03,277.25,282.75,272.25,272.25,20957
2014-09-04,274.0,274.0,262.75,265.0,83995
2014-09-05,268.25,270.0,265.0,265.0,7591
2014-09-08,268.0,270.23,261.25,262.0,6528
2014-09-09,271.0,271.25,264.25,269.25,168116
2014-09-10,261.25,269.0,261.25,267.0,85089
2014-09-11,271.25,274.0,266.5,267.0,37657
2014-09-12,265.0,271.55,259.0,263.0,58673
2014-09-15,257.0,265.85,257.0,258.53,17045
2014-09-16,255.25,261.25,250.25,250.5,31820
2014-09-17,250.0,257.9,244.0,244.0,35408
2014-09-18,244.0,247.03,240.0,246.5,123045
2014-09-19,255.0,255.0,240.0,250.0,229515
2014-09-22,255.0,258.15,244.5,253.0,46279
2014-09-23,250.5,258.75,247.5,258.75,51310
2014-09-24,255.75,261.0,255.75,259.25,98461
2014-09-25,263.5,266.0,260.0,265.0,169623
2014-09-26,266.0,275.0,265.0,268.0,70022
2014-09-29,263.0,275.75,263.0,269.5,46688
2014-09-30,267.75,279.0,265.0,275.0,120864
2014-10-01,269.0,269.0,269.0,269.0,1972
2014-10-02,268.0,270.0,266.0,266.0,29555
2014-10-03,279.0,279.0,261.72,263.0,73171
2014-10-06,277.25,277.25,262.0,262.0,45724
2014-10-07,264.75,265.0,261.94,265.0,3765
2014-10-08,259.0,262.0,253.0,257.5,137531
2014-10-09,269.0,269.0,255.0,260.0,18630
2014-10-10,249.25,269.25,249.25,263.75,62122
2014-10-13,252.75,260.0,249.25,260.0,80462
2014-10-14,249.25,267.5,249.25,267.5,96858
2014-10-15,262.0,265.44,258.0,260.0,58914
2014-10-16,258.0,261.75,249.25,249.25,173742
2014-10-17,255.0,255.0,242.25,246.0,181677
2014-10-20,255.0,255.0,240.0,247.25,64967
2014-10-21,245.0,250.0,245.0,250.0,242487
2014-10-22,240.0,251.0,240.0,245.0,552608
2014-10-23,243.0,250.7,242.25,242.25,180059
2014-10-24,243.0,250.03,234.25,234.25,445189
2014-10-27,241.0,241.0,227.0,232.91,40995
2014-10-28,235.0,240.0,235.0,239.0,117537
2014-10-29,242.25,246.0,237.0,240.0,99875
2014-10-30,240.0,245.75,238.0,245.75,60557
2014-10-31,245.0,248.75,235.75,248.75,29242
2014-11-03,252.75,258.5,250.0,258.0,83740
2014-11-04,260.0,260.0,254.75,260.0,44162
2014-11-05,260.25,261.0,253.0,261.0,25218
2014-11-06,261.0,270.0,261.0,268.25,31735
2014-11-07,270.0,270.0,259.0,268.0,78484
2014-11-10,267.5,270.0,263.0,266.5,24153
2014-11-11,269.5,269.5,266.15,267.75,46620
2014-11-12,269.25,269.25,263.0,267.0,49811
2014-11-13,266.0,267.72,263.25,266.5,25131
2014-11-14,269.5,270.0,263.0,269.5,251859
2014-11-17,269.5,269.66,268.5,269.5,50363
2014-11-18,269.5,275.67,268.0,270.0,392438
2014-11-19,269.75,275.5,269.25,269.75,555428
2014-11-20,270.0,270.0,268.0,268.0,199649
2014-11-21,270.0,270.0,260.25,269.0,151415
2014-11-24,269.0,270.0,260.25,269.0,93694
2014-11-25,269.25,269.25,262.0,268.5,48362
2014-11-26,269.0,269.0,252.75,260.5,119397
2014-11-27,268.75,268.75,255.0,259.5,125911
2014-11-28,265.0,269.0,260.5,269.0,134927
2014-12-01,268.75,268.75,261.25,266.75,43533
2014-12-02,267.0,268.46,259.0,263.5,98425
2014-12-03,269.5,269.5,259.0,262.0,38635
2014-12-04,268.75,270.0,262.0,270.0,319144
2014-12-05,270.0,275.0,265.0,273.0,102705
2014-12-08,275.0,285.0,270.0,273.5,116435
2014-12-09,279.5,279.5,270.25,275.75,35420
2014-12-10,284.0,284.0,275.25,279.25,40223
2014-12-11,280.0,280.0,275.0,276.25,23888
2014-12-12,276.5,284.75,266.25,284.75,15104
2014-12-15,270.75,284.95,270.75,275.75,70941
2014-12-16,285.0,285.0,265.5,265.5,47673
2014-12-17,268.0,274.75,263.0,268.32,13457
2014-12-18,261.25,284.0,261.25,281.0,46074
2014-12-19,270.0,282.0,270.0,275.0,73201
2014-12-22,285.0,285.75,275.0,276.0,55352
2014-12-23,287.5,287.5,275.0,275.0,70301
2014-12-24,280.0,280.0,275.25,280.0,8614
2014-12-29,275.0,285.35,275.0,280.0,10398
2014-12-30,268.5,290.0,268.5,290.0,26151
2014-12-31,290.0,300.0,282.0,285.0,184640
2015-01-05,290.0,301.5,284.2,294.0,156598
2015-01-06,290.0,297.75,283.25,285.0,110659
2015-01-07,283.25,292.0,280.75,284.56,32288
2015-01-08,292.0,293.0,275.25,293.0,54542
2015-01-09,292.0,300.0,288.0,297.0,68151
2015-01-12,300.0,304.38,296.0,298.5,79811
2015-01-13,300.0,304.42,292.75,301.25,9355
2015-01-14,305.0,305.0,291.0,298.5,29334
2015-01-15,301.75,302.0,293.19,301.0,8633
2015-01-16,302.0,306.0,295.0,299.7,20669
2015-01-19,306.0,310.75,300.0,300.0,82845
2015-01-20,312.5,315.0,295.0,300.0,47558
2015-01-21,308.25,308.25,295.0,300.0,170606
2015-01-22,310.0,310.0,298.3,302.0,17482
2015-01-23,300.0,326.25,300.0,308.0,78265
2015-01-26,319.0,320.25,304.0,309.8,144355
2015-01-27,320.0,320.0,308.75,315.0,85630
2015-01-28,304.0,329.0,304.0,315.0,172423
2015-01-29,324.0,324.0,306.5,307.99,215395
2015-01-30,320.0,320.0,307.5,312.37,66295
2015-02-02,312.0,328.5,312.0,322.0,95673
2015-02-03,324.25,330.0,312.0,322.68,579252
2015-02-04,308.0,320.5,308.0,315.0,3604825
2015-02-05,319.0,319.0,310.0,314.94,983757
2015-02-06,308.0,316.75,302.0,310.0,623231
2015-02-09,311.0,312.28,301.0,310.0,205036
2015-02-10,300.0,308.75,300.0,306.0,477788
2015-02-11,315.5,315.5,305.0,307.5,360249
2015-02-12,315.0,315.0,305.0,307.01,158957
2015-02-13,315.0,315.0,299.0,304.0,149811
2015-02-16,301.25,306.77,297.99,302.76,539478
2015-02-17,303.0,310.0,303.0,307.13,480502
2015-02-18,310.5,315.0,306.0,313.25,304736
2015-02-19,308.5,320.0,308.5,318.5,437143
2015-02-20,321.0,331.5,318.5,327.0,687143
2015-02-23,326.75,332.03,323.6,331.75,298741
2015-02-24,333.25,336.0,329.71,330.09,478028
2015-02-25,330.25,331.0,319.0,323.0,402412
2015-02-26,323.5,329.0,319.0,321.75,314273
2015-02-27,332.5,332.5,320.0,320.0,318905
2015-03-02,320.5,320.5,313.75,314.0,262306
2015-03-03,312.75,321.0,312.75,317.0,178285
2015-03-04,315.5,325.75,306.0,313.0,167866
2015-03-05,317.0,317.0,308.25,313.0,169829
2015-03-06,310.0,314.0,304.82,312.75,104772
2015-03-09,314.75,314.75,304.46,307.68,190449
2015-03-10,310.75,310.75,296.25,296.25,229213
2015-03-11,297.25,297.75,289.0,290.75,339818
2015-03-12,288.25,298.5,288.25,291.0,87381
2015-03-13,296.25,296.25,288.0,294.0,195998
2015-03-16,293.0,295.25,291.0,292.9,218350
2015-03-17,296.5,303.5,291.0,299.5,289848
2015-03-18,299.0,308.0,298.75,303.0,175816
2015-03-19,301.25,311.75,301.25,306.0,130279
2015-03-20,314.25,314.25,300.0,307.5,204802
2015-03-23,307.5,310.5,307.25,308.0,105385
2015-03-24,300.0,307.75,300.0,302.5,188533
2015-03-25,303.0,304.0,296.25,299.75,285863
2015-03-26,303.0,306.25,297.7,303.0,319732
