Date,Open,High,Low,Close,Volume
2012-01-03,295.0,303.5,293.5,293.5,7941.0
2012-01-04,296.5,309.0,291.0,300.0,21007.0
2012-01-05,297.0,299.0,292.0,293.5,9766.0
2012-01-06,310.0,310.0,290.0,299.0,33310.0
2012-01-09,312.0,333.0,306.0,330.0,35477.0
2012-01-10,329.0,335.98,321.0,322.0,25491.0
2012-01-11,327.0,338.0,327.0,338.0,13869.0
2012-01-12,339.0,348.0,330.0,339.0,230325.0
2012-01-13,337.75,339.75,331.0,331.5,27726.0
2012-01-16,334.0,338.56,330.0,333.0,35016.0
2012-01-17,332.0,347.0,330.25,340.0,1908371.0
2012-01-18,347.5,366.0,347.5,366.0,12412.0
2012-01-19,370.0,390.0,370.0,390.0,39713.0
2012-01-20,379.7,390.0,363.0,370.0,27747.0
2012-01-23,365.0,375.0,362.0,363.0,15812.0
2012-01-24,365.0,369.0,363.0,369.0,11266.0
2012-01-25,361.0,368.0,355.0,364.0,17688.0
2012-01-26,365.0,373.8,356.2,373.0,18357.0
2012-01-27,380.0,387.0,368.0,379.64,46233.0
2012-01-30,380.0,394.0,371.25,385.0,68806.0
2012-01-31,387.0,387.0,371.36,371.36,21908.0
2012-02-01,375.0,390.0,371.0,389.0,101778.0
2012-02-02,390.48,390.48,375.0,376.2,5857.0
2012-02-03,375.0,383.0,366.0,375.0,135379.0
2012-02-06,365.0,370.0,351.0,357.0,16091.0
2012-02-07,369.25,370.0,359.08,368.5,192746.0
2012-02-08,370.0,370.75,355.0,370.0,56566.0
2012-02-09,366.0,371.04,360.0,366.5,26038.0
2012-02-10,360.0,362.53,346.0,346.0,15640.0
2012-02-13,356.75,357.0,345.37,357.0,2143.0
2012-02-14,356.75,358.0,344.73,357.0,1367.0
2012-02-15,352.0,356.5,350.0,351.0,1725.0
2012-02-16,352.0,352.0,329.0,340.0,17569.0
2012-02-17,340.0,354.0,340.0,351.0,3755.0
2012-02-20,358.0,369.0,356.0,361.0,8887.0
2012-02-21,365.0,366.66,356.33,366.66,1550.0
2012-02-22,355.0,368.0,351.0,362.0,6492.0
2012-02-23,362.0,383.0,358.91,375.0,12806.0
2012-02-24,,,,380.12,0.0
2012-02-27,380.5,383.0,378.51,383.0,10000.0
2012-02-28,380.0,383.73,377.0,383.5,7350.0
2012-02-29,380.0,385.0,377.37,385.0,6085.0
2012-03-01,384.0,388.18,380.0,388.18,3797.0
2012-03-02,390.0,403.0,386.05,394.03,17462.0
2012-03-05,398.0,400.5,395.0,395.0,1370.0
2012-03-06,397.0,404.95,397.0,399.7,2226.0
2012-03-07,400.0,404.95,397.85,400.0,3942.0
2012-03-08,409.25,410.25,401.75,410.0,1254.0
2012-03-09,405.0,408.0,400.1,401.0,537.0
2012-03-12,405.0,405.0,400.6,402.0,1287.0
2012-03-13,400.0,408.24,400.0,405.0,1151.0
2012-03-14,410.0,425.0,405.25,414.0,5591.0
2012-03-15,410.0,420.0,405.0,418.0,3754.0
2012-03-16,401.0,415.69,401.0,401.0,3188.0
2012-03-19,408.9,419.95,400.15,402.73,1.0
2012-03-20,400.0,409.95,400.0,409.0,7036.0
2012-03-21,410.0,410.45,404.75,409.0,9082.0
2012-03-22,410.0,410.0,400.3,410.0,873.0
2012-03-23,400.0,410.0,399.0,406.5,8528.0
2012-03-26,412.0,421.95,412.0,416.0,4944.0
2012-03-27,420.0,422.0,415.0,420.0,6568.0
2012-03-28,,,,419.95,0.0
2012-03-29,422.5,422.5,406.55,413.72,3052.0
2012-03-30,415.0,415.0,407.0,407.25,2960.0
2012-04-02,412.95,412.95,407.0,407.0,17.0
