Date,Open,High,Low,Close,Volume
2012-01-03,895.5,898.5,876.5,883.0,1099466
2012-01-04,883.0,893.0,881.7,888.5,1119327
2012-01-05,888.0,894.0,882.0,882.0,775830
2012-01-06,884.5,892.5,879.5,887.5,527202
2012-01-09,888.0,897.0,883.5,892.0,708344
2012-01-10,894.0,908.5,893.0,906.5,822757
2012-01-11,903.5,909.0,896.0,900.0,539288
2012-01-12,897.0,910.5,891.5,895.5,650505
2012-01-13,893.0,894.0,877.0,882.5,945649
2012-01-16,872.5,884.0,872.5,880.0,767205
2012-01-17,886.0,889.0,868.5,875.0,825350
2012-01-18,877.0,880.0,865.9,868.0,1401715
2012-01-19,871.0,873.34,862.5,865.5,1008685
2012-01-20,867.5,869.0,855.0,865.5,1268721
2012-01-23,867.0,868.5,860.5,863.5,643301
2012-01-24,859.0,864.5,854.5,859.5,476646
2012-01-25,861.0,864.0,853.0,855.5,1073271
2012-01-26,856.5,870.0,855.5,857.0,760509
2012-01-27,854.5,862.5,851.5,856.0,872361
2012-01-30,853.0,857.5,847.5,851.5,1256418
2012-01-31,856.0,865.0,852.0,861.0,918920
2012-02-01,861.5,878.5,860.5,873.0,854303
2012-02-02,874.5,878.5,869.5,869.5,701192
2012-02-03,871.0,880.0,863.71,879.0,915363
2012-02-06,879.0,879.0,867.5,873.0,743355
2012-02-07,871.0,874.0,865.92,870.5,929720
2012-02-08,871.5,874.0,865.0,869.0,804902
2012-02-09,869.0,869.5,861.5,865.5,688002
2012-02-10,865.0,879.5,863.89,872.0,1153829
2012-02-13,875.0,881.0,875.0,878.0,369319
2012-02-14,885.5,912.5,885.0,910.5,1088352
2012-02-15,912.0,925.0,909.0,914.5,567760
2012-02-16,912.0,927.5,901.5,915.0,810653
2012-02-17,917.0,925.0,916.0,922.5,555906
2012-02-20,927.0,931.5,921.5,924.5,470450
2012-02-21,924.0,924.0,906.5,908.5,840988
2012-02-22,910.5,920.5,908.5,917.0,443556
2012-02-23,915.0,928.5,915.0,926.0,657233
2012-02-24,926.0,938.0,923.0,930.5,743881
2012-02-27,945.5,958.5,939.5,952.0,1140586
2012-02-28,957.0,961.5,923.5,944.5,956073
2012-02-29,939.5,969.5,936.5,962.0,1384517
2012-03-01,965.5,979.5,961.0,973.0,1282227
2012-03-02,977.0,978.0,960.0,961.5,825338
2012-03-05,956.5,969.5,956.5,960.5,1053416
2012-03-06,960.5,960.5,939.0,946.0,854995
2012-03-07,948.0,965.0,944.2,962.0,605095
2012-03-08,965.5,987.5,960.5,986.0,978151
2012-03-09,985.5,993.0,981.5,990.0,820241
2012-03-12,991.5,1000.0,986.36,999.5,528009
2012-03-13,1005.0,1005.0,997.0,1000.0,654354
2012-03-14,1005.0,1009.0,998.0,999.5,756441
2012-03-15,997.0,1005.0,991.5,998.0,999480
2012-03-16,998.0,1008.0,995.0,1002.0,777431
2012-03-19,1003.0,1003.0,990.0,996.0,397344
