Date,Open,High,Low,Close,Volume
2012-01-03,73.8,74.15,73.25,73.75,3529884
2012-01-04,73.65,73.8,72.5,72.8,1149417
2012-01-05,73.35,73.35,72.15,72.61,7819724
2012-01-06,72.9,75.5,72.5,75.25,3206309
2012-01-09,75.1,75.95,74.5,75.55,2053373
2012-01-10,76.0,76.0,74.5,74.8,2162937
2012-01-11,75.0,75.85,74.6,74.9,2749468
2012-01-12,76.45,77.0,71.8,72.14,3604756
2012-01-13,73.0,74.2,72.45,72.64,2788106
2012-01-16,72.85,73.35,72.24,73.0,1367659
2012-01-17,73.5,74.25,72.5,73.0,2482298
2012-01-18,73.5,74.5,73.0,74.25,12741370
2012-01-19,74.15,74.5,72.3,72.3,3050429
2012-01-20,72.65,74.5,71.95,74.0,4792600
2012-01-23,74.15,74.5,73.5,74.05,3754877
2012-01-24,74.15,74.2,73.05,73.45,1825352
2012-01-25,73.65,73.85,73.05,73.7,1467543
2012-01-26,74.0,74.8,73.55,73.65,1708710
2012-01-27,73.75,73.95,72.5,72.85,1020484
2012-01-30,72.4,73.0,71.15,71.6,2690470
2012-01-31,71.5,72.4,71.25,71.85,1980648
2012-02-01,71.8,73.1,71.75,72.45,2301932
2012-02-02,72.45,73.7,72.05,73.49,4222721
2012-02-03,73.75,75.7,73.36,75.7,4839141
2012-02-06,75.4,75.6,74.5,75.05,2322278
2012-02-07,75.25,75.3,74.65,75.3,2301295
2012-02-08,75.1,75.75,75.1,75.55,1487082
2012-02-09,75.4,76.2,75.28,75.85,2010277
2012-02-10,75.7,75.7,75.1,75.3,984355
2012-02-13,75.5,76.05,75.25,75.95,889015
2012-02-14,75.75,75.9,74.9,75.0,833874
2012-02-15,75.5,75.7,74.55,75.25,1148682
2012-02-16,75.25,75.25,74.3,74.45,1497437
2012-02-17,74.8,75.2,73.8,74.0,689337
2012-02-20,74.25,75.0,73.83,74.3,825557
2012-02-21,74.05,75.9,74.0,75.7,1730882
2012-02-22,75.45,75.9,75.0,75.5,1644491
2012-02-23,75.5,76.0,74.91,75.25,1014614
2012-02-24,75.5,75.5,74.5,75.5,1655659
2012-02-27,75.5,76.0,74.7,75.5,713652
2012-02-28,75.55,75.9,75.0,75.65,657545
2012-02-29,75.65,75.85,75.0,75.05,1249422
2012-03-01,75.15,75.32,74.4,74.95,1356205
2012-03-02,75.15,76.15,74.65,75.2,1114502
2012-03-05,75.0,76.5,74.7,75.4,1866667
2012-03-06,75.55,75.55,73.0,73.0,3303548
2012-03-07,73.15,74.65,73.0,74.4,2016129
2012-03-08,74.75,75.45,74.0,75.45,2175613
2012-03-09,75.35,78.05,75.14,77.6,2441657
2012-03-12,77.55,77.72,75.85,76.4,1900785
2012-03-13,76.5,79.0,76.25,78.9,2462941
2012-03-14,79.35,80.85,77.29,79.93,3109486
2012-03-15,79.6,80.55,79.25,79.9,2552713
2012-03-16,79.75,82.45,79.45,82.25,5314878
2012-03-19,82.2,83.2,81.06,83.0,2407487
2012-03-20,82.2,82.35,80.75,81.7,4675083
2012-03-21,81.75,82.65,81.45,82.6,2054675
2012-03-22,82.25,82.3,81.1,81.5,1970413
2012-03-23,81.45,82.0,81.0,81.62,1813925
2012-03-26,83.0,84.9,82.35,84.65,4949748
2012-03-27,84.6,85.5,83.3,83.85,1903475
2012-03-28,83.6,84.95,83.0,84.05,2202081
2012-03-29,83.65,83.88,82.1,82.75,2795028
2012-03-30,82.85,84.7,82.35,84.3,1967956
2012-04-02,84.7,85.4,84.25,85.25,2614117
2012-04-03,85.25,85.55,84.4,84.45,2212753
2012-04-04,83.8,84.6,83.4,84.6,3280120
2012-04-05,85.0,85.0,80.9,81.25,4601163
2012-04-10,81.14,82.1,80.95,81.25,3043347
2012-04-11,81.4,82.65,81.0,82.65,3254202
2012-04-12,82.65,82.85,82.05,82.3,2395456
2012-04-13,82.15,82.75,81.75,82.45,1952932
2012-04-16,82.25,83.0,81.5,82.35,2135641
2012-04-17,82.5,83.45,81.9,83.0,1628843
2012-04-18,83.1,83.5,82.8,83.15,1789620
2012-04-19,83.35,83.35,82.3,83.0,1752824
2012-04-20,82.8,82.9,81.2,81.55,1905682
2012-04-23,81.15,81.7,79.9,80.0,1519948
2012-04-24,80.0,80.55,80.0,80.25,1904528
2012-04-25,80.65,80.9,80.15,80.2,2016569
2012-04-26,80.4,80.5,79.6,79.6,2188023
2012-04-27,79.5,79.8,78.45,78.65,2814800
2012-04-30,78.85,79.45,78.8,79.0,1730638
2012-05-01,79.0,82.0,79.0,81.9,1254116
2012-05-02,82.0,82.0,79.6,79.85,1897801
2012-05-03,80.2,80.75,79.2,79.65,2623480
2012-05-04,79.35,79.8,78.05,78.5,1332835
2012-05-08,78.5,78.9,74.5,75.0,3478644
2012-05-09,75.4,76.5,74.05,75.93,2913697
2012-05-10,76.65,76.7,73.25,75.7,7517603
2012-05-11,75.5,77.6,75.5,77.35,2392276
2012-05-14,76.75,77.05,76.2,76.55,2370044
2012-05-15,76.65,77.0,75.05,75.25,2353473
2012-05-16,74.65,75.95,74.0,75.5,2315447
2012-05-17,75.65,75.65,74.75,74.95,1182988
2012-05-18,74.5,74.95,72.6,72.6,2524774
2012-05-21,72.7,73.7,72.05,73.05,1892813
2012-05-22,73.7,74.9,73.0,73.7,2733500
2012-05-23,73.5,73.88,72.5,72.82,1989874
2012-05-24,76.0,78.45,75.95,76.08,6790338
2012-05-25,77.25,78.15,75.75,76.7,6254490
2012-05-28,77.35,77.65,76.25,77.3,1528213
2012-05-29,77.6,79.25,77.6,79.1,2777477
2012-05-30,81.0,87.0,80.0,87.0,13177964
2012-05-31,87.0,88.95,87.0,88.07,4868536
2012-06-01,88.65,88.9,85.7,86.0,4801720
2012-06-06,85.0,86.0,82.75,84.1,4953807
2012-06-07,84.4,85.45,83.8,85.45,2761399
2012-06-08,85.2,85.55,84.4,85.55,2464289
2012-06-11,86.65,87.0,86.0,86.1,2662143
2012-06-12,86.4,86.75,86.0,86.55,3487355
2012-06-13,86.55,87.6,86.15,87.6,2909401
2012-06-14,87.1,87.8,86.25,87.7,1772624
2012-06-15,87.6,89.15,86.65,89.1,6949012
2012-06-18,89.0,89.4,87.35,87.75,2164334
2012-06-19,87.6,88.5,87.1,88.5,2077978
2012-06-20,88.5,90.5,87.85,90.35,2265108
2012-06-21,90.25,91.4,89.4,90.15,3047512
2012-06-22,90.0,90.42,89.25,89.6,1660351
2012-06-25,89.25,90.2,88.2,89.85,1865979
2012-06-26,89.7,90.5,89.03,89.8,1741579
2012-06-27,90.15,91.4,89.7,91.35,1336232
2012-06-28,91.15,91.19,89.5,90.15,1921356
2012-06-29,91.25,91.45,89.9,91.0,1753185
2012-07-02,90.8,93.15,90.75,92.39,1626318
2012-07-03,93.05,93.75,92.79,93.3,1645940
2012-07-04,93.05,93.45,92.6,93.25,773425
2012-07-05,93.15,93.34,92.35,92.86,1123210
2012-07-06,92.95,93.5,92.52,92.99,1445819
2012-07-09,93.0,93.45,92.35,92.65,2438950
2012-07-10,92.95,93.2,92.55,93.1,1866197
2012-07-11,92.8,93.1,92.05,92.6,2260428
2012-07-12,92.25,92.25,91.1,91.3,1361135
2012-07-13,91.0,91.6,86.6,88.95,5317665
2012-07-16,88.9,88.9,87.45,87.5,2664791
2012-07-17,87.75,87.89,86.25,86.25,2494742
2012-07-18,87.0,89.9,87.0,89.9,2537599
2012-07-19,89.9,91.9,89.55,91.6,1962848
2012-07-20,91.45,91.65,90.83,91.65,1537110
2012-07-23,91.0,91.3,88.85,89.75,2543754
2012-07-24,89.45,89.98,88.1,88.55,2055171
2012-07-25,88.4,89.4,88.03,88.3,1183994
2012-07-26,88.4,90.95,88.2,90.95,1566672
