Date,Open,High,Low,Close,Volume
2016-09-21,175.0,178.82,171.0,172.56,605948
2016-09-22,171.25,171.98,168.0,169.0,84578
2016-09-23,170.5,170.62,167.75,168.0,140159
2016-09-26,169.75,170.62,167.0,169.5,2078
2016-09-27,169.0,169.0,167.0,169.0,10905
2016-09-28,170.75,170.75,166.0,169.25,135633
2016-09-29,170.25,170.25,165.0,168.0,50008
2016-09-30,168.75,168.75,165.25,168.75,2993
2016-10-03,168.0,168.0,165.0,167.5,50750
2016-10-04,168.0,168.0,165.25,168.0,454
2016-10-05,166.0,167.0,165.0,166.5,15179
2016-10-06,165.0,169.25,165.0,168.0,68234
2016-10-07,168.0,169.75,165.0,168.0,44288
2016-10-10,168.0,169.75,166.5,168.0,18588
2016-10-11,168.25,169.75,168.25,168.75,4799
2016-10-12,170.0,172.62,168.0,170.75,80000
2016-10-13,170.25,171.66,168.25,168.25,16482
2016-10-14,170.0,172.01,168.5,170.5,10878
2016-10-17,171.0,171.6,168.0,169.0,4512
2016-10-18,170.0,170.0,168.0,169.5,15506
2016-10-19,171.75,171.75,168.94,170.0,118
2016-10-20,168.0,170.42,168.0,168.0,118
2016-10-21,168.25,169.85,167.0,167.0,2949
2016-10-24,167.5,169.84,167.0,167.0,7318
2016-10-25,167.0,169.5,167.0,169.5,3855
2016-10-26,166.0,169.0,165.26,167.25,56716
2016-10-27,169.25,169.25,165.22,165.25,2008
2016-10-28,170.0,170.0,164.25,165.75,1607
2016-10-31,164.0,167.38,161.52,165.0,16665
2016-11-01,162.0,165.5,162.0,163.0,22358
2016-11-02,165.0,165.0,160.5,162.78,63134
2016-11-03,162.0,165.0,162.0,163.25,6248
2016-11-04,166.75,166.75,163.5,163.5,27280
2016-11-07,161.5,163.88,161.5,161.5,62
2016-11-08,161.0,164.12,160.26,162.5,87784
2016-11-09,162.0,162.0,158.25,159.5,24250
2016-11-10,159.5,160.0,159.0,160.0,59412
2016-11-11,162.5,163.75,160.0,162.5,393
2016-11-14,162.0,166.6,162.0,162.0,63
2016-11-15,167.0,167.0,161.75,165.0,170
2016-11-16,167.0,167.0,161.75,165.24,17
2016-11-17,165.75,165.75,156.5,161.25,18917
2016-11-18,,,,161.25,0
2016-11-21,163.25,163.25,163.25,163.25,61
2016-11-22,163.0,164.25,161.0,164.25,12136
2016-11-23,161.25,164.0,161.25,163.0,194
2016-11-24,162.0,162.0,160.25,162.0,19988
2016-11-25,162.0,164.22,162.0,162.25,462
2016-11-28,164.0,164.0,160.0,163.25,19773
2016-11-29,165.0,174.0,162.5,173.75,18445
2016-11-30,167.5,170.5,167.0,167.0,4703
2016-12-01,174.0,175.75,168.0,174.0,132986
2016-12-02,175.5,182.0,174.75,179.0,165723
2016-12-05,180.0,184.0,177.41,184.0,96040
2016-12-06,185.0,200.0,185.0,189.0,248144
2016-12-07,193.0,193.0,185.0,187.55,157055
2016-12-08,187.5,187.5,181.0,185.2,21611
2016-12-09,185.25,188.38,183.19,185.13,99053
2016-12-12,188.0,190.0,185.0,188.25,42645
2016-12-13,190.0,190.0,180.04,184.75,189235
2016-12-14,185.25,186.0,178.0,183.0,109539
2016-12-15,181.0,183.0,177.75,178.0,78815
