Date,Open,High,Low,Close,Volume
2012-01-03,269.2,281.03,262.8,281.0,475902
2012-01-04,280.2,280.3,273.0,277.9,259930
2012-01-05,279.3,279.3,265.9,271.4,298848
2012-01-06,271.0,276.6,268.4,276.6,310351
2012-01-09,276.6,280.9,275.2,277.9,260680
2012-01-10,279.6,285.4,274.99,283.0,441981
2012-01-11,283.8,286.5,280.8,286.1,237957
2012-01-12,287.5,298.36,285.9,287.6,267396
2012-01-13,291.3,291.3,280.5,286.0,217056
2012-01-16,286.4,291.4,280.7,290.1,125445
2012-01-17,292.4,297.6,288.0,293.6,497834
2012-01-18,294.1,296.2,290.81,295.7,253675
2012-01-19,297.1,315.9,297.1,309.58,756282
2012-01-20,305.5,309.01,300.1,304.4,216036
2012-01-23,305.8,310.8,305.0,305.0,175089
2012-01-24,302.4,307.1,293.1,297.3,260824
2012-01-25,299.7,301.2,288.6,291.2,472524
2012-01-26,294.0,313.2,291.8,308.5,284819
2012-01-27,308.7,312.99,306.2,306.9,208582
2012-01-30,310.8,314.9,299.6,299.6,449959
2012-01-31,302.8,313.4,302.2,305.1,395201
2012-02-01,308.2,322.1,304.05,307.36,757207
2012-02-02,320.3,329.1,318.4,325.0,599443
2012-02-03,323.2,332.7,318.0,332.1,359816
2012-02-06,333.4,336.7,328.33,335.2,265376
2012-02-07,337.3,337.3,325.8,327.5,177313
2012-02-08,329.7,333.9,324.6,328.7,99166
2012-02-09,327.4,332.9,326.3,329.0,122201
2012-02-10,325.4,329.7,322.0,325.1,142442
2012-02-13,329.1,331.9,327.44,330.5,120080
2012-02-14,327.9,336.7,326.5,333.73,237574
2012-02-15,337.1,343.5,334.7,337.2,407209
2012-02-16,335.7,337.4,329.5,333.5,287959
2012-02-17,337.6,342.0,337.3,338.5,215088
2012-02-20,336.7,351.3,336.7,347.5,182230
2012-02-21,349.6,349.6,340.1,344.0,218605
2012-02-22,344.9,352.2,336.0,337.0,428857
2012-02-23,363.69,401.9,357.98,389.3,1944740
2012-02-24,385.5,406.58,385.5,400.0,791594
2012-02-27,390.0,404.8,390.0,402.5,445966
2012-02-28,401.0,410.0,394.86,400.0,546564
2012-02-29,401.8,425.0,401.8,420.0,665042
2012-03-01,415.8,425.05,411.0,420.0,684837
2012-03-02,420.7,426.4,415.0,419.3,437812
2012-03-05,418.6,420.34,406.3,406.4,402168
2012-03-06,406.1,407.6,385.3,385.3,505052
2012-03-07,391.6,406.5,377.7,403.8,587461
2012-03-08,408.1,419.01,404.0,418.8,606622
2012-03-09,412.5,416.7,409.5,410.0,749018
2012-03-12,415.8,415.8,406.4,415.6,1165221
2012-03-13,416.5,426.5,415.0,426.5,373644
2012-03-14,427.7,432.75,417.8,417.8,307764
2012-03-15,420.0,423.0,414.3,416.0,332304
2012-03-16,418.0,422.97,413.8,422.8,558271
2012-03-19,421.0,422.2,414.63,415.5,243998
2012-03-20,413.1,413.1,399.6,403.4,557493
2012-03-21,405.2,413.0,398.5,402.8,286517
2012-03-22,399.3,402.9,389.2,391.5,373013
2012-03-23,391.8,395.0,385.0,391.1,575501
2012-03-26,390.7,406.2,389.63,406.1,255156
2012-03-27,408.4,409.6,399.5,400.8,345494
2012-03-28,398.5,403.26,386.7,388.8,322504
2012-03-29,386.6,388.42,374.0,379.4,644428
2012-03-30,381.9,388.7,379.9,386.2,694642
2012-04-02,385.3,393.1,383.4,393.1,898018
2012-04-03,395.4,398.61,387.5,390.0,525386
2012-04-04,380.1,383.9,372.8,373.5,571646
2012-04-05,372.9,382.8,371.4,376.4,284160
2012-04-10,370.9,372.7,363.7,365.1,564095
2012-04-11,362.4,379.6,360.0,379.0,557741
2012-04-12,378.7,400.2,377.9,398.7,655250
2012-04-13,397.3,407.6,395.0,398.6,708271
2012-04-16,396.4,399.4,392.1,394.3,529762
2012-04-17,394.9,401.9,388.8,400.7,350187
2012-04-18,401.9,405.77,395.5,404.4,280042
2012-04-19,407.4,417.0,402.1,412.8,740662
2012-04-20,411.2,415.2,407.7,410.37,354721
2012-04-23,408.9,409.1,395.1,400.7,504564
2012-04-24,403.1,425.2,400.0,407.31,666071
2012-04-25,421.9,437.3,415.78,420.58,698570
2012-04-26,416.89,426.2,412.8,415.1,520825
2012-04-27,412.5,439.6,411.2,437.1,598671
2012-04-30,436.7,439.44,425.0,425.4,397380
2012-05-01,425.0,436.28,425.0,435.0,166753
2012-05-02,438.3,438.3,427.8,431.26,342503
2012-05-03,431.5,437.6,422.6,428.7,386693
2012-05-04,425.3,428.0,409.1,413.5,456528
2012-05-08,415.6,415.62,390.5,390.5,1043651
2012-05-09,397.8,397.8,380.5,388.4,793986
2012-05-10,392.2,397.9,384.0,397.9,416701
2012-05-11,392.5,406.6,392.5,406.6,491614
2012-05-14,404.2,404.2,387.1,390.0,215764
2012-05-15,398.6,398.6,377.2,383.0,423120
2012-05-16,377.0,384.47,368.8,379.4,363020
2012-05-17,378.2,385.8,370.0,372.2,334528
2012-05-18,367.4,372.5,358.7,358.7,438143
2012-05-21,360.7,370.9,360.0,367.3,454664
2012-05-22,376.4,383.4,374.7,378.9,962392
2012-05-23,374.2,377.1,370.03,370.1,265406
2012-05-24,376.1,376.1,363.7,374.2,587751
2012-05-25,372.9,383.6,372.5,378.4,730933
2012-05-28,380.0,392.0,380.0,389.5,302797
2012-05-29,390.3,406.9,390.3,403.9,469999
2012-05-30,399.3,401.03,385.6,392.2,400670
2012-05-31,394.6,396.6,372.9,379.1,629953
2012-06-01,382.0,382.0,348.02,356.7,501989
2012-06-06,360.0,360.1,346.9,354.6,879722
2012-06-07,357.5,369.4,350.5,369.2,1129595
2012-06-08,366.8,368.3,356.91,364.4,395072
2012-06-11,370.7,376.21,365.0,366.2,289836
2012-06-12,365.6,365.6,356.0,358.93,387378
2012-06-13,362.8,365.8,347.3,352.8,439377
2012-06-14,356.4,356.4,348.9,352.0,700400
2012-06-15,351.0,351.0,333.4,339.2,923756
2012-06-18,342.1,345.5,331.7,335.3,428462
2012-06-19,337.7,341.8,334.0,340.2,394659
2012-06-20,342.7,354.3,334.6,353.0,572001
2012-06-21,348.6,356.4,348.4,349.9,358165
2012-06-22,345.4,345.5,332.2,334.7,301503
2012-06-25,334.0,336.2,322.6,324.3,285595
2012-06-26,326.6,328.15,317.8,319.6,350773
2012-06-27,322.4,323.1,311.4,322.1,470113
2012-06-28,322.9,323.8,313.5,316.36,502357
2012-06-29,329.7,334.8,325.9,333.2,456709
2012-07-02,334.7,346.7,334.6,344.3,351718
2012-07-03,344.6,352.2,342.9,351.8,147293
2012-07-04,353.5,357.4,344.0,351.5,144091
2012-07-05,349.2,351.2,338.4,345.3,286881
2012-07-06,345.1,345.2,340.0,341.2,169704
2012-07-09,342.1,343.5,333.2,334.4,202546
2012-07-10,337.0,343.13,333.8,343.1,339982
2012-07-11,341.1,341.8,321.3,325.4,252534
2012-07-12,323.3,323.3,300.5,310.3,611622
2012-07-13,310.8,316.8,310.4,314.5,500946
2012-07-16,315.0,315.3,309.29,315.3,294551
2012-07-17,313.0,316.0,308.4,314.8,276499
2012-07-18,315.2,315.2,310.0,313.1,195293
2012-07-19,313.3,331.7,313.1,331.7,327640
2012-07-20,331.6,339.0,329.1,334.1,311457
2012-07-23,330.7,330.7,319.1,323.7,355256
2012-07-24,326.1,328.0,321.7,322.6,225416
2012-07-25,322.9,338.91,320.5,326.1,813746
2012-07-26,337.6,337.6,323.0,324.0,701901
2012-07-27,327.2,334.3,321.61,334.3,290278
2012-07-30,337.9,338.5,330.1,336.8,223603
2012-07-31,338.9,338.9,326.4,329.0,265015
2012-08-01,329.9,330.0,323.2,325.0,277936
2012-08-02,325.6,329.5,322.8,323.7,539314
2012-08-03,326.3,341.4,326.2,340.3,212309
2012-08-06,338.8,356.4,338.8,351.5,493725
2012-08-07,352.6,352.84,343.2,352.8,468462
2012-08-08,353.5,353.5,346.2,352.3,301495
2012-08-09,355.6,358.8,350.3,356.8,330599
2012-08-10,355.5,356.1,347.5,352.5,200646
2012-08-13,350.4,352.9,347.0,348.2,153206
2012-08-14,351.9,351.9,343.0,349.6,135775
2012-08-15,349.8,349.8,341.3,341.8,183194
2012-08-16,345.5,347.7,340.0,347.7,218541
2012-08-17,348.4,357.0,348.3,354.69,262704
2012-08-20,356.3,362.5,356.25,358.56,284502
2012-08-21,359.8,369.3,359.8,367.9,223202
2012-08-22,364.2,366.5,350.8,352.4,336087
2012-08-23,357.2,359.04,350.4,354.7,197490
2012-08-24,360.0,360.0,341.7,343.6,316958
2012-08-28,343.6,343.6,330.6,337.6,355796
