Date,Open,High,Low,Close,Volume
2012-01-03,470.0,471.87,460.67,471.05,25202477
2012-01-04,471.5,482.08,469.25,473.45,26290779
2012-01-05,478.15,481.34,471.1,474.05,29053048
2012-01-06,478.2,483.6,474.35,477.05,24790033
2012-01-09,478.9,479.0,472.0,473.6,27273577
2012-01-10,478.8,481.8,474.55,479.6,24693899
2012-01-11,479.75,480.15,468.44,475.3,24498525
2012-01-12,475.2,479.65,470.2,479.5,33763711
2012-01-13,479.0,482.3,471.55,476.3,30483877
2012-01-16,472.95,479.5,472.3,478.0,18884184
2012-01-17,482.95,487.6,477.68,481.95,60964322
2012-01-18,481.2,483.16,477.3,481.4,22146170
2012-01-19,481.55,485.3,477.8,482.45,30630131
2012-01-20,481.6,482.45,466.3,467.45,65042979
2012-01-23,469.6,481.05,465.85,476.7,23817613
2012-01-24,474.05,479.21,471.9,477.4,16912395
2012-01-25,480.0,480.0,472.15,474.55,12640936
2012-01-26,474.45,480.16,470.85,476.75,16790119
2012-01-27,470.9,472.33,463.6,464.55,35186526
2012-01-30,460.95,464.13,455.05,458.45,26228384
2012-01-31,467.0,475.07,465.85,470.85,52617897
2012-02-01,482.0,487.59,479.7,483.0,35127300
2012-02-02,482.6,482.6,473.05,477.9,26670364
2012-02-03,477.6,484.8,474.35,484.5,17957775
2012-02-06,487.25,490.98,483.26,489.55,22536371
2012-02-07,491.0,493.92,479.15,486.5,26743710
2012-02-08,488.0,491.02,483.92,489.75,23849656
2012-02-09,494.25,498.88,490.4,493.4,24689616
2012-02-10,488.2,494.05,485.15,490.3,25001481
2012-02-13,492.4,496.5,490.3,496.0,12783473
2012-02-14,494.3,501.37,494.3,494.8,21695084
2012-02-15,491.15,499.71,483.1,487.4,22566788
2012-02-16,485.0,494.1,483.96,487.55,19911137
2012-02-17,491.2,493.04,484.75,488.95,18102231
2012-02-20,497.9,503.0,496.25,499.25,19173700
2012-02-21,497.0,502.1,494.17,497.7,18236097
2012-02-22,498.8,499.85,493.85,496.95,22102714
2012-02-23,494.7,497.77,492.66,495.35,20956454
2012-02-24,499.0,501.18,495.3,496.2,21860778
2012-02-27,500.0,505.81,497.0,501.7,33512923
2012-02-28,502.0,503.13,497.0,499.3,19058122
2012-02-29,500.5,501.6,490.43,492.4,25283100
2012-03-01,492.3,497.05,491.23,496.4,15890080
2012-03-02,496.3,499.99,492.55,496.5,14410589
2012-03-05,510.0,512.0,500.86,504.6,35515701
2012-03-06,500.0,502.79,489.3,490.1,26647631
2012-03-07,487.35,493.79,485.75,492.75,17839606
2012-03-08,492.5,498.96,490.4,494.45,22012069
2012-03-09,493.0,495.74,487.8,493.9,27019987
2012-03-12,493.75,554.0,491.15,495.7,13899741
2012-03-13,497.65,501.19,495.75,498.85,13804157
2012-03-14,500.0,503.02,497.1,499.05,17361008
2012-03-15,495.05,496.16,490.5,492.75,24151113
2012-03-16,494.9,496.28,487.45,490.15,31260860
2012-03-19,491.0,493.42,487.7,491.25,10091252
2012-03-20,490.0,491.55,483.14,484.1,14479314
2012-03-21,485.8,487.8,481.05,481.55,19324079
2012-03-22,481.6,482.25,474.59,476.55,14089653
2012-03-23,477.0,480.62,473.3,477.55,16551993
2012-03-26,481.5,484.49,477.3,481.9,12809667
2012-03-27,483.0,484.45,471.35,471.35,26828243
2012-03-28,471.0,474.13,468.1,468.1,20329268
2012-03-29,467.95,468.75,456.5,458.9,27517801
2012-03-30,461.25,466.58,457.7,462.55,29470309
2012-04-02,466.8,471.45,462.31,471.45,23546216
2012-04-03,472.85,475.47,464.2,464.25,13774884
2012-04-04,463.5,465.85,450.5,452.05,24325426
2012-04-05,452.5,456.35,445.94,456.1,22401572
2012-04-10,455.0,455.0,445.35,445.35,27316772
2012-04-11,444.15,450.07,442.7,444.25,20012148
2012-04-12,442.95,446.72,433.5,444.85,31459126
