Date,Open,High,Low,Close,Volume
2012-01-03,1210.0,1246.0,1195.0,1243.0,1643127
2012-01-04,1237.0,1248.0,1211.0,1219.0,1351000
2012-01-05,1217.0,1224.34,1199.0,1203.0,1762157
2012-01-06,1210.0,1252.0,1207.0,1250.0,2223281
2012-01-09,1250.0,1284.0,1238.0,1278.0,1850603
2012-01-10,1290.0,1325.0,1273.0,1279.0,2114828
2012-01-11,1290.0,1300.0,1270.0,1286.0,1817477
2012-01-12,1289.0,1308.0,1280.0,1285.0,966361
2012-01-13,1288.0,1304.0,1257.0,1271.0,1743289
2012-01-16,1269.0,1310.92,1255.13,1300.0,1361168
2012-01-17,1310.0,1320.0,1253.0,1301.0,3660467
2012-01-18,1303.0,1348.0,1290.0,1344.0,1784439
2012-01-19,1342.0,1361.0,1324.98,1352.0,2243120
2012-01-20,1356.0,1359.0,1342.0,1355.0,2129183
2012-01-23,1357.0,1358.0,1329.5,1341.0,1435266
2012-01-24,1337.0,1340.0,1322.0,1327.0,934242
2012-01-25,1332.0,1352.0,1312.0,1314.0,1398588
2012-01-26,1328.0,1367.0,1320.0,1349.0,1384395
2012-01-27,1346.0,1363.0,1330.0,1355.0,1116598
2012-01-30,1340.0,1342.0,1318.0,1326.0,1470775
2012-01-31,1328.0,1357.0,1324.0,1342.0,1131186
2012-02-01,1355.0,1418.0,1346.0,1407.0,1948204
2012-02-02,1410.0,1444.0,1396.28,1431.0,1517676
2012-02-03,1431.0,1464.0,1421.0,1461.0,1215037
2012-02-06,1461.0,1464.0,1431.0,1446.0,897234
2012-02-07,1440.0,1440.0,1380.0,1420.0,1890243
2012-02-08,1429.0,1435.0,1402.0,1403.0,973304
2012-02-09,1413.0,1434.0,1406.0,1413.0,1338355
2012-02-10,1400.0,1434.0,1400.0,1409.0,962391
2012-02-13,1417.0,1427.0,1391.0,1393.0,896692
2012-02-14,1394.0,1427.7,1385.0,1423.0,969751
2012-02-15,1437.0,1459.66,1437.0,1451.0,781772
2012-02-16,1436.0,1436.0,1410.0,1432.0,856548
2012-02-17,1435.0,1454.0,1424.0,1424.0,1334475
2012-02-20,1432.0,1458.0,1423.0,1436.0,660151
2012-02-21,1430.0,1447.0,1421.0,1439.0,811960
2012-02-22,1447.0,1447.0,1413.0,1434.0,769154
2012-02-23,1427.0,1443.0,1415.0,1442.0,729938
2012-02-24,1448.0,1453.0,1418.6,1421.0,856922
2012-02-27,1413.0,1417.0,1378.0,1391.0,1225471
2012-02-28,1402.0,1422.0,1388.0,1410.0,901196
2012-02-29,1411.0,1423.0,1395.0,1412.0,1479527
2012-03-01,1415.0,1450.17,1403.0,1446.0,1323217
2012-03-02,1443.0,1448.0,1422.8,1439.0,975317
2012-03-05,1435.0,1455.0,1427.85,1436.0,823150
2012-03-06,1429.0,1432.4,1390.0,1393.0,1331843
2012-03-07,1400.0,1443.0,1389.0,1437.0,1593956
2012-03-08,1449.0,1523.0,1448.0,1508.0,2515210
2012-03-09,1504.0,1539.0,1497.0,1533.0,1539591
2012-03-12,1532.0,1557.0,1528.0,1555.0,1436013
2012-03-13,1563.0,1577.0,1556.0,1572.0,975687
2012-03-14,1582.0,1586.0,1541.0,1547.0,1158984
2012-03-15,1540.0,1571.0,1538.0,1554.0,956200
2012-03-16,1559.0,1571.0,1545.0,1555.0,1519402
2012-03-19,1556.0,1559.0,1543.0,1553.0,775562
2012-03-20,1548.0,1548.0,1525.0,1531.0,1844074
2012-03-21,1539.0,1552.79,1533.1,1537.0,1993086
2012-03-22,1539.0,1552.0,1529.0,1544.0,1808537
2012-03-23,1546.0,1553.0,1500.72,1513.0,1466916
