Date,Open,High,Low,Close,Volume
2012-01-03,73.51,75.08,73.51,74.12,123355.0
2012-01-04,73.51,0.0,73.51,73.75,44400.0
2012-01-05,73.5,73.9,72.5,72.5,101230.0
2012-01-06,73.12,73.62,73.12,73.62,14287.0
2012-01-09,73.0,73.87,72.25,72.5,90073.0
2012-01-10,72.5,75.48,72.5,75.35,159544.0
2012-01-11,75.75,75.75,73.48,75.25,74032.0
2012-01-12,74.4,0.0,73.5,74.65,44030.0
2012-01-13,73.5,75.35,73.26,75.35,7098.0
2012-01-16,75.35,75.35,73.5,75.35,28935.0
2012-01-17,75.35,75.75,74.0,75.39,165038.0
2012-01-18,75.0,75.14,0.0,75.14,23055.0
2012-01-19,75.0,76.0,74.01,76.0,232453.0
2012-01-20,75.92,0.0,74.77,75.5,139885.0
2012-01-23,77.5,77.5,74.75,74.75,48911.0
2012-01-24,76.0,76.0,75.17,75.91,87305.0
2012-01-25,74.5,75.5,74.5,75.0,30621.0
2012-01-26,76.0,76.5,74.77,76.5,175097.0
2012-01-27,76.0,76.0,75.0,75.5,499897.0
2012-01-30,74.5,75.74,74.5,74.9,75010.0
2012-01-31,75.75,75.75,74.5,74.5,135782.0
2012-02-01,75.5,76.0,75.5,75.75,208463.0
2012-02-02,76.0,76.0,75.75,75.9,189262.0
2012-02-03,76.0,76.25,75.5,76.0,226425.0
2012-02-06,76.0,76.24,75.6,76.0,277488.0
2012-02-07,76.0,76.02,75.35,75.75,113967.0
2012-02-08,76.25,76.5,75.0,76.25,374794.0
2012-02-09,76.25,77.0,75.5,77.0,397480.0
2012-02-10,76.0,0.0,75.75,75.99,80811.0
2012-02-13,77.0,78.0,75.75,76.25,109261.0
2012-02-14,76.0,76.75,75.0,76.0,6790.0
2012-02-15,77.0,77.4,75.5,76.89,18804.0
2012-02-16,75.75,76.62,74.85,75.75,164632.0
2012-02-17,76.25,76.99,75.51,75.51,25878.0
2012-02-20,76.25,77.25,75.26,77.09,11722.0
2012-02-21,77.25,77.75,76.06,77.75,10265.0
2012-02-22,77.75,78.09,77.5,78.0,33716.0
2012-02-23,78.0,78.0,77.5,77.84,36000.0
2012-02-24,77.75,78.0,77.25,78.0,20839.0
2012-02-27,77.25,77.25,76.6,77.25,31822.0
2012-02-28,78.0,78.5,78.0,78.5,15875.0
2012-02-29,79.0,80.0,79.0,79.25,24218.0
2012-03-01,79.75,81.0,79.0,80.5,95840.0
2012-03-02,80.5,81.0,79.75,80.5,29969.0
2012-03-05,80.25,81.0,80.25,81.0,105850.0
2012-03-06,80.75,81.75,80.75,81.75,115326.0
2012-03-07,81.75,82.75,81.25,82.75,46210.0
2012-03-08,83.0,84.5,83.0,83.75,93523.0
2012-03-09,83.5,84.5,82.95,83.25,18490.0
2012-03-12,83.0,83.0,81.57,83.0,182.0
2012-03-13,83.0,83.0,82.0,83.0,145.0
2012-03-14,83.5,84.5,82.97,84.5,11782.0
2012-03-15,84.5,84.5,83.75,84.5,9093.0
2012-03-16,84.5,85.0,83.5,84.5,18666.0
2012-03-19,85.0,85.0,82.65,83.5,11002.0
2012-03-20,83.5,84.0,82.75,82.75,29500.0
2012-03-21,82.75,83.19,82.5,82.88,55678.0
2012-03-22,82.5,83.25,82.5,83.25,24579.0
2012-03-23,83.0,83.0,82.85,83.0,380.0
2012-03-26,82.87,83.15,82.8,83.0,40000.0
2012-03-27,83.25,84.36,83.12,83.25,47128.0
2012-03-28,,,,83.5,0.0
2012-03-29,84.0,84.32,83.32,84.0,4223.0
2012-03-30,84.0,84.0,82.5,84.0,7986.0
2012-04-02,83.0,84.4,82.25,82.25,4521.0
2012-04-03,82.75,83.38,82.0,82.0,8184.0
2012-04-04,82.0,82.75,80.5,81.5,133552.0
2012-04-05,80.5,81.5,80.5,81.5,17018.0
2012-04-10,80.0,81.75,80.0,80.0,42891.0
2012-04-11,80.0,82.5,80.0,81.25,57000.0
2012-04-12,82.0,82.5,82.0,82.5,2243.0
2012-04-13,,,,82.5,0.0
2012-04-16,81.5,82.5,80.25,81.22,25.0
2012-04-17,82.0,82.5,82.0,82.5,60050.0
2012-04-18,82.25,82.25,80.25,80.45,12500.0
2012-04-19,80.75,82.0,80.75,82.0,224.0
2012-04-20,81.25,82.0,81.0,81.95,17820.0
2012-04-23,,,,80.9,0.0
2012-04-24,81.25,81.82,80.56,80.56,5754.0
2012-04-25,81.25,81.95,81.25,81.75,1837.0
2012-04-26,82.0,82.25,81.75,81.75,10066.0
2012-04-27,82.25,82.25,82.25,82.25,10000.0
2012-04-30,82.0,82.5,82.0,82.0,18000.0
2012-05-01,82.5,83.0,82.5,83.0,60131.0
2012-05-02,82.25,82.99,82.25,82.25,847.0
2012-05-03,83.0,83.5,82.52,82.75,10016.0
2012-05-04,83.0,83.0,82.25,82.25,12208.0
2012-05-08,82.25,82.85,81.75,81.75,10786.0
2012-05-09,82.0,82.0,81.26,82.0,15860.0
2012-05-10,82.0,82.0,81.26,81.5,20603.0
2012-05-11,,,,81.8,0.0
2012-05-14,81.0,81.0,79.27,80.0,60055.0
2012-05-15,79.0,80.0,78.86,80.0,30000.0
2012-05-16,79.0,79.0,78.26,79.0,31934.0
2012-05-17,78.0,79.2,78.0,79.02,110.0
2012-05-18,78.86,78.86,77.25,78.5,10000.0
2012-05-21,,,,77.52,0.0
2012-05-22,78.75,79.0,77.45,79.0,8948.0
2012-05-23,77.5,77.5,76.75,76.75,10051.0
2012-05-24,,,,76.95,0.0
2012-05-25,,,,78.0,0.0
2012-05-28,,,,77.99,0.0
2012-05-29,78.5,78.5,78.15,78.15,2540.0
2012-05-30,78.0,78.42,77.62,77.62,52200.0
2012-05-31,78.0,78.24,77.1,78.0,40.0
2012-06-01,76.0,78.49,76.0,76.0,2985.0
2012-06-06,78.0,78.0,76.0,78.0,1240.0
2012-06-07,78.0,78.0,76.04,78.0,1445.0
2012-06-08,77.5,77.5,76.22,77.15,620.0
2012-06-11,78.0,78.7,77.75,77.75,24.0
2012-06-12,76.5,77.4,75.5,76.0,178527.0
2012-06-13,75.5,77.0,75.5,77.0,685.0
2012-06-14,75.88,76.25,75.25,76.25,1.0
2012-06-15,76.25,76.25,75.0,75.0,23694.0
2012-06-18,75.0,76.25,74.0,74.0,13987.0
2012-06-19,73.75,74.67,73.5,73.5,10240.0
2012-06-20,75.5,75.5,74.19,75.5,65.0
2012-06-21,73.75,75.5,73.0,74.0,73867.0
2012-06-22,73.5,73.5,71.56,73.5,28884.0
2012-06-25,72.5,73.5,72.5,73.31,14559.0
2012-06-26,,,,73.19,0.0
2012-06-27,72.5,73.49,71.71,72.75,1805.0
2012-06-28,72.75,73.0,72.15,73.0,7591.0
2012-06-29,74.0,74.0,73.69,73.88,1409.0
2012-07-02,,,,73.69,0.0
2012-07-03,73.62,74.0,72.95,74.0,1.0
2012-07-04,74.0,74.59,73.5,73.5,10000.0
2012-07-05,,,,74.43,0.0
2012-07-06,74.25,74.5,73.88,74.5,51847.0
2012-07-09,74.02,75.0,74.02,75.0,29.0
2012-07-10,75.0,75.0,74.68,75.0,28.0
2012-07-11,74.0,74.5,74.0,74.5,16412.0
2012-07-12,74.5,74.93,73.85,74.1,6962.0
2012-07-13,74.5,75.16,74.35,74.75,30000.0
2012-07-16,75.0,75.17,74.62,75.0,500.0
2012-07-17,75.0,75.5,75.0,75.5,37565.0
2012-07-18,75.25,75.6,75.11,75.5,7821.0
2012-07-19,75.5,76.94,75.25,75.25,19438.0
2012-07-20,75.5,76.89,75.5,76.0,5211.0
2012-07-23,75.25,76.5,74.43,75.25,15799.0
2012-07-24,76.75,77.25,76.12,77.25,10411.0
2012-07-25,77.5,77.5,75.25,75.25,9.0
2012-07-26,76.25,77.75,76.25,77.75,47993.0
2012-07-27,,,,76.5,0.0
2012-07-30,79.0,79.0,77.71,78.5,27500.0
2012-07-31,,,,77.85,0.0
2012-08-01,78.5,78.5,77.71,78.5,3001.0
2012-08-02,78.5,79.25,78.12,79.25,17134.0
2012-08-03,79.5,79.74,77.5,77.5,10524.0
2012-08-06,79.74,79.75,79.75,79.75,3000.0
2012-08-07,78.75,80.0,78.0,80.0,14050.0
2012-08-08,77.25,78.35,77.0,77.0,8104.0
2012-08-09,,,,78.82,0.0
2012-08-10,79.0,79.0,77.5,78.85,10481.0
2012-08-13,,,,79.0,0.0
2012-08-14,,,,77.26,0.0
2012-08-15,78.99,79.0,79.0,79.0,24.0
2012-08-16,78.75,79.0,77.62,79.0,4.0
2012-08-17,,,,78.0,0.0
2012-08-20,79.0,79.0,77.25,77.25,16220.0
2012-08-21,77.25,78.99,77.25,78.9,2633.0
2012-08-22,78.5,78.5,77.88,78.0,10000.0
2012-08-23,77.5,79.0,77.5,79.0,15000.0
2012-08-24,,,,77.89,0.0
2012-08-28,76.5,78.0,76.5,78.0,16000.0
2012-08-29,,,,78.49,0.0
2012-08-30,,,,78.49,0.0
2012-08-31,78.5,78.85,77.5,77.5,10068.0
2012-09-03,79.0,79.75,78.25,79.75,10320.0
2012-09-04,79.0,79.95,77.88,79.4,22000.0
2012-09-05,78.0,79.25,77.5,77.5,203426.0
2012-09-06,77.75,79.0,77.31,77.5,572025.0
2012-09-07,78.5,79.5,78.15,79.5,10320.0
2012-09-10,79.09,79.25,78.12,79.25,25.0
2012-09-11,79.25,79.25,77.5,78.75,17423.0
2012-09-12,78.1,79.0,78.0,79.0,835.0
2012-09-13,78.0,79.0,78.0,79.0,71757.0
2012-09-14,80.0,82.56,80.0,82.5,58941.0
2012-09-17,83.75,83.75,81.6,82.5,80321.0
2012-09-18,81.5,82.62,81.16,82.25,11243.0
2012-09-19,83.0,83.0,81.4,82.0,7938.0
2012-09-20,81.25,81.25,81.0,81.0,7973.0
2012-09-21,83.0,83.0,81.05,82.5,60479.0
2012-09-24,81.25,81.25,80.25,80.25,17000.0
2012-09-25,81.0,81.39,80.5,81.0,49542.0
2012-09-26,,,,80.25,0.0
2012-09-27,81.75,81.75,80.65,81.25,1668.0
2012-09-28,81.0,81.06,80.6,80.7,1225.0
2012-10-01,,,,80.73,0.0
2012-10-02,81.25,82.18,80.75,82.0,8710.0
2012-10-03,81.5,82.0,80.75,82.0,13495.0
2012-10-04,,,,81.5,0.0
2012-10-05,80.5,81.0,80.0,80.5,107370.0
2012-10-08,80.5,80.58,80.25,80.54,155398.0
2012-10-09,80.5,80.99,80.11,80.5,27470.0
2012-10-10,81.22,81.75,80.5,81.75,26.0
2012-10-11,81.75,81.75,81.0,81.0,4657.0
2012-10-12,81.5,81.5,80.1,81.12,1212.0
2012-10-15,80.5,81.12,80.0,80.25,146.0
2012-10-16,,,,80.85,0.0
2012-10-17,81.75,81.75,80.85,81.75,579.0
2012-10-18,,,,81.1,0.0
2012-10-19,,,,80.68,0.0
2012-10-22,81.75,81.75,80.74,81.25,20816.0
2012-10-23,81.5,81.7,80.75,80.75,60083.0
2012-10-24,80.75,81.38,80.62,80.75,100000.0
2012-10-25,81.25,82.0,80.65,82.0,5616.0
2012-10-26,,,,81.24,0.0
2012-10-29,,,,81.38,0.0
2012-10-30,,,,81.24,0.0
2012-10-31,81.5,82.0,81.1,81.5,582.0
2012-11-01,81.75,81.75,80.65,81.0,68.0
2012-11-02,80.5,81.7,80.5,81.0,22175.0
2012-11-05,,,,81.54,0.0
2012-11-06,,,,81.69,0.0
2012-11-07,80.5,81.69,80.5,81.69,1000.0
2012-11-08,81.75,81.75,80.66,80.66,22200.0
2012-11-09,,,,81.25,0.0
2012-11-12,82.0,82.0,81.5,82.0,29023.0
2012-11-13,81.0,81.78,80.51,80.6,50945.0
2012-11-14,80.5,81.54,80.5,80.5,3078.0
2012-11-15,81.5,82.0,79.0,80.75,43259.0
2012-11-16,79.0,80.38,79.0,79.5,8818.0
2012-11-19,81.25,81.5,79.35,81.5,4602.0
2012-11-20,79.75,81.5,79.75,80.25,5489.0
2012-11-21,81.25,81.25,79.75,80.7,111.0
2012-11-22,81.25,81.25,79.5,79.5,10963.0
2012-11-23,81.5,81.5,79.75,79.75,9128.0
2012-11-26,80.25,81.25,79.5,79.5,33068.0
2012-11-27,80.5,81.49,80.5,80.5,500.0
2012-11-28,81.0,81.32,79.92,81.0,100.0
2012-11-29,81.5,81.5,80.5,81.42,10633.0
2012-11-30,82.0,82.0,81.62,81.75,343.0
2012-12-03,82.0,82.0,80.92,81.88,2500.0
2012-12-04,81.25,81.99,80.69,81.75,4038.0
2012-12-05,82.0,82.5,81.81,81.81,15343.0
2012-12-06,82.31,82.75,,82.0,
2012-12-07,82.48,82.62,81.42,81.88,
2012-12-10,82.48,83.0,81.25,83.0,140.0
2012-12-11,83.0,83.0,81.65,82.7,36712.0
2012-12-12,83.75,83.85,82.2,83.3,1200.0
2012-12-13,83.75,83.75,82.42,82.42,4400.0
2012-12-14,83.5,83.5,82.02,83.2,12469.0
2012-12-17,82.25,83.49,82.0,82.0,12252.0
2012-12-18,82.25,84.0,,83.43,
2012-12-19,82.25,83.46,82.0,82.0,4854.0
2012-12-20,82.0,83.11,82.0,82.0,3036.0
2012-12-21,82.0,82.74,81.5,81.5,9527.0
2012-12-24,82.33,82.33,,82.33,
2012-12-27,83.0,83.0,82.0,83.0,59.0
2012-12-28,84.0,84.0,82.3,82.75,9311.0
2012-12-31,82.5,,82.25,82.25,
2013-01-02,84.0,84.0,82.36,83.56,10000.0
2013-01-03,84.0,84.5,83.0,84.5,19114.0
2013-01-04,84.5,85.5,84.15,85.5,28037.0
2013-01-07,86.0,87.0,85.99,86.5,14026.0
2013-01-08,85.5,86.57,85.5,86.5,38362.0
2013-01-09,87.0,87.0,86.12,86.75,4650.0
2013-01-10,86.0,87.0,86.0,87.0,9626.0
2013-01-11,87.0,87.0,86.0,87.0,5997.0
2013-01-14,87.0,87.75,86.0,87.5,61166.0
2013-01-15,87.5,87.75,86.75,87.25,72087.0
2013-01-16,86.75,87.74,86.75,87.64,838.0
2013-01-17,88.0,88.0,87.25,87.84,8400.0
2013-01-18,87.0,88.0,87.0,88.0,495082.0
2013-01-21,88.0,88.5,87.75,88.38,25036.0
2013-01-22,88.38,88.42,88.12,88.38,
2013-01-23,89.0,89.0,88.5,89.0,10000.0
2013-01-24,89.0,89.75,88.35,89.5,15000.0
2013-01-25,90.0,91.0,89.25,89.25,30280.0
2013-01-28,91.25,93.75,90.5,93.75,95869.0
2013-01-29,95.0,95.58,93.0,95.0,137651.0
2013-01-30,94.5,95.0,94.25,94.74,20000.0
2013-01-31,94.5,94.5,94.01,94.5,1990.0
2013-02-01,94.5,94.8,94.19,94.5,
2013-02-04,94.5,94.75,92.88,94.12,31814.0
2013-02-05,93.5,94.5,93.5,93.93,366.0
2013-02-06,94.5,94.5,93.5,93.5,24000.0
2013-02-07,94.25,94.75,93.76,94.75,19648.0
2013-02-08,94.0,95.0,93.51,95.0,111903.0
2013-02-11,94.75,95.25,94.5,95.25,71280.0
2013-02-12,95.08,95.75,95.0,95.75,57.0
2013-02-13,96.0,96.0,95.0,96.0,44500.0
2013-02-14,96.25,97.34,96.0,96.85,57716.0
2013-02-15,96.5,96.64,94.5,95.5,313409.0
2013-02-18,96.62,96.88,95.5,95.5,
2013-02-19,97.25,97.25,96.26,97.24,42.0
2013-02-20,97.5,98.0,97.12,97.75,17266.0
2013-02-21,97.25,97.5,97.25,97.25,6020.0
2013-02-22,97.5,97.5,97.25,97.25,10508.0
2013-02-25,98.0,98.75,98.0,98.5,74744.0
2013-02-26,97.25,99.0,97.2,97.25,6227.0
2013-02-27,99.0,99.0,98.25,99.0,9885.0
2013-02-28,99.5,99.5,98.94,99.24,8200.0
2013-03-01,99.5,100.0,99.25,99.25,19149.0
2013-03-04,100.0,100.0,99.25,100.0,16406.0
2013-03-05,100.0,100.0,99.5,99.75,70559.0
2013-03-06,100.75,100.75,100.07,100.75,33060.0
2013-03-07,100.0,100.74,100.0,100.0,5464.0
2013-03-08,100.0,104.25,100.0,104.25,256644.0
2013-03-11,104.0,104.5,103.18,104.5,30623.0
2013-03-12,104.5,104.5,104.0,104.25,38281.0
2013-03-13,104.25,104.49,103.0,103.5,40431.0
2013-03-14,103.5,104.12,103.5,103.5,104949.0
2013-03-15,103.5,104.0,101.75,103.0,196522.0
2013-03-18,102.75,103.02,102.0,102.5,35416.0
2013-03-19,102.62,102.85,101.88,102.4,19119.0
2013-03-20,102.5,103.5,102.5,102.5,5890.0
2013-03-21,103.5,103.5,102.5,102.98,4200.0
2013-03-22,102.0,103.0,102.0,102.0,50923.0
2013-03-25,103.0,103.24,102.71,103.13,20000.0
