Date,Open,High,Low,Close,Volume
2012-01-03,540.5,549.0,535.81,539.0,36679.0
2012-01-04,543.0,545.0,538.31,544.89,45306.0
2012-01-05,542.5,545.0,535.0,542.5,70267.0
2012-01-06,542.5,546.0,536.11,539.0,35672.0
2012-01-09,537.0,548.0,536.5,539.0,47552.0
2012-01-10,555.5,560.0,538.01,557.5,32839.0
2012-01-11,554.0,565.49,552.11,558.5,43237.0
2012-01-12,562.0,568.0,558.0,568.0,39588.0
2012-01-13,566.0,574.5,563.0,567.0,103991.0
2012-01-16,565.0,574.5,562.8,565.5,13643.0
2012-01-17,570.0,577.32,569.92,576.0,36332.0
2012-01-18,577.5,582.0,568.99,581.0,43005.0
2012-01-19,582.5,589.46,579.22,588.89,35660.0
2012-01-20,592.0,595.89,582.78,594.89,12355.0
2012-01-23,584.0,595.99,582.5,589.99,11512.0
2012-01-24,580.0,593.99,580.0,590.0,16242.0
2012-01-25,587.0,599.65,587.0,598.0,27576.0
2012-01-26,600.0,604.49,592.0,604.49,17054.0
2012-01-27,605.0,606.49,588.51,598.0,30805.0
2012-01-30,591.5,597.29,584.99,586.0,15704.0
2012-01-31,592.0,602.49,592.0,594.5,31443.0
2012-02-01,600.0,604.78,590.01,604.78,15463.0
2012-02-02,601.5,602.0,598.4,602.0,16073.0
2012-02-03,605.0,611.0,598.41,610.99,12678.0
2012-02-06,610.05,611.45,601.0,611.45,14529.0
2012-02-07,604.0,612.0,598.0,609.0,70743.0
2012-02-08,612.0,616.11,607.0,614.0,7975.0
2012-02-09,611.5,616.0,611.1,616.0,22834.0
2012-02-10,614.0,614.99,602.0,614.24,14607.0
2012-02-13,616.0,620.0,606.0,620.0,3564.0
2012-02-14,606.5,619.99,606.5,619.99,350.0
2012-02-15,620.0,625.0,607.4,625.0,5478.0
2012-02-16,613.0,622.0,613.0,618.0,17616.0
2012-02-17,,,,628.0,0.0
2012-02-20,634.0,634.0,625.7,630.9,7063.0
2012-02-21,624.0,633.0,622.2,626.5,11200.0
2012-02-22,630.0,632.5,627.0,632.0,2960.0
2012-02-23,625.0,634.0,620.01,630.7,9672.0
2012-02-24,627.0,633.0,620.01,629.45,1038.0
2012-02-27,625.0,632.45,615.0,620.0,8381.0
2012-02-28,618.0,628.0,617.0,628.0,1441.0
2012-02-29,621.0,630.0,617.0,620.0,25712.0
2012-03-01,,,,619.11,0.0
2012-03-02,622.0,629.0,617.61,622.0,2504.0
2012-03-05,620.0,628.9,617.0,617.0,13466.0
2012-03-06,629.99,629.99,604.26,604.26,4370.0
2012-03-07,601.5,613.5,600.0,612.5,950.0
2012-03-08,619.0,620.0,610.0,610.0,2894.0
2012-03-09,617.5,628.5,617.0,628.0,5075.0
2012-03-12,630.5,634.5,615.0,622.0,7853.0
2012-03-13,622.0,627.0,612.0,620.0,19428.0
2012-03-14,620.0,622.11,611.0,620.0,65803.0
2012-03-15,615.0,622.0,615.0,620.0,7386.0
2012-03-16,612.5,623.0,610.0,610.5,4531.0
2012-03-19,624.0,624.0,610.0,610.0,1068.0
2012-03-20,608.0,613.5,594.5,598.99,20183.0
2012-03-21,602.0,605.0,595.5,602.0,2924.0
2012-03-22,595.0,604.5,590.0,603.0,14979.0
2012-03-23,590.5,603.5,588.64,590.0,3093.0
2012-03-26,597.0,604.24,590.0,597.0,863.0
2012-03-27,599.0,609.0,594.0,601.0,3569.0
2012-03-28,599.5,607.86,596.0,602.52,3000.0
2012-03-29,595.0,600.0,589.0,600.0,14142.0
2012-03-30,589.0,607.0,589.0,607.0,27519.0
2012-04-02,597.75,613.4,595.5,595.5,35.0
2012-04-03,596.5,610.9,594.0,600.0,9543.0
2012-04-04,592.0,598.9,580.5,580.5,5637.0
2012-04-05,587.0,596.9,584.01,591.0,7034.0
2012-04-10,580.16,595.78,578.51,580.0,3818.0
2012-04-11,585.0,585.0,575.0,575.0,1290.0
2012-04-12,575.11,589.89,575.0,575.0,21.0
2012-04-13,593.0,593.0,575.0,589.0,4134.0
2012-04-16,575.5,588.28,575.2,585.0,6392.0
2012-04-17,580.0,587.8,575.0,581.5,10705.0
2012-04-18,581.5,591.8,580.01,580.51,7246.0
2012-04-19,592.0,592.0,577.0,580.75,9550.0
2012-04-20,582.0,583.5,576.5,576.51,2844.0
2012-04-23,580.0,582.88,567.01,567.01,4797.0
2012-04-24,567.5,576.7,567.5,568.0,453.0
2012-04-25,574.0,575.99,569.0,569.0,3573.0
2012-04-26,574.0,577.75,562.5,562.5,7987.0
2012-04-27,569.0,569.0,566.6,569.0,2236.0
2012-04-30,563.0,568.6,562.5,567.0,2480.0
2012-05-01,562.5,566.5,562.5,566.0,27412.0
2012-05-02,562.5,566.0,557.5,557.5,3930.0
2012-05-03,557.5,568.3,557.5,557.5,828.0
2012-05-04,568.0,568.0,545.5,545.5,10237.0
2012-05-08,546.0,559.0,540.0,542.36,9787.0
2012-05-09,540.0,547.57,528.0,528.0,5113.0
2012-05-10,530.0,543.89,529.0,535.0,5008.0
2012-05-11,527.0,541.04,526.5,526.5,3749.0
2012-05-14,524.5,526.0,514.5,516.5,29500.0
2012-05-15,,,,520.5,0.0
2012-05-16,518.0,518.0,509.0,516.0,13915.0
2012-05-17,509.0,514.6,502.2,502.2,2731.0
2012-05-18,502.0,508.0,486.7,492.0,37046.0
2012-05-21,491.5,495.95,490.2,495.65,1600.0
2012-05-22,497.0,511.5,497.0,508.0,9200.0
2012-05-23,496.0,502.1,481.0,483.0,11880.0
2012-05-24,491.0,499.0,488.42,499.0,32480.0
2012-05-25,492.0,499.0,487.2,492.0,512.0
2012-05-28,498.25,502.8,498.25,498.5,10193.0
2012-05-29,503.0,511.5,500.0,511.5,4648.0
2012-05-30,500.0,508.0,500.0,508.0,9882.0
2012-05-31,511.0,511.0,498.1,511.0,525.0
2012-06-01,507.0,510.49,498.0,502.49,24736.0
2012-06-06,498.0,511.49,495.1,502.5,4176.0
2012-06-07,500.0,505.0,498.0,500.5,15789.0
2012-06-08,501.5,501.5,485.0,490.0,19144.0
2012-06-11,500.0,503.3,498.11,502.0,16162.0
2012-06-12,496.0,501.4,495.5,496.0,20053.0
2012-06-13,506.0,506.0,495.25,506.0,745.0
2012-06-14,508.5,508.5,501.25,507.0,7433.0
2012-06-15,508.5,508.5,498.0,498.5,14286.0
2012-06-18,499.0,505.5,495.5,500.01,232.0
2012-06-19,503.5,509.0,495.51,509.0,19287.0
2012-06-20,512.0,516.5,512.0,515.49,14483.0
2012-06-21,512.0,517.4,512.0,512.0,751.0
2012-06-22,504.0,504.1,501.6,504.0,12620.0
2012-06-25,501.5,513.0,495.65,497.01,8060.0
2012-06-26,495.0,500.5,493.0,493.0,5000.0
2012-06-27,495.0,502.62,495.0,497.0,514.0
2012-06-28,491.0,501.0,490.0,490.0,448.0
2012-06-29,504.0,505.0,497.0,501.0,91988.0
2012-07-02,503.0,507.9,500.0,500.5,84455.0
2012-07-03,510.0,519.75,510.0,515.0,8180.0
2012-07-04,514.0,520.78,513.01,517.0,499.0
2012-07-05,513.0,522.0,513.0,515.0,27080.0
2012-07-06,513.0,521.33,513.0,513.0,1982.0
2012-07-09,513.0,519.67,507.0,507.0,3832.0
2012-07-10,507.0,515.0,506.62,507.0,3850.0
2012-07-11,507.0,509.0,500.0,508.0,16957.0
2012-07-12,500.01,504.0,494.0,494.0,4419.0
2012-07-13,494.0,507.8,494.0,503.0,14929.0
2012-07-16,499.0,506.5,499.0,499.0,11697.0
2012-07-17,499.0,508.0,499.0,499.0,9045.0
2012-07-18,500.0,504.0,499.0,499.0,14084.0
2012-07-19,507.0,516.81,507.0,507.9,17883.0
2012-07-20,508.0,513.0,505.0,505.0,6307.0
2012-07-23,501.5,508.44,492.32,498.5,18506.0
2012-07-24,493.0,498.4,493.0,493.0,9402.0
2012-07-25,485.0,496.0,485.0,493.0,5379.0
2012-07-26,490.5,497.5,490.0,494.5,1100.0
2012-07-27,503.0,506.12,497.01,506.12,9679.0
2012-07-30,510.0,519.5,510.0,512.0,18788.0
2012-07-31,517.0,519.0,517.0,517.67,10625.0
2012-08-01,519.0,519.0,509.0,516.5,1151.0
2012-08-02,511.0,519.1,511.0,513.7,3154.0
2012-08-03,514.5,520.0,506.0,516.5,5664.0
2012-08-06,522.0,524.0,515.01,522.0,3022.0
2012-08-07,519.0,521.99,514.51,519.0,26837.0
2012-08-08,516.0,522.0,514.21,516.0,15959.0
