Date,Open,High,Low,Close,Volume
2013-08-21,117.0,117.0,115.5,115.5,24939
2013-08-22,115.0,116.0,115.0,115.86,30222
2013-08-23,116.0,116.0,116.0,115.25,20000
2013-08-27,115.5,115.5,114.5,114.5,47914
2013-08-28,115.0,115.0,114.0,113.94,41340
2013-08-29,114.0,115.0,114.0,114.0,14505
2013-09-02,115.0,115.0,113.75,114.0,16446
2013-09-05,114.0,118.0,114.0,115.0,46618
2013-09-09,115.0,115.5,114.0,114.0,29503
2013-09-20,115.75,115.75,115.5,115.7,11020
2013-09-24,115.5,115.5,115.0,115.56,31528
2013-09-25,114.5,114.5,113.5,114.25,25899
2013-09-27,112.25,112.25,110.75,110.5,84882
2013-10-01,111.5,111.75,110.5,110.75,23262
2013-10-03,111.0,111.0,110.25,110.25,6694
2013-10-04,111.5,111.5,109.75,109.75,8575
2013-10-07,109.5,110.0,109.0,109.0,1158
2013-10-10,108.75,109.5,108.5,108.9,5175
2013-10-11,109.5,111.0,109.5,109.5,55455
2013-10-14,111.0,111.0,110.0,110.8,30059
2013-10-15,111.5,112.5,111.25,112.25,35769
2013-10-16,112.5,112.5,112.5,100.0,20000
2013-10-17,112.5,112.5,112.0,112.0,0
2013-10-18,112.75,113.0,112.75,99.5,30000
2013-10-21,113.0,113.0,113.0,99.5,0
2013-10-22,113.5,113.5,113.0,113.0,10034
2013-10-23,112.75,112.75,112.25,112.5,142242
2013-10-24,112.75,112.75,112.0,112.0,23726
2013-10-25,112.5,112.5,112.25,112.01,104817
2013-10-28,112.0,112.75,112.0,112.0,135701
2013-10-29,112.75,113.25,112.75,112.75,500632
2013-10-30,113.5,114.0,112.5,113.4,20131
2013-10-31,113.0,113.0,112.5,112.5,39599
2013-11-01,113.0,113.0,112.5,112.5,20130
2013-11-04,112.0,112.75,112.0,112.5,9061
2013-11-05,113.24,112.25,112.25,112.25,129
2013-11-06,113.25,113.25,112.75,112.75,27150
2013-11-07,113.5,113.5,112.0,112.5,20002
2013-11-08,112.5,112.5,112.25,112.45,29199
2013-11-11,113.0,113.0,112.0,112.38,42915
2013-11-12,112.25,112.25,111.75,112.25,80219
2013-11-13,111.5,112.0,111.5,111.75,1079
2013-11-14,112.5,112.5,112.0,111.5,21569
2013-11-15,112.75,113.0,112.5,112.75,90759
2013-11-18,113.0,113.0,113.0,113.0,3238
2013-11-19,112.5,113.0,112.5,112.75,7882
2013-11-20,112.75,112.75,112.25,112.5,6951
2013-11-21,112.75,112.75,112.5,112.62,34480
2013-11-22,113.5,113.5,113.0,113.0,609
2013-11-25,112.75,114.0,112.75,113.5,37341
2013-11-26,114.0,115.0,114.0,115.2,79436
2013-11-27,115.25,115.25,114.5,115.0,53611
2013-11-28,114.5,114.75,114.5,114.75,13174
2013-11-29,115.0,115.25,114.5,115.25,3799
2013-12-02,114.0,114.25,113.75,114.0,7999
2013-12-03,113.5,113.5,112.5,113.0,65838
2013-12-04,113.5,,,112.25,0
2013-12-05,112.25,113.25,112.0,112.0,1674
2013-12-06,112.75,,,112.77,0
2013-12-09,113.0,,,112.99,0
2013-12-10,113.5,113.5,111.5,112.5,14574
2013-12-11,111.5,111.5,111.5,111.5,86
2013-12-12,112.0,112.0,111.5,110.8,20075
2013-12-13,111.61,,,111.5,0
2013-12-16,110.5,111.0,110.5,111.0,2195
2013-12-17,112.0,112.0,110.0,110.0,44146
2013-12-18,111.5,,,111.35,0
2013-12-19,112.0,112.0,112.0,111.33,5000
2013-12-20,112.0,112.0,111.75,111.75,30012
2013-12-23,112.75,113.25,111.75,111.75,22221
2013-12-24,111.8,,,112.5,0
2013-12-27,112.75,113.0,112.0,112.0,4403
2013-12-30,113.0,113.0,112.0,112.0,1134
2013-12-31,112.0,112.25,112.0,112.25,1209
2014-01-02,113.0,113.5,112.25,112.25,15430
2014-01-03,112.25,112.75,112.0,112.5,17047
2014-01-06,113.0,114.0,112.5,112.5,26672
2014-01-07,114.0,114.0,114.0,114.0,10000
2014-01-08,114.25,114.25,114.25,114.25,1109
2014-01-09,113.5,113.5,113.5,113.25,6714
2014-01-10,113.5,113.5,113.0,113.5,14134
2014-01-13,113.5,114.5,113.5,114.5,11121
2014-01-14,113.0,113.5,112.25,113.62,51948
2014-01-15,114.0,114.0,114.0,113.85,10000
2014-01-16,114.5,114.5,113.75,113.75,5972
2014-01-17,115.0,116.0,115.0,115.75,46136
2014-01-20,115.5,116.0,114.5,114.5,35385
2014-01-21,115.25,115.25,115.25,115.25,1120
2014-01-22,115.0,115.0,114.5,114.5,21218
2014-01-23,114.5,114.5,114.0,114.0,11252
2014-01-24,112.5,112.75,112.25,112.38,41614
2014-01-27,111.5,111.5,111.5,110.66,11616
2014-01-28,111.5,111.5,110.5,111.49,58092
2014-01-29,110.75,110.75,110.25,110.75,6257
2014-01-30,110.5,110.5,109.75,110.65,61000
2014-01-31,110.0,110.25,110.0,110.25,31350
2014-02-03,110.0,110.5,110.0,110.25,22500
2014-02-04,109.5,110.0,109.5,110.0,21500
2014-02-05,110.5,110.5,109.0,109.0,16951
2014-02-06,109.25,109.75,108.5,108.5,42109
2014-02-07,109.25,109.5,108.5,109.0,162761
2014-02-10,108.5,108.5,108.5,108.5,1121
2014-02-11,109.75,109.75,109.5,109.75,41326
2014-02-12,110.0,110.0,109.25,109.25,62000
2014-02-13,108.5,108.5,108.25,108.25,16126
2014-02-14,109.0,109.0,108.5,108.5,10171
2014-02-17,109.0,109.0,108.25,109.0,22026
2014-02-18,108.75,108.75,108.5,108.5,325
2014-02-19,107.5,107.5,106.5,107.25,61606
2014-02-20,106.0,106.0,104.0,104.5,423364
2014-02-21,105.0,105.25,104.5,105.25,21533
2014-02-24,105.0,105.5,104.0,105.5,63767
2014-02-25,104.5,105.0,103.5,104.12,303461
2014-02-26,104.41,,,104.38,0
2014-02-27,104.6,,,104.34,0
2014-02-28,105.0,105.0,105.0,104.33,1838
2014-03-03,104.0,104.75,103.25,104.75,35604
2014-03-04,104.25,107.0,104.25,107.0,58755
2014-03-05,107.25,107.25,107.25,107.25,2982
2014-03-06,106.5,108.0,106.5,108.0,49347
2014-03-07,108.0,108.0,107.0,106.66,7702
2014-03-10,108.0,108.5,107.25,108.5,24982
2014-03-11,108.5,108.5,108.25,108.25,6341
2014-03-12,108.0,108.0,107.5,107.75,30984
2014-03-13,107.5,107.5,107.5,107.5,1901
2014-03-14,107.5,107.5,107.25,107.25,13837
2014-03-17,107.0,108.99,107.0,108.5,4359
2014-03-18,107.0,108.25,107.0,107.7,62897
2014-03-19,107.5,108.06,107.5,107.5,137
2014-03-20,108.25,108.25,107.0,107.0,708
2014-03-21,107.5,108.25,107.0,107.0,14954
2014-03-24,107.5,108.25,107.5,108.0,2415
2014-03-25,108.0,108.75,107.64,108.75,13202
2014-03-26,109.0,109.0,107.5,108.6,45889
2014-03-27,107.75,109.06,107.0,107.25,47167
2014-03-28,107.0,108.75,107.0,108.0,98
2014-03-31,108.5,108.9,107.5,108.0,38894
2014-04-01,109.5,110.0,108.01,109.25,20247
2014-04-02,110.0,110.0,108.21,110.0,0
2014-04-03,109.75,110.5,109.12,109.5,2674
2014-04-04,110.5,110.5,109.56,110.5,2867
2014-04-07,109.5,109.5,108.25,109.5,41152
2014-04-08,108.0,109.0,107.75,107.75,1700
