Date,Open,High,Low,Close,Volume
2012-01-03,138.9,139.9,136.73,139.9,166958
2012-01-04,139.8,142.7,139.6,141.9,363483
2012-01-05,141.8,143.0,141.4,142.0,320195
2012-01-06,141.5,142.0,141.0,141.5,112114
2012-01-09,140.8,141.0,139.68,140.0,201453
2012-01-10,140.5,140.5,138.7,139.5,483332
2012-01-11,140.5,142.1,139.6,142.1,153046
2012-01-12,141.3,143.1,140.1,143.1,213315
2012-01-13,143.3,145.2,140.5,145.2,142938
2012-01-16,144.5,144.5,140.0,140.0,246419
2012-01-17,140.0,141.9,138.4,141.1,200162
2012-01-18,140.3,142.5,139.2,139.9,146333
2012-01-19,142.0,147.2,141.7,146.5,491251
2012-01-20,147.0,147.5,146.0,146.0,145937
2012-01-23,147.3,147.6,145.38,147.6,56066
2012-01-24,146.5,148.0,146.5,147.35,381455
2012-01-25,147.6,147.6,140.72,145.2,491070
2012-01-26,145.2,148.7,144.0,148.1,99358
2012-01-27,147.6,155.6,146.7,155.6,494841
2012-01-30,155.5,155.5,151.7,152.7,299496
2012-01-31,152.9,154.8,150.97,151.0,445376
2012-02-01,148.5,153.3,148.0,152.3,2065508
2012-02-02,154.0,155.9,152.3,155.0,843784
2012-02-03,154.8,154.8,151.7,151.7,1107922
2012-02-06,151.0,154.0,150.04,152.9,283743
2012-02-07,152.5,154.5,152.5,153.4,196476
2012-02-08,153.2,153.8,151.9,152.2,82892
2012-02-09,153.0,155.8,151.95,155.8,256079
2012-02-10,154.9,155.2,153.7,154.5,84428
2012-02-13,155.1,156.6,153.0,156.6,115624
2012-02-14,155.9,155.9,154.8,155.0,85925
2012-02-15,155.5,155.7,152.2,152.9,268273
2012-02-16,151.8,154.0,151.8,153.7,80661
2012-02-17,154.0,154.7,152.15,152.5,133618
2012-02-20,153.6,154.5,152.46,154.0,59952
2012-02-21,153.5,153.7,151.5,151.6,197533
2012-02-22,151.4,151.4,149.71,150.4,193406
2012-02-23,151.4,152.7,149.25,152.0,127619
