Date,Open,High,Low,Close,Volume
2013-07-12,103.0,103.5,100.0,103.0,0
2013-07-15,102.0,,102.0,102.25,0
2013-07-16,102.05,102.25,102.0,102.08,19000
2013-07-17,102.05,,101.52,102.1,0
2013-07-18,101.51,,101.51,101.51,0
2013-07-19,101.52,,101.52,101.52,0
2013-07-22,101.25,,,101.5,0
2013-07-23,101.26,,,101.75,0
2013-07-24,101.5,,,101.01,0
2013-07-25,101.01,,,101.01,0
2013-07-26,101.01,,,101.01,0
2013-07-29,101.01,,,101.01,0
2013-07-30,101.01,,,101.01,0
2013-07-31,101.75,,,101.0,0
2013-08-01,100.52,,,100.66,0
2013-08-02,100.66,,,100.98,0
2013-08-05,100.98,,,100.98,0
2013-08-06,100.98,,,101.0,0
2013-08-07,101.34,,,101.34,0
2013-08-08,100.66,,,100.98,0
2013-08-09,100.5,,,100.5,0
2013-08-12,100.98,,,100.66,0
2013-08-13,101.23,101.5,101.5,101.5,25000
2013-08-14,101.25,101.75,101.75,101.75,16000
2013-08-15,101.49,101.75,101.75,101.75,10
2013-08-16,101.99,,,101.25,0
2013-08-19,101.41,101.75,101.25,101.75,35010
2013-08-20,101.5,,,101.75,0
2013-08-21,101.99,101.5,101.5,101.5,1021
2013-08-22,101.5,,,101.75,0
2013-08-23,101.5,101.75,101.75,102.0,2980
2013-08-27,102.0,102.0,102.0,102.0,15000
2013-08-28,102.0,,,102.25,0
2013-08-29,102.25,,,102.25,0
2013-08-30,102.25,,,102.25,0
2013-09-02,102.28,,,102.25,0
2013-09-03,102.28,,,102.75,0
2013-09-04,102.5,,,102.75,0
2013-09-05,102.65,,,102.5,0
2013-09-06,102.72,,,102.5,0
2013-09-09,102.62,,,102.75,0
2013-09-10,102.62,,,102.95,0
2013-09-11,103.0,,,103.0,0
2013-09-12,103.6,,,104.0,0
2013-09-13,103.25,104.0,104.0,104.0,107
2013-09-16,104.1,,,103.6,0
2013-09-17,104.0,104.75,103.75,103.5,88386
2013-09-18,104.0,104.0,103.75,103.75,541
2013-09-19,104.5,103.75,103.75,104.75,107
2013-09-20,103.75,104.75,103.5,104.0,2171841
2013-09-24,103.75,103.75,103.75,103.5,1331
2013-09-25,103.99,104.25,104.25,104.25,149
2013-09-26,103.5,103.5,103.5,103.5,15100
2013-09-27,104.25,104.25,103.5,103.5,7166
2013-09-30,103.5,103.5,103.5,103.5,2730
2013-10-01,104.25,104.25,103.5,103.5,3044
2013-10-02,104.0,104.0,103.0,103.0,3671
2013-10-03,103.5,103.0,103.0,103.0,3165
2013-10-04,104.0,104.0,102.5,102.5,27012
2013-10-07,103.5,102.75,102.5,102.99,4558
2013-10-08,103.25,103.25,103.25,102.92,2
2013-10-09,102.5,102.5,102.5,102.5,1400
2013-10-10,103.5,103.5,102.75,103.0,5367
2013-10-11,103.0,103.0,102.5,102.5,128
2013-10-14,102.5,102.5,102.0,102.0,25089
2013-10-15,103.0,103.0,102.0,101.88,65082
2013-10-16,102.0,,,101.99,0
2013-10-17,101.9,101.5,101.5,101.5,616
