Date,Open,High,Low,Close,Volume
2012-01-03,194.8,199.76,191.3,199.1,18881114
2012-01-04,199.0,200.2,197.9,198.0,12847581
2012-01-05,198.1,198.9,194.7,194.9,15666783
2012-01-06,195.7,196.8,193.9,196.0,11782439
2012-01-09,196.8,197.6,195.6,196.4,18766358
2012-01-10,198.0,200.12,197.8,199.5,15711433
2012-01-11,199.4,201.9,198.9,201.5,15369482
2012-01-12,202.6,203.1,199.1,199.7,16730246
2012-01-13,203.9,203.9,199.9,203.4,26711605
2012-01-16,202.9,208.6,202.36,207.6,16919883
2012-01-17,209.7,209.92,205.3,205.8,19383310
2012-01-18,204.7,205.75,201.74,203.9,16173612
2012-01-19,204.6,204.6,201.5,203.1,18635703
2012-01-20,203.8,207.19,201.4,205.5,17239223
2012-01-23,207.0,208.02,204.1,206.2,13708559
2012-01-24,205.1,209.4,204.2,208.8,17321124
2012-01-25,209.3,210.0,206.72,207.4,10654987
2012-01-26,208.0,208.8,206.0,207.8,15999792
2012-01-27,206.2,206.8,201.5,203.5,25465062
2012-01-30,202.4,203.38,201.6,202.5,12567346
2012-01-31,202.0,205.4,202.0,203.5,23139579
2012-02-01,204.4,207.5,203.8,206.5,15300887
2012-02-02,207.6,208.0,204.7,205.9,15980082
2012-02-03,205.0,214.9,203.0,214.0,33572938
2012-02-06,213.3,217.0,213.3,216.0,23985501
2012-02-07,216.3,217.32,214.4,215.1,16998267
2012-02-08,215.7,216.8,212.7,212.7,15831630
2012-02-09,213.7,214.9,212.2,213.5,17014057
2012-02-10,213.5,214.9,212.0,214.0,15217874
2012-02-13,215.1,215.7,214.2,215.7,8443076
2012-02-14,214.9,216.8,213.6,214.7,12355786
2012-02-15,215.6,216.74,212.5,213.5,13658509
2012-02-16,212.6,212.8,210.0,212.4,17825168
2012-02-17,213.5,215.2,212.4,214.7,16648358
2012-02-20,215.8,216.15,213.6,215.6,6294587
2012-02-21,215.8,218.08,214.7,216.0,19836397
2012-02-22,216.4,216.7,214.3,215.0,11213130
2012-02-23,215.1,216.59,214.4,215.5,13125111
2012-02-24,216.6,220.3,216.1,216.5,14050056
2012-02-27,216.4,218.45,215.3,217.8,10443417
2012-02-28,218.7,219.0,215.4,215.9,14167068
2012-02-29,216.1,216.62,213.8,215.0,16528704
2012-03-01,214.9,218.4,213.9,217.6,14631611
2012-03-02,218.0,218.0,215.5,216.6,10196082
2012-03-05,215.1,216.9,214.78,215.9,7891910
2012-03-06,215.1,215.8,210.2,211.1,13654813
2012-03-07,210.9,211.7,209.8,211.5,11955276
2012-03-08,212.4,217.7,210.9,216.2,14513106
2012-03-09,215.9,221.1,215.4,218.8,16703034
2012-03-12,218.1,218.94,216.0,216.6,10703799
2012-03-13,217.9,218.5,216.5,217.8,10609187
2012-03-14,218.9,219.48,217.68,218.0,14962543
2012-03-15,217.8,218.9,214.8,215.8,15422167
2012-03-16,215.8,219.0,214.0,215.6,19761430
2012-03-19,216.4,219.3,216.1,217.4,10535926
2012-03-20,216.3,218.3,215.5,216.0,10679169
2012-03-21,217.1,220.01,216.4,217.6,15083056
2012-03-22,217.5,220.3,216.4,220.2,15127721
2012-03-23,228.0,235.3,227.58,232.1,56492235
2012-03-26,232.9,232.99,228.2,230.1,19434712
2012-03-27,230.6,232.9,218.8,227.6,13166660
2012-03-28,227.6,230.02,226.7,227.6,19063476
2012-03-29,227.6,227.6,222.5,223.4,17210750
2012-03-30,223.6,227.46,223.36,226.4,17114154
2012-04-02,228.0,228.7,223.9,228.6,15661216
2012-04-03,229.7,229.9,227.5,227.9,13180049
