Date,Open,High,Low,Close,Volume
2012-01-03,392.0,398.0,392.0,398.0,3863.0
2012-01-04,390.0,390.0,390.0,390.0,2500.0
2012-01-05,398.68,398.68,0.0,398.68,217.0
2012-01-06,398.8,399.91,0.0,399.91,1260.0
2012-01-09,399.68,399.68,0.0,399.68,159.0
2012-01-10,402.0,402.0,0.0,402.0,3500.0
2012-01-11,402.46,402.46,393.0,393.0,1799.0
2012-01-12,402.68,402.68,0.0,402.68,26.0
2012-01-13,392.0,392.0,390.0,390.0,8827.0
2012-01-16,392.0,399.12,389.13,392.0,14588.0
2012-01-17,397.0,404.01,397.0,404.01,408.0
2012-01-18,404.0,405.0,391.0,405.0,5846.0
2012-01-19,406.0,406.0,397.0,399.9,147689.0
2012-01-20,395.0,0.0,394.75,394.75,6206.0
2012-01-23,398.0,399.0,398.0,399.0,3044.0
2012-01-24,400.0,400.0,400.0,400.0,1000.0
2012-01-25,398.0,407.79,398.0,399.0,3081.0
2012-01-26,,,,394.0,0.0
2012-01-30,398.0,398.5,397.19,398.5,8688.0
2012-01-31,400.0,401.0,382.25,382.25,10917.0
2012-02-01,394.0,402.0,394.0,400.0,31377.0
2012-02-02,405.0,405.0,398.5,398.5,5136.0
2012-02-03,402.0,410.14,398.11,410.14,12966.0
2012-02-06,401.0,401.0,397.93,401.0,7100.0
2012-02-07,401.0,410.0,400.0,410.0,5975.0
2012-02-08,410.0,415.89,402.0,402.0,3115.0
2012-02-09,415.0,415.0,415.0,415.0,425.0
2012-02-10,410.0,412.74,409.0,412.74,3848.0
2012-02-13,402.0,415.0,402.0,404.51,841.0
2012-02-14,412.0,419.55,412.0,415.61,6495.0
2012-02-15,415.0,419.0,415.0,419.0,2392.0
2012-02-16,416.0,416.0,416.0,416.0,43.0
2012-02-17,420.0,421.0,413.11,420.5,3027.0
2012-02-20,422.0,424.89,421.11,421.11,2540.0
2012-02-21,420.0,422.11,420.0,421.0,13906.0
2012-02-22,420.0,420.0,416.0,417.11,2500.0
2012-02-23,414.0,420.0,414.0,415.0,2775.0
2012-02-24,418.0,425.0,418.0,418.0,1519.0
2012-02-27,418.0,418.0,418.0,418.0,2459.0
2012-02-28,419.5,424.0,419.0,424.0,318.0
2012-02-29,423.49,418.0,416.61,418.0,310.0
2012-03-01,426.0,426.0,417.0,420.0,2901.0
2012-03-02,420.0,423.49,415.07,420.0,2016.0
2012-03-05,417.0,421.89,415.0,415.0,1650.0
2012-03-06,413.0,413.0,410.0,410.0,4226.0
2012-03-07,409.0,417.56,409.0,417.56,3556.0
2012-03-08,413.5,418.0,413.0,413.0,541.0
2012-03-09,419.75,419.75,411.11,419.75,1060.0
2012-03-12,419.75,419.83,409.92,419.75,70.0
2012-03-13,420.0,424.0,414.0,424.0,3984.0
2012-03-14,424.0,426.0,418.5,426.0,5887.0
