Date,Open,High,Low,Close,Volume
2012-01-03,325.1,328.3,320.5,328.3,887225
2012-01-04,326.6,331.3,326.0,330.1,1298043
2012-01-05,329.7,331.2,327.2,330.0,1187539
2012-01-06,331.3,332.2,328.9,332.2,497508
2012-01-09,331.7,334.3,329.9,331.8,589149
2012-01-10,332.9,341.6,332.9,337.3,974555
2012-01-11,336.9,338.1,329.8,332.6,634396
2012-01-12,332.0,335.2,330.3,332.2,529190
2012-01-13,333.8,335.22,329.2,333.5,616782
2012-01-16,333.4,335.2,331.2,334.6,377564
2012-01-17,337.8,339.6,332.6,333.9,320086
2012-01-18,333.4,337.5,331.8,337.0,430358
2012-01-19,337.3,341.8,335.84,341.1,611177
2012-01-20,341.8,347.8,341.0,345.3,707178
2012-01-23,345.9,346.5,338.9,339.5,538803
2012-01-24,337.7,340.76,335.1,336.0,517069
2012-01-25,335.0,347.5,335.0,339.84,718094
2012-01-26,350.1,359.8,348.7,353.2,1472768
2012-01-27,357.9,357.9,344.6,344.6,771651
2012-01-30,344.4,346.0,337.9,343.5,482919
2012-01-31,343.6,346.8,342.2,344.0,451179
2012-02-01,345.0,357.5,344.8,355.3,934155
2012-02-02,354.4,362.5,354.4,360.5,895379
2012-02-03,360.0,369.7,359.6,369.7,679449
2012-02-06,368.8,370.0,367.0,368.0,283082
2012-02-07,368.2,371.1,363.6,367.7,940730
2012-02-08,368.3,371.0,363.9,370.2,458764
2012-02-09,370.5,374.9,367.4,372.7,450600
2012-02-10,370.8,376.0,367.7,375.2,912315
2012-02-13,375.9,379.8,374.24,378.9,602115
2012-02-14,377.0,383.4,377.0,379.9,562035
2012-02-15,381.7,383.6,375.6,380.4,474718
2012-02-16,379.0,379.9,372.4,373.5,611971
2012-02-17,375.0,377.8,371.8,374.4,452929
2012-02-20,375.5,377.4,372.8,376.2,374689
2012-02-21,375.7,381.1,373.2,380.0,523425
2012-02-22,379.3,384.8,377.0,381.9,353747
2012-02-23,381.4,384.11,378.0,380.4,548956
2012-02-24,380.2,383.2,375.6,378.2,460845
2012-02-27,377.6,379.5,370.7,373.3,528896
2012-02-28,374.3,377.7,372.6,376.7,243500
2012-02-29,376.5,382.3,376.0,379.8,401684
2012-03-01,378.8,383.0,376.9,381.8,488774
2012-03-02,381.8,386.2,379.6,385.0,386654
2012-03-05,384.5,393.0,382.5,389.1,749986
2012-03-06,388.7,389.1,377.9,380.0,797168
2012-03-07,379.9,381.6,375.3,378.6,668439
2012-03-08,380.6,384.6,377.4,383.9,467235
2012-03-09,383.1,388.4,381.6,384.2,428299
2012-03-12,384.0,388.7,383.1,386.5,434678
2012-03-13,388.1,390.4,385.8,389.8,342164
2012-03-14,392.3,392.3,384.3,386.8,749035
2012-03-15,387.0,389.5,385.2,387.1,680989
2012-03-16,386.9,390.0,375.1,376.1,1590668
2012-03-19,376.6,382.0,375.2,381.2,696854
2012-03-20,380.3,382.8,377.2,380.8,695408
2012-03-21,381.4,383.9,377.2,380.2,494896
2012-03-22,378.4,382.5,377.2,378.3,514210
2012-03-23,380.4,387.9,378.8,387.2,823159
2012-03-26,387.4,398.5,387.4,398.0,698294
2012-03-27,399.9,402.5,391.5,394.5,693774
2012-03-28,393.7,397.6,389.8,390.0,558012
2012-03-29,389.8,389.8,378.3,382.0,1079754
2012-03-30,382.3,385.8,381.5,384.7,642265
2012-04-02,384.7,390.0,382.0,390.0,708886
2012-04-03,389.2,391.0,384.0,387.5,726074
2012-04-04,385.5,387.19,380.0,381.27,1274138
2012-04-05,381.8,381.8,378.8,380.0,758504
2012-04-10,376.5,383.4,374.6,381.3,998364
2012-04-11,378.2,385.5,378.1,383.9,683820
2012-04-12,384.8,393.4,383.5,391.2,419724
2012-04-13,391.0,391.6,386.5,387.0,436949
2012-04-16,387.1,389.3,384.1,386.2,564932
2012-04-17,386.5,390.8,386.5,388.6,474021
2012-04-18,389.5,392.0,387.3,390.2,572648
2012-04-19,391.0,392.6,384.8,389.4,615786
2012-04-20,388.9,393.4,388.9,393.4,771551
2012-04-23,392.5,392.8,382.0,384.4,543236
2012-04-24,384.3,390.3,384.3,390.2,439532
2012-04-25,391.9,395.9,389.5,393.3,732421
2012-04-26,394.4,394.4,385.6,385.7,655788
2012-04-27,385.3,388.6,383.5,387.3,522234
2012-04-30,387.1,388.1,382.2,382.2,927226
2012-05-01,382.3,386.4,381.3,382.25,575317
2012-05-02,383.2,385.5,376.8,378.8,1314316
2012-05-03,381.1,384.0,377.6,381.3,633277
2012-05-04,380.5,380.6,364.5,364.5,1109409
2012-05-08,366.7,366.7,350.5,351.6,1128645
2012-05-09,353.2,355.8,349.8,353.9,1013205
2012-05-10,358.0,361.41,357.0,359.6,997728
2012-05-11,359.5,365.64,359.4,365.6,559487
2012-05-14,362.9,363.5,359.2,361.0,608064
2012-05-15,361.9,363.0,358.1,358.1,744917
2012-05-16,354.8,359.7,354.8,356.2,568346
2012-05-17,356.5,357.1,350.0,350.0,586963
2012-05-18,348.4,349.53,338.5,339.0,616427
2012-05-21,341.6,343.5,339.1,342.2,353169
2012-05-22,340.9,346.24,340.9,346.2,576594
2012-05-23,342.3,345.5,338.4,341.3,407454
2012-05-24,338.0,356.9,338.0,346.0,1244683
2012-05-25,339.0,346.7,339.0,346.0,820795
2012-05-28,345.6,348.7,339.2,340.8,420927
2012-05-29,340.9,344.6,339.2,343.0,731354
2012-05-30,337.2,342.5,336.3,336.3,958541
2012-05-31,337.0,340.0,328.2,331.6,1023373
2012-06-01,331.0,331.3,321.2,322.0,854340
2012-06-06,324.0,324.2,320.2,324.1,729053
2012-06-07,325.3,327.0,322.6,325.6,463549
2012-06-08,323.2,325.9,322.9,323.7,426204
2012-06-11,327.3,329.7,317.4,320.7,791321
2012-06-12,320.8,322.4,315.7,316.5,775346
2012-06-13,318.3,318.3,310.2,312.5,984918
2012-06-14,313.1,315.1,309.5,312.0,906129
2012-06-15,313.7,316.2,311.2,315.1,823142
2012-06-18,317.7,317.7,314.6,316.2,404461
2012-06-19,314.9,321.4,310.6,321.4,651980
2012-06-20,321.2,334.4,317.6,333.5,1135554
2012-06-21,332.1,335.02,328.9,330.4,718694
2012-06-22,329.9,332.2,327.4,329.1,460302
2012-06-25,328.9,328.9,321.6,322.8,498986
2012-06-26,323.9,326.6,319.6,320.9,568334
2012-06-27,322.5,329.9,320.7,329.3,387989
2012-06-28,330.4,332.0,320.3,324.8,612810
2012-06-29,330.0,330.3,325.4,329.9,846221
2012-07-02,330.8,335.5,328.5,334.5,799502
2012-07-03,335.0,335.0,313.7,316.7,1746337
2012-07-04,317.0,317.1,302.4,303.5,1289492
2012-07-05,303.3,317.0,293.8,302.6,2264563
2012-07-06,303.2,307.4,300.6,303.0,1055791
2012-07-09,303.6,303.6,295.6,297.0,922499
2012-07-10,298.2,301.9,295.1,300.2,721057
2012-07-11,264.57,270.7,250.0,260.1,6725116
2012-07-12,257.3,259.85,251.2,260.7,2671089
2012-07-13,261.1,275.2,261.1,273.1,2371175
2012-07-16,272.1,285.4,272.1,280.6,2017597
2012-07-17,280.3,282.0,278.44,282.0,1331084
2012-07-18,282.75,285.5,277.6,285.1,935750
2012-07-19,287.0,295.0,281.1,295.0,2336690
2012-07-20,294.0,297.2,291.7,296.0,1397031
2012-07-23,293.9,295.95,289.1,290.0,1162344
2012-07-24,291.1,293.93,289.8,291.0,644699
2012-07-25,291.2,292.3,289.34,291.2,538226
2012-07-26,292.2,297.2,290.2,296.9,603378
2012-07-27,297.6,301.2,291.7,300.0,587331
2012-07-30,301.2,304.73,298.1,304.7,726084
2012-07-31,303.0,304.5,300.4,300.9,626298
2012-08-01,301.7,305.4,299.8,305.3,575282
2012-08-02,305.0,310.31,304.1,309.8,627413
2012-08-03,310.7,315.1,308.26,313.0,464583
2012-08-06,313.4,317.3,312.84,316.2,533446
2012-08-07,315.3,317.7,313.8,316.8,553622
2012-08-08,315.5,320.4,315.3,320.4,499691
2012-08-09,320.7,320.7,317.1,320.7,529611
