Date,Open,High,Low,Close,Volume
2012-01-03,234.9,237.6,230.8,237.6,89554
2012-01-04,238.3,241.1,233.0,233.9,119018
2012-01-05,235.4,238.9,229.8,231.4,181655
2012-01-06,232.9,253.8,228.9,239.3,213084
2012-01-09,236.9,247.3,236.6,238.1,156759
2012-01-10,240.6,242.61,235.9,241.12,251166
2012-01-11,243.0,243.0,229.0,229.8,408436
2012-01-12,235.4,235.4,226.8,229.8,242914
2012-01-13,230.0,232.0,227.29,232.0,258000
2012-01-16,230.0,230.33,222.8,227.9,251902
2012-01-17,226.1,232.63,225.9,227.3,233231
2012-01-18,226.9,229.9,224.7,229.8,200178
2012-01-19,230.5,238.5,229.0,232.0,169768
2012-01-20,231.1,233.6,230.5,230.8,148706
2012-01-23,231.9,237.8,231.9,232.7,304172
2012-01-24,229.6,235.4,229.6,233.1,279215
2012-01-25,232.7,236.6,228.0,229.0,227608
2012-01-26,230.0,232.4,229.28,231.4,129568
2012-01-27,238.5,241.6,231.0,234.3,300730
2012-01-30,232.4,236.9,227.4,229.4,229273
2012-01-31,229.3,234.0,229.2,230.0,220153
2012-02-01,230.0,237.1,225.9,232.8,409754
2012-02-02,232.4,238.7,230.9,236.0,568408
2012-02-03,236.6,246.5,235.9,243.6,481338
2012-02-06,242.8,248.7,241.3,244.8,215472
2012-02-07,244.0,244.5,237.4,244.4,326240
2012-02-08,243.8,248.1,241.6,248.0,490834
2012-02-09,246.9,253.46,246.0,252.7,313844
2012-02-10,252.0,253.54,250.0,252.0,328014
2012-02-13,252.0,255.4,252.0,255.3,79611
2012-02-14,253.7,255.15,253.7,254.2,79514
2012-02-15,254.6,255.2,250.6,255.1,140861
2012-02-16,252.6,255.3,247.9,252.6,104664
2012-02-17,252.6,254.8,248.24,253.0,228710
2012-02-20,253.2,253.2,248.8,251.3,250788
2012-02-21,252.0,252.6,248.8,250.2,328951
2012-02-22,251.5,254.1,247.6,252.7,251645
2012-02-23,251.6,253.7,248.3,249.7,877754
2012-02-24,254.2,254.2,244.4,244.4,691666
2012-02-27,245.3,247.9,243.99,244.1,89337
2012-02-28,243.7,246.0,240.9,243.5,215939
2012-02-29,243.2,244.9,237.9,238.8,447149
2012-03-01,239.0,241.2,236.48,239.6,282414
2012-03-02,239.3,240.0,237.9,238.8,79518
2012-03-05,237.3,237.44,232.4,234.6,217398
2012-03-06,233.3,234.0,230.9,232.57,214637
2012-03-07,232.0,235.8,227.63,233.5,136394
2012-03-08,233.5,237.42,231.2,235.5,195135
2012-03-09,235.4,238.2,232.4,233.0,191338
2012-03-12,232.3,234.0,231.62,232.5,117769
2012-03-13,234.1,235.22,231.3,231.9,181397
2012-03-14,233.4,238.4,232.9,233.3,139743
2012-03-15,233.7,238.7,233.0,238.5,301874
2012-03-16,238.4,243.1,236.53,239.8,428306
2012-03-19,239.8,245.4,239.7,242.6,211651
2012-03-20,241.4,243.5,237.9,241.3,183533
2012-03-21,241.2,245.1,240.9,242.7,100762
2012-03-22,241.8,246.7,237.5,241.0,170899
2012-03-23,243.2,245.8,242.17,244.8,294433
2012-03-26,244.6,248.7,242.1,247.4,143571
2012-03-27,248.3,248.7,244.21,246.0,73176
2012-03-28,245.0,245.0,237.5,238.2,207670
2012-03-29,237.2,239.7,232.0,233.4,314021
2012-03-30,234.1,235.0,228.3,232.0,660376
2012-04-02,231.9,234.6,230.26,234.0,416335
2012-04-03,234.2,236.0,233.0,234.0,155834
2012-04-04,232.7,233.1,229.4,230.4,169693
2012-04-05,230.5,230.5,227.0,228.3,58362
2012-04-10,226.7,230.3,223.8,224.4,151607
2012-04-11,223.3,227.6,222.79,227.5,107699
2012-04-12,226.8,226.8,222.6,225.0,237066
2012-04-13,224.6,225.63,221.0,224.8,160979
2012-04-16,223.7,226.8,221.5,222.4,177634
2012-04-17,221.3,228.5,221.0,226.7,264730
2012-04-18,226.5,228.1,222.7,228.1,107136
2012-04-19,227.6,233.06,224.5,225.4,266103
2012-04-20,225.1,232.1,223.2,231.3,236104
2012-04-23,229.3,233.37,223.4,225.0,184366
2012-04-24,224.9,226.58,223.8,225.0,264715
2012-04-25,224.8,228.18,224.1,226.6,148166
2012-04-26,226.0,230.7,225.6,228.7,108248
2012-04-27,226.7,232.5,226.0,231.5,106025
2012-04-30,230.9,234.87,229.19,229.2,196728
2012-05-01,224.0,246.82,224.0,241.8,408216
2012-05-02,239.1,242.6,232.4,234.9,283219
2012-05-03,232.8,237.96,230.9,237.9,232047
2012-05-04,235.9,237.2,234.5,237.2,284895
2012-05-08,237.1,240.5,234.3,235.4,301673
2012-05-09,235.5,238.0,231.3,238.0,312257
2012-05-10,237.8,243.0,233.1,238.0,543799
2012-05-11,236.0,239.9,236.0,238.0,302794
2012-05-14,237.5,237.5,232.4,236.9,128833
2012-05-15,236.4,240.0,235.6,236.5,198965
2012-05-16,235.7,237.4,230.4,236.1,170518
2012-05-17,236.6,238.0,231.5,237.0,184631
2012-05-18,235.0,238.7,232.24,235.9,209219
2012-05-21,235.9,240.5,234.7,237.0,517505
2012-05-22,236.6,244.7,236.5,238.0,346362
2012-05-23,235.4,240.1,234.4,236.2,332862
2012-05-24,235.8,237.42,234.8,236.02,102850
2012-05-25,235.7,237.9,234.8,236.4,363585
2012-05-28,238.4,240.3,235.1,236.0,109569
2012-05-29,237.0,242.7,234.6,237.0,274824
