Date,Open,High,Low,Close,Volume
2012-01-03,190.7,190.8,187.0,188.7,750736
2012-01-04,187.2,191.1,186.0,186.3,993919
2012-01-05,186.3,186.8,183.7,183.8,539391
2012-01-06,183.0,185.2,181.2,182.7,646948
2012-01-09,182.6,183.8,179.4,179.4,801384
2012-01-10,181.0,182.7,179.1,181.5,1732414
2012-01-11,185.6,186.8,183.5,184.5,1181591
2012-01-12,184.2,186.71,183.5,184.0,827302
2012-01-13,186.0,186.3,181.3,181.9,1082014
2012-01-16,181.6,182.7,181.0,181.3,404740
2012-01-17,183.0,184.3,180.5,180.5,607878
2012-01-18,180.0,183.1,179.2,182.2,812645
2012-01-19,186.5,191.7,184.1,189.5,2519735
2012-01-20,190.6,191.4,188.5,189.4,1748356
2012-01-23,190.0,192.8,188.6,189.1,695771
2012-01-24,190.1,190.1,185.2,186.3,625278
2012-01-25,190.0,190.0,184.5,185.0,405478
2012-01-26,187.7,190.7,186.2,189.0,389128
2012-01-27,189.8,190.7,186.8,189.2,311057
2012-01-30,187.7,189.1,185.7,187.5,563602
2012-01-31,186.6,189.9,186.0,189.9,944800
2012-02-01,190.9,194.6,190.0,194.3,931561
2012-02-02,195.1,195.5,188.4,193.0,722378
2012-02-03,191.4,198.4,190.5,196.8,853356
2012-02-06,197.9,197.96,194.7,196.9,473494
2012-02-07,197.0,197.2,194.1,194.2,1027149
2012-02-08,196.5,196.5,193.0,195.5,1117288
2012-02-09,196.4,196.4,193.4,194.5,1869186
2012-02-10,194.3,194.3,192.1,193.4,564657
2012-02-13,193.1,196.6,192.27,196.1,340428
2012-02-14,196.5,197.0,192.3,194.9,381285
2012-02-15,194.9,198.2,194.5,196.0,643323
2012-02-16,195.8,195.8,192.0,193.4,536921
2012-02-17,195.0,195.1,192.4,194.0,216944
2012-02-20,194.3,194.3,192.8,194.0,345658
2012-02-21,193.9,194.3,191.7,192.3,433146
2012-02-22,193.8,193.8,189.92,190.8,446829
2012-02-23,191.8,192.5,187.4,188.2,631607
2012-02-24,188.8,189.2,188.1,188.2,1190647
2012-02-27,188.0,188.9,186.6,188.1,521243
2012-02-28,188.2,191.4,188.0,190.0,739559
2012-02-29,190.0,191.8,189.2,190.3,482245
