Date,Open,High,Low,Close,Volume
2012-01-03,287.75,305.0,287.25,287.5,54954
2012-01-04,292.0,298.87,288.0,295.0,379160
2012-01-05,295.0,300.0,290.0,290.0,21590
2012-01-06,289.94,296.0,287.0,289.94,157563
2012-01-09,290.24,305.0,0.0,300.0,9794
2012-01-10,305.0,326.2,305.0,312.6,46397
2012-01-11,312.6,318.0,310.0,310.0,23434
2012-01-12,320.0,322.0,320.0,320.0,18888
2012-01-13,312.6,320.75,311.0,320.0,101402
2012-01-16,312.4,317.51,311.0,312.4,19107
2012-01-17,319.0,319.0,303.8,314.8,16723
2012-01-18,315.0,315.0,305.16,311.75,17727
2012-01-19,305.0,315.0,303.0,303.0,67566
2012-01-20,315.0,315.0,301.0,303.8,191850
2012-01-23,301.0,314.0,301.0,314.0,7197
2012-01-24,314.0,314.0,305.0,307.0,11372
2012-01-25,305.0,315.0,305.0,308.0,5783
2012-01-26,305.25,319.0,305.25,315.0,40626
2012-01-27,320.0,324.75,317.0,317.0,9365
2012-01-30,318.0,325.0,310.0,325.0,28508
2012-01-31,325.0,329.0,312.25,325.0,11371
2012-02-01,325.0,330.0,320.0,325.5,232438
2012-02-02,325.5,325.5,320.0,325.0,29882
2012-02-03,322.0,329.0,322.0,325.5,36026
2012-02-06,320.0,327.0,320.0,327.0,97036
2012-02-07,326.0,330.15,326.0,330.0,86920
2012-02-08,325.5,359.4,325.5,356.0,118238
2012-02-09,354.75,362.0,350.0,354.25,82790
2012-02-10,350.0,355.0,345.1,346.0,95373
2012-02-13,352.75,402.5,352.75,368.84,53578
2012-02-14,373.5,373.5,363.86,365.0,1201
2012-02-15,365.0,370.0,361.5,361.5,8421
2012-02-16,359.75,359.75,340.0,344.0,35758
2012-02-17,345.0,349.0,340.0,340.0,26116
2012-02-20,345.0,355.0,342.0,350.0,20072
2012-02-21,350.0,351.8,341.0,350.0,4994
2012-02-22,348.0,349.1,340.0,340.75,7252
2012-02-23,345.0,350.0,340.0,340.0,9635
2012-02-24,350.0,350.0,341.0,348.5,15842
2012-02-27,348.75,350.0,345.0,345.0,3096
2012-02-28,349.0,349.77,343.84,348.0,6637
2012-02-29,345.5,349.0,344.31,346.0,6534
2012-03-01,350.0,351.6,345.0,350.0,32656
2012-03-02,350.0,353.0,345.0,345.0,7288
2012-03-05,345.0,349.95,340.0,340.0,2769
2012-03-06,340.0,350.0,331.52,333.0,22966
2012-03-07,340.0,345.0,335.0,335.0,2879
2012-03-08,338.25,343.0,335.0,337.25,2874
2012-03-09,335.0,350.0,334.2,350.0,1803
2012-03-12,336.65,343.75,330.5,343.75,131
2012-03-13,340.0,341.44,332.2,340.0,104
2012-03-14,340.0,340.3,334.85,337.25,6159
2012-03-15,345.0,345.0,330.0,340.0,9230
2012-03-16,330.25,343.84,330.0,330.0,10371
2012-03-19,330.0,340.0,330.0,334.25,6933
2012-03-20,330.0,350.5,330.0,350.0,17409
2012-03-21,340.5,352.0,339.75,345.0,170
2012-03-22,352.0,369.89,342.0,367.0,21286
2012-03-23,368.0,389.46,361.0,382.75,62156
2012-03-26,375.5,387.5,372.12,379.5,2994
2012-03-27,373.5,382.68,372.5,374.5,16502
2012-03-28,370.0,382.0,370.0,382.0,722
2012-03-29,380.0,380.0,365.0,375.75,42454
2012-03-30,373.5,377.55,370.0,370.25,21621
2012-04-02,386.75,386.75,370.0,370.25,11021
2012-04-03,370.0,379.75,360.0,368.75,8250
2012-04-04,367.0,427.61,361.25,419.25,59246
2012-04-05,431.0,431.05,406.0,415.0,46948
2012-04-10,410.0,418.25,400.0,400.0,35782
2012-04-11,400.0,410.6,388.27,395.0,40255
2012-04-12,390.75,399.9,390.0,390.0,4524
2012-04-13,390.0,396.9,380.0,380.0,81946
2012-04-16,384.0,406.89,383.0,395.0,25554
2012-04-17,395.0,402.85,395.0,395.25,7018
2012-04-18,399.0,400.0,380.25,380.25,25991
2012-04-19,380.0,399.1,380.0,395.25,12489
2012-04-20,399.75,411.25,390.0,411.25,9395
2012-04-23,413.5,414.75,401.43,413.25,11201
2012-04-24,410.5,415.0,397.81,403.25,10242
2012-04-25,403.25,414.76,398.0,398.0,1432
2012-04-26,395.0,409.0,395.0,401.75,7206
2012-04-27,395.25,409.9,386.25,393.5,17287
2012-04-30,387.5,400.0,387.0,387.0,6522
2012-05-01,395.0,401.06,392.0,401.0,11048
2012-05-02,410.0,415.0,388.25,388.25,13581
2012-05-03,394.19,397.25,392.34,397.0,6719
2012-05-04,400.0,400.0,386.5,388.0,6002
2012-05-08,390.0,394.4,373.85,380.0,64613
2012-05-09,375.0,376.42,356.0,374.0,30895
2012-05-10,380.0,380.0,370.0,380.0,6879
2012-05-11,375.0,386.0,372.0,372.0,12919
2012-05-14,370.0,370.0,362.0,362.0,8605
2012-05-15,368.0,378.2,367.79,368.0,2422
2012-05-16,361.36,373.45,355.0,366.4,30055
2012-05-17,360.75,364.53,354.0,355.0,10312
2012-05-18,350.25,357.0,332.61,350.0,25326
2012-05-21,351.25,355.47,332.0,345.75,8468
2012-05-22,347.0,370.0,347.0,370.0,10515
2012-05-23,369.75,369.75,349.77,359.0,1004
2012-05-24,357.0,375.0,357.0,372.5,10216
2012-05-25,375.0,378.45,372.0,375.0,1419
2012-05-28,363.54,387.0,363.54,385.75,11789
2012-05-29,381.75,386.0,378.82,386.0,4079
2012-05-30,375.0,380.0,365.25,369.5,13718
2012-05-31,368.0,370.85,361.0,361.0,7636
2012-06-01,362.5,365.0,355.25,365.0,9749
2012-06-06,370.0,370.0,357.5,363.0,18767
2012-06-07,363.0,363.0,356.15,356.15,9531
2012-06-08,355.0,356.0,347.04,356.0,20165
2012-06-11,356.0,364.0,352.75,364.0,29037
2012-06-12,365.0,396.0,361.5,396.0,72403
2012-06-13,396.0,398.0,387.0,390.0,6350
2012-06-14,384.0,395.0,384.0,384.25,2487
2012-06-15,393.5,423.0,387.0,411.25,97638
2012-06-18,400.75,412.0,400.0,412.0,739
2012-06-19,400.0,411.25,396.0,402.5,13181
2012-06-20,405.0,420.0,400.54,418.0,7945
2012-06-21,420.0,440.0,412.44,434.5,29342
2012-06-22,430.0,438.67,429.42,433.0,25850
2012-06-25,435.0,438.12,432.5,432.5,15702
2012-06-26,432.5,437.0,432.5,436.0,8406
2012-06-27,435.0,440.0,430.0,434.0,58440
2012-06-28,435.88,437.18,432.25,434.0,95922
2012-06-29,436.0,456.75,435.82,452.75,22808
2012-07-02,450.25,457.12,437.5,441.0,42154
2012-07-03,441.0,444.0,438.5,443.0,19074
2012-07-04,443.0,445.0,441.0,441.0,4296
2012-07-05,445.0,450.0,443.65,450.0,10506
2012-07-06,445.0,455.0,445.0,453.25,3716
2012-07-09,443.0,458.0,428.86,458.0,29593
2012-07-10,459.0,459.0,449.86,455.0,6246
2012-07-11,452.0,455.92,444.04,446.75,8784
2012-07-12,449.0,449.0,440.0,441.75,10746
2012-07-13,441.5,451.0,440.0,440.0,5376
2012-07-16,441.25,447.1,420.0,430.0,63639
2012-07-17,438.25,438.25,425.0,425.5,21085
2012-07-18,432.5,438.44,427.1,429.69,8953
2012-07-19,436.75,439.75,428.0,436.0,8879
2012-07-20,430.0,437.0,428.4,435.0,25326
2012-07-23,430.0,438.66,425.0,432.0,59628
2012-07-24,432.0,436.1,428.25,435.25,13158
2012-07-25,433.0,433.0,420.0,421.25,14533
2012-07-26,421.75,430.0,421.25,425.75,4728
2012-07-27,426.5,433.25,421.5,427.75,5859
2012-07-30,431.25,445.0,425.12,441.75,16992
2012-07-31,435.0,449.0,435.0,439.0,12173
2012-08-01,450.0,470.0,448.1,452.0,30771
2012-08-02,452.0,454.0,443.0,444.0,12186
2012-08-03,450.0,457.3,443.5,443.5,14474
2012-08-06,445.0,455.0,435.0,435.0,33788
2012-08-07,435.0,440.0,430.0,433.75,12821
2012-08-08,435.0,449.78,435.0,444.75,5064
2012-08-09,455.0,455.0,442.0,450.5,9081
2012-08-10,455.0,465.0,445.0,462.75,53910
2012-08-13,470.0,483.0,470.0,481.5,18605
2012-08-14,485.0,510.0,484.3,500.0,62973
2012-08-15,505.0,509.0,498.76,503.0,28108
2012-08-16,505.0,505.0,492.16,499.0,53068
2012-08-17,502.0,509.0,497.0,499.5,29999
2012-08-20,510.0,510.0,493.0,495.0,34710
2012-08-21,500.0,501.9,493.08,495.0,9006
2012-08-22,498.0,503.64,480.75,480.75,30974
2012-08-23,480.0,491.69,470.0,473.25,8716
2012-08-24,470.0,477.0,461.24,466.5,18823
2012-08-28,470.0,479.84,470.0,474.5,8687
2012-08-29,465.0,479.5,465.0,465.25,11002
2012-08-30,475.0,478.19,463.0,463.0,13390
2012-08-31,470.0,479.75,466.4,470.0,23194
2012-09-03,475.0,485.0,474.0,485.0,22475
2012-09-04,485.0,485.0,471.0,471.0,11644
2012-09-05,468.0,473.9,450.0,454.0,28470
2012-09-06,435.0,438.32,404.95,425.5,190779
2012-09-07,427.0,468.0,427.0,468.0,81898
2012-09-10,463.0,468.0,458.0,458.25,15407
2012-09-11,452.0,462.5,444.0,444.75,33679
2012-09-12,440.0,458.0,440.0,449.0,17874
2012-09-13,450.5,458.0,442.0,449.5,29388
2012-09-14,456.75,460.0,446.92,454.75,28012
2012-09-17,453.0,453.0,445.0,447.75,35992
2012-09-18,442.0,448.0,428.81,429.75,103325
2012-09-19,434.5,440.0,428.35,430.0,63274
2012-09-20,427.0,433.0,425.0,431.75,11998
2012-09-21,440.0,440.0,423.0,423.0,101452
2012-09-24,423.75,431.4,423.0,426.0,7583
2012-09-25,438.0,440.0,425.7,433.75,7051
2012-09-26,440.0,440.0,423.0,426.5,12138
2012-09-27,435.0,435.0,422.55,427.0,6686
2012-09-28,430.0,435.0,426.75,430.25,24910
2012-10-01,440.0,440.0,423.88,427.5,26176
2012-10-02,427.75,430.5,426.0,429.5,8998
2012-10-03,428.0,430.0,411.5,422.0,34197
2012-10-04,420.75,420.75,380.0,395.0,120751
2012-10-05,403.25,404.0,360.0,365.0,148625
2012-10-08,367.0,381.19,332.0,358.0,117323
2012-10-09,373.0,402.0,351.62,380.0,181863
2012-10-10,387.0,390.0,375.0,381.75,56443
2012-10-11,387.75,392.88,383.0,392.0,20555
2012-10-12,393.75,399.25,390.0,398.0,71605
2012-10-15,403.0,423.0,403.0,413.5,31319
2012-10-16,424.75,424.75,405.0,418.5,13460
2012-10-17,412.25,416.03,400.0,405.0,20358
2012-10-18,400.0,408.06,389.5,391.75,13150
2012-10-19,381.0,393.0,376.19,379.5,64571
2012-10-22,377.5,382.75,370.0,373.0,31067
2012-10-23,378.0,379.5,372.0,378.0,4586
