Date,Open,High,Low,Close,Volume
2014-03-07,104.55,,,104.65,0
2014-03-10,103.75,103.75,103.5,103.96,159798
2014-03-11,104.0,104.75,103.75,103.75,7029
2014-03-12,103.75,103.75,103.75,103.75,102
2014-03-13,104.0,104.0,104.0,104.0,22
2014-03-14,103.75,103.75,103.75,103.75,28
2014-03-17,104.0,104.8,104.0,104.0,4469
2014-03-18,105.0,105.0,103.75,103.75,18763
2014-03-19,105.0,105.0,104.45,105.0,10
2014-03-20,104.5,105.18,104.5,105.0,4941
2014-03-21,104.25,105.5,104.25,105.5,83311
2014-03-24,104.75,105.75,104.75,105.75,3781
2014-03-25,104.75,105.74,104.75,104.75,23039
2014-03-26,105.75,105.75,104.75,104.75,996
2014-03-27,105.75,105.75,105.74,105.75,52
2014-03-28,105.75,105.75,105.11,105.75,69
2014-03-31,105.75,105.75,105.0,105.0,27531
2014-04-01,104.75,105.5,104.75,105.5,16600
2014-04-02,105.5,106.0,105.0,106.0,57882
2014-04-03,100.0,101.0,100.0,100.0,0
2014-04-04,100.0,100.0,99.0,99.5,220000
2014-04-07,99.2,99.2,99.2,99.2,0
2014-04-08,106.0,106.0,105.25,99.2,0
2014-04-09,100.54,100.54,100.54,100.54,0
2014-04-10,99.25,99.25,99.0,99.0,200000
2014-04-11,99.68,99.68,99.68,99.68,0
2014-04-14,98.75,98.75,98.0,98.0,11100
2014-04-15,104.75,105.89,104.75,98.0,0
2014-04-16,100.25,100.61,100.25,100.61,0
2014-04-17,100.6,100.6,100.6,100.6,0
2014-04-22,101.0,101.0,100.7,101.0,10000
2014-04-23,101.25,101.25,101.25,101.25,0
2014-04-24,106.5,106.5,105.69,101.25,0
2014-04-25,101.5,101.5,101.5,101.5,0
2014-04-28,105.25,106.46,105.25,101.5,0
2014-04-29,101.5,102.0,101.5,102.0,15335
2014-04-30,101.5,102.0,101.5,102.0,12707
2014-05-01,101.68,101.68,101.6,101.6,0
2014-05-02,101.5,101.5,101.5,101.5,0
2014-05-06,106.75,107.75,106.75,101.5,0
2014-05-07,101.25,101.25,101.25,101.25,0
2014-05-08,108.0,108.12,107.0,101.25,68101
2014-05-09,108.25,108.25,107.87,101.25,635
2014-05-12,108.0,108.0,107.6,108.0,0
