Date,Open,High,Low,Close,Volume
2014-10-17,141.0,145.75,139.0,140.46,20339128
2014-10-20,147.25,148.7,144.91,147.75,1037061
2014-10-21,149.0,155.0,148.0,153.5,955958
2014-10-22,158.0,159.0,152.16,153.84,1441338
2014-10-23,150.5,154.0,146.0,147.25,280404
2014-10-24,147.0,148.75,145.0,146.79,501948
2014-10-27,149.0,153.0,144.5,145.0,438133
2014-10-28,145.5,145.5,141.0,143.0,762652
2014-10-29,141.0,143.0,140.0,140.0,325149
2014-10-30,141.0,141.5,140.0,140.5,457108
2014-10-31,140.5,144.0,140.25,140.25,693039
2014-11-03,140.25,142.25,140.25,141.0,370496
2014-11-04,141.75,142.5,141.0,142.0,368955
2014-11-05,142.5,145.0,142.43,144.0,475964
2014-11-06,145.0,149.0,144.75,147.0,147595
2014-11-07,149.0,150.0,146.45,147.75,205504
2014-11-10,149.0,149.5,147.0,148.5,115414
2014-11-11,146.0,150.0,146.0,148.5,18669
2014-11-12,150.0,150.0,147.5,150.0,27098
2014-11-13,150.0,155.0,148.5,151.0,124510
2014-11-14,150.25,160.0,150.25,152.75,241632
2014-11-17,152.0,155.22,152.0,153.0,9436
2014-11-18,155.0,164.5,153.3,162.0,498375
2014-11-19,165.0,174.45,165.0,169.0,279963
2014-11-20,165.0,167.0,164.0,167.0,10793
2014-11-21,167.0,173.0,167.0,173.0,533011
2014-11-24,170.0,177.0,169.1,172.5,217870
2014-11-25,170.0,175.95,170.0,170.25,108798
2014-11-26,170.0,174.5,167.0,174.5,142185
2014-11-27,171.0,176.97,171.0,173.5,192007
2014-11-28,170.0,176.0,170.0,173.5,167968
2014-12-01,170.0,177.0,169.25,171.75,154006
2014-12-02,170.0,176.0,170.0,174.75,176882
2014-12-03,171.0,176.0,171.0,176.0,396292
2014-12-04,172.5,177.75,171.0,176.0,544937
2014-12-05,176.0,180.5,174.5,178.5,224522
2014-12-08,183.0,183.0,172.6,180.0,265489
2014-12-09,172.0,180.0,172.0,177.0,136330
2014-12-10,176.5,177.0,174.6,175.75,83908
2014-12-11,170.5,176.25,170.0,174.0,129541
2014-12-12,167.5,174.56,167.0,167.0,76349
2014-12-15,172.75,178.0,167.58,172.0,252819
2014-12-16,173.0,175.0,167.5,169.75,221779
2014-12-17,170.0,172.5,164.23,171.0,178604
2014-12-18,170.0,181.0,170.0,175.0,133986
2014-12-19,181.75,181.75,170.0,176.0,4270145
2014-12-22,176.0,177.8,166.0,175.0,107409
2014-12-23,170.0,176.0,170.0,175.0,108314
2014-12-24,170.0,172.0,170.0,170.0,17931
2014-12-29,174.5,178.0,172.88,175.0,105358
2014-12-30,176.0,176.0,170.0,172.0,32274
2014-12-31,175.0,178.0,172.8,175.0,106943
2015-01-05,171.1,177.0,166.44,176.7,139930
2015-01-06,177.0,177.9,172.5,176.0,110404
2015-01-07,175.0,175.5,168.6,175.0,76378
2015-01-08,175.0,175.0,170.1,170.7,85752
2015-01-09,172.0,172.0,166.0,168.2,78785
2015-01-12,171.0,171.0,168.06,171.0,52182
2015-01-13,167.5,172.0,162.0,172.0,78287
2015-01-14,171.0,174.5,169.5,172.8,58151
2015-01-15,173.1,173.8,169.9,170.7,73438
2015-01-16,173.0,174.2,170.5,172.6,16706
2015-01-19,170.0,173.5,162.0,167.0,390917
2015-01-20,167.8,169.8,164.7,167.0,469259
2015-01-21,167.5,167.5,162.0,167.0,112582
2015-01-22,164.0,168.0,162.0,168.0,172265
2015-01-23,162.4,178.0,162.0,178.0,376499
2015-01-26,173.4,178.0,172.0,178.0,203597
2015-01-27,178.0,179.54,172.3,179.0,100214
2015-01-28,174.0,178.52,172.0,172.0,70157
2015-01-29,173.1,177.3,173.1,175.0,51047
2015-01-30,178.0,178.4,175.0,178.0,105225
