Date,Open,High,Low,Close,Volume
2014-03-13,310.0,316.75,309.0,310.0,5342977
2014-03-14,309.75,311.0,309.0,309.91,1407813
2014-03-17,312.0,312.0,307.0,310.0,821148
2014-03-18,310.25,312.0,309.0,310.0,267384
2014-03-19,310.0,310.9,309.0,309.25,229007
2014-03-20,310.0,310.0,308.0,308.5,119032
2014-03-21,308.5,309.89,306.75,308.0,156058
2014-03-24,307.25,308.3,304.0,304.5,136702
2014-03-25,306.0,306.38,304.5,304.5,94451
2014-03-26,305.25,305.69,303.0,303.5,75773
2014-03-27,302.75,303.39,290.0,295.25,429192
2014-03-28,295.25,299.0,292.68,298.0,444335
2014-03-31,303.0,303.0,298.0,300.0,251756
2014-04-01,303.0,303.0,294.5,299.0,68185
2014-04-02,300.0,301.5,297.0,300.0,288776
2014-04-03,300.0,301.0,298.5,301.0,320921
2014-04-04,301.5,304.0,299.47,304.0,364415
2014-04-07,305.0,306.0,303.0,305.0,501332
2014-04-08,307.0,308.0,306.0,308.0,588753
2014-04-09,309.0,310.0,306.5,309.0,559402
2014-04-10,310.0,313.5,309.0,310.5,339402
2014-04-11,311.75,311.75,303.75,307.6,744995
2014-04-14,305.0,305.0,300.0,300.0,7897
2014-04-15,300.0,302.25,268.0,268.0,140256
2014-04-16,278.0,279.44,274.68,277.25,1240
2014-04-17,279.0,286.1,279.0,282.5,5611
2014-04-22,283.25,294.23,283.25,293.0,63960
2014-04-23,295.0,299.5,288.0,299.5,22280
2014-04-24,300.0,301.0,299.15,301.0,11146
2014-04-25,300.0,301.0,298.0,301.0,61738
2014-04-28,303.0,304.0,297.9,302.0,20983
2014-04-29,304.0,304.0,300.0,302.25,10851
2014-04-30,304.0,310.0,303.0,309.49,49431
2014-05-01,310.0,313.0,309.38,313.0,9488
2014-05-02,313.0,319.0,312.03,318.0,70719
2014-05-06,318.0,318.0,313.0,318.0,16764
2014-05-07,311.75,316.75,308.0,310.0,26165
2014-05-08,309.75,310.0,302.25,310.0,25033
2014-05-09,308.0,310.0,305.0,305.0,67451
2014-05-12,310.0,310.0,306.75,307.0,66569
2014-05-13,303.25,305.0,300.25,300.25,26939
2014-05-14,305.0,308.99,298.75,300.0,5458
2014-05-15,300.0,300.0,288.97,291.0,43394
2014-05-16,295.0,295.0,286.76,291.0,57970
2014-05-19,290.0,290.0,284.76,286.5,40272
2014-05-20,285.5,291.29,285.5,289.5,2639
2014-05-21,286.75,291.0,284.25,285.0,17035
2014-05-22,284.0,300.0,284.0,300.0,76671
2014-05-23,300.0,300.0,295.0,300.0,17293
2014-05-27,300.0,300.0,298.75,299.63,17407
2014-05-28,300.0,300.0,295.75,296.0,19198
2014-05-29,298.0,302.0,297.25,300.0,35898
2014-05-30,299.75,300.0,298.5,298.5,74716
2014-06-02,300.0,300.0,299.5,299.5,8750
2014-06-03,300.0,300.0,292.5,292.5,59831
2014-06-04,300.0,300.0,297.63,300.0,97133
2014-06-05,300.0,300.0,297.0,297.0,23540
2014-06-06,298.0,298.0,295.75,296.0,25888
2014-06-09,295.0,298.0,291.18,298.0,42001
2014-06-10,296.25,298.0,296.17,298.0,15494
2014-06-11,296.5,298.0,295.52,297.0,9561
2014-06-12,291.75,298.0,291.75,295.0,10144
2014-06-13,298.0,300.0,293.2,295.25,15391
2014-06-16,300.0,300.0,296.25,299.0,76167
2014-06-17,294.75,301.0,294.75,300.0,47730
2014-06-18,298.0,299.75,297.0,299.0,24034
2014-06-19,293.0,300.5,293.0,297.66,88254
2014-06-20,297.75,300.0,286.0,290.0,2203029
2014-06-23,290.75,294.75,289.75,290.0,60527
2014-06-24,288.0,290.0,280.25,281.0,52017
2014-06-25,280.0,281.35,267.73,275.0,152015
2014-06-26,272.25,274.5,272.25,274.0,27847
2014-06-27,273.5,279.0,273.25,278.0,99189
2014-06-30,278.0,278.0,272.0,276.0,11287
2014-07-01,276.0,280.0,272.5,275.0,40153
