Date,Open,High,Low,Close,Volume
2012-01-03,320.25,327.75,317.0,317.0,17511.0
2012-01-04,322.0,327.75,320.25,322.5,18763.0
2012-01-05,333.0,335.5,321.25,335.0,51979.0
2012-01-06,339.26,339.75,332.62,334.25,4070.0
2012-01-09,332.25,338.3,325.0,332.0,5504.0
2012-01-10,331.25,337.1,330.5,331.75,6073.0
2012-01-11,332.0,332.5,330.0,332.5,85454.0
2012-01-12,331.0,335.28,330.0,332.25,21907.0
2012-01-13,325.0,334.91,323.0,325.0,14853.0
2012-01-16,325.0,326.9,323.0,325.0,7157.0
2012-01-17,325.0,337.75,325.0,331.5,20741.0
2012-01-18,325.5,337.5,325.25,331.0,6169.0
2012-01-19,338.25,339.79,332.0,332.0,14978.0
2012-01-20,342.75,350.75,339.2,350.75,58081.0
2012-01-23,350.0,363.5,350.0,363.5,11442.0
2012-01-24,357.25,369.25,357.25,364.25,22242.0
2012-01-25,360.0,365.62,360.0,365.62,5764.0
2012-01-26,358.25,368.1,349.0,349.0,14936.0
2012-01-27,357.75,358.0,345.31,354.0,21689.0
2012-01-30,352.0,357.36,352.0,352.0,11997.0
2012-01-31,350.0,357.75,346.25,355.0,9208.0
2012-02-01,344.25,355.0,344.0,344.0,11826.0
2012-02-02,348.0,351.75,343.0,345.0,13726.0
2012-02-03,352.0,365.88,344.0,360.0,33933.0
2012-02-06,367.25,367.81,355.88,364.75,101428.0
2012-02-07,360.25,367.25,355.0,355.0,31769.0
2012-02-08,350.25,359.7,348.89,352.5,139118.0
2012-02-09,352.75,359.41,350.0,350.0,29401.0
2012-02-10,357.0,360.0,350.0,360.0,15103.0
2012-02-13,356.25,359.0,356.0,358.0,1367.0
2012-02-14,351.25,358.33,351.25,354.75,1339.0
2012-02-15,351.25,360.16,350.0,350.5,6883.0
2012-02-16,354.75,355.0,345.0,352.25,12645.0
2012-02-17,358.25,362.42,357.5,358.75,6368.0
2012-02-20,362.75,365.0,356.0,363.0,14030.0
2012-02-21,360.0,372.0,360.0,368.0,6380.0
2012-02-22,371.75,373.45,366.25,369.0,5634.0
2012-02-23,365.0,370.75,360.0,360.0,7850.0
2012-02-24,360.0,360.0,353.25,358.0,650.0
2012-02-27,,,,346.0,0.0
2012-02-28,358.0,361.12,346.25,355.25,34569.0
2012-02-29,356.25,365.0,355.0,360.0,13909.0
2012-03-01,365.0,381.75,357.12,366.0,7112.0
2012-03-02,365.0,375.0,362.17,370.0,5314.0
2012-03-05,369.75,373.25,359.4,373.0,5301.0
2012-03-06,362.0,362.0,359.64,362.0,11500.0
2012-03-07,,,,366.0,0.0
2012-03-08,368.0,371.65,358.0,361.25,7850.0
2012-03-09,364.01,364.01,357.64,357.75,274.0
2012-03-12,356.0,363.75,350.0,355.5,22130.0
2012-03-13,353.25,362.05,352.0,356.25,9738.0
