Date,Open,High,Low,Close,Volume
2014-04-14,208.5,224.66,200.32,209.0,750227
2014-04-15,209.0,209.0,195.0,207.23,611432
2014-04-16,208.0,210.0,203.0,207.5,577773
2014-04-17,208.0,210.25,208.0,209.75,629736
2014-04-22,210.0,215.0,208.0,213.0,162080
2014-04-23,215.0,215.0,214.0,214.5,330189
2014-04-24,214.75,224.75,214.5,220.0,175571
2014-04-25,225.0,226.5,222.0,225.0,120948
2014-04-28,228.0,228.0,226.0,226.0,33570
2014-04-29,227.5,227.5,226.0,226.0,12526
2014-04-30,227.5,227.5,225.25,227.5,350
2014-05-01,227.5,227.5,225.47,227.46,155
2014-05-02,225.0,227.5,225.0,226.0,12972
2014-05-06,227.5,227.5,223.75,223.75,307200
2014-05-07,227.0,227.0,216.0,216.0,671839
2014-05-08,220.0,223.75,219.41,221.25,27090
2014-05-09,220.0,220.0,215.0,215.0,513296
2014-05-12,214.0,214.5,208.0,212.0,180798
2014-05-13,219.0,219.0,210.0,214.0,24604
2014-05-14,223.0,223.0,214.0,216.95,13404
2014-05-15,217.0,217.0,210.0,212.14,20980
2014-05-16,205.0,210.75,205.0,208.5,66003
2014-05-19,212.0,214.0,210.0,212.5,24240
2014-05-20,215.0,217.0,206.0,217.0,95656
2014-05-21,213.0,216.75,206.5,216.0,76069
2014-05-22,214.0,219.0,214.0,216.0,291690
2014-05-23,218.75,220.25,216.0,220.25,286009
2014-05-27,221.0,227.25,219.0,225.0,102452
2014-05-28,227.5,227.5,225.75,227.0,124455
2014-05-29,227.0,227.0,225.75,225.75,24366
2014-05-30,227.5,227.5,226.91,227.5,77858
2014-06-02,227.5,227.5,227.0,227.5,63843
2014-06-03,227.5,229.0,227.0,227.0,232976
2014-06-04,227.5,228.5,227.0,227.5,35757
2014-06-05,227.75,227.96,226.0,226.5,137660
2014-06-06,226.75,229.0,223.0,227.5,137561
2014-06-09,227.75,234.5,227.69,229.25,103151
2014-06-10,229.25,240.0,228.6,228.6,92150
2014-06-11,240.0,240.0,230.0,230.0,48974
2014-06-12,232.75,234.5,230.0,230.0,31357
2014-06-13,232.0,242.0,230.0,237.25,174621
2014-06-16,240.0,248.75,234.5,239.5,141633
2014-06-17,240.0,244.0,235.0,238.75,147674
2014-06-18,240.0,242.0,235.0,236.2,263095
2014-06-19,235.0,248.25,235.0,238.25,130856
2014-06-20,238.0,238.25,225.0,233.0,2469538
2014-06-23,230.0,236.25,228.0,232.0,161325
2014-06-24,232.0,232.0,225.0,229.0,184860
2014-06-25,230.0,230.0,225.75,228.75,35488
2014-06-26,228.0,230.0,228.0,230.0,11380
2014-06-27,232.0,234.25,230.0,230.75,87806
2014-06-30,233.0,233.0,229.75,230.0,32192
2014-07-01,230.0,231.0,229.0,230.0,64610
2014-07-02,230.0,230.0,229.0,229.0,11283
2014-07-03,230.0,230.0,224.0,227.0,41510
2014-07-04,229.0,229.0,227.75,228.0,23762
2014-07-07,229.0,229.0,228.0,229.0,21468
2014-07-08,229.0,229.0,223.0,224.5,16560
2014-07-09,225.0,225.0,222.25,225.0,13380
2014-07-10,228.25,228.25,219.5,219.5,73128
2014-07-11,222.0,222.0,218.0,220.0,23960
2014-07-14,220.0,225.0,218.52,223.25,61337
2014-07-15,225.0,228.75,225.0,228.0,20274
2014-07-16,229.0,230.0,229.0,229.0,13922
2014-07-17,227.5,227.5,223.0,225.0,23475
2014-07-18,224.5,225.0,222.0,225.0,13196
2014-07-21,225.5,225.5,220.0,220.0,748
2014-07-22,224.5,225.0,222.5,225.0,293
2014-07-23,223.0,223.25,219.0,219.0,2614
2014-07-24,220.0,223.0,218.75,220.0,34262
2014-07-25,225.0,225.0,218.34,220.0,8171
2014-07-28,220.0,222.55,220.0,222.0,5431
2014-07-29,222.0,223.75,217.0,217.0,28979
2014-07-30,221.0,224.0,221.0,224.0,1891
2014-07-31,220.75,223.59,220.0,221.0,40566
2014-08-01,222.0,222.0,219.0,220.0,42049
2014-08-04,222.0,222.0,219.0,219.0,38592
2014-08-05,219.0,220.0,218.5,219.0,37261
2014-08-06,217.25,220.0,217.0,220.0,12792
2014-08-07,218.0,218.0,208.0,213.52,70075
2014-08-08,207.5,210.0,207.25,208.0,2815
2014-08-11,209.0,209.0,195.0,201.0,65664
2014-08-12,202.0,206.5,202.0,203.58,3271
2014-08-13,207.0,219.25,207.0,216.0,77043
2014-08-14,216.0,225.0,216.0,223.25,33709
2014-08-15,225.0,225.0,214.0,215.0,62167
2014-08-18,218.0,218.0,212.0,218.0,70124
2014-08-19,219.75,219.75,218.0,218.0,280
2014-08-20,220.0,220.0,220.0,220.0,1423
2014-08-21,215.0,217.5,215.0,215.0,22
2014-08-22,215.5,215.5,215.5,215.5,22
2014-08-26,217.0,218.25,217.0,218.0,6647
2014-08-27,222.0,223.0,218.0,218.0,21774
2014-08-28,225.0,225.0,218.0,218.0,7745
2014-08-29,217.0,219.75,215.0,215.5,42347
2014-09-01,220.0,220.0,215.0,215.0,9297
2014-09-02,215.0,216.0,208.0,209.5,56688
2014-09-03,211.75,212.5,208.5,211.0,25830
2014-09-04,212.5,214.0,210.0,212.0,27701
2014-09-05,217.0,217.0,207.75,210.0,33282
2014-09-08,214.75,215.0,207.75,209.0,55695
2014-09-09,209.0,214.25,208.0,212.0,55781
2014-09-10,211.0,212.25,210.0,210.25,14921
2014-09-11,217.0,217.0,209.0,209.0,97220
2014-09-12,209.75,209.75,208.13,208.25,11120
2014-09-15,210.0,213.0,210.0,210.0,4031
2014-09-16,215.0,215.0,206.0,209.0,85310
2014-09-17,210.0,210.0,207.25,208.0,23882
2014-09-18,210.0,210.0,210.0,210.0,2973
2014-09-19,210.0,210.0,206.0,206.0,29681
2014-09-22,210.0,213.0,207.5,208.25,11171
2014-09-23,210.5,210.5,208.0,208.25,24700
2014-09-24,210.0,210.0,205.1,205.25,57281
2014-09-25,207.0,208.81,205.54,206.0,7491
2014-09-26,209.0,209.0,207.0,207.0,1153
2014-09-29,207.0,207.0,204.75,206.0,49770
2014-09-30,208.75,209.0,207.0,209.0,12995
2014-10-01,208.75,209.0,207.0,207.0,12240
2014-10-02,207.0,209.75,207.0,207.0,6010
2014-10-03,212.0,220.0,209.25,218.25,50920
2014-10-06,217.0,217.5,217.0,217.0,25
2014-10-07,216.25,219.0,216.0,218.0,14777
2014-10-08,216.0,220.0,216.0,217.75,10779
2014-10-09,220.0,220.0,215.0,215.0,9893
2014-10-10,217.0,220.0,214.0,214.57,47702
2014-10-13,214.0,220.0,214.0,215.77,48012
2014-10-14,215.0,215.08,212.75,214.25,7408
2014-10-15,212.0,216.25,211.0,215.0,22269
2014-10-16,215.0,225.0,209.44,221.25,59659
2014-10-17,220.0,220.0,215.0,217.0,9775
2014-10-20,220.0,225.0,219.5,225.0,17591
2014-10-21,218.25,225.0,218.25,224.5,11368
2014-10-22,225.0,225.0,220.75,221.75,12428
2014-10-23,223.0,223.0,216.5,220.0,59081
2014-10-24,220.0,223.0,217.0,220.83,15578
2014-10-27,221.0,223.0,219.53,220.0,37413
2014-10-28,219.75,228.0,219.75,225.25,27876
2014-10-29,225.0,225.0,217.0,223.0,65397
2014-10-30,223.0,225.0,218.0,222.33,35268
2014-10-31,223.0,226.5,223.0,226.5,11055
2014-11-03,227.0,229.3,223.25,227.0,57228
2014-11-04,225.0,230.0,223.75,226.25,115812
2014-11-05,230.0,230.0,227.5,230.0,22488
2014-11-06,234.5,234.5,227.0,229.0,15564
2014-11-07,234.5,240.0,232.0,240.0,33213
2014-11-10,239.0,239.0,237.25,237.5,3613
2014-11-11,240.0,245.0,239.0,243.0,59198
2014-11-12,243.0,245.0,240.0,240.0,32037
2014-11-13,240.0,244.75,235.75,240.5,193717
2014-11-14,240.0,242.0,238.0,239.5,90735
2014-11-17,239.0,240.0,239.0,240.0,10992
2014-11-18,240.0,240.0,236.0,238.5,18143
2014-11-19,240.0,240.0,238.5,238.5,28596
2014-11-20,239.5,239.5,238.0,238.0,48714
2014-11-21,239.0,239.0,237.0,237.0,11064
2014-11-24,235.0,249.45,235.0,247.25,14084
2014-11-25,246.75,248.5,244.25,246.0,13512
2014-11-26,245.25,246.0,240.0,240.0,7235
2014-11-27,235.0,240.25,235.0,238.75,6227
2014-11-28,235.0,240.0,235.0,240.0,4255
2014-12-01,240.0,240.0,237.0,237.0,3203
2014-12-02,235.0,240.0,235.0,240.0,3041
2014-12-03,235.0,238.6,235.0,238.25,2446
2014-12-04,240.0,240.0,238.6,240.0,873
2014-12-05,240.0,240.0,235.75,240.0,767
2014-12-08,240.0,240.0,235.0,235.0,8815
2014-12-09,235.25,237.0,225.0,230.0,44485
2014-12-10,230.0,230.0,222.95,227.0,14211
2014-12-11,225.0,228.0,222.78,226.0,8280
2014-12-12,225.0,225.0,222.0,222.0,4723
2014-12-15,220.0,220.0,220.0,220.0,15809
2014-12-16,220.0,220.0,205.0,208.0,28022
2014-12-17,208.5,210.0,195.25,209.58,200637
2014-12-18,204.0,209.75,201.75,203.5,61351
2014-12-19,203.0,204.53,203.0,204.0,3809
2014-12-22,206.0,209.0,200.0,202.5,43559
2014-12-23,204.0,204.75,202.0,204.0,21756
2014-12-24,202.0,202.0,201.0,201.0,11245
2014-12-29,202.5,205.0,201.75,205.0,25391
2014-12-30,200.0,203.5,200.0,203.5,19659
2014-12-31,,,,203.5,0
2015-01-05,195.0,197.0,193.5,195.0,18502
2015-01-06,195.0,205.0,193.5,205.0,139388
2015-01-07,206.75,209.0,206.0,206.0,19166
2015-01-08,206.0,207.5,206.0,206.0,6056
2015-01-09,204.0,205.93,198.0,201.0,17993
2015-01-12,200.0,202.8,199.5,201.0,17838
2015-01-13,204.0,204.0,199.25,199.25,16338
2015-01-14,202.0,202.0,200.0,202.0,117
2015-01-15,205.0,209.0,200.21,208.0,6740
2015-01-16,209.5,209.5,207.25,208.0,543
2015-01-19,210.0,210.0,207.25,207.25,1392
2015-01-20,210.0,210.04,205.0,210.0,1108
2015-01-21,208.0,210.0,207.5,208.0,3433
2015-01-22,207.0,210.02,207.0,209.75,11605
2015-01-23,207.0,212.0,207.0,212.0,15836
2015-01-26,212.0,212.0,210.0,212.0,4554
2015-01-27,210.0,220.0,210.0,217.0,14681
2015-01-28,215.0,220.0,215.0,218.5,11161
2015-01-29,220.0,225.0,219.4,220.0,1636
2015-01-30,222.0,222.0,222.0,222.0,432
2015-02-02,220.0,227.0,220.0,225.0,71392
2015-02-03,227.0,227.0,223.0,225.0,76810
2015-02-04,225.0,225.0,224.0,225.0,3638
2015-02-05,225.0,225.0,215.5,215.5,138891
2015-02-06,220.0,225.0,220.0,225.0,11070
2015-02-09,220.0,224.75,220.0,224.75,11221
2015-02-10,220.0,220.0,215.5,215.5,18390
2015-02-11,221.0,221.0,215.0,221.0,77
2015-02-12,225.0,225.0,223.0,223.0,4675
2015-02-13,216.5,225.0,216.5,225.0,21491
2015-02-16,225.0,225.0,225.0,225.0,4658
2015-02-17,223.5,223.5,223.5,223.5,0
2015-02-18,222.5,223.0,220.5,220.6,11646
2015-02-19,220.0,222.0,218.25,222.0,5953
2015-02-20,222.0,222.0,220.25,222.0,11845
2015-02-23,222.0,222.0,215.0,219.75,601
2015-02-24,212.0,221.0,212.0,212.5,886
2015-02-25,215.0,216.75,203.0,203.0,156313
2015-02-26,212.0,212.0,205.0,205.25,72610
2015-02-27,207.5,207.5,207.5,207.5,638
2015-03-02,207.5,212.0,206.91,207.81,15926
2015-03-03,210.0,215.75,210.0,212.5,44915
2015-03-04,217.0,222.75,217.0,222.75,41478
2015-03-05,224.0,224.25,221.0,224.25,15798
2015-03-06,225.0,234.0,223.75,229.77,128940
2015-03-09,230.25,231.0,229.25,229.77,58292
2015-03-10,230.0,230.0,220.0,229.77,26692
2015-03-11,225.0,234.38,225.0,230.25,33601
2015-03-12,232.0,235.0,228.75,231.75,66132
2015-03-13,232.0,232.16,228.88,230.0,65822
2015-03-16,225.0,230.0,225.0,230.0,2793
2015-03-17,225.0,235.0,225.0,226.25,5331
2015-03-18,225.0,235.0,225.0,230.0,738960
2015-03-19,225.0,232.32,225.0,230.0,466701
2015-03-20,229.0,233.25,227.18,230.25,60493
2015-03-23,235.0,235.0,229.0,230.25,303417
2015-03-24,225.0,233.0,225.0,231.75,15399
2015-03-25,230.0,231.36,230.0,231.25,13735
2015-03-26,230.0,231.04,220.0,226.0,283615
2015-03-27,218.0,232.25,217.0,230.0,234060
2015-03-30,235.0,235.0,229.44,233.75,104319
2015-03-31,232.5,233.75,229.31,233.0,77235
2015-04-01,233.0,239.0,228.5,235.0,193525
2015-04-02,232.0,258.0,227.11,252.75,224759
2015-04-07,251.5,251.5,244.75,246.75,26138
2015-04-08,250.0,269.0,243.93,264.5,360101
