Date,Open,High,Low,Close,Volume
2016-02-05,241.5,245.0,234.0,238.27,21704472
2016-02-08,240.0,240.25,224.75,228.0,3217810
2016-02-09,225.0,240.0,216.75,224.77,1816054
2016-02-10,222.0,223.0,217.0,221.9,819315
2016-02-11,222.75,226.75,214.65,216.77,634979
2016-02-12,220.0,235.25,220.0,225.0,459660
2016-02-15,234.0,240.0,224.39,235.0,263678
2016-02-16,235.0,240.0,235.0,240.0,140796
2016-02-17,238.0,240.75,238.0,240.0,153096
2016-02-18,240.0,240.47,237.0,238.75,19334
2016-02-19,240.0,240.0,237.0,237.5,38178
2016-02-22,240.0,240.0,238.0,239.75,148709
2016-02-23,239.0,239.28,237.5,237.5,73224
2016-02-24,238.0,239.0,236.5,238.0,63969
2016-02-25,238.25,239.03,236.5,236.5,39590
2016-02-26,238.0,238.6,236.25,236.25,23493
2016-02-29,236.0,237.0,234.0,234.5,117769
2016-03-01,222.0,235.0,218.18,232.0,72347
2016-03-02,240.0,240.0,230.75,240.0,89938
2016-03-03,240.0,241.0,237.5,240.25,217608
2016-03-04,243.0,243.0,240.5,240.75,143140
2016-03-07,244.0,244.0,240.5,244.0,248834
2016-03-08,243.0,243.9,239.0,242.75,118752
2016-03-09,241.25,243.2,241.0,242.0,74539
2016-03-10,242.5,243.0,240.5,242.0,49440
2016-03-11,240.75,248.0,240.0,245.49,115312
2016-03-14,247.0,249.0,245.0,247.0,96013
2016-03-15,246.0,246.4,243.0,245.0,34760
2016-03-16,245.5,246.0,242.0,243.75,119032
2016-03-17,244.0,245.0,238.0,239.75,92468
2016-03-18,240.0,244.1,240.0,240.5,19743
2016-03-21,240.25,245.0,235.25,240.0,105882
2016-03-22,238.0,244.0,238.0,243.5,680522
2016-03-23,243.25,247.0,243.0,246.75,107956
2016-03-24,246.0,253.0,245.0,251.0,104879
2016-03-29,250.0,252.5,245.25,249.0,199155
2016-03-30,252.25,254.01,247.0,253.0,203670
2016-03-31,248.0,254.3,235.06,245.0,173239
2016-04-01,247.0,259.0,244.0,246.0,53730
2016-04-04,241.0,248.0,241.0,247.0,79755
2016-04-05,248.5,248.75,245.0,246.0,141409
2016-04-06,247.0,250.0,246.0,246.5,32991
2016-04-07,259.0,259.0,243.25,245.0,50393
2016-04-08,245.0,247.75,244.0,244.0,12895
2016-04-11,245.0,255.25,242.0,242.5,47287
2016-04-12,242.0,245.0,233.0,235.0,198624
2016-04-13,236.25,242.5,236.25,239.0,53887
2016-04-14,241.0,244.5,238.0,244.5,53987
2016-04-15,242.75,246.14,237.62,246.0,198746
2016-04-18,247.0,255.75,243.0,247.75,109578
2016-04-19,249.75,254.0,248.5,253.25,51368
2016-04-20,254.0,259.0,251.25,255.0,159801
2016-04-21,264.0,264.0,252.0,252.0,34227
2016-04-22,251.75,260.75,238.15,253.25,34451
2016-04-25,250.0,256.0,250.0,254.75,45089
2016-04-26,250.0,255.25,250.0,254.0,58006
2016-04-27,241.0,258.75,240.5,250.0,160797
2016-04-28,250.0,253.56,249.5,250.0,98520
