Date,Open,High,Low,Close,Volume
2012-04-02,160.0,163.89,160.0,160.02,1201.0
2012-04-03,164.5,164.5,158.76,161.89,15041.0
2012-04-04,162.25,162.68,158.5,158.5,34.0
2012-04-05,162.5,162.5,158.5,161.42,211.0
2012-04-10,158.52,161.12,158.29,158.5,170.0
2012-04-11,,,,157.41,0.0
2012-04-12,,,,160.0,0.0
2012-04-13,,,,158.99,0.0
2012-04-16,158.75,160.0,156.94,158.99,22.0
2012-04-17,157.0,160.0,156.44,157.99,7506.0
2012-04-18,161.0,161.0,156.47,157.25,21426.0
2012-04-19,157.25,158.5,156.78,157.0,9482.0
2012-04-20,159.0,159.34,156.0,159.0,15600.0
2012-04-23,,,,158.76,0.0
2012-04-24,,,,156.76,0.0
2012-04-25,159.0,159.0,156.53,158.51,19.0
2012-04-26,158.51,158.51,156.0,156.75,51.0
2012-04-27,156.26,157.74,156.0,156.75,258.0
2012-04-30,155.75,158.0,155.4,156.49,10500.0
2012-05-01,156.5,157.5,155.31,156.5,500.0
2012-05-02,156.75,157.5,155.17,157.25,2538.0
2012-05-03,157.5,157.5,156.0,156.0,674.0
2012-05-04,155.75,156.69,148.0,154.0,18358.0
2012-05-08,154.0,155.25,153.38,154.0,2819.0
2012-05-09,155.0,155.0,153.11,153.51,400.0
2012-05-10,154.75,156.0,153.38,155.0,2540.0
2012-05-11,152.65,155.0,152.65,154.75,7714.0
2012-05-14,154.25,154.5,153.23,154.25,2989.0
2012-05-15,,,,153.76,0.0
2012-05-16,154.5,154.5,152.33,153.5,2070.0
2012-05-17,153.25,154.89,152.43,152.95,2187.0
2012-05-18,152.25,154.5,151.73,154.25,26.0
2012-05-21,,,,152.01,0.0
2012-05-22,,,,155.14,0.0
2012-05-23,153.0,154.64,151.0,151.0,3040.0
2012-05-24,151.0,153.5,151.0,153.39,6230.0
2012-05-25,,,,150.75,0.0
2012-05-28,,,,152.5,0.0
2012-05-29,152.5,152.99,152.0,152.99,4984.0
2012-05-30,150.69,151.63,150.5,151.25,5350.0
2012-05-31,150.5,151.89,149.16,149.21,7703.0
2012-06-01,150.0,151.75,148.98,149.0,2000.0
2012-06-06,153.0,153.0,149.0,152.0,1432.0
2012-06-07,153.0,153.75,149.51,153.0,1135.0
2012-06-08,153.75,153.75,149.0,152.5,6114.0
2012-06-11,153.25,153.25,149.0,153.25,5053.0
2012-06-12,149.0,152.32,149.0,151.75,1077.0
2012-06-13,,,,150.92,0.0
2012-06-14,,,,150.92,0.0
2012-06-15,151.5,151.5,149.0,149.0,12720.0
2012-06-18,150.92,151.5,149.5,150.64,4738.0
2012-06-19,149.5,150.64,149.5,149.5,3500.0
2012-06-20,151.5,151.5,149.5,150.29,2028.0
2012-06-21,149.5,150.54,149.0,149.0,5054.0
2012-06-22,149.0,149.75,148.5,148.5,14500.0
2012-06-25,,,,148.0,0.0
2012-06-26,148.0,149.0,147.5,148.95,5108.0
2012-06-27,150.5,150.5,147.4,148.0,1113.0
2012-06-28,148.0,150.25,148.0,148.25,4057.0
2012-06-29,149.0,149.39,148.5,148.5,5009.0
2012-07-02,150.5,150.5,147.5,147.5,14247.0
2012-07-03,148.0,149.25,147.51,148.0,2603.0
2012-07-04,,,,148.99,0.0
2012-07-05,148.99,148.0,147.5,148.0,4.0
2012-07-06,148.99,148.99,147.5,147.5,6.0
2012-07-09,148.99,150.25,147.5,150.25,22.0
2012-07-10,147.55,150.25,147.55,150.25,20.0
2012-07-11,,,,148.25,0.0
2012-07-12,148.5,148.5,147.52,147.75,7056.0
2012-07-13,148.0,149.75,147.75,149.5,1298.0
2012-07-16,149.5,150.0,147.75,147.75,26360.0
2012-07-17,,,,147.54,0.0
2012-07-18,149.0,149.5,148.69,149.25,300.0
2012-07-19,148.0,149.75,147.51,149.12,2500.0
2012-07-20,147.75,149.25,147.5,147.5,7124.0
2012-07-23,147.5,149.75,147.5,147.5,618.0
