Date,Open,High,Low,Close,Volume
2012-01-03,28.0,28.0,25.93,25.93,54826.0
2012-01-04,27.5,28.0,27.07,28.0,103805.0
2012-01-05,28.5,29.15,28.5,28.55,152294.0
2012-01-06,29.0,29.0,28.0,28.0,3128.0
2012-01-09,29.25,29.25,27.26,27.38,71212.0
2012-01-10,29.0,29.0,26.5,26.53,71536.0
2012-01-11,28.0,28.0,25.5,25.5,185324.0
2012-01-12,27.0,27.0,25.82,25.82,80845.0
2012-01-13,27.0,27.0,25.75,26.7,351839.0
2012-01-16,27.0,27.0,26.0,26.05,143500.0
2012-01-17,27.5,27.5,26.3,26.3,48991.0
2012-01-18,26.25,27.25,26.25,26.25,898032.0
2012-01-19,26.5,27.88,26.0,26.0,17741313.0
2012-01-20,26.5,27.37,26.25,26.82,377548.0
2012-01-23,26.5,27.35,26.12,27.0,280868.0
2012-01-24,26.0,27.25,26.0,26.5,136077.0
2012-01-25,26.75,29.0,26.75,29.0,85962.0
2012-01-26,28.25,28.73,28.25,28.25,30704.0
2012-01-27,28.25,29.0,27.04,28.5,168162.0
2012-01-30,27.5,28.4,27.0,27.25,59975.0
2012-01-31,27.76,27.8,0.0,27.8,23808.0
2012-02-01,28.0,28.7,28.0,28.7,108981.0
2012-02-02,29.2,29.23,28.86,28.86,38835.0
2012-02-03,28.3,0.0,28.22,28.22,15262.0
2012-02-06,27.98,28.71,27.55,28.44,27293.0
2012-02-07,27.68,28.63,27.58,28.63,35709.0
2012-02-08,29.0,29.64,27.44,27.5,315725.0
2012-02-09,28.25,28.36,28.25,28.35,43389.0
2012-02-10,28.0,28.0,28.0,28.0,15989.0
2012-02-13,29.5,35.8,28.02,34.5,283990.0
2012-02-14,34.5,35.5,33.86,34.5,53726.0
2012-02-15,,,,34.47,0.0
2012-02-16,35.75,36.0,33.6,36.0,10000.0
2012-02-17,35.0,38.0,34.5,37.5,97208.0
2012-02-20,38.0,41.28,38.0,39.95,189331.0
2012-02-21,38.75,39.89,36.98,39.75,119842.0
2012-02-22,39.5,39.99,38.5,39.5,7740.0
2012-02-23,37.5,38.99,37.5,38.99,179.0
2012-02-24,,,,37.9,0.0
2012-02-27,,,,39.94,0.0
2012-02-28,40.0,40.0,38.51,39.1,45320.0
2012-02-29,39.07,39.98,39.07,39.5,10000.0
2012-03-01,39.0,39.82,38.05,39.25,117546.0
2012-03-02,38.0,38.0,37.25,37.25,20530.0
2012-03-05,37.0,38.41,36.21,36.5,47826.0
2012-03-06,,,,37.2,0.0
2012-03-07,35.5,37.71,34.0,34.0,31218.0
2012-03-08,34.5,35.35,33.55,34.0,3566.0
2012-03-09,,,,35.51,0.0
2012-03-12,34.0,37.15,34.0,35.0,25025.0
2012-03-13,35.0,36.68,35.0,35.0,2202.0
2012-03-14,35.0,36.37,35.0,35.0,4384.0
2012-03-15,35.0,36.7,35.0,35.5,622.0
2012-03-16,,,,36.9,0.0
2012-03-19,37.75,37.75,35.01,36.0,104409.0
2012-03-20,35.0,35.14,34.59,35.0,30901.0
2012-03-21,34.75,35.23,34.5,35.0,25846.0
2012-03-22,34.0,34.0,32.8,33.5,56097.0
2012-03-23,33.0,33.9,32.15,32.75,16408.0
2012-03-26,33.5,33.75,31.5,32.0,58041.0
2012-03-27,32.0,34.37,31.0,33.0,72121.0
2012-03-28,34.75,35.0,34.58,35.0,63829.0
2012-03-29,35.0,36.57,35.0,35.0,21373.0
2012-03-30,34.5,36.75,34.25,35.09,5000.0
2012-04-02,,,,34.5,0.0
2012-04-03,33.75,35.0,33.64,33.85,7040.0
2012-04-04,33.25,34.5,32.5,33.0,55092.0
2012-04-05,33.75,34.2,32.55,33.12,20000.0
2012-04-10,,,,33.38,0.0
2012-04-11,32.5,32.9,32.25,32.9,10000.0
2012-04-12,,,,31.0,0.0
2012-04-13,31.5,31.74,31.05,31.74,5000.0
2012-04-16,,,,31.24,0.0
2012-04-17,,,,31.25,0.0
2012-04-18,,,,32.22,0.0
2012-04-19,,,,31.5,0.0
2012-04-20,,,,32.4,0.0
2012-04-23,,,,31.5,0.0
2012-04-24,32.0,38.13,32.0,36.5,275916.0
2012-04-25,36.25,36.52,35.0,35.0,2.0
2012-04-26,34.5,35.21,33.72,33.75,45139.0
2012-04-27,35.0,35.65,35.0,35.0,2500.0
2012-04-30,35.0,35.7,33.57,35.3,8018.0
2012-05-01,35.5,35.5,34.3,35.0,2500.0
2012-05-02,,,,35.0,0.0
2012-05-03,,,,35.0,0.0
2012-05-04,34.5,34.6,33.5,34.0,14089.0
2012-05-08,34.0,34.5,33.64,33.64,2500.0
2012-05-09,34.25,34.25,32.1,32.1,11409.0
2012-05-10,32.25,33.0,32.25,33.0,202.0
2012-05-11,32.25,33.65,32.0,32.45,5000.0
2012-05-14,32.25,33.37,30.5,32.0,122000.0
2012-05-15,,,,31.0,0.0
2012-05-16,30.5,30.5,28.0,30.5,87515.0
2012-05-17,30.5,30.75,29.25,29.25,67763.0
2012-05-18,28.0,29.0,27.06,29.0,22000.0
2012-05-21,27.75,28.46,27.39,28.37,17490.0
2012-05-22,29.0,29.75,29.0,29.74,15116.0
2012-05-23,28.75,30.66,28.5,28.5,32000.0
2012-05-24,,,,29.2,0.0
2012-05-25,28.0,28.96,27.92,28.75,5000.0
2012-05-28,,,,28.75,0.0
