Date,Open,High,Low,Close,Volume
2012-01-03,690.5,693.8,671.2,681.1,1639482
2012-01-04,679.3,684.6,674.0,677.3,1408110
2012-01-05,676.5,681.6,665.6,666.3,1581353
2012-01-06,664.6,676.5,661.5,669.9,2203446
2012-01-09,670.7,672.7,662.0,664.6,1419245
2012-01-10,676.5,688.9,672.7,686.4,3350084
2012-01-11,685.4,710.8,683.1,710.8,5116463
2012-01-12,715.08,744.57,712.55,732.6,4962561
2012-01-13,738.2,746.3,726.5,741.7,4452375
2012-01-16,736.2,740.2,723.5,739.7,2376878
2012-01-17,746.82,754.37,727.52,735.39,1964724
2012-01-18,733.87,735.01,723.21,726.51,2713247
2012-01-19,730.1,745.0,726.3,742.5,2079073
2012-01-20,746.1,749.1,727.8,737.7,1931583
2012-01-23,746.3,766.4,737.9,741.7,2639119
2012-01-24,731.1,736.2,711.0,716.9,12212872
2012-01-25,719.1,728.3,711.0,716.6,3197207
2012-01-26,720.4,724.2,716.6,720.9,2602373
2012-01-27,718.1,721.4,714.6,716.4,2250201
2012-01-30,710.0,714.1,700.9,710.8,6342219
2012-01-31,713.6,724.5,705.9,715.3,4575075
2012-02-01,718.13,744.87,717.88,741.23,5208945
2012-02-02,741.2,741.5,725.2,728.5,8112047
2012-02-03,,,,733.1,0
2012-02-06,321.0,351.2,320.0,345.07,40950709
2012-02-07,352.7,359.2,344.9,355.46,15525758
2012-02-08,350.7,360.0,338.0,342.2,10745027
2012-02-09,351.0,358.14,350.3,354.84,9359436
2012-02-10,349.8,354.2,348.5,351.9,5441824
2012-02-13,347.1,357.1,336.0,348.0,3915827
2012-02-14,348.1,350.65,345.0,347.67,3313036
2012-02-15,350.1,352.2,344.4,344.86,4204698
2012-02-16,344.0,347.5,340.6,346.03,7954300
2012-02-17,351.8,353.0,347.9,349.48,5452125
2012-02-20,353.8,359.1,353.2,354.2,2913701
2012-02-21,352.3,352.58,249.25,347.0,4429810
2012-02-22,349.4,349.8,343.1,347.3,4044406
2012-02-23,345.9,356.2,345.74,352.6,5174589
2012-02-24,353.5,361.1,353.1,360.0,4069490
2012-02-27,356.1,360.11,353.3,356.0,3062929
2012-02-28,355.2,364.9,351.1,353.0,3491239
2012-02-29,351.3,353.8,344.08,344.2,5468773
2012-03-01,343.2,345.1,337.3,338.6,3779051
2012-03-02,345.0,345.0,336.7,336.9,4090483
2012-03-05,336.8,336.8,330.7,332.0,2021484
2012-03-06,332.2,332.2,319.34,321.0,5693358
2012-03-07,321.1,322.1,315.0,319.7,7065429
2012-03-08,322.1,328.4,321.37,324.3,3796434
2012-03-09,325.0,333.4,323.1,331.6,4114210
2012-03-12,330.0,332.6,327.86,329.9,5622478
2012-03-13,329.9,333.9,329.9,333.4,5254547
2012-03-14,333.4,338.0,333.3,336.3,6330956
2012-03-15,334.9,336.71,330.1,334.96,4222079
2012-03-16,332.9,334.7,322.7,333.1,20399692
2012-03-19,333.1,333.53,327.9,331.9,2936423
2012-03-20,333.0,349.0,328.18,341.8,7288016
2012-03-21,342.1,349.6,337.6,346.1,6451589
2012-03-22,347.4,347.4,340.1,343.9,3551466
2012-03-23,345.4,345.5,340.1,342.1,2720603
2012-03-26,344.8,344.8,339.3,340.8,3638811
2012-03-27,340.7,342.4,333.3,333.3,3214374
2012-03-28,334.8,336.5,330.4,332.4,3277811
2012-03-29,331.9,333.4,325.0,325.9,3109385
2012-03-30,327.0,330.3,320.3,323.1,4614668
2012-04-02,322.5,325.4,318.3,320.4,4919818
2012-04-03,325.0,339.1,324.7,333.2,7725796
2012-04-04,331.6,336.4,328.6,332.4,6605651
2012-04-05,331.4,336.3,329.6,334.9,4908459
2012-04-10,332.9,332.9,321.2,321.2,4855242
2012-04-11,326.1,332.6,323.6,326.6,4298689
2012-04-12,326.5,330.22,320.6,326.9,2424242
2012-04-13,327.4,328.6,319.2,320.0,2609991
2012-04-16,330.0,334.5,324.7,327.0,4102665
2012-04-17,327.4,336.2,325.6,335.1,4087787
2012-04-18,334.0,337.5,329.6,337.5,3191702
2012-04-19,337.9,342.1,335.0,341.4,4708717
2012-04-20,341.5,341.6,334.6,336.7,3313296
2012-04-23,335.7,335.7,325.1,327.7,1990948
2012-04-24,330.4,331.0,327.4,329.5,1759079
2012-04-25,331.8,336.0,330.67,334.0,2300722
2012-04-26,336.8,345.4,335.1,338.0,3437393
2012-04-27,336.4,346.5,334.59,344.0,3301627
2012-04-30,345.0,347.7,342.1,343.8,1685807
2012-05-01,345.6,349.0,342.5,349.0,1195019
2012-05-02,350.6,351.11,338.7,340.3,2250735
2012-05-03,342.0,348.9,337.1,342.0,2050365
2012-05-04,341.0,341.7,325.1,325.8,1981202
2012-05-08,325.7,326.5,312.8,313.7,3542670
2012-05-09,314.5,314.8,304.0,307.7,2477811
2012-05-10,309.3,317.1,306.8,314.3,2240314
2012-05-11,312.8,314.3,303.7,310.2,2504175
2012-05-14,308.6,311.6,300.8,301.3,2101911
2012-05-15,302.9,306.8,296.7,297.7,1795302
2012-05-16,295.8,296.9,289.4,291.5,2839432
2012-05-17,296.8,301.6,289.3,292.0,2456764
2012-05-18,289.0,290.1,284.2,286.0,2542677
2012-05-21,286.9,295.5,284.1,294.4,2659803
2012-05-22,294.2,299.75,294.1,295.8,3517198
2012-05-23,293.4,294.56,286.9,287.8,2103993
2012-05-24,290.0,294.4,286.5,290.0,2178112
2012-05-25,291.5,293.0,285.9,287.2,2927185
2012-05-28,290.2,295.6,281.43,289.5,1676611
2012-05-29,291.1,296.4,291.1,295.2,1915724
2012-05-30,295.0,295.1,287.8,288.5,2240383
2012-05-31,290.0,295.0,283.5,285.5,3094000
2012-06-01,287.5,289.5,275.8,275.9,3824675
2012-06-06,282.4,292.4,278.92,289.7,2013484
2012-06-07,290.6,296.9,287.6,294.8,2146556
2012-06-08,294.0,295.1,289.56,294.1,2263152
2012-06-11,299.2,301.1,290.1,291.0,1604701
2012-06-12,290.5,292.2,286.3,291.9,3178071
2012-06-13,295.0,297.1,286.0,288.7,3969089
2012-06-14,289.8,289.8,278.7,280.0,3443824
