Date,Open,High,Low,Close,Volume
2012-01-03,186.3,186.3,182.1,185.2,3563789
2012-01-04,185.3,186.9,183.6,183.8,1981538
2012-01-05,184.7,184.7,179.4,180.3,2111135
2012-01-06,180.7,184.1,180.7,183.8,2029032
2012-01-09,184.0,184.71,180.9,183.16,4991138
2012-01-10,183.4,186.9,182.7,184.5,1901071
2012-01-11,184.4,186.2,183.36,185.8,1254934
2012-01-12,186.2,187.7,185.5,187.6,2020544
2012-01-13,187.1,190.25,185.5,186.9,1559335
2012-01-16,186.6,188.1,186.07,188.1,905591
2012-01-17,190.3,190.5,188.0,189.1,1359656
2012-01-18,189.0,191.9,188.2,191.3,1330819
2012-01-19,191.7,193.5,190.0,192.2,2166043
2012-01-20,193.4,195.6,191.3,194.4,2718814
2012-01-23,194.1,196.3,192.2,193.7,1850229
2012-01-24,192.6,193.0,186.3,188.3,4968215
2012-01-25,189.0,189.3,186.3,188.74,2796640
2012-01-26,187.7,189.6,187.1,188.54,2066911
2012-01-27,185.6,186.6,181.2,182.8,3490640
2012-01-30,181.9,183.0,178.5,179.7,2672517
2012-01-31,180.1,184.3,179.7,183.1,3739077
2012-02-01,183.4,187.7,182.5,186.7,1996756
2012-02-02,187.3,187.3,184.1,184.9,1786286
2012-02-03,185.1,191.5,184.1,189.72,3949393
2012-02-06,191.1,192.2,188.3,188.9,1163241
2012-02-07,189.1,190.3,186.7,188.4,2473852
2012-02-08,189.3,189.7,185.2,189.5,2143711
2012-02-09,189.3,190.8,188.8,189.7,1308914
2012-02-10,188.4,189.6,187.0,189.0,1104665
2012-02-13,188.2,192.7,188.2,191.8,996448
2012-02-14,191.8,194.3,190.4,192.3,1533875
2012-02-15,193.6,195.0,190.8,192.2,1651614
2012-02-16,191.9,192.5,188.2,188.9,2285294
2012-02-17,190.1,192.3,189.8,191.0,1669760
2012-02-20,192.4,194.1,190.8,191.3,1528739
2012-02-21,190.5,191.4,187.0,187.3,3103195
2012-02-22,188.0,190.5,187.9,189.4,2123471
2012-02-23,188.6,190.6,187.5,188.9,2023725
2012-02-24,188.6,190.0,187.4,188.1,1429544
2012-02-27,188.3,190.3,186.7,189.9,1972968
2012-02-28,190.2,190.5,188.2,188.6,2359755
2012-02-29,188.2,189.5,186.5,187.4,3402832
2012-03-01,185.9,191.0,185.9,190.2,2502836
2012-03-02,190.7,192.8,190.1,192.6,2446057
2012-03-05,192.3,193.7,190.1,192.3,2281282
2012-03-06,192.2,192.36,186.0,186.3,3038558
2012-03-07,190.9,212.4,190.0,209.7,10065422
2012-03-08,214.2,214.8,207.5,209.4,4995557
2012-03-09,211.5,213.3,208.8,210.5,3833106
2012-03-12,210.6,221.7,210.3,220.6,4677121
2012-03-13,222.8,222.8,216.1,217.7,4149647
2012-03-14,219.4,220.8,217.0,217.0,2685699
2012-03-15,217.6,220.2,216.4,217.0,3002799
2012-03-16,218.0,222.9,217.4,221.9,4319652
2012-03-19,222.3,222.3,219.8,220.8,1665857
2012-03-20,217.8,220.8,216.6,220.4,2720617
2012-03-21,221.2,221.9,217.7,220.4,2569605
2012-03-22,221.0,222.2,217.5,219.6,3608639
2012-03-23,220.0,222.5,219.44,221.9,2758965
2012-03-26,222.2,224.5,220.9,224.1,1844951
2012-03-27,225.0,226.3,222.1,224.5,2870807
2012-03-28,224.4,227.9,223.2,223.5,3214770
2012-03-29,223.3,224.4,221.2,221.6,3765292
2012-03-30,222.8,229.1,222.8,229.1,5692809
2012-04-02,230.1,232.2,226.5,232.2,3537259
2012-04-03,231.6,233.42,230.7,232.0,3259138
2012-04-04,232.2,232.7,226.3,227.0,4827548
2012-04-05,227.9,230.8,226.66,230.0,2837524
2012-04-10,229.3,231.7,226.8,229.1,3000571
2012-04-11,228.2,231.4,228.1,230.6,3856444
2012-04-12,233.1,237.2,232.0,237.2,3574194
2012-04-13,236.2,236.8,232.0,232.6,2292755
2012-04-16,234.3,235.4,232.7,233.4,2854614
2012-04-17,234.4,238.9,233.3,238.9,2947466
2012-04-18,238.9,240.2,235.5,238.4,3251594
2012-04-19,239.5,241.3,238.5,239.5,3331928
2012-04-20,240.4,240.54,236.0,236.9,3233306
2012-04-23,237.2,237.2,230.4,231.0,2736814
2012-04-24,232.9,237.7,230.6,237.7,3721844
2012-04-25,238.1,241.1,235.6,238.3,2813564
2012-04-26,238.5,238.5,230.4,233.6,4185268
2012-04-27,234.2,234.2,228.2,229.8,5282875
2012-04-30,231.4,231.4,225.1,226.5,3467144
2012-05-01,228.7,229.2,225.4,229.0,1683790
2012-05-02,226.9,227.0,220.0,224.3,4050051
2012-05-03,223.6,225.3,223.1,224.3,4685883
2012-05-04,223.4,224.37,219.2,219.8,3262728
2012-05-08,220.3,222.6,217.9,219.0,3338379
2012-05-09,219.9,221.0,215.6,218.15,3023290
2012-05-10,221.5,222.4,213.2,215.8,4144509
2012-05-11,214.7,220.9,214.7,220.3,2702109
2012-05-14,220.0,220.0,215.8,216.4,2523022
2012-05-15,218.0,219.9,217.27,218.8,2511225
2012-05-16,216.6,222.0,215.5,221.3,3732925
2012-05-17,222.3,222.6,218.4,220.0,2146656
2012-05-18,217.9,217.9,213.9,215.1,2794894
2012-05-21,215.8,216.4,214.17,214.9,1502629
2012-05-22,219.2,225.6,217.05,225.6,3461243
2012-05-23,224.9,226.1,223.9,225.4,3615287
2012-05-24,227.6,227.6,220.1,221.6,3075406
2012-05-25,222.3,225.8,220.9,224.0,2827867
2012-05-28,226.2,226.3,224.5,225.7,1348461
2012-05-29,227.0,227.8,224.9,226.18,4344996
2012-05-30,225.6,225.6,221.9,222.16,2588636
2012-05-31,222.5,225.5,220.6,223.57,3709603
2012-06-01,223.9,224.0,217.7,219.6,2314534
2012-06-06,221.8,228.3,220.8,228.3,3353850
2012-06-07,228.1,230.4,226.3,228.6,3057664
2012-06-08,228.3,229.8,227.0,229.1,2523551
2012-06-11,233.4,233.9,230.9,232.1,3267334
2012-06-12,231.6,234.1,230.2,233.2,3274431
2012-06-13,234.1,234.1,228.1,231.5,3351753
2012-06-14,232.0,236.0,229.8,236.0,3075196
2012-06-15,235.9,236.0,229.36,229.5,4100451
2012-06-18,233.4,233.4,229.3,231.5,1803401
2012-06-19,233.7,236.4,232.3,234.7,4475209
2012-06-20,235.4,236.23,230.9,234.8,2467848
2012-06-21,235.0,235.0,231.9,232.6,3049025
2012-06-22,229.2,230.4,226.4,226.9,2252292
2012-06-25,226.8,227.4,222.9,225.0,2670017
2012-06-26,225.4,226.7,223.3,224.6,2210019
2012-06-27,219.6,226.3,219.3,225.7,2573204
2012-06-28,225.8,227.42,223.7,227.4,1835027
2012-06-29,230.5,233.0,228.0,232.2,2347920
2012-07-02,231.7,235.8,231.7,235.6,1917723
2012-07-03,236.8,236.8,234.0,235.2,1939252
2012-07-04,235.7,237.0,233.9,235.7,925852
2012-07-05,236.5,237.4,234.7,236.8,1546476
2012-07-06,235.6,236.4,234.3,235.3,1490008
2012-07-09,235.2,235.3,232.8,234.3,2729556
2012-07-10,234.7,238.9,234.4,237.4,2387451
2012-07-11,236.3,236.7,233.4,234.9,1975881
2012-07-12,234.6,234.6,230.8,231.0,2222681
2012-07-13,232.2,236.1,230.8,235.4,1430311
2012-07-16,235.6,238.8,233.5,237.2,1578844
2012-07-17,237.8,238.9,234.9,236.4,1381670
2012-07-18,237.0,238.8,236.3,238.8,1397691
2012-07-19,239.8,242.7,238.0,238.8,1564383
2012-07-20,238.6,240.6,237.8,238.5,1544839
2012-07-23,234.8,236.65,231.12,233.0,1813013
2012-07-24,234.0,234.7,230.3,230.7,1318356
2012-07-25,229.8,231.2,227.8,229.8,1697801
2012-07-26,230.2,230.5,228.4,229.7,2153026
2012-07-27,231.5,236.1,231.5,235.9,2924116
2012-07-30,236.3,238.5,234.0,235.7,1007735
2012-07-31,235.8,236.7,231.4,232.5,2891684
2012-08-01,232.3,235.4,232.14,235.3,1811294
2012-08-02,234.5,235.4,230.5,231.0,2558331
2012-08-03,232.3,235.4,231.4,235.2,1487755
2012-08-06,234.6,236.0,233.2,234.9,1563719
2012-08-07,233.8,238.5,233.2,238.5,1606619
2012-08-08,233.0,235.0,222.4,225.7,4759908
2012-08-09,228.9,228.9,219.7,222.5,3933297
2012-08-10,221.8,225.2,221.4,221.4,2289062
2012-08-13,220.6,221.37,217.4,218.1,2232496
2012-08-14,219.4,220.6,217.6,220.6,2317183
2012-08-15,219.8,222.1,219.1,220.9,1860952
2012-08-16,220.3,224.2,220.0,221.8,2208419
2012-08-17,223.0,226.0,222.0,225.2,1761982
