Date,Open,High,Low,Close,Volume
2012-01-03,189.75,194.8,188.25,190.25,61431
2012-01-04,191.0,192.0,190.5,192.0,39337
2012-01-05,195.0,202.0,191.0,202.0,52336
2012-01-06,203.0,207.75,197.98,204.75,105263
2012-01-09,206.0,208.75,201.24,208.75,96104
2012-01-10,209.0,214.5,206.5,213.5,76149
2012-01-11,206.5,214.07,205.75,210.75,11853
2012-01-12,211.75,213.75,204.25,206.0,53316
2012-01-13,210.0,212.5,203.25,208.0,73521
2012-01-16,212.25,212.25,201.75,201.75,28692
2012-01-17,202.25,206.0,200.25,200.25,7396
2012-01-18,205.5,207.3,199.6,201.25,21605
2012-01-19,205.0,205.0,193.75,193.75,94174
2012-01-20,200.25,203.0,196.0,196.0,89483
2012-01-23,198.75,200.0,195.25,197.5,42815
2012-01-24,202.25,202.25,195.0,200.0,17818
2012-01-25,197.0,202.45,195.25,197.5,52543
2012-01-26,198.0,201.5,195.0,195.1,45924
2012-01-27,198.5,200.03,195.35,199.75,14886
2012-01-30,200.0,200.0,195.75,195.75,11399
2012-01-31,196.5,202.54,194.37,195.0,88567
2012-02-01,203.0,204.5,194.0,195.25,33062
2012-02-02,197.0,202.0,195.0,195.75,72141
2012-02-03,198.0,201.2,196.0,197.0,106329
2012-02-06,204.75,204.75,0.0,198.24,14623
2012-02-07,201.0,202.83,194.0,199.75,84671
2012-02-08,200.75,204.25,197.08,199.5,80304
2012-02-09,203.25,203.27,199.98,200.0,37826
2012-02-10,200.0,205.0,200.0,205.0,53575
2012-02-13,202.0,207.82,198.0,206.75,1949
2012-02-14,203.0,206.75,199.0,205.0,2309
2012-02-15,199.25,206.0,193.25,193.25,18444
2012-02-16,193.5,206.87,193.5,195.25,21204
2012-02-17,195.0,200.25,195.0,198.75,10271
2012-02-20,203.75,203.8,196.35,202.0,3317
2012-02-21,201.0,205.59,195.0,203.0,25802
2012-02-22,205.0,205.0,196.25,199.25,5415
2012-02-23,200.75,208.0,200.75,203.0,11573
2012-02-24,209.0,209.33,203.25,203.25,4019
2012-02-27,210.0,214.0,201.75,201.75,14578
2012-02-28,209.0,209.0,199.0,201.0,10907
2012-02-29,205.0,206.82,199.35,203.0,7450
2012-03-01,204.5,207.75,199.73,203.25,2728
2012-03-02,204.75,206.32,199.77,200.75,11102
2012-03-05,200.75,208.31,200.0,201.0,16725
2012-03-06,200.0,206.0,200.0,204.75,48759
2012-03-07,210.0,212.0,200.25,207.64,27867
2012-03-08,208.0,215.0,204.32,207.9,44834
2012-03-09,210.0,210.25,202.25,207.69,32333
2012-03-12,206.0,219.0,205.12,216.25,36041
2012-03-13,220.0,227.0,217.62,224.5,9490
2012-03-14,225.0,231.14,223.93,225.0,14541
2012-03-15,228.0,232.0,222.82,223.0,59129
2012-03-16,223.0,232.9,223.0,226.0,47515
2012-03-19,230.0,239.96,228.62,239.0,16863
2012-03-20,235.0,247.5,235.0,247.5,58470
2012-03-21,246.75,249.0,239.6,241.0,10848
2012-03-22,237.0,246.0,231.85,234.25,18441
2012-03-23,232.75,235.99,225.5,230.25,38178
2012-03-26,230.25,233.51,226.27,231.25,9597
2012-03-27,230.0,232.5,223.25,223.25,14554
2012-03-28,223.0,231.31,223.0,226.5,17258
2012-03-29,228.0,230.0,216.0,216.0,28452
2012-03-30,221.0,226.0,220.0,220.0,9457
2012-04-02,222.25,233.0,221.25,233.0,14698
2012-04-03,231.5,237.46,227.38,231.25,7768
2012-04-04,231.0,233.25,226.25,232.0,15026
2012-04-05,231.0,233.5,230.25,233.0,3685
2012-04-10,233.5,237.0,230.58,231.25,3022
2012-04-11,230.0,232.65,223.0,224.0,28653
2012-04-12,225.5,236.51,224.25,229.0,6612
2012-04-13,234.75,234.75,227.0,227.75,13272
2012-04-16,227.75,234.75,215.75,215.75,25581
2012-04-17,217.5,225.0,217.5,220.0,26612
2012-04-18,214.75,218.5,210.75,213.0,54637
2012-04-19,217.75,222.75,216.39,221.0,9063
2012-04-20,213.5,218.47,213.5,214.0,4694
2012-04-23,219.5,219.75,215.5,216.75,3143
2012-04-24,222.75,223.02,213.75,216.0,5532
2012-04-25,219.5,221.93,216.0,219.0,6344
2012-04-26,223.25,223.25,216.5,220.0,6967
2012-04-27,220.25,221.75,216.25,219.5,11100
2012-04-30,221.25,224.17,215.74,222.5,5630
2012-05-01,223.5,225.0,221.75,224.75,5533
2012-05-02,215.25,224.5,215.0,217.5,28720
2012-05-03,215.75,220.55,213.0,214.0,56009
2012-05-04,213.0,220.75,201.25,201.25,37228
2012-05-08,201.25,213.0,201.0,201.0,16747
2012-05-09,203.25,211.11,201.0,201.25,30314
2012-05-10,200.0,207.19,200.0,204.0,37814
2012-05-11,208.0,213.4,208.0,210.75,11146
2012-05-14,213.75,213.75,200.0,200.0,9333
2012-05-15,202.25,209.55,202.25,207.0,28641
2012-05-16,206.0,206.0,200.33,204.5,16623
2012-05-17,206.5,209.8,204.5,206.5,20845
2012-05-18,202.5,203.5,198.25,201.0,24332
2012-05-21,205.0,205.0,198.59,202.0,12776
2012-05-22,208.0,209.9,206.0,207.0,494
2012-05-23,205.5,205.71,198.0,201.25,16608
2012-05-24,201.25,205.5,200.0,201.0,11730
2012-05-25,206.0,206.0,198.0,200.0,4227
2012-05-28,206.0,206.0,198.0,201.78,8980
2012-05-29,198.25,204.75,198.16,200.0,2633
2012-05-30,202.0,203.75,198.36,201.7,5048
2012-05-31,198.25,202.72,193.0,193.0,41476
2012-06-01,195.0,196.21,190.75,190.75,26981
2012-06-06,193.0,195.84,190.0,190.0,20026
2012-06-07,190.5,198.0,190.5,191.0,35400
2012-06-08,191.0,196.78,188.0,188.0,29206
2012-06-11,187.5,194.96,187.0,188.0,18018
2012-06-12,189.75,195.0,188.0,188.25,22571
2012-06-13,187.0,195.0,187.0,188.5,27772
2012-06-14,188.0,194.75,188.0,190.0,14156
2012-06-15,192.0,200.87,189.97,200.75,146934
2012-06-18,195.0,206.0,194.92,206.0,16184
2012-06-19,207.5,212.0,207.5,212.0,2378
2012-06-20,212.0,217.0,210.0,217.0,19788
2012-06-21,217.0,218.0,209.0,218.0,6761
2012-06-22,212.0,213.44,208.69,210.0,41621
2012-06-25,212.5,212.5,206.5,206.5,939
