Date,Open,High,Low,Close,Volume
2012-01-03,659.3,662.5,644.4,654.5,3929213
2012-01-04,653.4,658.2,648.1,651.3,4375400
2012-01-05,652.4,655.0,636.4,638.0,3872123
2012-01-06,640.2,645.5,635.4,642.8,3679724
2012-01-09,642.81,645.69,634.31,642.81,3874447
2012-01-10,646.5,652.9,644.4,650.8,2460041
2012-01-11,653.0,656.0,646.0,649.0,3441009
2012-01-12,649.7,654.5,638.0,643.9,3115750
2012-01-13,648.0,654.0,645.0,648.0,3699464
2012-01-16,647.1,652.9,643.9,648.1,2110163
2012-01-17,651.3,651.8,636.4,645.5,42707775
2012-01-18,646.0,659.3,643.3,658.2,5707129
2012-01-19,660.9,663.0,650.8,651.3,4633779
2012-01-20,654.0,655.6,643.9,651.8,5049713
2012-01-23,653.4,658.2,651.3,654.0,3767743
2012-01-24,652.9,655.6,642.3,645.5,3272220
2012-01-25,633.8,641.8,631.1,636.4,5509884
2012-01-26,637.0,639.1,633.8,635.9,3810617
2012-01-27,633.78,634.4,625.81,629.0,4161341
2012-01-30,627.41,631.89,625.28,626.34,3730471
2012-01-31,628.0,632.0,624.0,626.0,5096223
2012-02-01,629.0,643.3,626.9,638.6,6276749
2012-02-02,643.9,652.4,639.6,643.3,5934689
2012-02-03,643.9,665.7,642.8,663.5,5857061
2012-02-06,663.0,671.38,658.75,668.31,4821080
2012-02-07,669.4,673.1,665.7,669.9,5167175
2012-02-08,669.9,671.5,660.9,664.1,4679589
2012-02-09,664.1,671.5,663.0,669.9,3139624
2012-02-10,668.3,675.2,667.8,671.5,4244156
2012-02-13,675.8,679.5,672.6,674.7,2960085
2012-02-14,672.0,675.8,666.7,674.2,3355628
2012-02-15,676.8,679.5,673.6,678.9,2801506
2012-02-16,676.8,679.5,669.4,677.3,3549155
2012-02-17,678.0,684.0,676.0,681.0,2339958
2012-02-20,683.7,685.8,674.7,677.3,2660042
2012-02-21,676.3,680.0,669.4,669.4,2975848
2012-02-22,671.5,673.6,666.7,671.5,2964635
2012-02-23,672.0,675.8,667.2,675.2,3160508
2012-02-24,678.41,679.73,673.62,675.75,2694595
2012-02-27,671.5,676.81,666.05,676.28,2762377
2012-02-28,676.3,676.8,667.8,672.6,2600645
2012-02-29,670.97,673.83,666.72,669.38,3998836
