Date,Open,High,Low,Close,Volume
2012-01-03,1914.0,1915.0,1889.0,1903.0,476248
2012-01-04,1904.0,1927.0,1882.0,1890.0,306653
2012-01-05,1903.0,1903.0,1868.0,1883.0,196984
2012-01-06,1883.0,1892.0,1866.0,1890.0,361316
2012-01-09,1889.14,1912.91,1882.93,1890.18,171146
2012-01-10,1917.0,1970.0,1890.0,1946.0,315351
2012-01-11,1951.0,1979.0,1909.0,1932.0,320079
2012-01-12,1918.0,1990.0,1918.0,1977.0,364774
2012-01-13,1998.0,1998.0,1943.0,1964.0,229421
2012-01-16,1958.54,1980.29,1952.78,1975.11,131526
2012-01-17,2006.0,2013.0,1983.0,2005.0,235973
2012-01-18,2011.0,2020.0,1981.0,2007.0,277011
2012-01-19,2008.0,2030.0,1996.0,2013.0,223893
2012-01-20,2014.0,2027.0,1999.0,2006.0,290890
2012-01-23,2007.21,2011.36,1979.3,2008.25,209559
2012-01-24,1995.82,2007.21,1966.13,1975.11,337852
2012-01-25,1973.0,1994.0,1955.0,1960.0,285161
2012-01-26,1984.0,2017.0,1978.0,2008.0,327396
2012-01-27,1996.0,2024.0,1985.0,2004.0,197894
2012-01-30,1992.71,1992.71,1963.77,1982.36,259916
2012-01-31,2002.0,2019.0,1997.0,2004.0,290753
2012-02-01,2009.0,2046.0,2007.0,2020.0,593491
2012-02-02,2028.0,2051.0,2017.0,2020.0,579100
2012-02-03,2020.0,2078.0,2011.0,2069.0,338183
2012-02-06,2064.0,2084.0,2043.0,2070.0,246418
2012-02-07,2073.5,2083.82,2026.95,2073.5,178889
2012-02-08,2075.0,2122.0,2072.0,2116.0,299360
2012-02-09,2116.0,2119.0,2095.0,2117.0,225319
2012-02-10,2101.0,2118.0,2090.0,2102.0,137261
2012-02-13,2110.0,2133.0,2110.0,2125.0,156866
2012-02-14,2114.0,2156.0,2108.0,2151.0,182876
2012-02-15,2169.82,2185.36,2145.29,2165.68,291326
2012-02-16,2150.0,2150.0,2105.0,2110.0,368148
2012-02-17,2127.0,2130.0,2089.0,2098.0,255710
2012-02-20,2143.0,2143.0,2095.0,2104.0,240180
2012-02-21,2201.0,2250.0,2150.0,2199.0,811241
2012-02-22,2257.08,2278.57,2217.52,2222.64,438214
2012-02-23,2232.0,2259.0,2217.0,2254.0,380934
2012-02-24,2278.0,2302.0,2239.0,2245.0,314811
2012-02-27,2237.0,2246.0,2185.0,2239.0,199129
2012-02-28,2251.0,2275.0,2228.0,2260.0,249667
2012-02-29,2265.0,2281.0,2216.0,2231.0,396865
2012-03-01,2229.0,2238.0,2216.0,2230.0,239432
2012-03-02,2235.0,2240.0,2200.0,2222.0,180582
2012-03-05,2211.0,2228.0,2188.0,2201.0,203615
2012-03-06,2201.0,2201.0,2145.0,2182.0,456420
2012-03-07,2184.0,2237.0,2180.0,2226.0,468942
2012-03-08,2234.04,2279.38,2180.18,2258.89,369309
2012-03-09,2267.0,2325.0,2266.0,2296.0,482517
2012-03-12,2287.89,2304.98,2274.43,2283.75,341519
2012-03-13,2288.0,2329.0,2288.0,2314.0,361295
2012-03-14,2332.0,2334.0,2290.0,2298.0,357346
2012-03-15,2298.0,2316.0,2287.0,2304.0,517933
2012-03-16,2304.0,2346.0,2280.0,2318.0,3750206
2012-03-19,2318.0,2356.0,2248.0,2249.0,372436
2012-03-20,2241.0,2241.0,2202.0,2211.0,381374
2012-03-21,2222.64,2247.79,2208.14,2233.0,361676
2012-03-22,2222.0,2241.0,2169.0,2196.0,584192
2012-03-23,2208.14,2225.13,2150.14,2171.89,588232
2012-03-26,2182.0,2257.0,2176.0,2233.0,447422
2012-03-27,2237.0,2245.0,2186.0,2201.0,461662
2012-03-28,2196.0,2225.0,2184.0,2191.0,319688
2012-03-29,2180.0,2197.0,2142.0,2168.0,366258
2012-03-30,2168.79,2185.36,2161.22,2181.21,459937
2012-04-02,2177.0,2227.0,2177.0,2227.0,445618
2012-04-03,2236.0,2245.0,2220.0,2241.0,405405
2012-04-04,2232.0,2236.0,2140.0,2147.0,436474
2012-04-05,2154.0,2167.0,2101.0,2146.0,391030
2012-04-10,2132.0,2147.0,2105.0,2123.0,459849
2012-04-11,2120.11,2148.07,2102.02,2142.89,504724
2012-04-12,2140.82,2232.95,2140.82,2220.57,583020
2012-04-13,2227.0,2246.0,2202.0,2208.0,455014
2012-04-16,2195.71,2279.82,2188.46,2268.21,610076
2012-04-17,2259.93,2307.8,2244.39,2307.57,739300
2012-04-18,2310.0,2320.0,2287.0,2295.0,423578
2012-04-19,2303.0,2378.0,2303.0,2338.0,472635
2012-04-20,2346.0,2371.0,2337.0,2355.0,320539
2012-04-23,2344.86,2349.0,2279.13,2303.43,352990
2012-04-24,2301.0,2339.0,2300.0,2311.0,306911
2012-04-25,2319.0,2345.0,2297.0,2339.0,422762
2012-04-26,2329.0,2339.0,2250.0,2321.0,885413
2012-04-27,2289.0,2369.0,2288.0,2364.0,461258
2012-04-30,2376.0,2382.0,2302.0,2312.0,382357
2012-05-01,2324.0,2331.0,2297.0,2331.0,124239
2012-05-02,2320.0,2330.0,2289.0,2312.0,465541
2012-05-03,2315.0,2341.0,2313.0,2331.0,278250
2012-05-04,2320.0,2331.06,2266.14,2278.57,291982
2012-05-08,2279.0,2302.0,2218.0,2225.0,399601
2012-05-09,2244.39,2250.61,2171.94,2216.43,415704
2012-05-10,2238.0,2238.0,2179.0,2209.0,465131
2012-05-11,2211.0,2234.0,2182.0,2226.0,253129
