Date,Open,High,Low,Close,Volume
2016-11-18,103.0,104.54,102.5,103.0,89999
2016-11-21,103.25,104.97,103.25,104.89,215054
2016-11-22,105.5,105.5,104.3,104.5,115561
2016-11-23,105.0,105.0,104.25,104.25,0
2016-11-24,104.88,105.0,104.25,104.25,0
2016-11-25,104.25,105.0,104.25,104.5,520
2016-11-28,104.25,105.0,104.25,105.0,5
2016-11-29,104.25,105.0,104.0,104.0,27104
2016-11-30,104.0,105.25,103.41,103.5,76336
2016-12-01,104.0,104.89,103.25,103.5,54817
2016-12-02,103.5,104.0,103.0,103.25,54224
2016-12-05,103.25,104.59,103.25,104.0,108960
2016-12-06,103.5,104.7,103.5,104.5,26640
2016-12-07,104.5,104.5,103.5,103.75,742
2016-12-08,103.5,103.99,103.0,103.0,57457
2016-12-09,103.5,103.5,102.5,102.5,97299
2016-12-12,103.0,103.3,102.75,102.75,5285
2016-12-13,103.0,103.0,102.5,102.5,7289
2016-12-14,102.75,103.98,102.5,102.5,1698
2016-12-15,102.5,104.0,102.5,103.5,19906
2016-12-16,102.5,104.25,102.5,103.0,120830
2016-12-19,103.0,104.0,102.75,102.75,37580
2016-12-20,102.75,103.5,102.75,102.75,32219
2016-12-21,102.75,103.5,102.5,102.75,61397
2016-12-22,102.75,103.9,102.75,103.0,36382
2016-12-23,103.56,103.56,103.38,103.38,0
2016-12-28,103.75,103.75,103.0,103.0,5229
2016-12-29,103.75,104.2,103.0,104.0,30345
2016-12-30,104.0,104.0,103.0,103.4,1032
2017-01-03,103.0,104.48,103.0,103.99,207
2017-01-04,104.5,104.5,103.5,104.0,7561
2017-01-05,103.5,104.75,103.5,104.0,377854
2017-01-06,104.25,104.25,103.5,104.0,742965
2017-01-09,105.0,105.0,103.5,103.5,374466
2017-01-10,104.75,105.0,103.75,104.46,27716
2017-01-11,104.25,104.46,104.0,104.0,58023
2017-01-12,104.25,104.94,104.0,104.0,262621
2017-01-13,104.25,104.62,104.0,104.0,604478
2017-01-16,105.0,105.0,103.75,104.75,10732
2017-01-17,104.25,105.0,104.08,104.5,150047
2017-01-18,104.5,105.24,104.25,104.75,299795
2017-01-19,105.0,105.21,104.5,105.21,100000
2017-01-20,105.0,105.21,104.78,105.21,300000
2017-01-23,105.0,105.0,104.65,104.85,84364
2017-01-24,104.95,104.95,104.62,104.9,0
2017-01-25,105.25,105.25,104.63,104.76,501391
2017-01-26,105.15,105.15,104.88,104.88,0
2017-01-27,105.0,105.2,104.5,104.95,201213
2017-01-30,105.0,105.0,104.63,105.0,202284
2017-01-31,105.0,105.0,104.82,105.0,208411
2017-02-01,105.25,105.4,105.0,105.2,155202
2017-02-02,105.0,105.5,104.63,105.13,120047
2017-02-03,105.0,105.51,104.95,105.5,144093
2017-02-06,104.5,105.45,104.5,104.95,535418
2017-02-07,105.25,105.45,104.7,105.0,565906
2017-02-08,105.0,105.43,104.64,104.88,12805
2017-02-09,105.0,105.31,104.75,104.75,158563
2017-02-10,104.7,104.88,104.7,104.7,0
2017-02-13,105.5,105.5,104.7,104.75,6313
2017-02-14,105.5,105.5,104.62,104.93,10585
2017-02-15,105.25,105.25,104.5,104.93,8810
2017-02-16,105.5,105.5,104.73,105.0,196772
2017-02-17,105.5,105.5,104.73,105.0,132664
2017-02-20,105.5,105.92,104.85,105.5,333502
2017-02-21,106.0,106.5,105.0,105.6,120179
2017-02-22,106.5,107.5,106.15,107.0,114444
2017-02-23,107.0,107.5,106.5,107.0,36321
2017-02-24,106.25,107.5,106.25,107.0,39926
2017-02-27,106.25,107.5,106.25,107.0,62161
2017-02-28,107.5,107.5,106.5,107.0,137015
2017-03-01,107.0,107.5,106.5,106.5,170109
2017-03-02,107.25,107.25,106.5,106.88,163708
2017-03-03,107.0,107.0,106.5,106.5,221402
2017-03-06,107.75,107.75,106.5,106.5,475828
2017-03-07,107.5,107.5,106.5,106.88,241762
2017-03-08,107.0,107.25,106.75,107.0,84470
2017-03-09,107.75,107.75,107.0,107.5,19732
2017-03-10,107.75,107.75,107.0,107.25,131790
2017-03-13,107.5,107.5,106.75,107.12,121884
2017-03-14,107.75,107.75,106.75,107.0,783058
2017-03-15,107.75,107.75,106.75,107.38,260972
