Date,Open,High,Low,Close,Volume
2016-02-12,227.0,237.75,225.0,230.5,4724625
2016-02-15,244.0,244.5,230.22,241.38,447151
2016-02-16,240.0,241.85,232.1,235.6,302197
2016-02-17,240.0,242.8,236.0,240.0,154840
2016-02-18,239.5,245.18,235.0,238.24,89005
2016-02-19,236.0,238.5,230.0,232.5,655676
2016-02-22,232.75,235.0,228.05,230.75,1955658
2016-02-23,230.0,233.04,229.75,230.0,51349
2016-02-24,230.0,237.06,225.25,231.5,172812
2016-02-25,228.5,232.9,228.5,228.75,43138
2016-02-26,228.5,238.25,228.5,238.25,80476
2016-02-29,235.75,242.0,235.75,239.5,56446
2016-03-01,236.75,238.0,232.74,236.0,76208
2016-03-02,235.0,239.02,232.32,236.0,44619
2016-03-03,231.25,239.9,226.14,237.5,59165
2016-03-04,243.5,246.0,240.04,242.29,180586
2016-03-07,239.0,242.5,236.94,239.9,18313
2016-03-08,238.0,243.0,235.0,240.6,35610
2016-03-09,232.25,234.98,231.25,231.72,7692
2016-03-10,234.0,237.93,227.0,232.0,123753
2016-03-11,228.0,231.0,226.16,230.89,45807
2016-03-14,230.75,231.0,230.0,230.51,80036
2016-03-15,230.0,230.0,226.0,227.77,58419
2016-03-16,228.5,235.0,228.5,229.0,246041
2016-03-17,230.0,231.93,228.25,230.0,67812
2016-03-18,230.0,232.8,228.21,230.75,159086
2016-03-21,229.75,233.0,229.75,232.5,27515
2016-03-22,232.25,237.92,230.75,234.0,12170
2016-03-23,233.25,234.48,232.0,232.0,4245
2016-03-24,240.0,240.0,233.98,235.25,415301
2016-03-29,237.75,239.19,237.0,237.0,11171
2016-03-30,238.0,239.26,231.25,238.0,63839
2016-03-31,239.0,240.0,235.0,235.0,89469
2016-04-01,234.25,237.0,230.0,231.5,137448
2016-04-04,234.0,237.5,230.0,230.5,122515
2016-04-05,233.5,234.5,229.74,231.0,45611
2016-04-06,231.0,234.25,230.25,231.5,22280
2016-04-07,232.25,232.25,225.73,230.75,14310
2016-04-08,231.0,234.75,231.0,232.75,40376
2016-04-11,231.5,234.75,230.25,230.25,58647
2016-04-12,230.0,230.83,227.0,230.75,77957
2016-04-13,233.0,239.05,232.25,232.5,57738
2016-04-14,232.0,237.06,232.0,232.0,41417
2016-04-15,231.5,234.75,230.0,234.25,97316
2016-04-18,230.0,234.25,226.26,232.5,49267
2016-04-19,232.5,233.0,228.97,232.0,37839
2016-04-20,230.75,233.66,218.43,231.5,30451
2016-04-21,232.0,234.5,225.63,230.0,85672
2016-04-22,230.0,231.5,220.5,229.75,120912
2016-04-25,229.75,233.25,226.19,228.5,56239
2016-04-26,222.0,234.65,222.0,231.75,80746
2016-04-27,234.0,236.75,230.75,232.25,49757
2016-04-28,232.0,236.0,231.55,234.25,105802
2016-04-29,232.0,234.79,232.0,232.5,24865
2016-05-03,235.0,235.75,232.25,235.75,86525
2016-05-04,237.0,238.0,231.25,235.0,90755
2016-05-05,235.25,238.0,233.25,237.0,199381
2016-05-06,257.75,260.75,235.0,236.0,112251
