Date,Open,High,Low,Close,Volume
2012-01-03,120.0,0.0,120.0,120.0,956.0
2012-01-04,,,,121.4,0.0
2012-01-06,120.0,120.0,120.0,120.0,100.0
2012-01-09,121.4,0.0,121.35,121.35,5188.0
2012-01-10,121.0,0.0,121.0,123.97,4323.0
2012-01-11,130.0,130.0,125.72,125.75,1764.0
2012-01-12,,,,123.97,0.0
2012-01-17,130.0,131.0,125.72,131.0,9900.0
2012-01-18,140.0,140.0,131.2,135.0,12620.0
2012-01-19,140.0,141.19,131.0,138.0,102023.0
2012-01-20,139.38,139.38,0.0,139.38,944.0
2012-01-23,134.0,134.0,125.25,126.0,39628.0
2012-01-24,125.25,125.25,121.75,124.0,11791.0
2012-01-25,127.0,138.0,127.0,138.0,57869.0
2012-01-26,139.88,139.88,131.0,131.0,9850.0
2012-01-27,,,,132.0,0.0
2012-01-31,133.75,133.75,133.75,133.75,2500.0
2012-02-01,131.0,131.0,120.0,126.0,69445.0
2012-02-02,127.88,127.88,125.0,125.0,20150.0
2012-02-03,125.0,125.0,120.1,120.87,20853.0
2012-02-06,126.0,126.0,120.75,126.0,28131.0
2012-02-07,123.8,127.25,123.8,127.25,1825.0
2012-02-08,125.0,130.75,122.0,123.0,6140.0
2012-02-09,132.0,136.25,132.0,136.25,18778.0
2012-02-10,139.0,139.0,0.0,139.0,740.0
2012-02-13,140.42,145.25,140.0,144.0,12934.0
2012-02-14,,,,143.7,0.0
2012-02-15,135.0,138.5,135.0,135.0,17432.0
2012-02-16,135.0,138.0,135.0,138.0,5000.0
2012-02-17,,,,136.5,0.0
2012-02-20,,,,139.25,0.0
2012-02-21,140.0,142.63,138.0,138.0,2500.0
2012-02-22,145.0,145.0,140.0,144.2,5856.0
2012-02-23,145.0,145.0,140.0,140.0,3076.0
2012-02-24,,,,144.2,0.0
2012-02-27,,,,140.0,0.0
2012-02-28,145.0,145.0,145.0,145.0,60.0
2012-02-29,140.0,140.0,140.0,140.0,378.0
2012-03-01,,,,142.8,0.0
2012-03-02,135.0,137.0,129.12,129.12,12943.0
2012-03-05,,,,132.92,0.0
2012-03-06,130.0,130.0,130.0,130.0,77.0
2012-03-07,132.5,132.5,132.5,132.5,1500.0
2012-03-08,132.5,133.0,128.5,128.5,28.0
2012-03-09,130.0,135.0,127.25,135.0,16514.0
2012-03-12,130.0,133.5,130.0,133.5,3785.0
2012-03-13,127.0,133.5,127.0,133.5,68.0
2012-03-14,133.5,138.0,133.5,137.75,9161.0
2012-03-15,139.0,139.0,134.0,139.0,45.0
2012-03-16,139.0,139.0,135.6,135.75,599.0
2012-03-19,139.0,139.5,135.62,139.0,5651.0
2012-03-20,138.0,138.0,136.87,136.87,24000.0
2012-03-21,135.0,138.0,135.0,138.0,22.0
2012-03-22,136.0,140.0,135.0,140.0,21917.0
2012-03-23,140.0,144.0,132.85,144.0,5179.0
2012-03-26,144.0,148.9,142.0,143.82,2500.0
2012-03-27,149.0,149.0,142.62,144.0,572.0
2012-03-28,,,,144.56,0.0
2012-03-29,147.0,149.25,146.25,147.0,343.0
2012-03-30,150.0,152.0,133.1,151.5,1662.0
2012-04-02,152.0,154.0,147.24,152.0,7169.0
2012-04-03,155.0,160.0,151.0,160.0,9010.0
2012-04-04,150.0,159.86,148.0,156.0,2080.0
2012-04-05,150.4,158.9,150.4,156.25,328.0
2012-04-10,158.0,160.0,150.75,155.25,10042.0
2012-04-11,,,,154.09,0.0
2012-04-12,152.0,153.53,151.5,153.53,10000.0
2012-04-13,155.0,155.0,151.5,155.0,2500.0
2012-04-16,151.0,154.0,148.85,154.0,956.0
2012-04-17,150.0,150.0,145.0,150.0,3185.0
2012-04-18,150.0,150.0,145.0,145.72,4237.0
2012-04-19,145.0,145.75,140.0,140.0,5257.0
2012-04-20,,,,145.0,0.0
2012-04-23,140.0,144.28,134.25,134.25,5242.0
2012-04-24,132.0,140.65,132.0,132.0,900.0
2012-04-25,,,,132.0,0.0
2012-04-26,142.0,143.0,140.0,140.0,2960.0
2012-04-27,143.0,143.0,140.0,143.0,499.0
2012-04-30,143.0,144.0,143.0,144.0,5000.0
2012-05-01,,,,142.47,0.0
2012-05-02,141.0,141.0,133.0,134.75,22203.0
2012-05-03,138.25,143.9,138.25,140.0,9307.0
2012-05-04,144.0,144.0,141.0,141.0,11449.0
2012-05-08,151.75,152.0,147.0,147.0,14346.0
2012-05-09,148.0,148.0,144.06,144.18,4258.0
2012-05-10,143.5,148.0,143.5,148.0,1806.0
2012-05-11,143.5,145.0,141.0,145.0,3532.0
2012-05-14,141.0,145.0,134.46,134.46,7348.0
2012-05-15,134.0,134.0,134.0,134.0,149.0
2012-05-16,139.0,142.0,134.25,135.0,7109.0
2012-05-17,140.0,145.0,137.5,137.5,4642.0
2012-05-18,140.0,145.0,137.3,141.0,6595.0
2012-05-21,141.25,141.25,141.25,141.25,149.0
2012-05-22,141.0,141.0,138.52,141.0,149.0
2012-05-23,145.0,145.0,140.0,140.0,5101.0
2012-05-24,141.0,141.0,141.0,141.0,271.0
2012-05-25,143.0,145.0,141.94,145.0,7196.0
2012-05-28,149.0,149.0,146.0,148.0,1510.0
2012-05-29,146.0,151.13,145.0,145.0,5900.0
2012-05-30,145.0,151.13,145.0,145.0,360.0
2012-05-31,149.0,149.0,145.0,145.0,664.0
2012-06-01,,,,145.5,0.0
2012-06-06,149.0,150.13,145.0,145.0,10909.0
2012-06-07,145.0,150.13,141.0,141.0,5071.0
2012-06-08,140.0,148.0,140.0,140.0,760.0
2012-06-11,145.0,152.0,145.0,152.0,3434.0
2012-06-12,145.0,152.0,143.0,147.0,6554.0
2012-06-13,152.0,152.0,142.0,150.0,13133.0
2012-06-14,150.0,150.5,142.0,150.5,4798.0
2012-06-15,150.5,153.0,146.04,153.0,40099.0
2012-06-18,,,,142.6,0.0
2012-06-19,,,,150.5,0.0
2012-06-20,152.0,152.0,152.0,152.0,5000.0
2012-06-21,155.4,155.4,152.0,152.0,27.0
2012-06-22,152.6,155.4,150.0,150.0,4784.0
2012-06-25,150.0,159.5,150.0,150.0,904.0
2012-06-26,157.0,163.0,153.0,153.0,19135.0
2012-06-27,160.0,160.0,151.56,153.0,56.0
2012-06-28,158.0,162.0,150.39,157.5,10290.0
2012-06-29,159.0,163.8,156.58,159.0,1352.0
2012-07-02,164.0,164.0,155.0,155.25,5834.0
2012-07-03,155.0,159.92,155.0,155.0,715.0
2012-07-04,155.0,160.0,155.0,156.0,702.0
2012-07-05,155.0,156.5,155.0,155.0,702.0
2012-07-06,155.0,161.9,152.0,152.0,8088.0
2012-07-09,152.0,154.67,143.0,152.5,4659.0
2012-07-10,147.0,149.89,147.0,148.0,264.0
2012-07-11,147.0,155.9,147.0,147.0,702.0
2012-07-12,0.0,154.0,0.0,151.0,1578.0
2012-07-13,147.0,159.0,147.0,152.0,3971.0
2012-07-16,152.0,157.75,149.0,150.0,2778.0
2012-07-17,150.0,155.0,150.0,151.0,1418.0
2012-07-18,150.0,158.38,150.0,150.0,1405.0
2012-07-19,150.0,160.4,150.0,157.0,3905.0
2012-07-20,155.0,158.74,155.0,155.0,743.0
2012-07-23,155.0,158.5,155.0,158.5,9.0
2012-07-24,159.0,159.0,155.0,155.0,99.0
2012-07-25,155.0,159.0,155.0,159.0,21.0
2012-07-26,155.0,159.0,155.0,159.0,19.0
2012-07-27,159.0,165.0,158.5,165.0,5081.0
2012-07-30,159.75,162.71,156.75,159.75,1.0
2012-07-31,165.0,165.0,157.1,165.0,2.0
2012-08-01,165.0,167.0,159.47,167.0,4423.0
2012-08-02,,,,164.24,0.0
2012-08-03,167.0,175.25,163.25,175.25,3610.0
2012-08-06,170.5,175.0,168.5,175.0,10747.0
2012-08-07,175.0,185.0,168.0,185.0,15986.0
2012-08-08,182.0,182.0,175.35,180.25,1500.0
2012-08-09,175.01,185.0,175.01,185.0,12.0
2012-08-10,178.0,184.0,174.0,184.0,1134.0
2012-08-13,177.0,187.0,177.0,187.0,5333.0
2012-08-14,180.0,180.1,175.1,180.0,8472.0
2012-08-15,180.0,183.0,177.0,179.5,24188.0
2012-08-16,181.5,181.5,174.22,175.0,56.0
2012-08-17,175.0,177.0,170.0,172.0,6600.0
2012-08-20,170.0,175.0,165.0,170.0,21213.0
2012-08-21,174.75,175.0,170.48,175.0,4214.0
2012-08-22,,,,175.75,0.0
2012-08-23,180.0,182.0,171.76,179.9,3000.0
2012-08-24,,,,175.0,0.0
2012-08-28,,,,180.0,0.0
2012-08-29,,,,180.0,0.0
2012-08-30,173.0,175.0,173.0,175.0,5000.0
2012-08-31,175.0,175.0,170.0,172.3,2513.0
2012-09-03,170.0,176.1,170.0,170.0,10576.0
2012-09-04,175.0,175.0,175.0,175.0,68.0
2012-09-05,177.0,177.0,170.0,170.0,3099.0
2012-09-06,,,,171.26,0.0
2012-09-07,172.0,177.5,171.9,175.0,11169.0
2012-09-10,184.0,184.0,180.0,180.0,10.0
2012-09-11,,,,172.0,0.0
2012-09-12,172.0,180.0,171.0,171.0,2488.0
2012-09-13,172.25,175.0,170.2,170.25,2699.0
2012-09-14,175.0,178.0,175.0,178.0,320.0
2012-09-17,,,,180.0,0.0
2012-09-18,179.0,179.75,179.75,179.75,16.0
2012-09-19,,,,180.0,0.0
2012-09-20,,,,180.0,0.0
2012-09-21,178.4,180.0,175.25,175.25,29.0
2012-09-24,,,,185.2,0.0
2012-09-25,,,,185.2,0.0
2012-09-26,,,,185.2,0.0
2012-09-27,,,,180.0,0.0
2012-09-28,187.0,187.0,180.0,180.0,409.0
2012-10-01,180.0,183.7,180.0,183.7,2500.0
2012-10-02,,,,180.0,0.0
2012-10-03,185.75,187.0,173.0,173.0,6484.0
2012-10-04,,,,175.2,0.0
2012-10-05,180.0,187.0,180.0,187.0,7500.0
2012-10-08,,,,184.1,0.0
2012-10-09,,,,181.0,0.0
2012-10-10,183.0,189.75,183.0,189.75,10.0
2012-10-11,187.0,189.75,181.0,189.75,2386.0
2012-10-12,180.0,180.0,180.0,180.0,585.0
2012-10-15,180.0,186.8,175.0,178.0,5619.0
2012-10-16,180.0,184.75,180.0,184.75,3326.0
2012-10-17,185.0,185.0,180.25,184.5,1667.0
2012-10-18,,,,180.1,0.0
2012-10-19,,,,180.1,0.0
2012-10-22,180.0,184.0,176.05,178.0,3085.0
2012-10-23,177.0,182.5,177.0,177.0,1667.0
2012-10-24,175.0,175.0,175.0,175.0,174.0
2012-10-25,176.4,180.0,176.4,180.0,163.0
2012-10-26,,,,174.96,0.0
2012-10-29,,,,174.96,0.0
2012-10-30,180.0,180.0,176.4,176.4,30515.0
2012-10-31,180.0,180.0,176.0,180.0,262.0
2012-11-01,180.0,180.0,180.0,180.0,8.0
2012-11-02,,,,178.5,0.0
2012-11-05,175.0,179.5,170.0,175.0,9805.0
2012-11-06,170.0,172.5,170.0,172.5,2303.0
2012-11-07,,,,171.5,0.0
2012-11-08,170.5,175.0,170.0,175.0,10572.0
2012-11-09,,,,171.87,0.0
2012-11-12,172.0,180.0,172.0,180.0,9.0
2012-11-13,,,,180.0,0.0
2012-11-14,,,,180.0,0.0
2012-11-15,175.0,175.0,175.0,175.0,3233.0
2012-11-16,174.5,175.0,171.5,175.0,17.0
2012-11-19,165.0,170.0,160.69,170.0,2737.0
2012-11-20,170.0,170.0,170.0,170.0,16.0
2012-11-21,170.0,170.0,170.0,170.0,0.0
2012-11-22,167.0,167.0,161.0,161.5,
2012-11-23,167.0,167.0,,167.0,
2012-11-26,161.5,,161.5,161.5,
2012-11-27,167.0,167.0,,167.0,
2012-11-28,167.0,170.0,,167.0,
2012-11-29,170.0,170.0,165.0,170.0,
2012-11-30,170.0,170.0,,168.9,
2012-12-03,169.9,,166.4,166.4,
2012-12-04,166.4,173.0,166.4,173.0,
2012-12-05,170.0,,166.25,166.25,
2012-12-06,170.0,170.0,160.25,163.9,231.0
2012-12-07,,,,163.9,0.0
2012-12-10,166.5,166.5,156.38,160.0,9.0
2012-12-11,165.0,165.0,163.2,163.2,200.0
2012-12-12,165.0,165.0,162.92,165.0,300.0
2012-12-13,165.0,165.0,159.0,159.0,200.0
2012-12-14,163.44,163.44,,163.44,
2012-12-17,159.0,160.0,155.0,155.0,53.0
2012-12-18,160.0,165.0,160.0,165.0,4098.0
2012-12-19,165.0,165.0,155.0,162.0,17673.0
2012-12-20,165.0,166.25,164.0,166.25,5074.0
2012-12-21,165.0,170.0,165.0,170.0,6184.0
2012-12-24,,,,170.0,0.0
2012-12-27,,,,170.0,0.0
2012-12-28,170.0,170.0,165.0,165.0,2778.0
2012-12-31,171.75,171.75,166.69,170.94,100.0
2013-01-02,172.0,178.8,171.2,173.2,453.0
2013-01-03,170.0,170.0,165.0,165.0,5934.0
2013-01-04,167.0,175.0,175.0,175.0,57.0
2013-01-07,165.0,174.0,165.0,167.0,3522.0
2013-01-08,175.0,176.0,165.5,170.0,2820.0
2013-01-09,170.63,170.63,,170.63,
2013-01-10,180.0,180.0,180.0,180.0,160.0
2013-01-11,170.0,180.0,170.0,180.0,804.0
2013-01-14,170.0,170.0,170.0,170.0,8695.0
2013-01-15,170.0,173.75,170.0,170.0,15870.0
2013-01-16,170.0,170.0,170.0,170.0,
2013-01-17,168.0,175.0,168.0,175.0,322.0
2013-01-18,170.0,175.0,170.0,175.0,
2013-01-21,172.0,175.0,172.0,172.0,1987.0
2013-01-22,175.0,175.56,,173.5,
2013-01-23,179.75,179.75,,179.75,
2013-01-24,173.5,,172.5,174.5,
2013-01-25,,,,174.5,0.0
2013-01-28,174.0,178.0,172.0,172.0,2341.0
2013-01-29,172.0,178.0,170.0,170.0,11662.0
2013-01-30,170.0,172.0,170.0,172.0,
2013-01-31,174.9,174.9,170.4,170.4,
2013-02-01,170.4,,170.4,170.4,
2013-02-04,170.0,170.0,170.0,170.0,90.0
2013-02-05,172.0,172.0,172.0,172.0,142.0
2013-02-06,174.9,174.9,172.24,173.17,
2013-02-07,175.0,175.0,175.0,175.0,3849.0
2013-02-08,174.9,175.0,170.55,175.0,74.0
2013-02-11,175.0,177.0,170.0,170.0,15151.0
