Date,Open,High,Low,Close,Volume
2013-03-20,385.0,400.75,350.0,388.43,20914583
2013-03-21,403.75,403.75,380.75,392.23,1857565
2013-03-22,386.0,392.25,385.0,388.26,153069
2013-03-25,389.0,405.5,389.0,390.0,829462
2013-03-26,400.0,403.0,390.0,400.0,268043
2013-03-27,400.5,403.0,388.75,390.0,296909
2013-03-28,392.0,396.0,387.5,390.0,385658
2013-04-02,392.0,400.76,392.0,398.0,280210
2013-04-03,400.25,419.75,400.0,404.0,382558
2013-04-04,404.0,410.0,404.0,405.0,203468
2013-04-05,409.75,410.0,405.0,407.0,244258
2013-04-08,409.75,410.0,408.5,410.0,40800
2013-04-09,410.0,430.0,408.25,423.0,330031
2013-04-10,427.0,435.0,420.0,429.0,196267
2013-04-11,429.0,436.5,427.5,432.5,200599
2013-04-12,447.5,447.5,417.5,430.75,144697
2013-04-15,433.25,433.25,428.75,430.0,84177
2013-04-16,427.0,430.0,415.75,429.75,14286
2013-04-17,418.0,444.5,418.0,426.0,177155
2013-04-18,414.0,430.0,414.0,428.0,100110
2013-04-19,428.0,429.5,418.0,421.5,121005
2013-04-22,425.75,427.0,421.0,424.0,120910
2013-04-23,426.0,445.0,425.0,435.0,294183
2013-04-24,437.0,449.0,435.0,440.0,120020
2013-04-25,450.0,457.25,445.0,452.25,143836
2013-04-26,450.5,459.25,441.75,455.0,53742
2013-04-29,455.0,477.5,453.68,460.0,108406
2013-04-30,470.0,475.0,465.0,465.75,122220
2013-05-01,470.0,470.0,460.0,470.0,44414
2013-05-02,470.0,471.0,465.0,470.0,28413
2013-05-03,470.0,470.0,465.0,469.0,9777
2013-05-07,470.0,503.0,460.25,478.78,223479
2013-05-08,470.0,479.75,465.75,477.0,49703
2013-05-09,465.5,480.0,465.0,480.0,181954
2013-05-10,480.25,490.0,478.39,485.0,92201
2013-05-13,490.0,492.0,481.71,491.5,18503
2013-05-14,492.0,505.0,489.04,504.0,520227
2013-05-15,505.0,515.0,503.5,510.0,184221
2013-05-16,500.0,510.0,500.0,503.5,16567
2013-05-17,493.0,506.0,483.8,495.0,66765
2013-05-20,487.5,494.0,487.5,493.5,44672
2013-05-21,485.75,492.9,484.0,486.75,11149
2013-05-22,500.0,500.0,485.75,490.0,64070
2013-05-23,483.75,491.75,476.5,482.0,44617
2013-05-24,485.0,490.0,480.25,490.0,50963
2013-05-28,476.0,484.0,462.0,467.25,112128
2013-05-29,480.0,480.0,470.75,473.29,54884
2013-05-30,472.25,474.25,471.0,473.0,43786
2013-05-31,474.75,474.75,467.0,470.0,91360
2013-06-03,474.0,475.75,468.25,469.75,162264
2013-06-04,462.0,470.0,462.0,467.0,156369
2013-06-05,477.75,480.0,465.65,480.0,1110
2013-06-06,455.25,485.0,455.25,473.79,80360
2013-06-07,485.0,490.0,465.0,483.75,75637
2013-06-10,489.75,500.0,485.72,495.0,51138
2013-06-11,495.0,495.0,487.0,490.0,59534
2013-06-12,480.25,490.0,465.25,478.0,44572
2013-06-13,469.0,492.0,466.25,470.0,100546
2013-06-14,482.0,487.0,481.25,487.0,60987
2013-06-17,490.0,500.0,485.25,498.0,21458
2013-06-18,500.0,520.0,499.5,504.51,218583
2013-06-19,509.5,518.0,493.0,510.0,166101
2013-06-20,501.5,505.0,485.0,492.5,236182
2013-06-21,496.75,522.0,491.0,510.0,4092836
2013-06-24,495.7,505.0,490.1,491.0,98057
2013-06-25,491.0,493.2,480.0,480.0,148860
2013-06-26,476.5,486.3,476.5,486.3,24878
2013-06-27,484.1,500.5,483.0,500.5,42401
2013-06-28,499.5,505.0,494.9,505.0,209850
2013-07-01,505.0,536.0,496.9,536.0,292480
2013-07-02,534.5,534.5,520.0,530.0,259334
2013-07-03,532.0,548.0,528.88,540.0,292058
2013-07-04,540.0,544.5,534.0,538.0,231425
2013-07-05,546.0,546.5,532.0,534.33,45365
2013-07-08,538.0,546.0,535.5,544.0,247203
2013-07-09,543.0,553.0,540.95,550.0,239207
2013-07-10,553.0,581.0,549.28,577.0,390947
2013-07-11,580.0,598.0,576.11,592.0,270307
2013-07-12,592.0,604.5,586.62,599.5,108035
2013-07-15,599.0,609.0,596.0,607.5,77221
2013-07-16,605.0,610.0,605.0,610.0,108875
2013-07-17,608.0,611.0,605.0,607.0,102481
2013-07-18,602.5,613.5,602.5,609.0,137615
2013-07-19,602.5,613.5,594.5,613.5,95170
2013-07-22,607.0,610.0,599.0,608.0,101560
2013-07-23,604.0,608.5,591.5,598.0,122407
2013-07-24,603.0,610.5,597.0,608.0,73058
2013-07-25,596.0,608.0,596.0,606.0,21996
2013-07-26,599.0,605.5,598.5,604.0,19325
2013-07-29,604.5,606.0,596.0,604.5,25391
2013-07-30,604.5,618.0,604.5,610.0,165062
2013-07-31,610.0,618.0,610.0,611.0,80373
2013-08-01,604.5,609.0,599.5,604.5,84517
2013-08-02,599.0,603.0,597.5,600.5,180991
2013-08-05,604.0,604.0,595.0,599.0,215329
2013-08-06,600.0,600.0,592.5,599.0,53295
2013-08-07,591.5,600.0,591.5,599.0,160593
2013-08-08,599.0,600.0,589.5,599.0,104865
2013-08-09,600.0,609.0,597.0,605.0,73203
2013-08-12,600.0,605.0,599.5,600.0,88536
2013-08-13,593.5,600.0,593.5,597.0,29875
2013-08-14,580.0,580.5,540.0,570.0,4353847
2013-08-15,570.0,574.0,545.0,550.0,529292
