Date,Open,High,Low,Close,Volume
2012-01-03,747.0,750.0,740.0,750.0,67046
2012-01-04,750.0,750.5,738.5,745.5,14962
2012-01-05,744.0,748.5,726.5,726.5,843955
2012-01-06,733.0,748.5,733.0,748.5,13082
2012-01-09,742.0,744.5,734.5,739.0,8870
2012-01-10,736.5,744.5,727.4,741.0,172271
2012-01-11,750.0,750.0,740.65,750.0,34856
2012-01-12,754.0,754.0,744.69,746.5,646480
2012-01-13,745.5,750.5,736.0,736.0,172509
2012-01-16,745.5,745.5,734.0,742.5,309206
2012-01-17,743.0,750.0,739.0,748.5,50630
2012-01-18,746.5,750.0,746.5,750.0,21920
2012-01-19,747.5,750.0,730.5,730.5,48586
2012-01-20,742.5,748.0,737.5,748.0,225618
2012-01-23,747.0,748.0,737.0,742.5,232670
2012-01-24,747.5,750.0,737.5,742.0,27425
2012-01-25,745.5,750.0,742.72,749.5,23167
2012-01-26,750.0,757.11,746.78,752.0,215420
2012-01-27,754.5,762.0,736.43,759.0,75629
2012-01-30,780.0,790.0,762.5,770.0,81895
2012-01-31,769.0,783.0,769.0,780.17,192864
2012-02-01,784.0,809.5,777.5,805.0,437170
2012-02-02,801.0,806.5,785.0,795.5,322118
2012-02-03,796.5,830.0,796.0,818.0,127419
2012-02-06,809.5,814.5,790.0,810.5,53445
2012-02-07,814.0,841.0,786.82,841.0,121036
2012-02-08,837.5,842.0,823.31,833.0,81944
2012-02-09,831.5,842.0,830.0,832.5,271514
2012-02-10,830.0,836.0,818.38,833.21,153152
2012-02-13,830.5,838.0,827.38,834.49,23176
2012-02-14,835.0,850.0,829.0,840.63,58662
2012-02-15,833.5,854.5,821.17,838.63,54828
2012-02-16,826.0,827.6,800.0,803.5,54134
2012-02-17,805.0,829.5,794.38,825.0,54966
2012-02-20,820.0,827.0,812.28,821.5,12510
2012-02-21,817.5,826.0,810.32,818.5,15763
2012-02-22,824.0,840.5,813.26,838.5,37732
2012-02-23,829.0,831.5,810.0,812.0,34696
2012-02-24,818.0,818.0,791.0,795.0,48308
2012-02-27,783.5,801.0,783.16,794.0,11983
2012-02-28,799.0,804.5,784.5,796.0,19759
2012-02-29,793.0,794.0,775.5,780.5,28544
2012-03-01,785.0,787.5,780.0,783.0,14977
2012-03-02,790.0,795.0,783.0,788.5,26390
2012-03-05,795.0,795.0,788.18,793.0,9329
2012-03-06,786.5,795.0,786.5,792.0,13196
2012-03-07,795.5,803.5,792.0,801.5,24917
2012-03-08,810.0,810.0,800.0,805.5,16242
2012-03-09,801.0,813.0,801.0,808.0,32771
2012-03-12,795.5,824.0,795.5,820.5,23654
2012-03-13,816.5,845.0,812.3,832.5,41403
2012-03-14,838.5,842.5,821.5,834.0,25998
2012-03-15,838.0,838.0,820.0,820.0,32050
