Date,Open,High,Low,Close,Volume
2016-02-03,183.0,192.75,180.0,187.83,40931127
2016-02-04,197.5,202.5,180.0,198.0,5041676
2016-02-05,205.0,207.75,199.75,203.5,5323107
2016-02-08,204.25,210.0,198.5,206.88,7642588
2016-02-09,200.0,200.75,192.0,195.0,2331585
2016-02-10,191.5,194.0,188.5,188.5,1816530
2016-02-11,186.5,186.5,181.75,182.75,2051958
2016-02-12,180.0,185.0,179.0,185.0,2800642
2016-02-15,182.5,183.5,180.0,183.0,1229774
2016-02-16,186.0,186.67,183.25,185.0,803507
2016-02-17,184.25,187.5,183.75,187.5,1566197
2016-02-18,187.25,188.25,184.75,186.5,1272093
2016-02-19,185.0,185.0,180.0,184.5,1790109
2016-02-22,180.5,183.0,180.25,182.5,1652925
2016-02-23,183.5,189.0,182.5,186.0,497274
2016-02-24,183.75,186.25,183.5,184.5,897842
2016-02-25,186.0,189.75,185.25,189.5,745214
2016-02-26,190.0,193.0,189.25,190.25,515992
2016-02-29,188.0,189.0,185.75,189.0,4996454
2016-03-01,188.5,190.5,186.5,190.5,322306
2016-03-02,192.0,196.5,192.0,195.5,1056462
2016-03-03,196.75,198.99,196.0,198.0,445590
2016-03-04,199.5,205.75,199.5,203.0,867690
2016-03-07,207.0,209.5,207.0,208.5,1052099
2016-03-08,204.0,204.0,200.0,201.25,705066
2016-03-09,203.0,209.0,203.0,206.5,727658
2016-03-10,207.25,210.0,206.0,206.0,1271023
2016-03-11,210.25,210.25,206.75,207.5,354670
2016-03-14,207.0,207.37,205.25,206.5,318154
2016-03-15,206.0,206.0,203.0,203.0,661575
2016-03-16,205.0,207.5,204.25,205.25,971286
2016-03-17,209.25,211.5,207.5,208.75,1160203
2016-03-18,209.0,213.0,207.5,208.5,2315776
2016-03-21,210.0,212.5,209.75,211.75,274361
2016-03-22,210.5,213.75,210.25,213.0,1381226
2016-03-23,213.5,214.0,210.75,211.75,385289
2016-03-24,211.75,211.75,208.25,208.25,383477
2016-03-29,210.75,210.75,206.0,208.0,226856
2016-03-30,210.0,211.0,207.0,209.0,520288
2016-03-31,207.5,210.25,207.5,208.5,505572
2016-04-01,206.75,211.25,206.75,210.25,967116
2016-04-04,208.25,210.5,208.25,209.0,461366
2016-04-05,210.0,212.0,205.69,207.25,424090
2016-04-06,211.25,215.0,209.25,213.75,652372
2016-04-07,213.5,214.06,212.0,212.0,354570
2016-04-08,210.75,213.0,209.99,212.0,582368
2016-04-11,210.25,212.75,210.0,210.0,453039
2016-04-12,212.0,212.0,209.12,210.5,203561
2016-04-13,211.75,216.78,211.7,216.75,492296
2016-04-14,218.5,221.0,215.25,220.5,465816
2016-04-15,223.0,228.5,223.0,227.0,965861
2016-04-18,227.5,232.0,226.0,230.25,2077831
2016-04-19,234.0,235.5,232.5,234.75,1810327
2016-04-20,233.5,235.0,230.75,231.75,1404301
2016-04-21,231.75,233.62,231.0,231.5,337172
2016-04-22,234.75,234.75,231.25,233.0,753913
2016-04-25,234.5,236.0,231.0,231.5,435180
2016-04-26,229.75,229.75,226.0,226.5,426355
2016-04-27,225.0,226.03,222.75,225.5,331401
2016-04-28,226.25,227.03,223.0,227.0,326218
2016-04-29,226.0,226.0,220.5,221.75,512003
2016-05-03,222.75,224.0,218.75,220.0,503154
2016-05-04,219.25,225.0,219.25,223.0,431637
2016-05-05,219.25,222.0,218.25,220.5,392439
2016-05-06,215.75,219.25,215.75,218.5,1331932
2016-05-09,219.0,220.25,217.75,219.75,554965
2016-05-10,219.75,220.0,218.16,219.0,731541
2016-05-11,218.0,223.0,218.0,221.5,162404
2016-05-12,219.75,225.0,217.04,219.75,755167
2016-05-13,221.25,224.25,220.25,222.75,503606
2016-05-16,225.75,227.25,222.0,225.25,700562
2016-05-17,226.0,230.5,226.0,230.0,859626
2016-05-18,230.0,232.75,229.25,230.5,724897
2016-05-19,230.75,233.5,223.0,232.0,727269
2016-05-20,235.0,235.25,233.0,235.0,487672
2016-05-23,237.0,237.25,235.25,236.75,393482
2016-05-24,236.75,248.75,236.38,247.0,1604755
2016-05-25,258.0,264.0,255.0,262.75,1475937
2016-05-26,268.0,272.75,266.0,266.0,1133738
2016-05-27,269.5,273.25,269.5,269.75,728247
2016-05-31,282.75,284.25,274.25,277.5,3163971
2016-06-01,277.0,277.0,268.0,272.5,1783154
2016-06-02,274.25,278.25,272.5,275.5,2134699
2016-06-03,277.0,280.5,272.75,279.5,1849408
2016-06-09,288.0,290.0,285.75,289.5,1975196
2016-06-10,288.0,288.0,274.75,278.0,1700517
2016-06-13,275.0,275.0,266.0,274.0,2851211
2016-06-14,273.25,275.0,263.25,268.5,7273670
2016-06-15,280.0,281.25,269.25,271.83,6306591
2016-06-16,266.25,275.25,259.25,260.0,5789929
2016-06-17,267.0,270.75,265.5,270.75,58148218
2016-06-20,282.1,290.0,279.7,288.6,4655988
2016-06-21,286.0,289.5,283.0,284.4,2962707
2016-06-22,284.4,285.0,280.7,283.3,2210686
2016-06-23,283.4,297.4,280.8,287.8,2171567
2016-06-24,245.0,258.9,232.7,250.0,8700313
2016-06-27,229.0,232.6,210.0,211.9,8551281
2016-06-28,230.0,231.6,218.8,228.7,4481801
2016-06-29,231.0,239.6,230.1,235.3,2453873
2016-06-30,231.0,232.5,220.1,232.0,3644048
2016-07-01,234.4,236.2,223.6,232.4,1695014
2016-07-04,227.3,228.6,222.7,223.3,2128897
2016-07-05,221.0,227.2,206.0,208.0,3864962
2016-07-06,211.0,212.64,203.7,209.0,3194690
2016-07-07,213.1,217.9,209.7,214.0,2062969
2016-07-08,222.5,231.3,220.7,230.0,2592269
2016-07-11,233.3,245.3,232.2,243.7,1917008
2016-07-12,248.0,248.0,233.56,243.0,1789487
2016-07-13,244.9,244.9,233.6,236.4,1772838
2016-07-14,239.1,240.8,233.9,239.0,1227521
2016-07-15,239.0,243.0,233.4,235.2,843660
2016-07-18,238.6,243.6,238.0,241.3,1123965
2016-07-19,243.5,244.5,236.9,242.8,1523675
2016-07-20,248.9,249.1,243.3,247.1,932032
2016-07-21,250.0,251.0,239.1,249.0,977167
2016-07-22,247.3,247.3,239.0,241.6,1334818
2016-07-25,247.9,255.0,244.0,250.9,2100593
2016-07-26,254.8,257.9,250.9,256.2,1536436
