Date,Open,High,Low,Close,Volume
2012-01-03,335.5,341.0,330.5,340.0,473245
2012-01-04,332.7,337.3,332.4,334.7,134196
2012-01-05,334.1,334.4,325.8,330.1,199356
2012-01-06,329.1,331.0,323.0,326.3,171444
2012-01-09,325.0,330.84,325.0,326.1,80165
2012-01-10,327.1,327.2,320.1,322.0,179567
2012-01-11,321.0,328.8,320.0,328.8,138219
2012-01-12,327.0,328.3,309.1,315.0,275040
2012-01-13,317.4,327.76,313.4,326.4,313576
2012-01-16,322.0,326.7,321.1,322.8,234542
2012-01-17,323.8,330.62,318.5,319.9,201153
2012-01-18,318.3,322.19,315.7,320.6,212519
2012-01-19,319.9,329.4,319.87,322.8,117006
2012-01-20,327.9,327.9,319.8,321.8,144952
2012-01-23,321.9,325.0,320.1,321.5,166536
2012-01-24,319.5,322.7,314.83,319.4,149158
2012-01-25,317.9,320.4,310.1,318.4,216705
2012-01-26,323.0,323.0,314.1,318.4,172916
2012-01-27,318.5,320.7,309.7,316.5,173695
2012-01-30,315.0,324.6,309.1,311.0,260507
2012-01-31,313.2,316.0,311.0,313.5,238689
2012-02-01,312.4,325.7,312.4,323.7,308476
2012-02-02,320.2,333.5,320.2,320.5,506703
2012-02-03,320.7,329.6,314.8,325.0,381205
2012-02-06,323.4,336.51,323.4,327.7,372944
2012-02-07,327.7,331.56,326.77,327.7,282874
2012-02-08,329.1,331.8,323.0,325.3,261085
2012-02-09,326.0,333.05,325.0,331.1,175055
2012-02-10,330.5,341.0,330.5,330.8,321401
2012-02-13,330.5,336.1,325.2,332.6,91382
2012-02-14,331.1,334.89,329.7,331.4,131086
2012-02-15,332.0,332.0,328.5,329.9,254710
2012-02-16,325.0,334.28,325.0,332.6,241277
2012-02-17,332.9,337.69,328.1,333.8,110715
2012-02-20,333.5,338.39,329.0,333.5,105958
2012-02-21,332.9,336.79,326.9,331.6,143289
2012-02-22,330.6,333.98,326.4,331.6,118017
2012-02-23,330.0,335.1,329.06,332.0,118426
2012-02-24,330.7,331.9,325.8,330.7,89320
2012-02-27,335.7,335.7,320.0,327.0,140196
2012-02-28,326.4,328.28,319.9,325.0,148139
2012-02-29,320.1,325.0,320.1,322.6,96772
2012-03-01,321.5,325.6,316.4,320.0,181192
2012-03-02,321.4,325.4,315.5,317.0,128351
2012-03-05,319.3,323.1,315.4,318.3,90161
2012-03-06,322.0,322.0,315.2,321.2,203765
2012-03-07,320.4,330.9,320.4,326.5,219958
2012-03-08,327.0,332.6,322.49,326.1,155506
2012-03-09,327.1,350.2,321.7,347.0,390424
2012-03-12,348.0,349.54,339.0,343.2,231361
2012-03-13,343.3,353.7,339.7,353.3,300603
2012-03-14,352.2,356.0,348.41,350.7,180803
2012-03-15,351.6,358.3,348.4,353.6,291191
2012-03-16,353.4,355.0,346.73,351.0,313482
2012-03-19,351.0,351.5,347.2,348.5,138956
2012-03-20,345.6,348.73,342.6,346.0,137905
2012-03-21,347.4,347.7,341.8,344.5,209553
2012-03-22,343.0,344.3,341.97,342.9,135359
2012-03-23,342.4,343.9,338.3,343.5,199825
2012-03-26,343.5,348.9,340.7,345.0,140507
2012-03-27,346.6,348.35,339.4,341.7,146542
2012-03-28,342.3,345.05,336.74,338.0,206800
2012-03-29,335.2,342.3,329.5,331.3,127481
2012-03-30,330.0,334.1,326.78,333.1,161663
2012-04-02,334.2,334.52,326.7,332.1,257679
2012-04-03,331.2,333.09,327.5,329.0,171903
2012-04-04,329.8,333.8,324.04,328.6,387655
2012-04-05,328.0,330.76,321.8,324.5,155627
2012-04-10,323.7,326.4,317.1,320.3,260504
2012-04-11,319.2,323.38,313.29,318.6,310916
2012-04-12,319.8,322.82,312.0,315.2,289847
2012-04-13,315.0,315.33,310.0,315.3,194073
2012-04-16,314.7,315.98,309.1,310.0,126560
