Date,Open,High,Low,Close,Volume
2015-03-06,265.0,270.0,255.0,255.25,15194053
2015-03-09,255.0,257.0,254.62,255.21,6213600
2015-03-10,255.75,262.5,255.44,259.06,619629
2015-03-11,256.25,263.91,256.25,258.3,270151
2015-03-12,258.0,266.75,257.88,263.59,289349
2015-03-13,267.75,274.0,265.5,267.5,353388
2015-03-16,271.75,272.0,268.42,270.29,179955
2015-03-17,272.0,273.0,260.17,269.62,327226
2015-03-18,272.0,274.56,269.5,270.0,181083
2015-03-19,272.5,272.5,263.25,271.0,225854
2015-03-20,268.5,274.75,268.5,270.27,279830
2015-03-23,268.0,275.0,268.0,270.27,157435
2015-03-24,268.25,270.4,267.0,267.0,214091
2015-03-25,266.75,267.0,260.0,260.0,271748
2015-03-26,260.0,262.5,255.0,260.0,1516584
2015-03-27,257.0,267.63,255.0,256.5,296775
2015-03-30,256.25,259.25,255.25,257.0,319407
2015-03-31,256.0,261.76,255.0,256.5,210735
2015-04-01,255.25,259.76,255.25,257.0,62338
2015-04-02,256.0,257.75,256.0,257.0,12950
2015-04-07,257.0,258.0,256.0,257.0,17270
2015-04-08,257.5,269.0,257.19,265.0,47634
2015-04-09,259.75,265.25,259.0,263.7,43466
2015-04-10,264.75,269.0,264.5,265.0,139536
2015-04-13,260.0,270.0,260.0,265.0,37890
2015-04-14,260.0,267.72,260.0,264.5,48232
2015-04-15,264.0,264.5,263.5,264.0,40385
2015-04-16,267.0,281.25,265.75,273.0,263360
2015-04-17,270.0,271.5,254.96,270.4,154098
2015-04-20,267.75,274.0,265.0,268.5,19696
2015-04-21,270.0,272.7,267.0,269.5,36595
2015-04-22,269.0,281.0,269.0,269.0,25290
2015-04-23,269.0,277.0,266.75,273.75,33303
2015-04-24,273.5,277.75,263.06,276.25,90860
2015-04-27,277.0,285.0,276.5,279.75,23369
2015-04-28,278.0,280.0,276.0,278.0,51778
2015-04-29,279.0,280.0,275.25,279.0,17910
2015-04-30,280.0,283.16,275.0,279.5,69592
2015-05-01,279.0,283.92,273.0,278.0,20323
2015-05-05,280.0,285.0,278.0,280.0,68685
2015-05-06,281.0,285.0,280.0,281.67,67504
2015-05-07,265.0,275.0,260.0,271.0,114017
2015-05-08,277.75,277.75,263.74,271.57,172570
2015-05-11,270.25,273.0,262.06,264.5,16683
2015-05-12,264.75,266.86,260.5,265.0,64285
2015-05-13,267.25,267.54,259.07,264.0,45205
2015-05-14,265.0,265.0,260.0,262.75,12857
2015-05-15,262.0,262.25,256.0,259.0,78355
2015-05-18,259.0,265.75,252.0,262.0,169060
2015-05-19,264.0,265.25,258.0,261.26,138862
2015-05-20,255.0,261.75,255.0,259.75,50152
2015-05-21,259.32,260.74,254.5,260.5,28913
2015-05-22,265.0,265.0,258.0,258.0,67873
2015-05-26,270.0,270.0,256.85,259.5,51888
2015-05-27,259.75,268.0,256.25,264.74,84119
2015-05-28,265.0,266.25,261.75,265.0,65160
2015-05-29,265.0,265.0,260.86,264.0,24406
2015-06-01,261.0,265.0,260.0,265.0,61751
2015-06-02,260.5,264.5,260.5,263.75,20917
2015-06-03,265.0,274.0,261.5,274.0,128697
2015-06-04,266.0,288.25,266.0,274.5,130674
2015-06-05,265.5,283.88,265.5,281.64,106351
2015-06-08,287.25,287.95,277.0,278.0,111147
2015-06-09,279.75,279.75,273.25,277.58,98835
2015-06-10,275.0,280.0,275.0,277.58,147609
2015-06-11,279.25,282.0,278.0,280.72,105597
2015-06-12,281.0,282.0,276.5,280.5,208136
2015-06-15,278.0,288.0,278.0,280.0,143974
2015-06-16,270.0,279.25,267.93,278.21,83386
2015-06-17,277.5,280.25,275.5,276.38,49925
2015-06-18,265.0,279.75,265.0,277.0,199769
2015-06-19,282.0,303.0,272.62,283.57,2805922
2015-06-22,290.0,290.0,269.5,278.42,64017
2015-06-23,284.0,285.0,272.25,278.42,67382
2015-06-24,283.75,285.0,274.25,280.0,142512
2015-06-25,279.5,280.75,272.75,275.0,65183
2015-06-26,277.0,280.0,268.5,277.25,18601
2015-06-29,265.0,280.38,265.0,269.23,58190
2015-06-30,269.5,275.5,266.0,273.0,28569
2015-07-01,265.0,279.0,265.0,274.37,59892
2015-07-02,285.0,285.0,273.93,278.0,17992
2015-07-03,265.0,284.0,265.0,278.0,57325
2015-07-06,265.0,279.5,265.0,274.0,28350
2015-07-07,265.0,282.25,265.0,273.0,25336
2015-07-08,278.25,278.25,268.25,270.5,33893
2015-07-09,265.0,274.75,265.0,271.75,29468
2015-07-10,281.75,281.75,267.37,270.5,9989
2015-07-13,271.75,279.25,270.0,270.75,40434
2015-07-14,279.75,279.75,270.0,271.5,60804
2015-07-15,265.0,282.33,265.0,272.0,37686
2015-07-16,275.0,275.0,259.19,269.5,77828
2015-07-17,268.75,285.0,257.0,285.0,17231
2015-07-20,261.25,285.5,261.25,278.0,40016
2015-07-21,289.5,289.5,266.0,266.0,56873
2015-07-22,280.0,290.0,279.0,281.75,133213
2015-07-23,268.75,284.75,268.75,280.0,119868
2015-07-24,290.0,290.0,280.0,280.0,23932
2015-07-27,285.0,285.0,280.0,283.5,69730
2015-07-28,270.5,283.0,270.5,281.0,24196
2015-07-29,290.0,290.0,280.0,283.0,26407
2015-07-30,267.75,283.0,267.75,282.75,61538
2015-07-31,290.0,290.0,281.36,285.0,36087
2015-08-03,290.0,290.0,282.75,289.44,24454
2015-08-04,289.25,292.0,285.5,292.0,68258
