Date,Open,High,Low,Close,Volume
2012-01-03,690.0,694.0,683.4,688.0,65256
2012-01-04,687.0,692.8,685.0,690.0,126870
2012-01-05,693.0,693.0,682.0,687.0,110612
2012-01-06,691.5,692.94,680.5,685.0,93472
2012-01-09,693.5,755.0,683.01,746.65,109923
2012-01-10,747.5,790.0,746.65,776.54,75744
2012-01-11,790.0,794.2,762.5,783.72,74878
2012-01-12,762.5,782.5,759.1,782.5,47696
2012-01-13,784.5,785.0,765.0,783.0,14595
2012-01-16,783.0,784.5,772.0,778.0,8449
2012-01-17,785.0,795.0,773.5,793.5,16483
2012-01-18,786.0,808.0,785.31,791.0,42352
2012-01-19,790.0,797.7,787.0,791.5,180937
2012-01-20,792.0,797.0,782.5,782.5,13312
2012-01-23,782.5,794.5,782.5,794.5,7795
2012-01-24,790.5,801.5,783.5,800.0,40767
2012-01-25,797.0,800.0,772.5,782.5,21288
2012-01-26,781.0,784.6,752.5,783.0,46903
2012-01-27,775.0,782.0,766.0,777.0,2882
2012-01-30,770.0,781.5,765.0,778.0,13254
2012-01-31,771.0,771.0,755.0,770.0,35733
2012-02-01,755.0,760.0,738.0,743.49,120996
2012-02-02,745.0,755.75,739.88,747.5,176285
2012-02-03,746.0,753.5,742.0,745.0,38888
2012-02-06,757.5,758.0,745.0,758.0,11489
2012-02-07,745.5,765.0,745.5,759.0,103441
2012-02-08,764.0,773.0,755.0,761.0,6849
2012-02-09,767.5,795.0,767.5,794.5,30761
2012-02-10,789.0,798.5,767.5,784.0,15192
2012-02-13,785.0,799.5,785.0,798.0,1131
2012-02-14,785.0,791.75,785.0,787.0,8611
2012-02-15,785.0,801.73,778.5,781.5,16918
2012-02-16,782.0,785.0,777.0,785.0,483
2012-02-17,777.0,788.25,777.0,783.1,29998
2012-02-20,797.0,800.0,777.0,800.0,773
2012-02-21,805.0,845.0,783.1,820.0,33679
2012-02-22,831.5,848.65,829.5,838.0,8181
2012-02-23,850.0,895.0,840.0,890.0,70341
2012-02-24,878.0,890.12,865.5,870.0,44830
2012-02-27,895.0,897.08,830.5,866.19,96919
2012-02-28,858.5,870.0,858.5,870.0,14325
2012-02-29,860.0,872.0,851.2,861.72,13772
2012-03-01,874.5,885.0,860.5,875.0,18919
2012-03-02,865.0,873.5,849.5,870.85,65013
2012-03-05,872.0,883.0,865.0,877.53,23648
2012-03-06,876.0,880.5,866.0,873.2,10656
2012-03-07,871.5,876.14,868.5,876.0,12205
2012-03-08,876.0,895.5,868.35,883.95,20580
2012-03-09,886.0,891.5,875.0,891.5,15993
2012-03-12,891.0,891.69,876.6,888.0,7601
2012-03-13,882.5,920.0,880.61,914.0,50235
2012-03-14,919.5,935.0,906.0,911.0,18617
2012-03-15,911.0,940.0,911.0,921.0,42654
2012-03-16,915.0,954.0,901.0,909.7,80174
2012-03-19,912.0,919.0,905.0,911.5,40442
2012-03-20,908.0,911.5,890.5,901.25,22864
2012-03-21,900.5,905.66,891.5,900.0,26174
2012-03-22,900.0,907.0,890.5,906.5,19907
2012-03-23,891.5,905.0,890.5,900.0,12215
2012-03-26,893.0,906.0,891.0,903.09,15302
2012-03-27,895.5,903.0,891.0,902.0,11351
2012-03-28,890.0,904.5,890.0,900.5,9949
2012-03-29,900.0,904.0,891.0,899.56,19469
2012-03-30,896.5,930.5,896.0,920.0,35845
2012-04-02,911.0,933.5,911.0,929.45,27071
2012-04-03,930.0,932.0,920.0,925.0,29534
2012-04-04,918.0,929.5,918.0,924.0,24074
2012-04-05,923.5,936.0,923.0,932.0,39113
2012-04-10,927.5,937.5,920.5,927.62,9298
2012-04-11,931.0,956.82,930.0,946.5,21974
2012-04-12,951.0,959.9,946.15,949.0,2469
2012-04-13,942.0,1020.0,942.0,993.5,60443
2012-04-16,996.0,1015.0,985.0,1010.0,10961
2012-04-17,1013.0,1040.0,997.35,1040.0,33205
2012-04-18,1035.0,1051.89,1017.17,1045.0,42734
2012-04-19,1040.0,1098.0,1040.0,1084.56,46023
2012-04-20,1090.0,1099.0,1077.32,1095.0,19150
2012-04-23,1075.0,1095.0,1060.0,1095.0,27343
2012-04-24,1085.0,1107.0,1077.76,1085.0,77293
2012-04-25,1090.0,1094.94,1067.44,1080.0,40252
2012-04-26,1075.0,1080.0,1055.0,1070.0,70792
2012-04-27,1050.0,1057.11,1000.0,1043.0,62013
2012-04-30,1031.0,1050.0,1031.0,1042.0,58681
2012-05-01,1025.0,1025.0,1010.0,1022.0,22967
2012-05-02,1014.0,1033.0,1005.0,1030.0,43336
2012-05-03,1030.0,1042.0,980.0,1004.0,32941
2012-05-04,1008.0,1008.9,980.0,980.0,30449
2012-05-08,980.0,983.5,931.0,949.5,39160
2012-05-09,943.5,955.75,931.1,952.0,50346
2012-05-10,955.0,1015.0,955.0,998.0,56174
2012-05-11,1001.0,1008.72,980.0,984.5,45811
2012-05-14,982.5,988.5,952.46,975.5,70915
2012-05-15,975.0,976.52,934.5,942.0,23459
2012-05-16,941.0,969.5,939.75,958.0,111276
2012-05-17,950.0,975.5,950.0,975.5,56878
2012-05-18,970.0,991.0,948.5,958.5,37567
2012-05-21,945.0,945.0,930.0,940.0,8056
2012-05-22,935.5,942.0,926.0,935.0,37343
