Date,Open,High,Low,Close,Volume
2012-01-03,213.0,214.0,208.0,213.5,108352.0
2012-01-04,215.0,216.0,211.5,213.0,125753.0
2012-01-05,213.0,213.5,208.5,208.5,217911.0
2012-01-06,211.25,212.99,209.0,209.0,37442.0
2012-01-09,211.75,213.75,209.61,210.0,129136.0
2012-01-10,212.5,215.5,212.35,213.5,93672.0
2012-01-11,212.0,212.76,211.0,211.5,73354.0
2012-01-12,212.25,213.25,211.2,213.0,49230.0
2012-01-13,211.0,213.5,209.5,209.85,79128.0
2012-01-16,211.0,213.83,207.79,207.79,97053.0
2012-01-17,211.5,213.0,210.5,213.0,36895.0
2012-01-18,212.75,213.0,210.75,213.0,63854.0
2012-01-19,212.0,213.25,211.72,212.25,64198.0
2012-01-20,212.5,213.65,211.0,212.0,109770.0
2012-01-23,213.75,216.5,213.75,214.5,58456.0
2012-01-24,214.5,214.9,211.26,211.55,77417.0
2012-01-25,211.5,214.62,210.73,213.75,45245.0
2012-01-26,215.5,215.74,214.5,214.5,112931.0
2012-01-27,215.5,215.5,212.1,212.1,74486.0
2012-01-30,210.0,212.0,207.01,209.0,98986.0
2012-01-31,210.5,212.75,206.0,206.0,104226.0
2012-02-01,211.0,213.5,210.25,213.0,182743.0
2012-02-02,213.5,215.1,212.5,213.5,39436.0
2012-02-03,215.75,219.0,213.5,219.0,103277.0
2012-02-06,216.5,219.45,215.71,217.5,223601.0
2012-02-07,217.25,218.25,213.5,215.75,168245.0
2012-02-08,218.25,218.25,216.0,217.0,55383.0
2012-02-09,215.0,217.41,214.5,216.5,107534.0
2012-02-10,215.5,217.0,213.47,215.5,105357.0
2012-02-13,215.5,218.0,213.99,216.5,29483.0
2012-02-14,214.5,217.0,214.5,215.75,13500.0
2012-02-15,216.0,217.25,213.0,214.0,26885.0
2012-02-16,213.75,215.14,212.5,214.25,40699.0
2012-02-17,217.0,218.89,216.5,217.0,18586.0
2012-02-20,220.25,220.25,219.0,219.0,48518.0
2012-02-21,218.5,221.0,218.0,221.0,19787.0
2012-02-22,219.75,220.0,218.68,220.0,7665.0
2012-02-23,220.5,220.75,217.0,220.0,40317.0
2012-02-24,219.5,221.0,218.75,221.0,15207.0
2012-02-27,218.25,219.75,216.35,219.25,84196.0
2012-02-28,220.0,221.42,218.5,219.0,33707.0
2012-02-29,220.5,221.69,218.0,218.0,14983.0
2012-03-01,218.5,221.5,218.5,221.5,31094.0
2012-03-02,221.25,221.25,219.5,220.0,24193.0
2012-03-05,218.75,220.46,217.09,218.5,34737.0
2012-03-06,220.0,220.0,215.0,217.75,65851.0
2012-03-07,217.0,217.45,215.33,216.5,26624.0
2012-03-08,217.25,220.0,217.25,220.0,25579.0
2012-03-09,220.0,220.99,218.51,220.0,6474.0
2012-03-12,221.0,222.39,219.26,221.5,31226.0
2012-03-13,222.5,225.0,222.0,222.5,26193.0
2012-03-14,224.0,226.5,223.75,224.0,48539.0
2012-03-15,224.0,227.75,223.5,227.75,28827.0
2012-03-16,224.5,226.75,224.0,226.75,52614.0
2012-03-19,225.0,225.75,224.0,224.75,23949.0
2012-03-20,224.0,225.5,222.5,225.0,87984.0
2012-03-21,225.5,226.0,222.5,226.0,29325.0
2012-03-22,224.0,224.25,221.6,223.0,41574.0
2012-03-23,224.0,224.75,222.5,224.0,44468.0
2012-03-26,224.0,227.5,223.75,225.5,59549.0
2012-03-27,227.25,227.25,225.0,226.0,85124.0
2012-03-28,225.5,226.8,223.25,226.0,42418.0
2012-03-29,223.5,225.25,221.5,221.75,12588.0
2012-03-30,224.5,225.5,222.25,223.5,76434.0
2012-04-02,223.25,227.0,221.76,226.0,48687.0
2012-04-03,227.0,227.71,225.25,226.5,35482.0
2012-04-04,225.75,226.5,220.0,220.0,23458.0
2012-04-05,222.0,223.24,219.95,221.0,74878.0
2012-04-10,219.75,222.0,217.62,218.0,66669.0
2012-04-11,220.0,222.0,217.25,221.5,22507.0
2012-04-12,221.25,224.25,220.25,223.5,19709.0
2012-04-13,225.25,225.5,220.62,222.4,9155.0
2012-04-16,222.5,224.25,220.0,220.0,51638.0
2012-04-17,220.5,222.65,220.18,220.75,108249.0
2012-04-18,216.0,217.0,214.99,216.25,60017.0
2012-04-19,216.0,217.5,214.72,216.0,30386.0
2012-04-20,214.75,216.25,213.0,215.5,68695.0
2012-04-23,217.5,217.5,211.5,212.75,28164.0
2012-04-24,213.0,214.28,212.1,213.0,12421.0
2012-04-25,215.5,216.0,215.0,215.0,28435.0
2012-04-26,217.25,217.25,214.17,214.75,16513.0
2012-04-27,216.75,217.25,215.5,216.5,26621.0
2012-04-30,217.0,218.0,213.25,214.0,70482.0
2012-05-01,215.5,217.25,213.25,217.25,1032.0
2012-05-02,217.25,217.25,215.12,217.0,23708.0
2012-05-03,219.0,219.25,216.75,217.25,73486.0
2012-05-04,219.0,219.0,212.75,213.0,54762.0
2012-05-08,214.5,215.0,211.15,212.0,25805.0
2012-05-09,213.0,213.0,208.5,209.75,96137.0
2012-05-10,211.0,212.25,209.0,211.0,22013.0
2012-05-11,209.25,215.0,209.25,215.0,7106.0
2012-05-14,210.25,213.0,209.25,213.0,3583.0
2012-05-15,211.5,211.75,208.0,208.0,16107.0
2012-05-16,205.0,206.24,202.75,204.0,13148.0
2012-05-17,206.75,207.75,203.76,207.75,24091.0
2012-05-18,204.0,207.0,202.51,205.0,21538.0
2012-05-21,205.0,207.5,204.75,207.5,6130.0
2012-05-22,208.0,210.5,206.3,210.25,42012.0
2012-05-23,207.75,207.75,202.0,202.0,2893.0
2012-05-24,204.5,206.06,203.26,204.0,2376.0
2012-05-25,206.0,206.0,201.5,204.25,20017.0
2012-05-28,,,,205.59,0.0
2012-05-29,206.25,208.74,205.0,207.5,5036.0
2012-05-30,203.0,203.0,200.0,200.0,7667.0
2012-05-31,,,,200.75,0.0
2012-06-01,199.0,202.99,198.5,198.75,9157.0
2012-06-06,204.0,204.5,198.01,204.5,18571.0
2012-06-07,203.0,206.5,202.88,206.5,42743.0
2012-06-08,208.0,209.0,206.0,209.0,4678.0
2012-06-11,207.25,209.74,206.25,206.5,18884.0
2012-06-12,207.5,209.56,206.51,209.5,47283.0
2012-06-13,208.75,211.5,207.51,211.5,5690.0
2012-06-14,210.72,210.0,208.56,210.0,6725.0
2012-06-15,209.5,211.5,208.06,211.5,80823.0
2012-06-18,210.5,210.5,207.0,209.24,17609.0
2012-06-19,209.25,213.74,209.0,210.75,13416.0
2012-06-20,213.0,215.0,212.0,215.0,106.0
2012-06-21,212.0,214.0,211.25,213.5,13911.0
2012-06-22,210.0,214.38,210.0,210.0,6771.0
2012-06-25,209.5,212.48,208.5,208.5,1979.0
2012-06-26,210.75,211.78,210.75,211.5,62387.0
2012-06-27,212.8,213.82,210.5,210.5,232.0
2012-06-28,211.0,212.8,209.5,212.0,4070.0
2012-06-29,215.5,219.49,215.5,217.0,11933.0
2012-07-02,216.5,218.98,215.5,216.75,28349.0
2012-07-03,220.0,223.0,219.26,223.0,11068.0
2012-07-04,219.5,221.75,219.25,219.75,7951.0
2012-07-05,223.0,224.0,219.62,222.0,19571.0
2012-07-06,221.25,222.0,219.61,222.0,305.0
2012-07-09,221.75,220.5,218.8,220.5,56.0
2012-07-10,221.75,223.0,220.15,222.75,35198.0
2012-07-11,220.0,222.0,218.88,222.0,21780.0
2012-07-12,218.36,219.82,217.48,218.0,17171.0
2012-07-13,221.0,223.0,217.69,223.0,1275.0
2012-07-16,219.41,222.0,219.25,222.0,1651.0
2012-07-17,221.5,221.5,218.5,221.0,6731.0
2012-07-18,219.25,222.5,219.16,222.5,2923.0
2012-07-19,222.0,224.0,222.0,223.0,2941.0
2012-07-20,221.0,224.99,221.0,223.5,14935.0
2012-07-23,217.0,218.92,214.75,216.0,21657.0
2012-07-24,216.5,216.5,213.0,213.0,3859.0
2012-07-25,216.25,217.0,215.0,216.0,73389.0
2012-07-26,218.75,220.75,214.5,220.5,56582.0
2012-07-27,219.25,223.5,218.25,223.0,10530.0
2012-07-30,223.5,225.29,221.41,225.29,25409.0
2012-07-31,223.5,226.25,222.16,223.0,7995.0
2012-08-01,225.25,229.0,222.83,229.0,87370.0
2012-08-02,229.0,229.0,223.25,227.0,13923.0
2012-08-03,229.0,235.0,225.77,235.0,22171.0
2012-08-06,233.0,234.25,230.0,232.92,2702.0
2012-08-07,232.58,233.75,230.0,232.0,20698.0
2012-08-08,229.75,230.0,227.0,229.5,22682.0
2012-08-09,228.0,230.5,226.5,230.5,6931.0
2012-08-10,229.75,229.75,227.1,229.65,42.0
2012-08-13,,,,228.38,0.0
2012-08-14,230.0,232.5,228.33,232.5,1989.0
2012-08-15,233.0,233.0,227.86,229.0,14389.0
2012-08-16,229.0,230.75,227.75,229.99,22083.0
2012-08-17,,,,230.5,0.0
2012-08-20,229.5,231.3,227.0,227.0,21653.0
2012-08-21,229.0,230.75,228.0,229.0,6415.0
2012-08-22,226.25,227.5,226.0,226.0,19859.0
2012-08-23,229.5,231.19,228.12,231.0,16219.0
2012-08-24,226.75,227.91,225.0,225.0,13878.0
2012-08-28,226.0,228.09,224.25,225.8,3000.0
2012-08-29,223.5,226.62,223.5,226.0,6766.0
2012-08-30,225.0,226.59,223.25,223.25,19179.0
2012-08-31,225.0,229.0,225.0,229.0,16741.0
2012-09-03,226.0,228.5,225.51,228.5,27718.0
